onset(s),measure
1.531750000,1
7.572000000,2
14.238000000,3
20.223937500,4
26.041625000,5
32.052000000,6
37.704000000,7
43.602000000,8
48.900000000,9
54.202666667,10
60.276000000,11
65.340000000,12
70.776000000,13
77.052000000,14
82.341333333,15
88.092000000,16
93.792000000,17
98.460000000,18
100.344000000,19
102.020000000,20
103.956000000,21
106.000000000,22
107.799791667,23
109.704000000,24
111.583125000,25
113.792000000,26
115.572000000,27
117.912000000,28
119.652000000,29
121.500000000,30
123.360000000,31
125.216000000,32
127.936000000,33
129.764000000,34
131.488000000,35
133.224000000,36
135.708000000,37
137.700000000,38
140.232000000,39
142.003333333,40
143.863333333,41
145.824000000,42
147.540000000,43
149.736000000,44
152.593000000,45
155.990333333,46
157.860000000,47
159.648000000,48
165.277000000,49
166.584000000,50
167.760000000,51
168.856541667,52
170.097666667,53
171.312000000,54
172.464000000,55
173.565000000,56
174.852000000,57
175.944000000,58
177.065000000,59
178.182666667,60
179.328000000,61
180.488458333,62
181.643000000,63
182.760666667,64
184.333333333,65
185.532000000,66
186.827666667,67
188.211333333,68
189.504000000,69
190.787333333,70
192.038000000,71
193.311812500,72
195.118000000,73
196.480666667,74
197.784000000,75
199.054333333,76
200.316000000,77
201.527666667,78
202.692000000,79
203.833000000,80
205.492000000,81
206.766000000,82
208.093666667,83
209.429770833,84
210.684000000,85
211.969333333,86
213.180000000,87
214.452000000,88
216.229437500,89
217.644000000,90
218.932000000,91
220.259666667,92
221.580000000,93
222.792000000,94
223.953333333,95
225.120000000,96
