onset(s),measure
1.045333333,1
2.977333333,2
4.928000000,3
6.813333333,4
9.036000000,5
11.008000000,6
12.872000000,7
14.752000000,8
16.816000000,9
18.800000000,10
20.768000000,11
22.696000000,12
24.920000000,13
26.832000000,14
28.760000000,15
30.680000000,16
32.816000000,17
34.768000000,18
36.792000000,19
38.768000000,20
40.968000000,21
43.000000000,22
45.216000000,23
47.264000000,24
49.344000000,25
51.384000000,26
55.000000000,27
64.055687500,28
71.926333333,29
73.946666667,30
76.013333333,31
78.206666667,32
80.430458333,33
82.740000000,34
84.926666667,35
87.060000000,36
89.506666667,37
91.531437500,38
93.780000000,39
95.860000000,40
98.073333333,41
100.320000000,42
102.578812500,43
105.153333333,44
107.213333333,45
109.680000000,46
112.226666667,47
114.480000000,48
116.686666667,49
118.953333333,50
121.220000000,51
123.626666667,52
125.786666667,53
128.006666667,54
130.173333333,55
132.426666667,56
134.646666667,57
139.606666667,58
139.752666667,59
140.900666667,60
142.226000000,61
143.486000000,62
144.778666667,63
146.015333333,64
147.289250000,65
148.563333333,66
149.800000000,67
151.064666667,68
152.324666667,69
153.678000000,70
154.947333333,71
155.082666667,72
156.305333333,73
157.728666667,74
159.068000000,75
160.398000000,76
161.681333333,77
163.048666667,78
164.420666667,79
165.690000000,80
166.950000000,81
168.219333333,82
169.614666667,83
170.930666667,84
171.117333333,85
172.354000000,86
173.810000000,87
175.144666667,88
176.642666667,89
178.000270833,90
179.475333333,91
180.758666667,92
182.200666667,93
183.582000000,94
184.902666667,95
186.232666667,96
187.642000000,97
189.047437500,98
190.222666667,99
190.348666667,100
191.656312500,101
193.186000000,102
194.516000000,103
196.107333333,104
197.434104167,105
199.033333333,106
200.326000000,107
201.768000000,108
203.121333333,109
204.386000000,110
205.697333333,111
207.064666667,112
208.651333333,113
