onset(s),measure
0.410666667,1
2.734666667,2
4.778666667,3
6.822666667,4
9.042291667,5
11.564000000,6
14.523250000,7
16.884000000,8
19.000958333,9
21.177333333,10
24.087937500,11
26.497333333,12
28.905333333,13
31.108000000,14
33.442229167,15
35.420000000,16
37.305333333,17
39.545333333,18
41.944000000,19
43.894666667,20
45.770666667,21
47.805333333,22
49.857083333,23
52.425333333,24
54.618666667,25
56.653333333,26
60.050666667,27
64.894666667,28
69.654666667,29
77.034666667,30
81.722666667,31
86.930666667,32
95.381333333,33
100.977333333,34
104.806979167,35
110.133333333,36
117.708000000,37
118.692000000,38
119.772000000,39
120.684000000,40
121.842000000,41
122.796000000,42
123.768000000,43
124.818000000,44
125.826000000,45
126.804000000,46
127.806000000,47
128.838000000,48
130.038000000,49
131.058000000,50
132.066000000,51
133.002000000,52
134.184000000,53
135.168000000,54
136.140000000,55
137.178000000,56
138.168000000,57
139.188000000,58
140.160000000,59
141.156000000,60
142.392000000,61
143.382000000,62
144.488145833,63
145.440000000,64
146.520000000,65
147.498000000,66
148.500000000,67
149.604000000,68
150.606000000,69
151.614000000,70
152.598000000,71
153.654000000,72
154.666666667,73
155.748000000,74
156.912000000,75
157.950000000,76
159.048000000,77
160.116000000,78
161.238000000,79
162.240000000,80
163.242000000,81
164.388000000,82
165.432000000,83
166.470000000,84
167.488000000,85
168.474000000,86
169.530000000,87
170.832000000,88
