onset(s),measure
0.540000000,1
5.061333333,2
8.501333333,3
10.272000000,4
15.706666667,5
19.232000000,6
22.845000000,7
25.974312500,8
28.556000000,9
31.191250000,10
35.868000000,11
38.416000000,12
41.124000000,13
43.520000000,14
46.358875000,15
48.768000000,16
51.397333333,17
53.774291667,18
56.768000000,19
58.912000000,20
60.956020833,21
64.112000000,22
66.485333333,23
69.206958333,24
71.664000000,25
73.840000000,26
79.525333333,27
87.733333333,28
95.124000000,29
101.936000000,30
106.032000000,31
112.970666667,32
120.490666667,33
126.528145833,34
131.962666667,35
139.812000000,36
147.269333333,37
148.312000000,38
149.328000000,39
150.267333333,40
151.584000000,41
152.608187500,42
153.633250000,43
154.739687500,44
155.835000000,45
156.822000000,46
157.861333333,47
158.898000000,48
160.543666667,49
161.545791667,50
162.564520833,51
163.470854167,52
164.848895833,53
165.864458333,54
166.803000000,55
167.931000000,56
169.122895833,57
170.154062500,58
171.182812500,59
172.163208333,60
173.874312500,61
174.947687500,62
175.908000000,63
176.831875000,64
177.909000000,65
178.922666667,66
179.940437500,67
181.061333333,68
182.175000000,69
183.139479167,70
184.176000000,71
185.196000000,72
186.232291667,73
187.374000000,74
188.631000000,75
189.630895833,76
190.629333333,77
191.645291667,78
192.699000000,79
193.697791667,80
194.714312500,81
195.882666667,82
197.032166667,83
198.085708333,84
199.248000000,85
200.306395833,86
201.562666667,87
203.072000000,88
