onset(s),measure
0.684020833,1
1.176000000,2
3.264000000,3
4.896000000,4
6.346666667,5
7.896000000,6
9.779958333,7
12.293333333,8
13.872000000,9
15.312000000,10
17.320000000,11
18.984000000,12
20.472000000,13
22.635958333,14
24.477437500,15
26.073333333,16
27.693333333,17
29.486666667,18
31.293333333,19
33.058145833,20
34.926666667,21
36.533333333,22
38.260000000,23
40.493333333,24
41.120000000,25
43.420000000,26
45.146666667,27
46.733333333,28
48.193333333,29
50.020000000,30
52.253333333,31
53.873333333,32
55.346666667,33
57.353333333,34
58.973333333,35
60.466666667,36
62.673333333,37
64.586666667,38
66.153333333,39
67.660000000,40
69.300000000,41
71.300000000,42
73.046666667,43
74.786666667,44
76.229687500,45
77.980000000,46
80.272458333,47
80.760000000,48
82.633333333,49
84.093333333,50
85.733333333,51
87.346666667,52
89.046666667,53
91.406666667,54
93.069562500,55
94.720000000,56
96.533333333,57
98.273333333,58
99.949750000,59
101.746666667,60
103.360000000,61
105.286666667,62
107.293333333,63
109.546666667,64
111.120000000,65
112.793333333,66
114.481562500,67
116.300000000,68
117.866666667,69
120.633333333,70
123.072833333,71
124.626666667,72
126.113333333,73
127.566666667,74
129.533333333,75
131.414937500,76
133.013333333,77
134.726666667,78
136.580000000,79
138.665729167,80
139.273333333,81
141.380000000,82
142.793333333,83
144.346666667,84
145.964666667,85
147.780000000,86
149.993333333,87
151.655354167,88
153.300000000,89
154.926666667,90
156.625708333,91
158.341979167,92
160.262145833,93
161.953333333,94
163.760000000,95
165.686666667,96
168.480000000,97
170.080000000,98
171.786666667,99
173.500000000,100
175.286666667,101
176.886666667,102
179.373333333,103
181.473333333,104
183.126666667,105
184.626666667,106
186.133333333,107
188.006666667,108
189.886666667,109
191.504625000,110
193.486666667,111
195.600000000,112
202.405333333,113
202.890666667,114
203.866666667,115
204.901333333,116
205.866666667,117
206.874666667,118
207.859208333,119
208.837333333,120
209.875104167,121
210.938666667,122
211.893333333,123
213.040000000,124
213.978666667,125
215.141333333,126
216.112000000,127
217.237333333,128
218.176000000,129
219.248000000,130
220.144000000,131
221.216000000,132
222.170666667,133
223.184000000,134
224.133333333,135
225.216000000,136
226.144000000,137
227.173333333,138
228.138437500,139
229.189333333,140
230.240000000,141
231.664000000,142
232.709333333,143
233.680000000,144
234.672000000,145
235.765333333,146
236.709333333,147
237.664000000,148
239.013333333,149
240.005333333,150
240.949333333,151
241.925333333,152
242.976000000,153
243.930666667,154
245.109333333,155
246.074666667,156
247.370666667,157
248.389333333,158
249.626666667,159
250.528000000,160
251.605333333,161
252.581333333,162
253.712000000,163
254.693333333,164
255.728000000,165
256.682666667,166
257.776000000,167
258.992000000,168
259.952000000,169
261.024000000,170
262.038166667,171
263.312000000,172
264.202666667,173
265.162666667,174
266.149333333,175
267.120000000,176
268.528000000,177
273.140333333,178
274.405333333,179
275.598520833,180
276.688000000,181
277.861333333,182
279.120000000,183
280.262979167,184
281.461333333,185
282.837333333,186
284.048000000,187
285.162666667,188
286.176000000,189
287.418666667,190
288.568708333,191
289.770666667,192
290.821333333,193
292.138666667,194
293.418666667,195
294.624000000,196
295.829333333,197
296.901333333,198
298.016000000,199
299.088000000,200
300.224000000,201
301.488000000,202
302.725333333,203
303.904000000,204
305.072000000,205
306.288000000,206
307.573333333,207
308.741333333,208
310.064000000,209
311.557333333,210
312.921062500,211
314.149333333,212
315.338666667,213
316.634666667,214
317.808666667,215
318.880000000,216
320.032000000,217
321.365333333,218
322.605000000,219
323.856000000,220
325.024000000,221
326.240000000,222
327.530666667,223
328.773333333,224
330.688000000,225
