onset(s),measure
14.950748299,1
17.959183673,2
20.982857143,3
24.013061224,4
27.160816327,5
30.047346939,6
33.155918367,7
36.238367347,8
39.291224490,9
42.437233560,10
45.751746032,11
49.012244898,12
52.408163265,13
55.634285714,14
59.156258503,15
62.158367347,16
64.927346939,17
67.631020408,18
70.445714286,19
73.266938776,20
76.288571429,21
79.340408163,22
82.377142857,23
85.466122449,24
88.676938776,25
91.894240363,26
95.281632653,27
98.723265306,28
100.349387755,29
101.198367347,30
102.042993197,31
102.839727891,32
103.675646259,33
104.471655329,34
105.331519274,35
106.195396825,36
107.130272109,37
107.978707483,38
108.872176871,39
109.779591837,40
110.730158730,41
111.582766440,42
112.718911565,43
113.585011338,44
114.387301587,45
115.154671202,46
116.165079365,47
116.956009070,48
117.746938776,49
118.487074830,50
119.655328798,51
120.372108844,52
121.284353741,53
122.122448980,54
122.996825397,55
123.842176871,56
124.745578231,57
125.598185941,58
126.487074830,59
127.346938776,60
128.417233560,61
129.277097506,62
130.159183673,63
131.010272109,64
131.901995465,65
132.837528345,66
133.716689342,67
134.524081633,68
135.557369615,69
136.428117914,70
137.234263039,71
138.089795918,72
139.087528345,73
139.943764172,74
140.793333333,75
141.664126984,76
142.556009070,77
143.408616780,78
144.275736961,79
145.189977324,80
146.309002268,81
147.145578231,82
147.938027211,83
148.744489796,84
149.730612245,85
150.563265306,86
151.360000000,87
152.167868481,88
153.103469388,89
153.988571429,90
154.859523810,91
155.709387755,92
156.626938776,93
157.502040816,94
158.408049887,95
159.333877551,96
160.261224490,97
161.075782313,98
162.115918367,99
165.632653061,100
168.600816327,101
171.343673469,102
174.337959184,103
177.377959184,104
180.470204082,105
183.578775510,106
187.008117914,107
190.302040816,108
192.199591837,109
193.077551020,110
193.879365079,111
194.724716553,112
195.559183673,113
196.353741497,114
197.235374150,115
198.102494331,116
198.972993197,117
199.856507937,118
200.783673469,119
201.702131519,120
202.677142857,121
203.522902494,122
204.700748299,123
205.551020408,124
206.345963719,125
207.131428571,126
208.097959184,127
208.927346939,128
209.711020408,129
210.481065760,130
211.454693878,131
212.340294785,132
213.286530612,133
214.174693878,134
215.000816327,135
215.885714286,136
216.764081633,137
217.603265306,138
218.403265306,139
219.304489796,140
220.453877551,141
221.346666667,142
222.205011338,143
223.040000000,144
223.996734694,145
224.881632653,146
225.711609977,147
226.517029478,148
227.608163265,149
228.447346939,150
229.274512472,151
230.142040816,152
231.170612245,153
232.016326531,154
232.850770975,155
233.743673469,156
234.684081633,157
235.539591837,158
236.394353741,159
237.316802721,160
238.419591837,161
239.313469388,162
240.109365079,163
240.934693878,164
241.896575964,165
242.729795918,166
243.539024943,167
244.385306122,168
245.366077098,169
246.302040816,170
247.193469388,171
248.042448980,172
248.966530612,173
249.861224490,174
250.744036281,175
251.732244898,176
252.669387755,177
253.512018141,178
254.582857143,179
258.158730159,180
261.315192744,181
264.478911565,182
267.374149660,183
270.465532880,184
273.567346939,185
276.611337868,186
279.847619048,187
283.220340136,188
287.645895692,189
287.944852608,190
288.941247166,191
289.953378685,192
290.936689342,193
291.915464853,194
292.852244898,195
293.868843537,196
294.832471655,197
295.677097506,198
295.944126984,199
296.962902494,200
297.996190476,201
299.023673469,202
300.018117914,203
300.992834467,204
302.016077098,205
303.043628118,206
304.158185941,207
305.139229025,208
306.152199546,209
307.115827664,210
308.120090703,211
309.075011338,212
310.024126984,213
310.947120181,214
312.067482993,215
313.042857143,216
313.988934240,217
314.969387755,218
315.942312925,219
316.891428571,220
317.863764172,221
318.801269841,222
319.622789116,223
319.912925170,224
320.894467120,225
321.889523810,226
322.844444444,227
323.848707483,228
324.774603175,229
325.752743764,230
326.934058957,231
