onset(s),measure
0.513333333,1
1.577333333,2
4.249437500,3
6.832000000,4
9.641333333,5
12.936000000,6
15.305062500,7
17.770666667,8
20.244000000,9
23.081333333,10
25.433333333,11
28.112000000,12
30.846666667,13
33.198666667,14
36.234145833,15
39.078666667,16
40.068000000,17
42.756000000,18
45.159062500,19
47.768000000,20
50.465333333,21
53.141041667,22
55.526666667,23
57.950083333,24
60.534000000,25
62.940000000,26
65.620562500,27
68.280000000,28
70.776000000,29
75.029333333,30
78.343229167,31
79.278000000,32
81.642000000,33
83.928000000,34
86.538000000,35
89.232000000,36
91.704000000,37
94.062229167,38
96.402000000,39
98.910000000,40
101.226270833,41
103.650000000,42
106.006875000,43
108.594000000,44
111.342000000,45
113.454000000,46
116.484000000,47
118.421333333,48
119.556000000,49
122.016000000,50
124.284000000,51
126.936000000,52
129.941583333,53
132.666000000,54
135.366000000,55
137.756687500,56
140.142000000,57
142.416000000,58
144.948000000,59
147.318000000,60
150.126000000,61
153.186000000,62
156.012000000,63
160.941770833,64
167.619833333,65
169.254000000,66
171.162000000,67
173.028000000,68
174.852000000,69
176.580000000,70
178.428000000,71
180.270000000,72
182.016000000,73
183.804000000,74
185.826000000,75
187.626000000,76
189.426000000,77
191.166000000,78
192.894000000,79
194.772000000,80
196.674000000,81
198.534000000,82
200.514000000,83
202.602000000,84
204.558000000,85
206.353562500,86
208.446687500,87
210.412125000,88
212.172000000,89
214.308000000,90
216.216000000,91
218.052000000,92
219.798000000,93
221.544000000,94
223.356000000,95
225.358437500,96
231.138333333,97
232.098000000,98
233.035229167,99
233.856000000,100
234.756000000,101
235.608000000,102
237.042000000,103
237.962541667,104
238.832000000,105
239.706666667,106
240.522666667,107
241.514000000,108
242.876666667,109
243.814666667,110
244.636000000,111
245.555333333,112
246.358000000,113
247.249333333,114
248.784666667,115
249.713333333,116
250.614000000,117
251.468000000,118
252.317333333,119
253.194666667,120
254.468666667,121
255.346000000,122
256.200000000,123
257.114666667,124
257.964000000,125
258.850666667,126
260.208666667,127
261.131875000,128
262.112666667,129
262.994666667,130
263.904666667,131
264.856666667,132
266.338958333,133
267.283333333,134
268.123333333,135
268.977333333,136
269.866854167,137
270.822895833,138
