onset(s),measure
1.636020833,1
5.124000000,2
8.508000000,3
11.784000000,4
15.084000000,5
18.712166667,6
21.876000000,7
24.908250000,8
27.900000000,9
31.224000000,10
34.188000000,11
37.236000000,12
40.533333333,13
43.980000000,14
47.748000000,15
51.240000000,16
54.576000000,17
57.888000000,18
61.661000000,19
65.004000000,20
68.167833333,21
71.314270833,22
75.228000000,23
78.048000000,24
80.988000000,25
84.300000000,26
87.636000000,27
91.140000000,28
94.431979167,29
97.584000000,30
101.220000000,31
104.616000000,32
108.192000000,33
111.372000000,34
115.632000000,35
118.980000000,36
122.544000000,37
125.928000000,38
129.480000000,39
132.710229167,40
135.996000000,41
139.548000000,42
142.992000000,43
146.616000000,44
149.989166667,45
153.408000000,46
157.152000000,47
160.620000000,48
164.364000000,49
167.460000000,50
171.492000000,51
174.792000000,52
178.188000000,53
181.512000000,54
184.872000000,55
187.852979167,56
191.124000000,57
194.736000000,58
199.818000000,59
200.802000000,60
201.696000000,61
202.614000000,62
203.552000000,63
204.453333333,64
205.477333333,65
206.426666667,66
207.338666667,67
208.352000000,68
209.516895833,69
210.720000000,70
211.818666667,71
212.821333333,72
213.962666667,73
215.120000000,74
216.256000000,75
217.280000000,76
218.341333333,77
219.312000000,78
220.314666667,79
221.354666667,80
222.437333333,81
223.642666667,82
224.757333333,83
225.909333333,84
226.965333333,85
228.032000000,86
229.157333333,87
230.456958333,88
231.520000000,89
232.613333333,90
233.856000000,91
234.890666667,92
236.224000000,93
237.290666667,94
238.314666667,95
239.444375000,96
240.627645833,97
241.813375000,98
243.024000000,99
244.224000000,100
245.392000000,101
246.490666667,102
247.642666667,103
248.800000000,104
249.946666667,105
251.056000000,106
252.165333333,107
253.694104167,108
257.802479167,109
262.709333333,110
267.589333333,111
273.482666667,112
280.960000000,113
281.199000000,114
282.136666667,115
283.370000000,116
284.456666667,117
285.493333333,118
286.608979167,119
287.616000000,120
288.664000000,121
289.748000000,122
290.776000000,123
291.876000000,124
292.888000000,125
293.960000000,126
294.976000000,127
296.000000000,128
297.048000000,129
298.008000000,130
298.192000000,131
299.132000000,132
300.336000000,133
301.388000000,134
302.488000000,135
303.520000000,136
304.540000000,137
305.616000000,138
306.688000000,139
307.732000000,140
308.836000000,141
309.860000000,142
310.916000000,143
311.976000000,144
313.028000000,145
314.104000000,146
315.012000000,147
315.216000000,148
316.244000000,149
317.348000000,150
318.428000000,151
319.504000000,152
320.597750000,153
321.604000000,154
322.580000000,155
323.652000000,156
324.620000000,157
325.800000000,158
326.808000000,159
328.027229167,160
329.108000000,161
330.136000000,162
331.176000000,163
332.416000000,164
333.508000000,165
334.540000000,166
335.512000000,167
336.648000000,168
337.680000000,169
338.736000000,170
339.788000000,171
340.840000000,172
341.068000000,173
342.164000000,174
343.192000000,175
344.332000000,176
345.396000000,177
346.440000000,178
347.512000000,179
348.552000000,180
349.736000000,181
350.756000000,182
351.956000000,183
353.040000000,184
354.248770833,185
355.340000000,186
356.368000000,187
357.348000000,188
361.076000000,189
362.396000000,190
363.356000000,191
364.332000000,192
365.420000000,193
366.412000000,194
367.432000000,195
368.628979167,196
