onset(s),bar
1.253250000,1
3.950666667,2
6.536250000,3
8.669250000,4
11.698500000,5
14.690666667,6
17.577583333,7
20.402500000,8
22.920750000,9
25.128000000,10
28.231666667,11
30.864750000,12
33.462916667,13
35.897166667,14
38.794000000,15
41.201666667,16
44.058333333,17
46.380833333,18
48.940000000,19
51.156666667,20
53.418000000,21
55.995000000,22
58.188000000,23
60.416666667,24
62.688000000,25
64.719000000,26
67.686666667,27
72.456000000,28
78.018666667,29
83.154000000,30
87.660000000,31
93.114000000,32
98.882000000,33
104.061750000,34
108.176000000,35
113.200000000,36
120.960000000,37
122.039000000,38
123.076000000,39
124.092333333,40
125.260500000,41
126.270000000,42
127.297333333,43
128.366666667,44
129.380000000,45
130.358333333,46
131.303333333,47
132.451666667,48
134.081666667,49
135.248312500,50
136.388000000,51
137.462666667,52
138.657000000,53
139.668666667,54
140.690666667,55
141.820000000,56
142.900000000,57
144.050666667,58
145.065666667,59
146.338500000,60
148.061666667,61
149.234000000,62
150.550000000,63
151.628333333,64
152.768333333,65
153.761666667,66
154.842000000,67
156.012000000,68
157.071666667,69
158.197500000,70
159.289166667,71
160.286666667,72
161.342666667,73
162.569333333,74
163.925250000,75
165.085333333,76
166.311000000,77
167.412000000,78
168.434166667,79
169.511666667,80
170.668333333,81
171.864541667,82
172.958333333,83
174.136500000,84
175.348333333,85
176.333333333,86
177.506666667,87
179.012000000,88
