onset(s),bar
0.412500000,1
3.393000000,2
5.669166667,3
7.655666667,4
11.013333333,5
14.696000000,6
18.876000000,7
21.624000000,8
23.922333333,9
26.049000000,10
29.434145833,11
31.754666667,12
33.951750000,13
36.144583333,14
38.409000000,15
40.792000000,16
43.243395833,17
45.481333333,18
48.288666667,19
50.656666667,20
52.917333333,21
55.228500000,22
57.373333333,23
59.762500000,24
61.919666667,25
64.059333333,26
68.131000000,27
73.718333333,28
79.442000000,29
85.417166667,30
91.617333333,31
97.662062500,32
103.366666667,33
109.372000000,34
114.672000000,35
122.133000000,36
128.793333333,37
129.968333333,38
131.135000000,39
132.268000000,40
133.577000000,41
134.701666667,42
135.830000000,43
137.236666667,44
138.388333333,45
139.623000000,46
140.793333333,47
142.063000000,48
143.348333333,49
144.482250000,50
145.743000000,51
146.862000000,52
148.191166667,53
149.325166667,54
150.354000000,55
151.738604167,56
152.911166667,57
154.055416667,58
155.184000000,59
156.521250000,60
157.894333333,61
159.104625000,62
160.313250000,63
161.457500000,64
162.783041667,65
163.942500000,66
165.175000000,67
166.595000000,68
167.811583333,69
168.962500000,70
170.177250000,71
171.294750000,72
172.511250000,73
173.870000000,74
175.463166667,75
176.685833333,76
177.916666667,77
179.068166667,78
180.451833333,79
181.652333333,80
182.932000000,81
184.365333333,82
185.617333333,83
186.866000000,84
188.103333333,85
189.277333333,86
190.532000000,87
192.213333333,88
