onset(s),bar
0.556666667,1
5.055000000,2
8.498666667,3
10.293000000,4
15.722000000,5
19.243500000,6
22.851666667,7
26.017500000,8
28.566000000,9
31.206000000,10
35.888000000,11
38.430000000,12
41.132500000,13
43.530000000,14
46.374166667,15
48.813333333,16
51.402666667,17
53.793000000,18
56.781666667,19
58.926666667,20
60.977000000,21
64.112500000,22
66.467333333,23
69.213666667,24
71.677333333,25
73.854000000,26
79.536666667,27
87.743333333,28
95.141250000,29
101.232000000,30
106.040000000,31
112.975750000,32
120.495333333,33
126.636000000,34
131.972666667,35
139.819666667,36
147.285000000,37
148.314166667,38
149.334166667,39
150.287500000,40
151.616666667,41
152.599000000,42
153.655500000,43
154.737937500,44
155.865333333,45
156.865333333,46
157.830666667,47
158.851000000,48
160.547500000,49
161.536083333,50
162.564000000,51
163.479000000,52
164.850000000,53
165.848666667,54
166.861000000,55
168.010000000,56
169.138666667,57
170.172916667,58
171.137250000,59
172.202750000,60
173.882000000,61
174.972000000,62
175.917000000,63
176.899500000,64
177.922666667,65
178.949333333,66
179.963333333,67
181.030000000,68
182.199000000,69
183.164625000,70
184.196541667,71
185.197500000,72
186.272000000,73
187.370666667,74
188.702666667,75
189.640000000,76
190.621666667,77
191.667000000,78
192.707666667,79
193.719166667,80
194.763000000,81
195.920250000,82
197.052000000,83
198.104000000,84
199.252000000,85
200.310000000,86
201.560666667,87
203.086333333,88
