onset(s),bar
1.153500000,1
4.362000000,2
6.403500000,3
8.407500000,4
12.216000000,5
15.629000000,6
19.337500000,7
22.151250000,8
24.615000000,9
26.801250000,10
30.006666667,11
32.700833333,12
35.099166667,13
37.335833333,14
39.740833333,15
41.955833333,16
44.104000000,17
46.311000000,18
48.733500000,19
50.926000000,20
53.019000000,21
55.356666667,22
57.473500000,23
59.550166667,24
61.730958333,25
63.860833333,26
68.540000000,27
73.867500000,28
79.053333333,29
85.424000000,30
90.315000000,31
94.941000000,32
101.658000000,33
106.575833333,34
110.637333333,35
115.871333333,36
125.556750000,37
126.592500000,38
127.504500000,39
128.454000000,40
129.528000000,41
130.413000000,42
131.277416667,43
132.214000000,44
133.176000000,45
134.072666667,46
134.979833333,47
135.979083333,48
137.302666667,49
138.201000000,50
139.122500000,51
139.956666667,52
141.002166667,53
141.895500000,54
142.740000000,55
143.687250000,56
144.767500000,57
145.674500000,58
146.568750000,59
147.528000000,60
148.834000000,61
149.694000000,62
150.691000000,63
151.536000000,64
152.569666667,65
153.444083333,66
154.268666667,67
155.334000000,68
156.278000000,69
157.136000000,70
158.036666667,71
158.875500000,72
159.741000000,73
160.811666667,74
161.966666667,75
162.828000000,76
163.785750000,77
164.735250000,78
165.736500000,79
166.614000000,80
167.490750000,81
168.567000000,82
169.487791667,83
170.372416667,84
171.274166667,85
172.171666667,86
173.124166667,87
174.678000000,88
