onset(s),bar
15.967346939,1
19.517460317,2
22.358276644,3
24.840634921,4
28.030839002,5
31.455782313,6
34.931519274,7
38.148571429,8
40.983219955,9
43.849795918,10
47.034263039,11
49.574603175,12
51.946666667,13
54.304761905,14
56.818140590,15
59.092970522,16
61.409523810,17
63.718095238,18
66.382222222,19
68.796190476,20
71.011700680,21
73.332244898,22
75.546122449,23
77.757823129,24
79.904217687,25
82.143990930,26
85.902947846,27
90.154376417,28
94.050612245,29
100.081269841,30
104.279365079,31
108.117913832,32
113.432380952,33
119.108571429,34
124.218412698,35
130.150839002,36
136.537142857,37
137.582766440,38
138.558730159,39
139.520000000,40
140.608253968,41
141.574965986,42
142.542947846,43
143.662585034,44
144.722040816,45
145.733333333,46
146.693514739,47
147.707936508,48
149.006349206,49
150.070612245,50
150.984489796,51
151.973061224,52
153.074648526,53
154.057868481,54
155.018594104,55
156.187755102,56
157.253514739,57
158.212063492,58
159.226938776,59
160.287346939,60
161.517460317,61
162.594285714,62
163.669115646,63
164.678820862,64
165.760000000,65
166.813061224,66
167.793197279,67
168.903401361,68
169.990929705,69
170.978684807,70
171.988027211,71
172.988299320,72
173.979863946,73
175.064671202,74
176.320725624,75
177.371428571,76
178.509682540,77
179.526077098,78
180.599365079,79
181.675102041,80
182.706938776,81
183.867755102,82
184.977777778,83
186.015782313,84
187.084444444,85
188.061678005,86
189.028571429,87
190.314739229,88
