onset(s),bar
0.530000000,1
2.776000000,2
4.274666667,3
5.770333333,4
8.241333333,5
10.725000000,6
13.413000000,7
15.532000000,8
17.322000000,9
18.950000000,10
21.172666667,11
23.715333333,12
26.041333333,13
28.346000000,14
30.389333333,15
32.536000000,16
34.580000000,17
36.798333333,18
39.147979167,19
41.106000000,20
42.766666667,21
44.846000000,22
46.745000000,23
48.725333333,24
50.596500000,25
52.656000000,26
57.351666667,27
61.562666667,28
65.856666667,29
70.921666667,30
74.567500000,31
78.057000000,32
82.407000000,33
86.675000000,34
89.930000000,35
93.515833333,36
100.053333333,37
101.445000000,38
102.687000000,39
103.917916667,40
105.267166667,41
106.537333333,42
107.751666667,43
109.058333333,44
110.328333333,45
111.594000000,46
112.735000000,47
113.906333333,48
115.474333333,49
116.676000000,50
117.788000000,51
118.986000000,52
120.445333333,53
121.753333333,54
122.880000000,55
124.232000000,56
125.489000000,57
126.643500000,58
127.618500000,59
128.853333333,60
130.511333333,61
131.793333333,62
133.204666667,63
134.434000000,64
135.797000000,65
137.013000000,66
138.290000000,67
139.659000000,68
140.955000000,69
142.264166667,70
143.498333333,71
144.658333333,72
145.958333333,73
147.207000000,74
148.682666667,75
149.905500000,76
151.225666667,77
152.408666667,78
153.708333333,79
154.842500000,80
156.070500000,81
157.326000000,82
158.521500000,83
159.601500000,84
160.661333333,85
161.702500000,86
162.889500000,87
164.470500000,88
