onset(s),bar
3.516333333,1
8.120000000,2
10.692000000,3
12.715000000,4
16.589416667,5
19.909750000,6
23.847000000,7
27.667520833,8
30.301500000,9
32.239666667,10
35.906000000,11
38.201000000,12
40.417000000,13
42.539000000,14
44.964000000,15
47.378666667,16
49.645833333,17
51.776666667,18
54.336000000,19
56.466000000,20
58.506000000,21
60.774000000,22
62.758333333,23
64.992666667,24
67.046666667,25
69.187541667,26
74.441000000,27
82.311833333,28
89.800000000,29
99.333333333,30
105.304500000,31
113.602500000,32
121.347000000,33
128.470000000,34
134.337000000,35
142.763333333,36
151.008333333,37
152.030000000,38
153.168250000,39
154.093333333,40
155.256666667,41
156.405000000,42
157.573500000,43
158.685000000,44
159.870000000,45
160.978062500,46
162.023333333,47
162.997500000,48
164.548500000,49
165.664000000,50
166.752250000,51
167.846000000,52
169.117500000,53
170.251666667,54
171.416666667,55
172.519500000,56
173.776500000,57
175.035833333,58
176.243250000,59
177.330666667,60
179.038666667,61
180.114666667,62
181.381666667,63
182.494500000,64
183.736000000,65
184.882000000,66
186.160000000,67
187.450000000,68
188.640000000,69
189.821333333,70
190.991666667,71
192.090000000,72
193.223333333,73
194.434062500,74
195.930000000,75
197.235000000,76
198.520000000,77
199.784666667,78
201.166666667,79
202.426666667,80
203.768000000,81
205.050000000,82
206.356666667,83
207.663333333,84
209.060000000,85
210.453333333,86
213.040000000,87
214.888000000,88
