Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
B4,239.06303129588363,0.25,4/4,1,1,0
D5,766.986518399058,0.25,4/4,1,1,0
F♯5,1132.3703229625505,1.5,4/4,1,1,0
A4,3556.872696828763,0.25,4/4,1,1,0
C♯5,4038.356274634886,0.25,4/4,1,1,0
F♯5,4372.028523873123,1.5,4/4,1,1,0
G4,6572.822951930803,0.25,4/4,1,2,0
B4,7031.086575088401,0.25,4/4,1,2,0
E5,7373.2504250033635,1.0,4/4,1,2,0
E♯5,9043.765235094072,0.25,4/4,1,2,0
F♯5,9502.028858251668,0.25,4/4,1,2,0
F♯4,11655.349170751671,1.0,4/4,1,2,0
0,13697.383255218789,1.0,4/4,1,2,0
0,13784.297158280013,0.25,4/4,2,3,0
D5,13806.02563404532,0.125,4/4,2,3,0
C♯5,13930.667649705752,0.125,4/4,2,3,0
D5,13961.570136309874,0.25,4/4,2,3,0
B4,14156.544917279443,0.25,4/4,2,3,0
G5,14344.898136171167,0.25,4/4,2,3,0
B4,14524.522303546451,0.25,4/4,2,3,0
C♯5,14750.58638021878,0.25,4/4,2,3,0
G5,14930.210547594072,0.25,4/4,2,3,0
D5,15156.274624266405,0.25,4/4,2,3,0
F♯5,15405.558655587265,0.125,4/4,2,3,0
E5,15460.540807302123,0.125,4/4,2,3,0
F♯5,15540.961548515272,0.25,4/4,2,3,0
D5,15671.927171743731,0.25,4/4,2,3,0
A5,15874.771293767542,0.25,4/4,2,3,0
C♯5,16053.123804042481,0.25,4/4,2,3,0
D♯5,16234.019628518112,0.25,4/4,2,3,0
A5,16436.863750541914,0.25,4/4,2,3,0
E5,16593.267963268678,0.25,4/4,2,4,0
G5,16842.551994589532,0.125,4/4,2,4,0
F♯5,16897.534146304388,0.125,4/4,2,4,0
G5,16957.321176452093,0.25,4/4,2,4,0
E5,17003.750183727057,0.25,4/4,2,4,0
A♯5,17288.544678121285,0.25,4/4,2,4,0
F♯5,17468.16884549656,0.25,4/4,2,4,0
C♯6,17647.79301287185,0.25,4/4,2,4,0
E5,17827.41718024713,0.25,4/4,2,4,0
D5,18053.481256919473,0.25,4/4,2,4,0
F♯5,18256.325378943275,0.25,4/4,2,4,0
B5,18412.729591670035,0.25,4/4,2,4,0
D5,18476.253985802683,0.25,4/4,2,4,0
E5,18748.757971772062,0.25,4/4,2,4,0
C♯6,18928.38213914737,0.25,4/4,2,4,0
F♯5,19108.006306522635,0.25,4/4,2,4,0
A♯5,19287.63047389793,0.25,4/4,2,4,0
B4,19444.034686624684,0.25,4/4,2,5,0
C♯5,19650.897278536446,0.25,4/4,2,5,0
D5,19826.502976023767,0.25,4/4,2,5,0
A4,20006.127143399055,0.25,4/4,2,5,0
G♯4,20185.751310774325,0.25,4/4,2,5,0
D5,20458.255296743737,0.25,4/4,2,5,0
F♯4,20661.099418767535,0.25,4/4,2,5,0
D5,20863.943540791355,0.25,4/4,2,5,0
E♯4,21136.447526760738,0.25,4/4,2,5,0
C♯5,21362.51160343307,0.25,4/4,2,5,0
B♯4,21542.135770808352,0.25,4/4,2,5,0
C♯5,21698.539983535113,0.25,4/4,2,5,0
G♯5,21901.384105558907,0.25,4/4,2,5,0
C♯5,22034.568363637158,0.25,4/4,2,5,0
B5,22399.952168200653,0.25,4/4,2,5,0
C♯5,22765.33597276414,0.25,4/4,2,5,0
0,23664.778734243733,0.25,4/4,2,6,0
A4,23960.50267486164,0.125,4/4,2,6,0
G♯4,24016.278552168587,0.125,4/4,2,6,0
A4,24066.60173948749,0.25,4/4,2,6,0
F♯4,24133.991372423992,0.25,4/4,2,6,0
D5,24313.615539799295,0.25,4/4,2,6,0
F♯4,24516.459661823093,0.25,4/4,2,6,0
G♯4,24719.303783846914,0.25,4/4,2,6,0
D5,24922.14790587072,0.25,4/4,2,6,0
A4,25148.211982543045,0.25,4/4,2,6,0
C♯5,25397.496013863907,0.125,4/4,2,6,0
B4,25475.698120227287,0.125,4/4,2,6,0
C♯5,25553.90022659067,0.25,4/4,2,6,0
A4,25733.52439396594,0.25,4/4,2,6,0
E5,25913.14856134124,0.25,4/4,2,6,0
G♯4,26115.99268336504,0.25,4/4,2,6,0
A♯4,26295.616850740338,0.25,4/4,2,6,0
E5,26498.46097276414,0.25,4/4,2,6,0
B4,26747.745004085,0.25,4/4,2,7,0
D5,26950.58912610881,0.125,4/4,2,7,0
C♯5,27052.01118712071,0.125,4/4,2,7,0
D5,27104.0988819133,0.25,4/4,2,7,0
B4,27263.397551562313,0.25,4/4,2,7,0
E♯5,27466.241673586133,0.25,4/4,2,7,0
C♯5,27692.305750258463,0.25,4/4,2,7,0
G♯5,27825.49000833671,0.25,4/4,2,7,0
B4,28051.554085009033,0.25,4/4,2,7,0
A4,28277.618161681374,0.25,4/4,2,7,0
C♯5,28596.562056947812,0.25,4/4,2,7,0
F♯5,28729.746315026037,0.25,4/4,2,7,0
A4,28909.37048240132,0.25,4/4,2,7,0
B4,29147.758092405642,0.25,4/4,2,7,0
G♯5,29361.49863574599,0.25,4/4,2,7,0
C♯5,29587.562712418345,0.25,4/4,2,7,0
E♯5,29790.40683444214,0.25,4/4,2,7,0
F♯4,30062.910820411533,0.25,4/4,2,8,0
A4,30335.414806380915,0.25,4/4,2,8,0
C♯5,30700.798610944403,0.25,4/4,2,8,0
F♯5,30880.422778319687,0.25,4/4,2,8,0
0,31152.926764289077,0.25,4/4,2,8,0
A5,31796.950024634898,0.25,4/4,2,8,0
C♯5,32069.454010604284,0.25,4/4,2,8,0
E5,32242.619357472202,0.25,4/4,2,8,0
D♯5,32498.36220930045,0.25,4/4,2,8,0
F♯5,32724.426285972782,0.25,4/4,2,8,0
B4,33089.810090536266,0.25,4/4,2,8,0
B5,33153.61103738038,0.25,4/4,2,8,0
C♯5,33309.738697395675,0.25,4/4,2,8,0
A5,33559.022728716525,0.25,4/4,2,8,0
D♯5,33738.646896091814,0.25,4/4,2,8,0
F♯5,33964.71097276417,0.25,4/4,2,8,0
E4,34237.21495873354,0.25,4/4,2,9,0
G4,34532.93889935149,0.25,4/4,2,9,0
B4,34782.22293067233,0.25,4/4,2,9,0
E5,35031.50696199321,0.25,4/4,2,9,0
0,35559.430449096384,0.25,4/4,2,9,0
G5,35948.034208308396,0.25,4/4,2,9,0
B4,36220.53819427778,0.25,4/4,2,9,0
D5,36446.60227095011,0.25,4/4,2,9,0
C♯5,36695.88630227097,0.25,4/4,2,9,0
E5,36875.51046964625,0.25,4/4,2,9,0
A4,37287.33418350679,0.25,4/4,2,9,0
A5,37356.3264244516,0.25,4/4,2,9,0
B4,37484.042835717664,0.25,4/4,2,9,0
G5,37663.66700309295,0.25,4/4,2,9,0
C♯5,37889.73107976528,0.25,4/4,2,9,0
E5,38069.35524714057,0.25,4/4,2,9,0
D4,38341.85923310994,0.25,4/4,2,10,0
F♯4,38707.24303767347,0.25,4/4,2,10,0
A4,38933.30711434579,0.25,4/4,2,10,0
D5,39229.031054963736,0.25,4/4,2,10,0
0,39989.15408855215,0.25,4/4,2,10,0
F♯5,40191.99821057598,0.25,4/4,2,10,0
D5,40413.82343024715,0.25,4/4,2,10,0
A5,40620.90640927211,0.25,4/4,2,10,0
G4,40986.29021383559,0.25,4/4,2,10,0
B5,41374.89397304761,0.25,4/4,2,10,0
A5,41577.738095071414,0.25,4/4,2,10,0
G5,41803.802171743744,0.25,4/4,2,10,0
G4,41931.309923319975,0.25,4/4,2,10,0
B5,42325.59018903399,0.25,4/4,2,10,0
E4,42574.87422035485,0.25,4/4,2,10,0
G5,42801.236268248795,0.25,4/4,2,10,0
F♯4,43050.22232834808,0.25,4/4,2,11,0
A5,43299.50635966892,0.25,4/4,2,11,0
G5,43502.35048169277,0.25,4/4,2,11,0
F♯5,43705.19460371656,0.25,4/4,2,11,0
F♯4,43974.31583371728,0.25,4/4,2,11,0
A5,44157.32275706123,0.25,4/4,2,11,0
D4,44406.606788382094,0.25,4/4,2,11,0
F♯5,44658.800786525986,0.25,4/4,2,11,0
G4,44951.61476032087,0.25,4/4,2,11,0
B5,45200.89879164171,0.25,4/4,2,11,0
A5,45450.182822962575,0.25,4/4,2,11,0
G5,45629.80699033786,0.25,4/4,2,11,0
G4,45854.74114980735,0.25,4/4,2,11,0
B5,46105.155098331044,0.25,4/4,2,11,0
E4,46307.99922035485,0.25,4/4,2,11,0
G5,46534.06329702718,0.25,4/4,2,11,0
F♯4,46783.34732834807,0.25,4/4,2,12,0
A5,47055.851314317435,0.25,4/4,2,12,0
G5,47258.69543634129,0.25,4/4,2,12,0
F♯5,47507.979467662124,0.25,4/4,2,12,0
F♯4,47897.16687801134,0.25,4/4,2,12,0
A5,48006.54753030386,0.25,4/4,2,12,0
D4,48209.39165232767,0.25,4/4,2,12,0
F♯5,48420.372066368254,0.25,4/4,2,12,0
G4,48731.17966961791,0.25,4/4,2,12,0
B5,48980.46370093877,0.25,4/4,2,12,0
F♯4,49136.86791366552,0.25,4/4,2,12,0
A5,49386.15194498638,0.25,4/4,2,12,0
E4,49612.2160216587,0.25,4/4,2,12,0
G5,49815.06014368252,0.25,4/4,2,12,0
D4,50017.90426570632,0.25,4/4,2,12,0
F♯5,50237.7968659756,0.25,4/4,2,12,0
C♯5,50516.472328348056,0.25,4/4,2,13,0
E5,50765.7563596689,0.25,4/4,2,13,0
A4,51061.48030028685,0.5,4/4,2,13,0
0,51160.32338755587,0.25,4/4,2,13,0
G4,51716.45257565534,0.25,4/4,2,13,0
F♯4,52105.05633486735,0.25,4/4,2,13,0
E4,52168.580729,0.25,4/4,2,13,0
F♯4,52278.545032429705,0.25,4/4,2,13,0
A5,52504.609109102035,0.25,4/4,2,13,0
B4,52661.01332182879,0.25,4/4,2,13,0
D5,52863.8574438526,0.25,4/4,2,13,0
G4,53089.92152052493,0.25,4/4,2,13,0
E5,53292.76564254873,0.25,4/4,2,13,0
A4,53588.48958316664,0.25,4/4,2,13,0
C♯5,53768.11375054195,0.25,4/4,2,13,0
F♯4,54063.83769115983,0.25,4/4,2,14,0
A5,54313.12172248074,0.25,4/4,2,14,0
B4,54515.96584450453,0.25,4/4,2,14,0
D5,54672.37005723131,0.25,4/4,2,14,0
G4,54898.43413390364,0.25,4/4,2,14,0
E5,55124.49821057597,0.25,4/4,2,14,0
A4,55350.5622872483,0.25,4/4,2,14,0
C♯5,55506.96649997506,0.25,4/4,2,14,0
D4,55756.25053129591,0.25,4/4,2,14,0
F♯5,56059.73697506321,0.25,4/4,2,14,0
E4,56254.818593937634,0.25,4/4,2,14,0
G5,56457.66271596144,0.25,4/4,2,14,0
F♯4,56637.28688333672,0.25,4/4,2,14,0
A5,56840.13100536053,0.25,4/4,2,14,0
G4,57042.97512738433,0.25,4/4,2,14,0
B5,57222.59929475961,0.25,4/4,2,14,0
A4,57379.00350748636,0.25,4/4,2,15,0
C♯5,57668.36916260258,0.25,4/4,2,15,0
F♯4,57831.131660831044,0.25,4/4,2,15,0
D5,58033.97578285489,0.25,4/4,2,15,0
G4,58306.479768824276,0.25,4/4,2,15,0
E5,58433.966703702376,0.25,4/4,2,15,0
A4,58688.94805822337,0.25,4/4,2,15,0
C♯5,58891.79218024717,0.25,4/4,2,15,0
D4,59164.296166216554,0.25,4/4,2,15,0
C♯5,59552.89992542856,0.25,4/4,2,15,0
D5,59709.30413815533,0.25,4/4,2,15,0
B4,59912.14826017912,0.25,4/4,2,15,0
D4,60045.33251825735,0.25,4/4,2,15,0
F♯5,60317.83650422674,0.25,4/4,2,15,0
D5,60497.46067160208,0.25,4/4,2,15,0
C♯5,60653.86488432877,0.25,4/4,2,15,0
E4,60856.70900635264,0.25,4/4,2,16,0
C♯5,61082.77308302491,0.25,4/4,2,16,0
D5,61262.397250400245,0.25,4/4,2,16,0
B4,61488.461327072524,0.25,4/4,2,16,0
