Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
G4,285.5029405929357,2.0,3/2,1,1,0
E♭5,2210.11532721425,0.5,3/2,1,1,0
D5,2569.3636619648178,1.5,3/2,1,1,0
C5,3902.5281673503096,0.5,3/2,1,1,0
B♭4,4238.55654745235,1.5,3/2,1,1,0
A4,5827.140553971623,0.0,3/2,1,2,0
G4,6698.983754793621,4.0,3/2,1,2,0
0,10571.924855711177,2.0,3/2,1,2,0
F♯4,11033.183726448948,2.0,3/2,1,3,0
D5,13143.555750258469,0.5,3/2,1,3,0
C5,13433.144221063456,1.5,3/2,1,3,0
B♭4,14812.748635746004,0.5,3/2,1,3,0
A4,15148.777015848047,1.5,3/2,1,3,0
D4,17201.76011533784,4.0,3/2,1,4,0
0,20417.17424592655,2.0,3/2,1,4,0
G5,21744.939678829916,0.5,3/4,2,5,0
D5,22080.968058931947,0.5,3/4,2,5,0
D5,22629.200624260204,0.5,3/4,2,5,0
D5,22636.18059285826,0.5,3/4,2,5,0
D5,22643.160561456312,0.25,3/4,2,5,0
E♭5,22850.718182939883,0.25,3/4,2,5,0
C5,22914.24257707254,0.25,3/4,2,5,0
D5,23047.426835150767,0.25,3/4,2,5,0
E♭5,23273.490911823104,0.5,3/4,2,6,0
C5,23516.63947333104,0.5,3/4,2,6,0
C5,23664.122237294065,0.5,3/4,2,6,0
C5,24093.41776100103,0.5,3/4,2,6,0
C5,24103.94744468074,0.25,3/4,2,6,0
D5,24123.849914799284,0.25,3/4,2,6,0
E♭5,24233.814218228996,0.25,3/4,2,6,0
C5,24274.118657713145,0.25,3/4,2,6,0
D5,24430.522870439894,0.5,3/4,2,7,0
D4,24683.704084994024,0.5,3/4,2,7,0
C5,24823.940174861647,0.5,3/4,2,7,0
D4,25067.088736369577,0.5,3/4,2,7,0
A5,25263.797388580453,0.5,3/4,2,7,0
B♭4,25483.725995439872,0.25,3/4,2,7,0
A4,25572.016183853204,0.25,3/4,2,7,0
B♭4,25703.6546022993,0.5,3/4,2,8,0
G4,25923.58320915872,0.5,3/4,2,8,0
D5,26120.2918613696,0.5,3/4,2,8,0
G4,26363.440422877527,0.5,3/4,2,8,0
G5,26972.274273224924,0.5,3/4,2,8,0
G4,26980.46180293025,0.5,3/4,2,8,0
B♭5,27092.886107401315,0.5,3/4,2,9,0
G4,27290.30617751856,0.25,3/4,2,9,0
A4,27422.77901769046,0.25,3/4,2,9,0
B♭4,27486.303411823093,0.5,3/4,2,9,0
A4,27706.23201868253,0.5,3/4,2,9,0
G4,27902.940670893408,0.5,3/4,2,9,0
F4,28099.649323104288,0.5,3/4,2,9,0
E4,28342.797884612213,0.5,3/4,2,10,0
G5,28632.3863554172,0.5,3/4,2,10,0
0,28852.314962276614,0.5,3/4,2,10,0
C5,29118.6834784331,0.5,3/4,2,10,0
G5,29292.172175995463,0.5,3/4,2,10,0
B♭4,29465.660873557816,0.5,3/4,2,10,0
