Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
A4,308.72289524146186,1.25,4/4,1,1,0
B4,1299.7235507119833,0.25,4/4,1,1,0
A4,1432.9078087902137,0.25,4/4,1,1,0
E4,1589.3120215169706,0.25,4/4,1,1,0
A4,1699.276324946676,0.25,4/4,1,1,0
C♯5,1855.6805376734333,0.25,4/4,1,1,0
A4,1965.6448411031379,0.25,4/4,1,1,0
E4,2098.829099181369,0.25,4/4,1,1,0
A4,2259.1535021106465,0.25,4/4,1,1,0
B4,2365.1976153378328,0.25,4/4,1,1,0
A4,2451.9419641190125,0.25,4/4,1,1,0
E4,2561.906267548715,0.25,4/4,1,1,0
A4,2764.750389572525,0.25,4/4,1,2,0
C♯5,2851.4947383537037,0.25,4/4,1,2,0
A4,2961.459041783409,0.25,4/4,1,2,0
E4,3071.423345213114,0.25,4/4,1,2,0
A4,3251.0475125883995,0.25,4/4,1,2,0
E5,3309.3344758111907,0.25,4/4,1,2,0
A4,3470.976119447807,0.25,4/4,1,2,0
E4,3536.2768542678377,0.25,4/4,1,2,0
A4,3830.2244541983755,0.25,4/4,1,2,0
E5,3893.748848331031,0.25,4/4,1,2,0
F♯5,4050.15306105779,0.25,4/4,1,2,0
D5,4183.337319136022,0.25,4/4,1,2,0
E5,4270.081667917201,0.25,4/4,1,2,0
C♯5,4426.485880643959,0.25,4/4,1,2,0
D5,4513.230229425144,0.25,4/4,1,2,0
B4,4646.414487503369,0.25,4/4,1,2,0
C♯5,4743.616728700772,0.25,4/4,1,3,0
E5,4912.78300365983,0.25,4/4,1,3,0
F♯5,5045.967261738069,0.25,4/4,1,3,0
D5,5155.931565167767,0.25,4/4,1,3,0
E5,5289.115823246005,0.25,4/4,1,3,0
C♯5,5445.520035972755,0.25,4/4,1,3,0
D5,5555.484339402467,0.25,4/4,1,3,0
B4,5781.548416074799,0.25,4/4,1,3,0
C♯5,5834.928414133802,0.25,4/4,1,3,0
A4,5955.037113637153,0.25,4/4,1,3,0
B4,6111.441326363917,0.25,4/4,1,3,0
C♯5,6244.625584442147,0.25,4/4,1,3,0
D5,6331.369933223328,0.25,4/4,1,3,0
E5,6441.334236653038,0.25,4/4,1,3,0
F♯5,6574.518494731264,0.25,4/4,1,3,0
G♯5,6684.482798160976,0.25,4/4,1,3,0
A5,6840.887010887726,0.25,4/4,1,4,0
E5,6950.851314317438,0.25,4/4,1,4,0
C♯5,7084.035572395663,0.25,4/4,1,4,0
A4,7240.439785122427,0.25,4/4,1,4,0
A5,7425.151102409161,0.25,4/4,1,4,0
E5,7437.248407535566,0.25,4/4,1,4,0
C♯5,7639.992559357112,0.25,4/4,1,4,0
A4,7680.296998841247,0.25,4/4,1,4,0
A5,8068.482479799394,0.5,4/4,1,4,0
A4,8078.935491025124,0.5,4/4,1,4,0
0,8903.497200797008,1.0,4/4,1,4,0
D5,9204.034686624684,0.25,4/4,1,5,0
C♯5,9360.438899351431,0.25,4/4,1,5,0
D5,9447.183248132613,1.5,4/4,1,5,0
F♯5,10339.168615196111,0.25,4/4,1,5,0
D5,10542.01273721991,0.75,4/4,1,5,0
A5,11057.665284697234,0.25,4/4,1,5,0
D5,11167.629588126933,0.75,4/4,1,5,0
C♯5,11660.062180955747,0.25,4/4,1,6,0
B4,11839.686348331026,0.25,4/4,1,6,0
C♯5,11996.090561057785,1.5,4/4,1,6,0
E5,13422.134885037374,0.25,4/4,1,6,0
C♯5,13462.439324521507,0.75,4/4,1,6,0
A5,13653.012506919455,0.25,4/4,1,6,0
C♯5,13809.416719646219,0.75,4/4,1,6,0
D4,14510.82890431175,0.25,4/4,1,7,0
C♯5,14783.332890281143,0.25,4/4,1,7,0
B4,14939.737103007898,0.25,4/4,1,7,0
A4,15063.157729070826,0.25,4/4,1,7,0
F♯5,15182.885664515827,0.25,4/4,1,7,0
C♯5,15385.729786539641,0.25,4/4,1,7,0
B4,15542.133999266387,0.25,4/4,1,7,0
A4,15628.878348047585,0.25,4/4,1,7,0
D4,15808.502515422857,0.25,4/4,1,7,0
C♯5,15988.12668279815,0.25,4/4,1,7,0
B4,16144.530895524904,0.25,4/4,1,7,0
A4,16208.055289657555,0.25,4/4,1,7,0
F♯5,16359.085529878646,0.25,4/4,1,7,0
C♯5,16474.423805814018,0.25,4/4,1,7,0
B4,16607.608063892236,0.25,4/4,1,7,0
A4,16717.572367321958,0.25,4/4,1,7,0
D♯4,16887.6119633208,0.25,4/4,1,8,0
C♯5,17100.040656721052,0.25,4/4,1,8,0
B4,17186.785005502228,0.25,4/4,1,8,0
A4,17412.84908217456,0.25,4/4,1,8,0
A5,17549.453336210463,0.25,4/4,1,8,0
C♯5,17655.99764368249,0.25,4/4,1,8,0
B4,17719.52203781514,0.25,4/4,1,8,0
A4,17783.046431947787,0.25,4/4,1,8,0
D♯4,17916.230690026016,0.25,4/4,1,8,0
C♯5,18072.634902752772,0.25,4/4,1,8,0
B4,18205.819160831,0.25,4/4,1,8,0
A4,18315.783464260727,0.25,4/4,1,8,0
A5,18454.95152263875,0.25,4/4,1,8,0
C♯5,18535.71207112016,0.25,4/4,1,8,0
B4,18668.896329198382,0.25,4/4,1,8,0
A4,18778.86063262809,0.25,4/4,1,8,0
E4,18981.704754651895,0.25,4/4,1,9,0
G♯4,19207.768831324232,0.25,4/4,1,9,0
B4,19387.392998699506,0.25,4/4,1,9,0
G♯4,19497.35730212921,0.25,4/4,1,9,0
E5,19607.32160555891,0.25,4/4,1,9,0
B4,19740.50586363714,0.25,4/4,1,9,0
G♯5,19873.690121715368,0.25,4/4,1,9,0
E5,19937.214515848016,0.25,4/4,1,9,0
E4,20057.928960152454,0.25,4/4,1,9,0
A4,20389.34266919268,0.25,4/4,1,9,0
C♯5,20429.647108676832,0.25,4/4,1,9,0
A4,20562.831366755046,0.25,4/4,1,9,0
E5,20649.575715536263,0.25,4/4,1,9,0
C♯5,20782.75997361448,0.25,4/4,1,9,0
