Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
G5,610.5823056723009,0.5,4/4,1,1,0
G4,2387.88264149351,0.25,4/4,1,1,0
A4,2403.3323588185594,0.25,4/4,1,1,0
B♭4,2815.156072679103,0.25,4/4,1,1,0
G5,3482.3992876734337,0.25,4/4,1,1,0
C5,3940.662910831031,0.25,4/4,1,1,0
G5,4279.384317894443,0.25,4/4,1,1,0
D5,4810.750247849171,0.25,4/4,1,1,0
G5,5540.433008974456,0.25,4/4,1,1,0
F♯5,6052.3568592437305,0.5,4/4,1,1,0
0,7506.876854237695,0.5,4/4,1,1,0
F♯5,7537.112032146223,0.25,4/4,1,1,0
G5,7972.155700655291,0.25,4/4,1,1,0
A5,8430.419323812888,0.25,4/4,1,2,0
D5,9144.102448104271,0.25,4/4,1,2,0
C5,9532.706207316289,0.25,4/4,1,2,0
E♭6,9990.969830473885,0.25,4/4,1,2,0
B♭4,10495.673362928534,0.25,4/4,1,2,0
D6,10930.717031437604,0.25,4/4,1,2,0
A4,11458.640518540778,0.25,4/4,1,2,0
C6,11777.584413807217,0.25,4/4,1,2,0
G4,12491.267538098604,0.25,4/4,1,2,0
B♭5,13019.191025201775,0.125,4/4,1,2,0
A5,13213.492904807787,0.125,4/4,1,2,0
G5,13477.454648359371,0.5,4/4,1,2,0
0,15285.50874930021,0.25,4/4,1,2,0
A5,15386.304474748258,0.25,4/4,1,2,0
B♭5,16076.767644391131,0.25,4/4,1,2,0
D5,16326.051675711982,0.25,4/4,1,2,0
E♭5,16830.75520816664,0.25,4/4,1,3,0
C6,17451.55851386391,0.25,4/4,1,3,0
A5,18002.70195561562,0.25,4/4,1,3,0
B♭5,18321.645850882054,0.25,4/4,1,3,0
D5,18733.4695647426,0.25,4/4,1,3,0
F6,19261.393051845767,0.25,4/4,1,3,0
A5,20021.516085434214,0.25,4/4,1,3,0
B♭5,20317.24002605212,0.25,4/4,1,3,0
E♭5,20938.043331749406,0.25,4/4,1,3,0
C6,21605.286546743726,0.25,4/4,1,3,0
A5,22017.11026060428,0.25,4/4,1,3,0
B♭5,22754.013339544184,0.25,4/4,1,3,0
D5,22910.417552270945,0.25,4/4,1,3,0
F6,23438.341039374114,0.25,4/4,1,3,0
A5,24012.70443577435,0.25,4/4,1,3,0
B♭5,24958.587106550982,0.25,4/4,1,3,0
C5,25416.85072970858,0.25,4/4,1,4,0
E♭6,26153.753808648486,0.25,4/4,1,4,0
A4,26565.57752250904,0.25,4/4,1,4,0
E♭6,27093.50100961221,0.25,4/4,1,4,0
B♭4,27528.54467812129,0.25,4/4,1,4,0
D6,27893.928482684772,0.25,4/4,1,4,0
E5,28445.071924436477,0.25,4/4,1,4,0
D6,28810.45572899997,0.25,4/4,1,4,0
F5,29268.719352157565,0.25,4/4,1,4,0
D6,29843.082748557783,0.25,4/4,1,4,0
C6,30394.22619030949,0.5,4/4,1,4,0
0,32119.885287004952,0.25,4/4,1,4,0
E♭5,32186.97624345573,0.25,4/4,1,4,0
D5,32645.239866613338,0.25,4/4,1,4,0
C5,33010.62367117682,0.25,4/4,1,4,0
D5,33468.88729433444,0.25,4/4,1,5,0
C6,34066.470645383175,0.25,4/4,1,5,0
B♭5,34571.17417783783,0.25,4/4,1,5,0
D5,34913.33802775278,0.25,4/4,1,5,0
F4,35580.58124274712,0.25,4/4,1,5,0
B♭5,35992.40495660766,0.25,4/4,1,5,0
A5,36497.10848906232,0.25,4/4,1,5,0
C5,36908.93220292285,0.25,4/4,1,5,0
B4,37599.39537256573,0.25,4/4,1,5,0
A5,38405.9583154512,0.25,4/4,1,5,0
G♯5,38841.001983960276,0.25,4/4,1,5,0
G5,39276.04565246935,0.25,4/4,1,5,0
F♯5,39664.64941168136,0.25,4/4,1,5,0
F5,40215.79285343306,0.25,4/4,1,5,0
E5,40581.176657996555,0.25,4/4,1,5,0
D5,41109.100145099714,0.25,4/4,1,5,0
A4,41613.80367755439,0.25,4/4,1,6,0
D6,42257.82693790018,0.25,4/4,1,6,0
C♯6,43250.14951797388,0.25,4/4,1,6,0
C6,43429.77368534916,0.25,4/4,1,6,0
B5,43957.697172452325,0.25,4/4,1,6,0
B♭5,44462.40070490698,0.25,4/4,1,6,0
A5,45059.98405595574,0.25,4/4,1,6,0
C♯6,45425.36786051922,0.25,4/4,1,6,0
D6,46208.71084875619,0.5,4/4,1,6,0
D5,47760.272438521075,0.25,4/4,1,6,0
E5,47815.70126471424,0.25,4/4,1,6,0
F5,48250.74493322331,0.25,4/4,1,6,0
D6,48778.66842032648,0.25,4/4,1,6,0
