Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
D4,958.881625400192,1.5,4/4,1,1,0
D5,2256.104361834029,0.25,4/4,1,1,0
E5,2634.2099807006443,0.25,4/4,1,1,0
E5,2958.8154065046165,1.5,4/4,1,1,0
D5,3636.1596511938433,0.25,4/4,1,1,0
E5,3746.1239546235456,0.25,4/4,1,1,0
D4,3925.7481219988304,1.5,4/4,1,2,0
F♯5,5235.692672735795,0.25,4/4,1,2,0
G5,5368.876930814027,0.25,4/4,1,2,0
G5,5930.622347861706,1.5,4/4,1,2,0
F♯5,6603.026147792477,0.25,4/4,1,2,0
G5,6694.161091063773,0.25,4/4,1,2,0
D4,6915.834573245992,1.0,4/4,1,3,0
A5,7634.331242747125,0.75,4/4,1,3,0
F♯4,8428.62324600677,0.25,4/4,1,3,0
G5,8561.807504085,0.75,4/4,1,3,0
E4,9239.999734102003,0.25,4/4,1,3,0
F♯5,9442.843856125815,0.75,4/4,1,3,0
D4,10097.816131494295,0.25,4/4,1,3,0
E5,10323.880208166634,1.0,4/4,1,4,0
A4,11204.916560207454,1.0,4/4,1,4,0
0,11830.533411114484,0.125,4/4,1,4,0
A4,12303.4747465028,0.125,4/4,1,4,0
B4,12615.257021912963,0.125,4/4,1,4,0
C♯5,12711.738568958865,0.125,4/4,1,4,0
D5,12770.2806120782,0.125,4/4,1,4,0
E5,12825.262763793044,0.125,4/4,1,4,0
F♯5,12903.464870156431,0.125,4/4,1,4,0
G5,12981.666976519795,0.125,4/4,1,4,0
A5,13013.429173586122,0.75,4/4,1,4,0
G5,13761.281267548724,0.25,4/4,1,4,0
F♯5,13964.125389572528,0.75,4/4,1,5,0
C♯5,14711.977483535113,0.25,4/4,1,5,0
D5,14914.82160555891,1.0,4/4,1,5,0
0,15633.823388289558,0.125,4/4,1,5,0
B4,15990.159837205747,0.125,4/4,1,5,0
C♯5,16300.561490054382,0.125,4/4,1,5,0
D5,16355.54364176924,0.125,4/4,1,5,0
E5,16433.745748132613,0.125,4/4,1,5,0
F♯5,16469.717778758728,0.125,4/4,1,5,0
G5,16543.71005156232,0.125,4/4,1,5,0
A5,16598.692203277184,0.125,4/4,1,5,0
B5,16678.747817615716,0.75,4/4,1,5,0
A5,17401.52644895462,0.25,4/4,1,5,0
G♯5,18022.329754651895,0.75,4/4,1,6,0
D♯5,18352.222664941,0.25,4/4,1,6,0
E5,18555.066786964828,1.0,4/4,1,6,0
0,19743.734618227758,0.75,4/4,1,6,0
B4,19951.755686482946,0.25,4/4,1,6,0
C♯5,20177.819763155305,0.75,4/4,1,6,0
G♯4,20832.792038523778,0.25,4/4,1,6,0
A4,21012.41620589906,0.75,4/4,1,7,0
A4,21721.933497624774,0.0833333333333333,4/4,1,7,0
B4,21781.44309790585,0.0833333333333333,4/4,1,7,0
C♯5,21841.339329836133,0.0833333333333333,4/4,1,7,0
F♯4,21939.892467236932,0.75,4/4,1,7,0
F♯4,22620.593550851176,0.0833333333333333,4/4,1,7,0
G4,22639.259495298156,0.0833333333333333,4/4,1,7,0
A4,22706.874202639425,0.0833333333333333,4/4,1,7,0
D4,22820.928819277742,0.75,4/4,1,7,0
C♯5,23522.341003943267,0.25,4/4,1,7,0
D5,23678.745216670035,0.75,4/4,1,7,0
A♯4,24356.93744668704,0.25,4/4,1,7,0
