Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
F5,8342.827203631485,0.375,4/4,1,1,0
B♭4,8856.072978503935,0.125,4/4,1,1,0
G5,9096.814767406995,0.5,4/4,1,2,0
G5,10488.65120297166,0.5,4/4,1,2,0
E♭4,10651.229804255066,0.5,4/4,1,2,0
G5,10964.038229708585,0.5,4/4,1,2,0
G5,12371.074740506812,0.375,4/4,1,2,0
E♭5,12486.691069490329,0.125,4/4,1,2,0
F5,12611.33308515076,0.5,4/4,1,2,0
0,13597.520195411533,0.5,4/4,1,2,0
D5,14003.208439459147,0.375,4/4,1,2,0
B♭4,14539.674168980124,0.125,4/4,1,2,0
E♭5,14780.415957883188,0.5,4/4,1,3,0
E♭5,16010.750422025985,0.5,4/4,1,3,0
F4,16079.411493597472,0.5,4/4,1,3,0
E♭5,16647.639420184772,0.5,4/4,1,3,0
E♭5,18013.467777825,0.375,4/4,1,3,0
C5,18054.192486723892,0.125,4/4,1,3,0
D5,18248.494366329895,0.5,4/4,1,3,0
0,18979.26197545688,0.5,4/4,1,3,0
D5,19593.92981134124,0.375,4/4,1,3,0
E♭5,20060.735676916636,0.125,4/4,1,3,0
F♯4,20278.257511171163,0.5,4/4,1,4,0
A5,20985.805165649628,0.5,4/4,1,4,0
D4,21855.89250266777,0.25,4/4,1,4,0
E♭5,22058.736624691574,0.25,4/4,1,4,0
D5,22354.460565309495,0.25,4/4,1,4,0
C5,22673.404460575926,0.25,4/4,1,4,0
B♭4,23015.568310490904,0.25,4/4,1,4,0
G4,23380.952115054388,0.25,4/4,1,4,0
A4,23653.456101023785,0.25,4/4,1,4,0
F♯4,23949.180041641685,0.25,4/4,1,4,0
G4,24361.00375550224,0.5,4/4,1,4,0
G5,25652.984278588334,0.375,4/4,1,4,0
B♭5,25697.89695809577,0.125,4/4,1,4,0
C♯5,26054.73852024147,0.5,4/4,1,5,0
E6,26599.746492180242,0.5,4/4,1,5,0
A4,27330.514101307228,0.25,4/4,1,5,0
B♭5,27719.117860519236,0.25,4/4,1,5,0
A5,27968.40189184008,0.25,4/4,1,5,0
G5,28264.125832458012,0.25,4/4,1,5,0
F5,28652.729591670017,0.25,4/4,1,5,0
D5,29041.333350882043,0.25,4/4,1,5,0
E5,29244.17747290585,0.25,4/4,1,5,0
C♯5,29586.34132282081,0.25,4/4,1,5,0
D5,29882.065263438722,0.25,4/4,1,5,0
B4,30177.78920405664,0.25,4/4,1,5,0
C5,30543.17300862012,0.25,4/4,1,5,0
D5,30769.237085292472,0.25,4/4,1,5,0
E♭4,31204.280753801533,0.25,4/4,1,6,0
F♯5,31592.884513013563,0.25,4/4,1,6,0
G5,31911.82840828,0.25,4/4,1,6,0
C5,32207.5523488979,0.25,4/4,1,6,0
G4,32363.956561624662,0.25,4/4,1,6,0
