Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
A4,378.38275918704,1.0,3/4,1,1,0
D4,1677.3782949013253,0.5,3/4,1,2,0
D5,2363.051532757647,0.5,3/4,1,2,0
C♯5,2628.074510887719,0.5,3/4,1,2,0
D5,2987.3228456382876,0.5,3/4,1,2,0
F5,3369.7911350373815,0.5,3/4,1,2,0
D5,3821.9192883820506,0.5,3/4,1,2,0
B♭4,4227.607532429669,0.5,3/4,1,3,0
D5,4656.515731125813,0.5,3/4,1,3,0
C♯5,5108.643884470485,0.5,3/4,1,3,0
D5,5444.67226457253,0.5,3/4,1,3,0
F5,5803.920599323098,0.5,3/4,1,3,0
D5,6302.48866196482,0.5,3/4,1,3,0
F4,6801.056724606544,0.5,3/4,1,4,0
A5,7369.284651193837,0.5,3/4,1,4,0
G4,7844.632759187034,0.5,3/4,1,4,0
G5,8655.216904663299,0.5,3/4,1,4,0
A4,8748.889065876376,0.25,3/4,1,4,0
G5,8974.953142548718,0.25,3/4,1,4,0
F5,9248.393870211734,0.25,3/4,1,4,0
E5,9473.521205190444,0.25,3/4,1,4,0
F5,9676.365327214253,0.125,3/4,1,5,0
E5,9801.007342874678,0.125,3/4,1,5,0
D5,10041.749131777742,0.75,3/4,1,5,0
0,11346.880137304954,1.0,3/4,1,5,0
A4,11809.957305672307,1.0,3/4,1,5,0
D4,13039.292977441013,0.5,3/4,1,6,0
D5,13624.701708534863,0.5,3/4,1,6,0
C♯5,13757.789646942145,0.5,3/4,1,6,0
D5,14093.818027044186,0.5,3/4,1,6,0
F5,14429.846407146215,0.5,3/4,1,6,0
D5,14881.974560490893,0.5,3/4,1,6,0
G4,15287.662804538515,0.5,3/4,1,7,0
F5,15786.230867180231,0.5,3/4,1,7,0
E5,16238.359020524897,0.5,3/4,1,7,0
D5,16597.60735527547,0.5,3/4,1,7,0
D6,17339.527458314227,0.5,3/4,1,7,0
F5,17385.76388872218,0.5,3/4,1,7,0
C5,17907.55190601242,0.25,3/4,1,8,0
D5,18025.458043947478,0.25,3/4,1,8,0
E5,18197.140376817435,0.25,3/4,1,8,0
F5,18376.764544192712,0.25,3/4,1,8,0
G5,18626.04857551357,0.5,3/4,1,8,0
F5,19031.73681956118,1.0,3/4,1,8,0
E5,19866.333262304965,0.5,3/4,1,8,0
F4,20341.681370298156,0.5,3/4,1,9,0
E5,21002.789115479558,0.5,3/4,1,9,0
D5,21571.017042066862,0.5,3/4,1,9,0
C5,21930.265376817435,0.5,3/4,1,9,0
