Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
B♭4,1632.2603102074481,0.25,4/4,1,1,0
D5,2044.084024067993,0.25,4/4,1,1,0
F5,2293.3680553888544,0.25,4/4,1,1,0
D5,2496.2121774126645,0.25,4/4,1,1,0
F5,2629.396435490896,0.25,4/4,1,1,0
D5,2785.8006482176543,0.25,4/4,1,1,0
F5,2895.7649516473584,0.25,4/4,1,1,0
D5,3028.9492097255907,0.25,4/4,1,1,0
B♭4,3185.3534224523482,0.25,4/4,1,1,0
E♭5,3341.757635179106,0.25,4/4,1,1,0
G5,3451.72193860881,0.25,4/4,1,1,0
E♭5,3652.4199482814283,0.25,4/4,1,1,0
G5,3694.8705001167464,0.25,4/4,1,1,0
E♭5,3851.274712843504,0.25,4/4,1,1,0
G5,3891.579152327631,0.25,4/4,1,1,0
E♭5,4071.2033197029104,0.25,4/4,1,1,0
B♭4,4274.04744172672,0.25,4/4,1,2,0
D5,4407.231699804952,0.25,4/4,1,2,0
F5,4517.196003234656,0.25,4/4,1,2,0
D5,4650.380261312887,0.25,4/4,1,2,0
B♭4,4946.104201930801,0.25,4/4,1,2,0
F5,5056.068505360506,0.25,4/4,1,2,0
B♭5,5189.252763438737,0.25,4/4,1,2,0
F5,5219.67083824186,0.25,4/4,1,2,0
B♭4,5231.310407498617,0.25,4/4,1,2,0
D5,5286.9461272425915,0.25,4/4,1,2,0
F5,5396.910430672297,0.25,4/4,1,2,0
D5,5506.874734102002,0.25,4/4,1,2,0
B♭4,5640.058992180232,0.25,4/4,1,2,0
E♭5,5726.803340961419,0.25,4/4,1,2,0
G5,5813.547689742604,0.25,4/4,1,2,0
E♭5,5969.9519024693545,0.25,4/4,1,2,0
B♭4,6126.356115196119,0.25,4/4,1,3,0
D5,6189.880509328765,0.25,4/4,1,3,0
F5,6276.624858109951,0.25,4/4,1,3,0
D5,6433.029070836701,0.25,4/4,1,3,0
B♭4,6542.9933742664125,0.25,4/4,1,3,0
F5,6583.297813750532,0.25,4/4,1,3,0
B♭5,6716.482071828771,0.25,4/4,1,3,0
F5,6795.1583313950905,0.25,4/4,1,3,0
B♭4,6913.190724039654,0.25,4/4,1,3,0
D5,7023.155027469353,0.25,4/4,1,3,0
F5,7109.899376250539,0.25,4/4,1,3,0
D5,7219.863679680237,0.25,4/4,1,3,0
B♭4,7353.047937758475,0.25,4/4,1,3,0
E♭5,7439.792286539647,0.25,4/4,1,3,0
G5,7503.3166806723075,0.25,4/4,1,3,0
E♭5,7729.380757344635,0.25,4/4,1,3,0
B♭4,7785.375867118619,0.25,4/4,1,4,0
D5,7879.649500258467,0.25,4/4,1,4,0
F5,7966.393849039653,0.25,4/4,1,4,0
D5,8076.358152469357,0.25,4/4,1,4,0
A4,8209.542410547589,0.25,4/4,1,4,0
C5,8296.286759328774,0.25,4/4,1,4,0
E♭5,8429.471017407,0.25,4/4,1,4,0
C5,8469.775456891126,0.25,4/4,1,4,0
B♭4,8626.179669617884,0.25,4/4,1,4,0
C5,8805.803836993173,0.25,4/4,1,4,0
D5,8985.42800436845,0.5,4/4,1,4,0
0,10203.814661114493,1.0,4/4,1,4,0
F5,10759.771648075934,0.25,4/4,1,5,0
A5,11264.475180530575,0.25,4/4,1,5,0
C6,11490.539257202923,0.25,4/4,1,5,0
A5,11716.60333387525,0.25,4/4,1,5,0
C6,11873.007546602023,0.25,4/4,1,5,0
A5,12006.191804680244,0.25,4/4,1,5,0
C6,12116.156108109952,0.25,4/4,1,5,0
A5,12249.340366188178,0.25,4/4,1,5,0
F5,12382.524624266405,0.25,4/4,1,5,0
B♭5,12538.928836993158,0.25,4/4,1,5,0
D6,12648.893140422875,0.25,4/4,1,5,0
B♭5,12758.85744385257,0.25,4/4,1,5,0
D6,12868.821747282293,0.25,4/4,1,5,0
B♭5,12978.786050711988,0.25,4/4,1,5,0
D6,13088.750354141697,0.25,4/4,1,5,0
B♭5,13198.7146575714,0.25,4/4,1,5,0
F5,13331.898915649626,0.25,4/4,1,6,0
A5,13488.30312837638,0.25,4/4,1,6,0
C6,13575.047477157566,0.25,4/4,1,6,0
A5,13661.791825938735,0.25,4/4,1,6,0
F5,13771.756129368456,0.25,4/4,1,6,0
C6,13881.72043279815,0.25,4/4,1,6,0
F6,13991.684736227868,0.25,4/4,1,6,0
C6,14078.429085009044,0.25,4/4,1,6,0
F5,14165.17343379022,0.25,4/4,1,6,0
A5,14321.577646516971,0.25,4/4,1,6,0
C6,14385.102040649626,0.25,4/4,1,6,0
A5,14472.883577048908,0.25,4/4,1,6,0
F5,14605.030647509044,0.25,4/4,1,6,0
B♭5,14714.994950938753,0.25,4/4,1,6,0
D6,14801.73929971993,0.25,4/4,1,6,0
B♭5,14888.483648501104,0.25,4/4,1,6,0
F5,14998.447951930808,0.25,4/4,1,7,0
A5,15108.412255360518,0.25,4/4,1,7,0
C6,15195.156604141686,0.25,4/4,1,7,0
A5,15262.333109874477,0.25,4/4,1,7,0
F5,15391.865256352577,0.25,4/4,1,7,0
C6,15455.389650485238,0.25,4/4,1,7,0
F6,15588.573908563467,0.25,4/4,1,7,0
C6,15675.318257344643,0.25,4/4,1,7,0
F5,15762.062606125817,0.25,4/4,1,7,0
A5,15848.806954906999,0.25,4/4,1,7,0
C6,15935.551303688168,0.25,4/4,1,7,0
A5,16022.295652469367,0.25,4/4,1,7,0
F5,16109.040001250534,0.25,4/4,1,7,0
B♭5,16242.224259328776,0.25,4/4,1,7,0
D6,16330.474680562069,0.25,4/4,1,7,0
B♭5,16415.712956891126,0.25,4/4,1,7,0
F5,16520.964250116747,0.25,4/4,1,8,0
A5,16635.641563750534,0.25,4/4,1,8,0
C6,16722.385912531707,0.25,4/4,1,8,0
A5,16809.130261312897,0.25,4/4,1,8,0
E5,16919.094564742594,0.25,4/4,1,8,0
G5,17005.83891352379,0.25,4/4,1,8,0
B♭5,17139.02317160201,0.25,4/4,1,8,0
G5,17219.308699875804,0.25,4/4,1,8,0
F5,17358.95177846139,0.25,4/4,1,8,0
G5,17515.355991188146,0.25,4/4,1,8,0
A5,17671.7602039149,0.5,4/4,1,8,0
0,18913.366815309448,0.25,4/4,1,8,0
A5,19116.210937333253,0.25,4/4,1,8,0
B♭5,19388.71492330264,0.25,4/4,1,8,0
C6,19521.899181380893,0.25,4/4,1,8,0
D6,19701.523348756156,0.25,4/4,1,9,0
B♭4,20368.766563750527,0.25,4/4,1,9,0
A4,20405.54944453192,0.25,4/4,1,9,0
B♭4,20426.15548807025,0.25,4/4,1,9,0
D6,20559.339746148482,0.25,4/4,1,9,0
B♭5,20692.524004226707,0.25,4/4,1,9,0
D6,20825.708262304935,0.25,4/4,1,9,0
B♭5,20935.67256573464,0.25,4/4,1,9,0
E♭5,21253.138057811866,0.25,4/4,1,9,0
F5,21276.292039666703,0.25,4/4,1,9,0
G5,21375.443505360494,0.25,4/4,1,9,0
A5,21491.629552696075,0.25,4/4,1,9,0
B♭5,21578.37390147725,0.25,4/4,1,9,0
C6,21711.558159555476,0.25,4/4,1,9,0
D6,21821.522462985205,0.25,4/4,1,9,0
B♭5,21931.486766414895,0.25,4/4,1,9,0
C6,22065.807339814746,0.25,4/4,1,10,0
A4,22313.955055814007,0.25,4/4,1,10,0
B♭4,22516.799177837827,0.25,4/4,1,10,0
A4,22580.32357197048,0.25,4/4,1,10,0
C6,22739.170679958796,0.25,4/4,1,10,0
A5,22916.35195207251,0.25,4/4,1,10,0
C6,23026.316255502214,0.25,4/4,1,10,0
A5,23136.280558931918,0.25,4/4,1,10,0
D5,23362.344635604248,0.25,4/4,1,10,0
E5,23495.528893682476,0.25,4/4,1,10,0
F♯5,23605.493197112177,0.25,4/4,1,10,0
G5,23715.457500541877,0.25,4/4,1,10,0
A5,23848.64175862011,0.25,4/4,1,10,0
B♭5,23935.386107401282,0.25,4/4,1,10,0
C6,24045.350410831,0.25,4/4,1,10,0
A5,24155.314714260687,0.25,4/4,1,10,0
B♭5,24288.498972338955,0.25,4/4,1,11,0
G5,24491.343094362746,0.25,4/4,1,11,0
A5,24624.527352441004,0.25,4/4,1,11,0
D5,24711.27170122218,0.25,4/4,1,11,0
D6,24932.912988537304,0.25,4/4,1,11,0
B♭5,24954.42026273011,0.25,4/4,1,11,0
C6,25064.38456615981,0.25,4/4,1,11,0
D5,25151.128914940986,0.25,4/4,1,11,0
