Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
E4,185.75963718820861,1.0,3/4,1,1,0
G♯5,1461.5352182539675,1.0,3/4,1,1,0
A5,2412.231434240362,0.75,3/4,1,1,0
B5,3276.1833014455797,0.25,3/4,1,1,0
F♯4,3502.2473781179146,1.0,3/4,1,2,0
D♯5,4638.703231292516,1.0,3/4,1,2,0
E5,5496.519628684806,0.75,3/4,1,2,0
F♯5,6267.591677295921,0.25,3/4,1,2,0
G♯4,6470.435799319731,0.75,3/4,1,3,0
B4,7264.727802579368,0.25,3/4,1,3,0
E5,7444.351969954651,0.75,3/4,1,3,0
D♯5,8122.544199971657,0.25,3/4,1,3,0
E5,8302.168367346932,1.0,3/4,1,3,0
A4,9299.304492630388,0.75,3/4,1,4,0
C♯5,10000.716677295919,0.25,3/4,1,4,0
D♯4,10203.560799319728,0.75,3/4,1,4,0
B4,10904.97298398526,0.25,3/4,1,4,0
A4,11200.69692460318,0.75,3/4,1,4,0
G♯4,11809.229290674602,0.125,3/4,1,4,0
A4,11980.31121563209,0.125,3/4,1,4,0
E4,12151.393140589575,0.75,3/4,1,5,0
A4,12945.685143849205,0.25,3/4,1,5,0
G♯4,13961.227678571433,1.0,3/4,1,5,0
0,15631.742488662136,1.0,3/4,1,5,0
D♯4,15885.840065192735,1.0,3/4,1,6,0
F♯4,17045.515873015876,1.0,3/4,1,6,0
G♯4,17996.212089002256,0.75,3/4,1,6,0
A4,18697.624273667807,0.25,3/4,1,6,0
E4,18900.468395691612,1.0,3/4,1,7,0
G♯4,20106.58411281178,0.75,3/4,1,7,0
F♯4,20645.456614937648,0.25,3/4,1,7,0
G♯4,20828.261894874227,1.0,3/4,1,7,0
E4,21822.216907596383,1.0,3/4,1,8,0
C♯5,22842.572987528347,0.75,3/4,1,8,0
B4,23427.885398951235,0.25,3/4,1,8,0
A♯4,23591.391344612555,0.75,3/4,1,8,0
B4,24378.581614937644,0.25,3/4,1,8,0
F♯4,24566.61310842166,0.75,3/4,1,9,0
B4,25398.937694869604,0.25,3/4,1,9,0
A♯4,25532.12195294785,1.0,3/4,1,9,0
0,27759.915674603173,1.0,3/4,1,9,0
E5,28014.013251133787,0.5,3/4,1,10,0
G♯4,28630.194562916313,0.5,3/4,1,10,0
D♯5,28941.489512471657,0.5,3/4,1,10,0
F♯4,29277.51789257369,0.5,3/4,1,10,0
C♯5,29752.86600056689,0.5,3/4,1,10,0
E4,29972.79460742631,0.5,3/4,1,10,0
D♯4,30401.70280612248,0.5,3/4,1,11,0
