Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
E5,580.4988662131519,0.5,4/4,1,1,0
E4,1987.1843087640148,0.25,4/4,1,1,0
F♯4,2048.1695542800458,0.25,4/4,1,1,0
G4,2413.553358843537,0.25,4/4,1,1,0
E5,2871.816982001133,0.25,4/4,1,1,0
A4,3237.200786564626,0.25,4/4,1,1,0
E5,3529.4809369952322,0.25,4/4,1,1,0
B4,4014.408304988664,0.25,4/4,1,1,0
E5,4495.891882794787,0.25,4/4,1,1,0
D♯5,4768.395868764174,0.5,4/4,1,1,0
0,5568.823341836736,0.5,4/4,1,1,0
D♯5,5928.071676587303,0.25,4/4,1,1,0
E5,6316.675435799324,0.25,4/4,1,1,0
F♯5,6774.939058956921,0.25,4/4,1,2,0
B4,7140.322863520413,0.25,4/4,1,2,0
A4,7552.146577380956,0.25,4/4,1,2,0
C6,8010.410200538553,0.25,4/4,1,2,0
G4,8352.574050453519,0.25,4/4,1,2,0
B5,8764.397764314062,0.25,4/4,1,2,0
F♯4,9083.341659580501,0.25,4/4,1,2,0
A5,9471.94541879252,0.25,4/4,1,2,0
E4,9976.648951247169,0.25,4/4,1,2,0
G5,10574.23230229592,0.125,4/4,1,2,0
F♯5,10745.314227253402,0.125,4/4,1,2,0
E5,10893.17619756236,0.5,4/4,1,2,0
0,11623.943806689345,0.25,4/4,1,2,0
F♯5,12082.207429846942,0.25,4/4,1,2,0
G5,12633.350871598634,0.25,4/4,1,2,0
B4,12998.734676162134,0.25,4/4,1,2,0
C5,13480.218253968247,0.25,4/4,1,3,0
A5,13984.9217864229,0.25,4/4,1,3,0
F♯5,14373.525545634913,0.25,4/4,1,3,0
G5,14692.469440901361,0.25,4/4,1,3,0
B4,15057.853245464845,0.25,4/4,1,3,0
D6,15492.896913973922,0.25,4/4,1,3,0
F♯5,15835.060763888881,0.25,4/4,1,3,0
G5,16200.444568452383,0.25,4/4,1,3,0
C5,16681.928146258495,0.25,4/4,1,3,0
A5,17186.63167871315,0.25,4/4,1,3,0
F♯5,17435.915710034005,0.25,4/4,1,3,0
G5,17801.299514597507,0.25,4/4,1,3,0
B4,18120.24340986394,0.25,4/4,1,3,0
D6,18578.507033021542,0.25,4/4,1,3,0
F♯5,18943.890837585026,0.25,4/4,1,3,0
G5,19518.25423398526,0.25,4/4,1,3,0
A4,19697.878401360533,0.25,4/4,1,4,0
C6,20249.02184311224,0.25,4/4,1,4,0
F♯4,20544.745783730148,0.25,4/4,1,4,0
C6,20886.909633645122,0.25,4/4,1,4,0
G4,21182.63357426303,0.25,4/4,1,4,0
B5,21548.017378826527,0.25,4/4,1,4,0
C♯5,21843.741319444434,0.25,4/4,1,4,0
B5,22255.565033304985,0.25,4/4,1,4,0
D5,22806.708475056676,0.25,4/4,1,4,0
B5,23034.178077294906,0.25,4/4,1,4,0
A5,23421.376310941032,0.5,4/4,1,4,0
0,24384.34346655328,0.25,4/4,1,4,0
C5,24680.067407171184,0.25,4/4,1,4,0
B4,25115.111075680266,0.25,4/4,1,4,0
A4,25434.054970946698,0.25,4/4,1,4,0
B4,25869.098639455784,0.25,4/4,1,5,0
A5,26327.362262613377,0.25,4/4,1,5,0
G5,26692.746067176868,0.25,4/4,1,5,0
B4,27034.909917091827,0.25,4/4,1,5,0
D4,27469.953585600895,0.25,4/4,1,5,0
G5,27881.777299461435,0.25,4/4,1,5,0
F♯5,28223.941149376413,0.25,4/4,1,5,0
A4,28589.324953939915,0.25,4/4,1,5,0
G♯4,29070.80853174603,0.25,4/4,1,5,0
F♯5,29784.491656037415,0.25,4/4,1,5,0
E♯5,30196.31536989795,0.25,4/4,1,5,0
E5,30724.238857001128,0.25,4/4,1,5,0
D♯5,30927.08297902493,0.25,4/4,1,5,0
D5,31153.14705569728,0.25,4/4,1,5,0
C♯5,31448.870996315185,0.25,4/4,1,5,0
B4,31814.25480087869,0.25,4/4,1,5,0
F♯4,32249.29846938775,0.25,4/4,1,6,0
B5,32916.541684382086,0.25,4/4,1,6,0
A♯5,33421.24521683673,0.25,4/4,1,6,0
A5,33740.189112103166,0.25,4/4,1,6,0
