Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
A4,510.83900226757373,1.0,3/4,1,1,0
D4,2390.3334041950125,0.5,3/4,1,2,0
D5,3377.6010787152486,0.5,3/4,1,2,0
C♯5,3805.4287131519295,0.5,3/4,1,2,0
D5,4303.996775793651,0.5,3/4,1,2,0
F5,4779.34488378685,0.5,3/4,1,2,0
D5,5417.232674319729,0.5,3/4,1,2,0
B♭4,5822.920918367345,0.5,3/4,1,3,0
D5,6391.148844954645,0.5,3/4,1,3,0
C♯5,7029.036635487524,0.5,3/4,1,3,0
D5,7411.504924886617,0.5,3/4,1,3,0
F5,7933.292942176866,0.5,3/4,1,3,0
D5,8408.641050170063,0.5,3/4,1,3,0
F4,9000.088931405891,0.5,3/4,1,4,0
A5,9568.316857993192,0.5,3/4,1,4,0
G4,9974.005102040812,0.5,3/4,1,4,0
G5,10900.464161760196,0.5,3/4,1,4,0
A4,10971.141227324257,0.25,3/4,1,4,0
G5,11220.425258645126,0.25,3/4,1,4,0
F5,11469.70928996598,0.25,3/4,1,4,0
E5,11742.213275935374,0.25,3/4,1,4,0
F5,12061.157171201807,0.125,3/4,1,5,0
E5,12162.579232213717,0.125,3/4,1,5,0
D5,12287.221247874148,0.75,3/4,1,5,0
0,14079.9713010204,1.0,3/4,1,5,0
A4,14566.268424036272,1.0,3/4,1,5,0
D4,16051.023596938765,0.5,3/4,1,6,0
D5,17308.67005292368,0.5,3/4,1,6,0
C♯5,17442.898951247167,0.5,3/4,1,6,0
D5,17825.36724064626,0.5,3/4,1,6,0
F5,18463.25503117913,0.5,3/4,1,6,0
D5,18799.283411281176,0.5,3/4,1,6,0
G4,19413.951247165536,0.5,3/4,1,7,0
F5,20098.27894699546,0.5,3/4,1,7,0
E5,20620.066964285703,0.5,3/4,1,7,0
D5,21072.195117630377,0.5,3/4,1,7,0
D6,22022.717972668866,0.5,3/4,1,7,0
F5,22046.1112882653,0.5,3/4,1,7,0
C5,22753.65894274375,0.25,3/4,1,8,0
D5,22979.723019416102,0.25,3/4,1,8,0
E5,23159.347186791376,0.25,3/4,1,8,0
F5,23338.97135416667,0.25,3/4,1,8,0
G5,23588.255385487526,0.5,3/4,1,8,0
F5,24295.80303996598,1.0,3/4,1,8,0
E5,25455.4788477891,0.5,3/4,1,8,0
F4,26139.80654761905,0.5,3/4,1,9,0
E5,26684.814519557818,0.5,3/4,1,9,0
D5,27322.70231009069,0.5,3/4,1,9,0
C5,27774.83046343538,0.5,3/4,1,9,0
C6,28640.63087017284,0.5,3/4,1,9,0
E5,28725.526679421764,0.5,3/4,1,9,0
B4,29340.194515306128,0.25,3/4,1,10,0
C5,29659.138410572556,0.25,3/4,1,10,0
D5,29815.54262329933,0.25,3/4,1,10,0
E5,29995.1667906746,0.25,3/4,1,10,0
F5,30337.33064058957,0.5,3/4,1,10,0
E5,30789.458793934235,1.0,3/4,1,10,0
D5,31902.694692460325,0.5,3/4,1,10,0
E4,32587.02239229025,0.5,3/4,1,11,0
D5,33294.5700467687,0.5,3/4,1,11,0
C5,33886.017928004534,0.5,3/4,1,11,0
B4,34268.48621740363,0.5,3/4,1,11,0
B5,35350.722839263915,0.5,3/4,1,11,0
D5,35363.97404118699,0.5,3/4,1,11,0
C5,35973.169997165554,0.125,3/4,1,12,0
B4,36097.812012826005,0.125,3/4,1,12,0
A4,36222.45402848641,0.75,3/4,1,12,0
D5,37063.18594104309,0.125,3/4,1,12,0
C5,37211.04791135207,0.125,3/4,1,12,0
B4,37405.34979095805,0.75,3/4,1,12,0
E5,38083.5420209751,0.125,3/4,1,12,0
D5,38254.62394593256,0.125,3/4,1,12,0
C5,38472.145780187115,0.75,3/4,1,12,0
A5,39405.757511337906,1.5,3/4,1,13,0
G5,41528.40047477325,0.25,3/4,1,13,0
F5,41824.124415391176,0.25,3/4,1,13,0
E5,42119.848356009075,0.25,3/4,1,13,0
D5,42415.57229662702,0.25,3/4,1,13,0
C5,42618.41641865082,0.25,3/4,1,13,0
B4,42774.8206313776,0.25,3/4,1,13,0
