Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
D5,464.39909297052156,0.25,4/4,1,1,0
F5,1410.281763747165,0.25,4/4,1,1,0
A5,1752.4456136621316,1.5,4/4,1,1,0
C5,4478.807397959183,0.25,4/4,1,1,0
E5,5447.910023384354,0.25,4/4,1,1,0
A5,5790.073873299318,1.5,4/4,1,1,0
B♭4,8237.796201814064,0.25,4/4,1,2,0
D5,8719.279779620185,0.25,4/4,1,2,0
G5,9154.323448129255,1.0,4/4,1,2,0
G♯5,10871.27816751701,0.25,4/4,1,2,0
A5,11677.841110402496,0.25,4/4,1,2,0
A4,13831.161422902496,1.0,4/4,1,2,0
0,15199.816822562361,1.0,4/4,1,2,0
0,16624.200113378687,0.25,4/4,2,3,0
F5,16980.29593608277,0.125,4/4,2,3,0
E5,17104.937951743188,0.125,4/4,2,3,0
F5,17206.360012755096,0.25,4/4,2,3,0
D5,17409.204134778913,0.25,4/4,2,3,0
B♭5,17612.04825680271,0.25,4/4,2,3,0
D5,17814.89237882653,0.25,4/4,2,3,0
E5,18040.956455498857,0.25,4/4,2,3,0
B♭5,18174.1407135771,0.25,4/4,2,3,0
F5,18376.984835600902,0.25,4/4,2,3,0
A5,18626.268866921768,0.125,4/4,2,3,0
G5,18727.69092793367,0.125,4/4,2,3,0
A5,18875.552898242626,0.25,4/4,2,3,0
F5,19008.73715632086,0.25,4/4,2,3,0
C6,19211.581278344664,0.25,4/4,2,3,0
E5,19414.42540036848,0.25,4/4,2,3,0
F♯5,19617.269522392282,0.25,4/4,2,3,0
C6,19790.147525155895,0.25,4/4,2,3,0
G5,20022.9577664399,0.25,4/4,2,4,0
B♭5,20272.24179776077,0.125,4/4,2,4,0
A5,20467.275597218057,0.125,4/4,2,4,0
B♭5,20479.942187291585,0.25,4/4,2,4,0
G5,20538.610313917234,0.25,4/4,2,4,0
C♯6,20834.334254535137,0.25,4/4,2,4,0
A5,21013.958421910425,0.25,4/4,2,4,0
E6,21263.242453231283,0.25,4/4,2,4,0
G5,21391.002471301017,0.25,4/4,2,4,0
F5,21622.49078798185,0.25,4/4,2,4,0
A5,21871.77481930272,0.25,4/4,2,4,0
D6,22028.17903202947,0.25,4/4,2,4,0
F5,22184.58324475623,0.25,4/4,2,4,0
G5,22433.86727607711,0.25,4/4,2,4,0
E6,22636.711398100917,0.25,4/4,2,4,0
A5,22839.555520124726,0.25,4/4,2,4,0
C♯6,23112.05950609411,0.25,4/4,2,4,0
D5,23407.78344671202,0.25,4/4,2,5,0
E5,23889.26702451816,0.25,4/4,2,5,0
F5,24068.891191893435,0.25,4/4,2,5,0
C5,24225.295404620203,0.25,4/4,2,5,0
B4,24497.799390589586,0.25,4/4,2,5,0
F5,24761.387515943883,0.25,4/4,2,5,0
A4,24926.70758928572,0.25,4/4,2,5,0
F5,25129.551711309534,0.25,4/4,2,5,0
G♯4,25448.495606575965,0.25,4/4,2,5,0
E5,25767.439501842422,0.25,4/4,2,5,0
D♯5,25970.28362386622,0.25,4/4,2,5,0
E5,26173.127745890044,0.25,4/4,2,5,0
B5,26399.19182256237,0.25,4/4,2,5,0
E5,26555.596035289127,0.25,4/4,2,5,0
D6,26758.440157312933,0.25,4/4,2,5,0
E5,27100.6040072279,0.25,4/4,2,5,0
0,27747.797039270252,0.25,4/4,2,6,0
C5,27947.471389597522,0.125,4/4,2,6,0
B4,28095.333359906486,0.125,4/4,2,6,0
C5,28219.975375566897,0.25,4/4,2,6,0
A4,28376.37958829367,0.25,4/4,2,6,0
F5,28602.443664965995,0.25,4/4,2,6,0
A4,28851.72769628686,0.25,4/4,2,6,0
B4,29031.35186366214,0.25,4/4,2,6,0
F5,29234.195985685947,0.25,4/4,2,6,0
C5,29390.6001984127,0.25,4/4,2,6,0
E5,29709.54409367915,0.125,4/4,2,6,0
D5,29767.905067987842,0.125,4/4,2,6,0
E5,29865.9483064059,0.25,4/4,2,6,0
C5,30045.572473781198,0.25,4/4,2,6,0
G5,30271.63655045352,0.25,4/4,2,6,0
B4,30474.480672477337,0.25,4/4,2,6,0
C♯5,30630.88488520409,0.25,4/4,2,6,0
G5,30833.729007227896,0.25,4/4,2,6,0
D5,31199.112811791383,0.25,4/4,2,7,0
F5,31587.71657100341,0.125,4/4,2,7,0
E5,31665.918677366797,0.125,4/4,2,7,0
F5,31744.120783730155,0.25,4/4,2,7,0
D5,31900.52499645693,0.25,4/4,2,7,0
G♯5,32173.028982426324,0.25,4/4,2,7,0
E5,32329.433195153073,0.25,4/4,2,7,0
B5,32485.837407879826,0.25,4/4,2,7,0
D5,32711.901484552156,0.25,4/4,2,7,0
C5,33100.505243764186,0.25,4/4,2,7,0
E5,33396.22918438209,0.25,4/4,2,7,0
A5,33599.07330640592,0.25,4/4,2,7,0
C5,33709.037609835614,0.25,4/4,2,7,0
D5,33865.441822562374,0.25,4/4,2,7,0
B5,34114.72585388324,0.25,4/4,2,7,0
E5,34317.56997590704,0.25,4/4,2,7,0
G♯5,34543.63405257937,0.25,4/4,2,7,0
A4,35001.897675736975,0.25,4/4,2,8,0
C5,35181.52184311224,0.25,4/4,2,8,0
E5,35430.80587443313,0.25,4/4,2,8,0
A5,35610.4300418084,0.25,4/4,2,8,0
0,35999.03380102042,0.25,4/4,2,8,0
C6,36155.43801374718,0.25,4/4,2,8,0
E5,36381.50209041951,0.25,4/4,2,8,0
G5,36514.686348497715,0.25,4/4,2,8,0
F♯5,36740.750425170045,0.25,4/4,2,8,0
A5,37036.47436578795,0.25,4/4,2,8,0
D5,37192.878578514705,0.25,4/4,2,8,0
D6,37534.1687836593,0.25,4/4,2,8,0
E5,37575.3468679138,0.25,4/4,2,8,0
C6,37731.75108064054,0.25,4/4,2,8,0
F♯5,37934.59520266439,0.25,4/4,2,8,0
A5,38160.659279336716,0.25,4/4,2,8,0
G4,38642.14285714286,0.25,4/4,2,9,0
B♭4,38798.54706986961,0.25,4/4,2,9,0
D5,39001.39119189342,0.25,4/4,2,9,0
G5,39250.67522321428,0.25,4/4,2,9,0
0,39473.41565235591,0.25,4/4,2,9,0
B♭5,39795.68319515305,0.25,4/4,2,9,0
D5,39975.30736252833,0.25,4/4,2,9,0
F5,40154.93152990361,0.25,4/4,2,9,0
E5,40334.55569727888,0.25,4/4,2,9,0
G5,40583.83972859974,0.25,4/4,2,9,0
C5,40786.68385062354,0.25,4/4,2,9,0
C6,41087.1287933011,0.25,4/4,2,9,0
D5,41192.37209467116,0.25,4/4,2,9,0
B♭5,41418.436171343536,0.25,4/4,2,9,0
E5,41574.84038407028,0.25,4/4,2,9,0
G5,41754.464551445584,0.25,4/4,2,9,0
F4,42096.62840136055,0.25,4/4,2,10,0
A4,42392.35234197846,0.25,4/4,2,10,0
C5,42571.97650935374,0.25,4/4,2,10,0
F5,42890.92040462018,0.25,4/4,2,10,0
0,43465.2838010204,0.25,4/4,2,10,0
A5,43644.90796839568,0.25,4/4,2,10,0
F5,43894.19199971653,0.25,4/4,2,10,0
C6,44097.03612174035,0.25,4/4,2,10,0
B♭4,44717.83942743762,0.25,4/4,2,10,0
D6,44920.68354946142,0.25,4/4,2,10,0
C6,45286.06735402491,0.25,4/4,2,10,0
B♭5,45674.671113236924,0.25,4/4,2,10,0
B♭4,45824.29086370035,0.25,4/4,2,10,0
D6,45871.37976544783,0.25,4/4,2,10,0
G4,46190.32366071425,0.25,4/4,2,10,0
B♭5,46300.287964143994,0.25,4/4,2,10,0
A4,46619.23185941042,0.25,4/4,2,11,0
C6,47025.73186826814,0.25,4/4,2,11,0
B♭5,47257.119649943306,0.25,4/4,2,11,0
A5,47506.40368126416,0.25,4/4,2,11,0
A4,47569.086959581284,0.25,4/4,2,11,0
C6,47865.65201601472,0.25,4/4,2,11,0
F4,48161.37595663264,0.25,4/4,2,11,0
A5,48294.560214710866,0.25,4/4,2,11,0
B♭4,48659.94401927435,0.25,4/4,2,11,0
D6,49257.5273703231,0.25,4/4,2,11,0
C6,49530.031356292486,0.25,4/4,2,11,0
B♭5,49686.43556901924,0.25,4/4,2,11,0
B♭4,50003.49249746743,0.25,4/4,2,11,0
D6,50092.12381306687,0.25,4/4,2,11,0
G4,50457.50761763034,0.25,4/4,2,11,0
B♭5,50512.21668615362,0.25,4/4,2,11,0
A4,50723.87613378685,0.25,4/4,2,12,0
C6,51109.80003720238,0.25,4/4,2,12,0
B♭5,51408.203833616775,0.25,4/4,2,12,0
A5,51494.94818239796,0.25,4/4,2,12,0
A4,51652.98554630185,0.25,4/4,2,12,0
C6,51877.41647179704,0.25,4/4,2,12,0
F4,52173.14041241495,0.25,4/4,2,12,0
A5,52445.644398384335,0.25,4/4,2,12,0
B♭4,52857.468112244875,0.25,4/4,2,12,0
D6,53222.851916808366,0.25,4/4,2,12,0
A4,53541.79581207479,0.25,4/4,2,12,0
C6,53698.200024801554,0.25,4/4,2,12,0
G4,53947.48405612243,0.25,4/4,2,12,0
B♭5,54127.10822349769,0.25,4/4,2,12,0
F4,54376.392254818595,0.25,4/4,2,12,0
A5,54509.576512896805,0.25,4/4,2,12,0
E5,54735.640589569164,0.25,4/4,2,13,0
G5,54915.264756944445,0.25,4/4,2,13,0
C5,55350.30842545351,0.5,4/4,2,13,0
0,56168.949673756564,0.25,4/4,2,13,0
B♭4,56260.70020195577,0.25,4/4,2,13,0
A4,56486.7642786281,0.25,4/4,2,13,0
G4,56712.82835530043,0.25,4/4,2,13,0
A4,56892.45252267571,0.25,4/4,2,13,0
C6,57072.07669005099,0.25,4/4,2,13,0
D5,57298.14076672333,0.25,4/4,2,13,0
F5,57524.20484339566,0.25,4/4,2,13,0
B♭4,57727.04896541947,0.25,4/4,2,13,0
G5,57906.673132794735,0.25,4/4,2,13,0
C5,58202.397073412685,0.25,4/4,2,13,0
E5,58289.14142219385,0.25,4/4,2,13,0
A4,58468.765589569164,0.25,4/4,2,14,0
C6,58671.60971159296,0.25,4/4,2,14,0
D5,58914.95934311224,0.25,4/4,2,14,0
F5,59123.73786493764,0.25,4/4,2,14,0
B♭4,59303.362032312914,0.25,4/4,2,14,0
G5,59459.766245039675,0.25,4/4,2,14,0
C5,59801.93009495464,0.25,4/4,2,14,0
E5,60051.21412627549,0.25,4/4,2,14,0
F4,60509.477749433085,0.25,4/4,2,14,0
A5,60828.42164469952,0.25,4/4,2,14,0
G4,61124.14558531743,0.25,4/4,2,14,0
B♭5,61303.76975269271,0.25,4/4,2,14,0
A4,61483.39392006799,0.25,4/4,2,14,0
C6,61663.018087443306,0.25,4/4,2,14,0
B♭4,61889.08216411562,0.25,4/4,2,14,0
D6,62045.48637684241,0.25,4/4,2,14,0
C5,62387.65022675737,0.25,4/4,2,15,0
E5,62613.714303429704,0.25,4/4,2,15,0
A4,62816.558425453506,0.25,4/4,2,15,0
F5,62949.74268353174,0.25,4/4,2,15,0
B♭4,63199.026714852596,0.25,4/4,2,15,0
G5,63541.19056476756,0.25,4/4,2,15,0
C5,63720.81473214284,0.25,4/4,2,15,0
E5,63923.65885416665,0.25,4/4,2,15,0
F4,64405.14243197277,0.25,4/4,2,15,0
E5,64863.40605513037,0.25,4/4,2,15,0
F5,65089.4701318027,0.25,4/4,2,15,0
D5,65292.31425382649,0.25,4/4,2,15,0
F4,65611.25814909293,0.25,4/4,2,15,0
A5,65976.64195365644,0.25,4/4,2,15,0
F5,66179.48607568024,0.25,4/4,2,15,0
E5,66335.89028840703,0.25,4/4,2,15,0
G4,66678.05413832194,0.25,4/4,2,16,0
E5,67089.87785218254,0.25,4/4,2,16,0
F5,67292.72197420629,0.25,4/4,2,16,0
D5,67425.90623228457,0.25,4/4,2,16,0
A4,67698.41021825389,0.25,4/4,2,16,0
A5,68045.09439158827,0.25,4/4,2,16,0
F5,68057.68690803564,0.25,4/4,2,16,0
E5,68237.2827203798,0.25,4/4,2,16,0
B♭4,68416.90688775507,0.25,4/4,2,16,0
E5,68898.39046556121,0.25,4/4,2,16,0
F5,69263.77427012475,0.25,4/4,2,16,0
D5,69420.17848285144,0.25,4/4,2,16,0
G5,69641.44327522676,0.25,4/4,2,16,0
A5,69918.74654549317,0.125,4/4,2,16,0
G5,69973.72869720805,0.125,4/4,2,16,0
F5,70051.93080357143,0.25,4/4,2,16,0
G5,70100.94734649974,0.25,4/4,2,16,0
A4,70504.05895691611,0.25,4/4,2,17,0
C♯5,70660.4631696428,0.25,4/4,2,17,0
E5,70863.30729166666,0.25,4/4,2,17,0
A5,71042.93145904188,0.25,4/4,2,17,0
A4,71319.65096849884,0.25,4/4,2,17,0
D5,71448.61970308951,0.25,4/4,2,17,0
F5,71674.6837797619,0.25,4/4,2,17,0
A5,71854.30794713717,0.25,4/4,2,17,0
A4,72178.57148340487,0.25,4/4,2,17,0
C♯5,72283.21614583336,0.25,4/4,2,17,0
E5,72648.59995039679,0.5,4/4,2,17,0
0,73723.05932569625,1.0,4/4,2,17,0
F5,76303.75992063487,0.25,4/4,3,18,0
A5,77249.64259141155,0.25,4/4,3,18,0
C6,77731.12616921762,1.5,4/4,3,18,0
E5,80945.10700113382,0.25,4/4,3,18,0
G5,82448.26858347503,0.25,4/4,3,18,0
C6,82720.77256944448,1.5,4/4,3,18,0
D5,84796.97562358277,0.25,4/4,3,19,0
F5,85696.41838506231,0.25,4/4,3,19,0
B♭5,86154.68200821997,1.0,4/4,3,19,0
B5,87430.45758928571,0.25,4/4,3,19,0
C6,88701.41962514177,0.25,4/4,3,19,0
E5,89252.5630668934,0.25,4/4,3,19,0
G5,90082.34596442746,0.25,4/4,3,19,0
C5,91237.2082270408,0.5,4/4,3,19,0
0,93268.29329648522,1.0,4/4,3,19,0
G5,94544.06887755098,0.25,4/4,3,20,0
B♭5,95559.61141227325,0.25,4/4,3,20,0
D6,96459.05417375278,1.5,4/4,3,20,0
F5,100973.35246598638,0.25,4/4,3,20,0
A5,101896.0151821145,0.25,4/4,3,20,0
D6,103886.79581207485,1.5,4/4,3,20,0
E♭5,104871.66099773244,0.25,4/4,3,21,0
G5,105515.68425807818,0.25,4/4,3,21,0
C6,105764.9682893991,1.0,4/4,3,21,0
C♯6,107229.7328234003,0.25,4/4,3,21,0
D6,108102.72631448411,0.25,4/4,3,21,0
F♯5,108793.18948412697,0.25,4/4,3,21,0
A5,109460.43269912135,0.25,4/4,3,21,0
D5,110452.75527919497,0.5,4/4,3,21,0
0,112244.89987117218,1.0,4/4,3,21,0
0,113879.01150768115,0.25,4/4,4,22,0
B♭4,114287.53941680839,0.125,4/4,4,22,0
A4,114574.72111500849,0.125,4/4,4,22,0
B♭4,114676.14317602034,0.25,4/4,4,22,0
G4,114878.98729804422,0.25,4/4,4,22,0
E♭5,115128.27132936503,0.25,4/4,4,22,0
G4,115470.43517928003,0.25,4/4,4,22,0
A4,115650.05934665533,0.25,4/4,4,22,0
E♭5,115783.24360473354,0.25,4/4,4,22,0
B♭4,116009.30768140593,0.25,4/4,4,22,0
D5,116328.25157667231,0.125,4/4,4,22,0
C5,116383.23372838715,0.125,4/4,4,22,0
D5,116484.65578939911,0.25,4/4,4,22,0
B♭4,116687.49991142287,0.25,4/4,4,22,0
F5,116867.12407879821,0.25,4/4,4,22,0
A4,117116.40811011901,0.25,4/4,4,22,0
B4,117290.01160359978,0.25,4/4,4,22,0
F5,117475.65644486957,0.25,4/4,4,22,0
C5,117817.82029478459,0.25,4/4,4,23,0
E♭5,118136.76419005096,0.125,4/4,4,23,0
D5,118214.96629641444,0.125,4/4,4,23,0
E♭5,118316.3883574263,0.25,4/4,4,23,0
C5,118496.01252480152,0.25,4/4,4,23,0
F♯5,118722.07660147392,0.25,4/4,4,23,0
D5,118971.36063279472,0.25,4/4,4,23,0
A5,119150.98480017006,0.25,4/4,4,23,0
C5,119330.60896754528,0.25,4/4,4,23,0
B♭4,119742.43268140587,0.25,4/4,4,23,0
D5,120038.15662202379,0.25,4/4,4,23,0
G5,120217.78078939907,0.25,4/4,4,23,0
B♭4,120397.40495677441,0.25,4/4,4,23,0
C5,120577.02912414962,0.25,4/4,4,23,0
A5,120826.31315547053,0.25,4/4,4,23,0
D5,120982.71736819725,0.25,4/4,4,23,0
F♯5,121278.4413088152,0.25,4/4,4,23,0
G4,121806.36479591831,0.25,4/4,4,24,0
