Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
A4,1137.7777777777778,1.25,4/4,1,1,0
B4,2430.637843679139,0.25,4/4,1,1,0
A4,2726.361784297053,0.25,4/4,1,1,0
E4,2952.425860969386,0.25,4/4,1,1,0
A4,3132.0500283446695,0.25,4/4,1,1,0
C♯5,3334.894150368479,0.25,4/4,1,1,0
A4,3468.07840844671,0.25,4/4,1,1,0
E4,3647.7025758219934,0.25,4/4,1,1,0
A4,3780.886833900225,0.25,4/4,1,1,0
B4,3960.5110012755094,0.25,4/4,1,1,0
A4,4093.6952593537417,0.25,4/4,1,1,0
E4,4226.87951743197,0.25,4/4,1,1,0
A4,4360.063775510202,0.25,4/4,1,2,0
C♯5,4493.248033588433,0.25,4/4,1,2,0
A4,4579.992382369611,0.25,4/4,1,2,0
E4,4713.176640447842,0.25,4/4,1,2,0
A4,4799.920989229022,0.25,4/4,1,2,0
E5,4956.325201955778,0.25,4/4,1,2,0
A4,5089.50946003401,0.25,4/4,1,2,0
E4,5176.253808815189,0.25,4/4,1,2,0
A4,5286.218112244896,0.25,4/4,1,2,0
E5,5558.722098214285,0.25,4/4,1,2,0
F♯5,5738.346265589571,0.25,4/4,1,2,0
D5,5871.530523667802,0.25,4/4,1,2,0
E5,6004.71478174603,0.25,4/4,1,2,0
C♯5,6068.239175878684,0.25,4/4,1,2,0
D5,6154.983524659872,0.25,4/4,1,2,0
B4,6311.387737386623,0.25,4/4,1,2,0
C♯5,6421.352040816335,0.25,4/4,1,3,0
E5,6693.856026785716,0.25,4/4,1,3,0
F♯5,6803.820330215427,0.25,4/4,1,3,0
D5,6937.004588293652,0.25,4/4,1,3,0
E5,7046.968891723363,0.25,4/4,1,3,0
C♯5,7133.713240504536,0.25,4/4,1,3,0
D5,7243.677543934248,0.25,4/4,1,3,0
B4,7376.861802012471,0.25,4/4,1,3,0
C♯5,7486.826105442184,0.25,4/4,1,3,0
A4,7666.450272817459,0.25,4/4,1,3,0
B4,7778.659299042652,0.25,4/4,1,3,0
C♯5,7886.378879676875,0.25,4/4,1,3,0
D5,7996.343183106583,0.25,4/4,1,3,0
E5,8106.307486536293,0.25,4/4,1,3,0
F♯5,8216.271789965993,0.25,4/4,1,3,0
G♯5,8279.796184098643,0.25,4/4,1,3,0
A5,8412.980442176875,0.25,4/4,1,4,0
E5,8615.824564200693,0.25,4/4,1,4,0
C♯5,8702.568912981866,0.25,4/4,1,4,0
A4,8753.802798689674,0.25,4/4,1,4,0
A5,8997.163323060438,0.25,4/4,1,4,0
E5,9055.681777919513,0.25,4/4,1,4,0
C♯5,9119.20617205216,0.25,4/4,1,4,0
A4,9171.747613617457,0.25,4/4,1,4,0
A5,10057.317601347791,0.5,4/4,1,4,0
A4,10067.8472850275,0.5,4/4,1,4,0
0,10452.37067743766,1.0,4/4,1,4,0
D5,12169.325396825398,0.25,4/4,1,5,0
C♯5,12604.36906533446,0.25,4/4,1,5,0
D5,12654.76439454858,1.5,4/4,1,5,0
F♯5,13884.958191609978,0.25,4/4,1,5,0
D5,14273.561950821986,0.75,4/4,1,5,0
A5,14696.334679705202,0.25,4/4,1,5,0
D5,14968.838665674588,0.75,4/4,1,5,0
C♯5,15623.810941043082,0.25,4/4,1,6,0
