Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
B4,5758.5487528344665,0.25,4/4,1,1,0
D5,6309.692194586168,0.25,4/4,1,1,0
F♯5,6605.416135204083,1.5,4/4,1,1,0
A4,9819.396967120185,0.25,4/4,1,1,0
C♯5,10370.540408871884,0.25,4/4,1,1,0
F♯5,10619.824440192746,1.5,4/4,1,1,0
G4,13601.605725623587,0.25,4/4,1,2,0
B4,14059.869348781185,0.25,4/4,1,2,0
E5,14448.4731079932,1.0,4/4,1,2,0
E♯5,16072.54800878685,0.25,4/4,1,2,0
F♯5,16646.911405187075,0.25,4/4,1,2,0
F♯4,18646.033683920075,1.0,4/4,1,2,0
0,18682.81001984127,1.0,4/4,1,2,0
0,19512.76247165533,0.25,4/4,2,3,0
D5,19720.250584608846,0.125,4/4,2,3,0
C♯5,19844.89260026928,0.125,4/4,2,3,0
D5,19946.314661281187,0.25,4/4,2,3,0
B4,20149.15878330499,0.25,4/4,2,3,0
G5,20375.22285997733,0.25,4/4,2,3,0
B4,20668.353218891723,0.25,4/4,2,3,0
C♯5,20920.23083191611,0.25,4/4,2,3,0
G5,21099.854999291383,0.25,4/4,2,3,0
D5,21395.578939909305,0.25,4/4,2,3,0
F♯5,21644.86297123016,0.125,4/4,2,3,0
E5,21769.50498689059,0.125,4/4,2,3,0
F♯5,21849.925728103743,0.25,4/4,2,3,0
D5,22096.99112457483,0.25,4/4,2,3,0
A5,22253.395337301594,0.25,4/4,2,3,0
C♯5,22709.144222822557,0.25,4/4,2,3,0
D♯5,22821.623263888894,0.25,4/4,2,3,0
A5,23196.317635901934,0.25,4/4,2,3,0
E5,23320.191326530618,0.25,4/4,2,4,0
G5,23523.03544855442,0.125,4/4,2,4,0
F♯5,23624.457509566328,0.125,4/4,2,4,0
G5,23749.09952522676,0.25,4/4,2,4,0
E5,23998.38355654762,0.25,4/4,2,4,0
A♯5,24201.22767857143,0.25,4/4,2,4,0
F♯5,24473.731664540814,0.25,4/4,2,4,0
C♯6,24653.355831916106,0.25,4/4,2,4,0
E5,25065.179545776642,0.25,4/4,2,4,0
D5,25198.363803854878,0.25,4/4,2,4,0
F♯5,25470.86778982426,0.25,4/4,2,4,0
B5,25673.71191184806,0.25,4/4,2,4,0
D5,25922.995943168924,0.25,4/4,2,4,0
E5,26125.84006519273,0.25,4/4,2,4,0
C♯6,26351.90414186506,0.25,4/4,2,4,0
F♯5,26601.18817318592,0.25,4/4,2,4,0
A♯5,26804.032295209738,0.25,4/4,2,4,0
B4,27122.976190476165,0.25,4/4,2,5,0
C♯5,27488.359995039675,0.25,4/4,2,5,0
D5,27644.764207766435,0.25,4/4,2,5,0
A4,27824.388375141716,0.25,4/4,2,5,0
G♯4,28096.8923611111,0.25,4/4,2,5,0
D5,28322.956437783432,0.25,4/4,2,5,0
F♯4,28572.240469104287,0.25,4/4,2,5,0
D5,28798.304545776627,0.25,4/4,2,5,0
E♯4,29117.248441043084,0.25,4/4,2,5,0
C♯5,29412.972381660988,0.25,4/4,2,5,0
B♯4,29592.596549036276,0.25,4/4,2,5,0
C♯5,29888.320489654183,0.25,4/4,2,5,0
G♯5,30044.72470238094,0.25,4/4,2,5,0
C♯5,30363.668597647375,0.25,4/4,2,5,0
B5,30543.292765022667,0.25,4/4,2,5,0
C♯5,31210.53598001699,0.25,4/4,2,5,0
0,31276.991536650894,0.25,4/4,2,6,0
A4,31476.904496173454,0.125,4/4,2,6,0
G♯4,31555.106602536842,0.125,4/4,2,6,0
A4,31656.528663548746,0.25,4/4,2,6,0
F♯4,31905.812694869608,0.25,4/4,2,6,0
D5,32155.096726190466,0.25,4/4,2,6,0
F♯4,32427.600712159852,0.25,4/4,2,6,0
G♯4,32607.224879535137,0.25,4/4,2,6,0
D5,32786.84904691041,0.25,4/4,2,6,0
A4,33129.012896825385,0.25,4/4,2,6,0
C♯5,33401.516882794764,0.125,4/4,2,6,0
B4,33459.87785710349,0.125,4/4,2,6,0
C♯5,33627.580959467115,0.25,4/4,2,6,0
A4,33807.2051268424,0.25,4/4,2,6,0
E5,34056.489158163255,0.25,4/4,2,6,0
G♯4,34328.99314413264,0.25,4/4,2,6,0
A♯4,34485.397356859394,0.25,4/4,2,6,0
E5,34711.461433531724,0.25,4/4,2,6,0
B4,34983.965419501124,0.25,4/4,2,7,0
D5,35256.4694054705,0.125,4/4,2,7,0
C♯5,35357.89146648241,0.125,4/4,2,7,0
D5,35459.31352749433,0.25,4/4,2,7,0
B4,35685.37760416666,0.25,4/4,2,7,0
E♯5,35957.88159013604,0.25,4/4,2,7,0
C♯5,36207.1656214569,0.25,4/4,2,7,0
G♯5,36386.78978883218,0.25,4/4,2,7,0
B4,36636.07382015304,0.25,4/4,2,7,0
A4,36908.57780612244,0.25,4/4,2,7,0
C♯5,37250.7416560374,0.25,4/4,2,7,0
F♯5,37383.92591411564,0.25,4/4,2,7,0
A4,37633.2099454365,0.25,4/4,2,7,0
B4,37859.27402210883,0.25,4/4,2,7,0
G♯5,38108.55805342969,0.25,4/4,2,7,0
C♯5,38334.62213010202,0.25,4/4,2,7,0
E♯5,38630.346070719956,0.25,4/4,2,7,0
F♯4,38809.97023809522,0.25,4/4,2,8,0
A4,39221.793951955784,0.25,4/4,2,8,0
C♯5,39447.858028628114,0.25,4/4,2,8,0
F♯5,39650.702150651916,0.25,4/4,2,8,0
0,39868.48429788582,0.25,4/4,2,8,0
A5,40265.369986536265,0.25,4/4,2,8,0
C♯5,40607.53383645123,0.25,4/4,2,8,0
E5,40763.93804917798,0.25,4/4,2,8,0
D♯5,41013.22208049883,0.25,4/4,2,8,0
F♯5,41285.72606646822,0.25,4/4,2,8,0
B4,41563.65188466139,0.25,4/4,2,8,0
B5,42084.725478668435,0.25,4/4,2,8,0
C♯5,42149.67793367344,0.25,4/4,2,8,0
A5,42282.86219175171,0.25,4/4,2,8,0
D♯5,42578.58613236961,0.25,4/4,2,8,0
F♯5,42734.990345096376,0.25,4/4,2,8,0
E4,43030.71428571429,0.25,4/4,2,9,0
G4,43303.21827168367,0.25,4/4,2,9,0
B4,43506.06239370748,0.25,4/4,2,9,0
E5,43778.56637967686,0.25,4/4,2,9,0
0,43885.487579522545,0.25,4/4,2,9,0
G5,44253.91448767005,0.25,4/4,2,9,0
B4,44479.97856434239,0.25,4/4,2,9,0
D5,44729.26259566324,0.25,4/4,2,9,0
C♯5,44978.546626984105,0.25,4/4,2,9,0
E5,45227.83065830496,0.25,4/4,2,9,0
A4,45453.894734977286,0.25,4/4,2,9,0
A5,45954.210925984975,0.25,4/4,2,9,0
B4,45998.902706916066,0.25,4/4,2,9,0
G5,46201.746828939904,0.25,4/4,2,9,0
C♯5,46422.250124007915,0.25,4/4,2,9,0
E5,46653.87498228459,0.25,4/4,2,9,0
D4,46949.59892290249,0.25,4/4,2,10,0
F♯4,47152.44304492631,0.25,4/4,2,10,0
A4,47401.72707624716,0.25,4/4,2,10,0
D5,47697.451016865074,0.25,4/4,2,10,0
0,47923.515093537404,0.25,4/4,2,10,0
F♯5,48172.79912485826,0.25,4/4,2,10,0
D5,48398.86320153059,0.25,4/4,2,10,0
A5,48624.92727820292,0.25,4/4,2,10,0
G4,48943.871173469364,0.25,4/4,2,10,0
B5,49239.59511408727,0.25,4/4,2,10,0
A5,49488.87914540815,0.25,4/4,2,10,0
G5,49738.16317672899,0.25,4/4,2,10,0
G4,49853.18515678743,0.25,4/4,2,10,0
B5,50190.291330073684,0.25,4/4,2,10,0
E4,50532.45517998867,0.25,4/4,2,10,0
G5,50665.63943806689,0.25,4/4,2,10,0
F♯4,50914.92346938776,0.25,4/4,2,11,0
A5,51140.98754606009,0.25,4/4,2,11,0
G5,51413.491532029475,0.25,4/4,2,11,0
F♯5,51617.90319989346,0.25,4/4,2,11,0
F♯4,51746.175605782984,0.25,4/4,2,11,0
