Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
F5,1486.077097505669,0.5,4/4,1,1,0
A5,1868.545386904762,0.5,4/4,1,2,0
F5,1950.4689668444792,0.5,4/4,1,2,0
B♭5,2099.4230087868473,0.5,4/4,1,2,0
F5,2180.031887755101,0.5,4/4,1,2,0
C6,2330.3006306689326,0.5,4/4,1,2,0
F5,2457.3494189342387,0.5,4/4,1,2,0
A5,2584.398207199546,0.5,4/4,1,2,0
F5,2665.0070861678046,0.5,4/4,1,2,0
B♭5,2815.2758290816364,0.5,4/4,1,3,0
F5,2895.88470804989,0.5,4/4,1,3,0
C6,3022.933496315196,0.5,4/4,1,3,0
F5,3111.4305811122263,0.5,4/4,1,3,0
D6,3253.8111181972813,0.5,4/4,1,3,0
F5,3334.4199971655353,0.5,4/4,1,3,0
C6,3461.468785430833,0.5,4/4,1,3,0
F5,3542.077664399087,0.5,4/4,1,3,0
D6,3692.346407312919,0.5,4/4,1,4,0
F5,3767.2939696711983,0.5,4/4,1,4,0
E6,3854.507261180571,0.5,4/4,1,4,0
F5,3980.612953514732,0.5,4/4,1,4,0
F6,4349.423796648203,0.5,4/4,1,4,0
F5,4357.384315363544,0.5,4/4,1,4,0
A5,4365.344834078887,0.5,4/4,1,4,0
C6,4442.368197278903,0.5,4/4,1,4,0
F6,4522.977076247157,0.5,4/4,1,5,0
F5,4725.084035060783,0.5,4/4,1,5,0
A5,4800.2946074262945,0.5,4/4,1,5,0
C6,4857.683531746021,0.5,4/4,1,5,0
F6,4945.80903997528,1.0,4/4,1,5,0
0,6353.387719671182,1.0,4/4,1,5,0
F5,8325.761940192753,0.0,3/2,2,6,0
A5,8617.106274801597,0.0,3/2,2,6,0
C6,8722.690972222239,3.0,3/2,2,6,0
D6,10437.00184240364,1.0,3/2,2,6,0
B♭5,10574.999645691621,2.0,3/2,2,6,0
C5,12755.03153344672,0.0,3/2,2,7,0
F5,13139.25568664967,0.0,3/2,2,7,0
A5,13407.380066609992,3.0,3/2,2,7,0
B♭5,14959.15125425172,1.0,3/2,2,7,0
G5,15538.328195861688,2.0,3/2,2,7,0
A4,17370.060763888894,0.0,3/2,2,8,0
C5,17870.384690334475,0.0,3/2,2,8,0
F5,18138.509070294793,3.0,3/2,2,8,0
A5,19899.259849773236,1.0,3/2,2,8,0
G5,20176.57738095236,2.0,3/2,2,8,0
A5,21334.931264172334,1.5,3/2,2,9,0
G5,22737.755633503388,0.25,3/2,2,9,0
A5,22894.15984623014,0.25,3/2,2,9,0
G5,23143.443877551,2.0,3/2,2,9,0
0,25170.381044921774,0.5,4/4,3,10,0
C5,25682.724100056694,0.5,4/4,3,10,0
E5,26158.07220804988,0.5,4/4,3,11,0
C5,26424.44072420634,0.5,4/4,3,11,0
F5,26574.709467120163,0.5,4/4,3,11,0
C5,26748.19816468251,0.5,4/4,3,11,0
G5,26875.24695294781,0.5,4/4,3,11,0
C5,27071.955605158688,0.5,4/4,3,11,0
E5,27152.564484126957,0.5,4/4,3,11,0
C5,27279.613272392282,0.5,4/4,3,11,0
F5,27403.10427295918,0.5,4/4,3,12,0
C5,27510.490894274364,0.5,4/4,3,12,0
G5,27614.319727891136,0.5,4/4,3,12,0
C5,27741.368516156435,0.5,4/4,3,12,0
A5,27845.197349773207,0.5,4/4,3,12,0
C5,27972.246138038507,0.5,4/4,3,12,0
G5,28076.074971655293,0.5,4/4,3,12,0
C5,28203.123759920614,0.5,4/4,3,12,0
A5,28306.95259353741,0.5,4/4,3,13,0
C5,28410.781427154183,0.5,4/4,3,13,0
B5,28514.610260770958,0.5,4/4,3,13,0
C5,28664.879003684782,0.5,4/4,3,13,0
C6,28939.530139266117,0.5,4/4,3,13,0
C5,28947.490657981463,0.5,4/4,3,13,0
E5,29046.025368480732,0.5,4/4,3,13,0
G5,29103.414292800455,0.5,4/4,3,13,0
C6,29253.683035714283,0.5,4/4,3,14,0
C5,29477.114744055834,0.5,4/4,3,14,0
E5,29559.101397727547,0.5,4/4,3,14,0
G5,29588.389491213125,0.5,4/4,3,14,0
C6,29738.658234126953,1.0,4/4,3,14,0
0,31161.155261809974,1.0,4/4,3,14,0
C5,33010.02799036281,0.0,3/2,4,15,0
E5,33301.372324971635,0.0,3/2,4,15,0
G5,33445.06581278343,3.0,3/2,4,15,0
A5,35353.46743905894,1.0,3/2,4,15,0
F5,35700.44483418365,2.0,3/2,4,15,0
G4,37276.75790107704,0.0,3/2,4,16,0
C5,37707.42196357703,0.0,3/2,4,16,0
E5,37900.426232993166,3.0,3/2,4,16,0
F5,40038.1565334467,1.0,3/2,4,16,0
D5,40570.893565759616,2.0,3/2,4,16,0
C5,41868.567176870696,0.0,3/2,4,17,0
B4,42252.79133007363,0.0,3/2,4,17,0
C5,42404.81593679133,3.0,3/2,4,17,0
E5,43910.14721513605,1.0,3/2,4,17,0
D5,44442.88424744896,2.0,3/2,4,17,0
