Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
D4,219.5044288548679,1.5,4/4,1,1,0
D5,635.9135240493182,0.25,4/4,1,1,0
E5,1894.8327841553216,0.25,4/4,1,1,0
E5,1964.5325876790291,1.5,4/4,1,1,0
D5,3268.301729024936,0.25,4/4,1,1,0
E5,3424.705941751691,0.25,4/4,1,1,0
D4,3627.5500637755013,1.5,4/4,1,2,0
F♯5,5192.914115646254,0.25,4/4,1,2,0
G5,5327.874041555536,0.25,4/4,1,2,0
G5,5424.2575940098195,1.5,4/4,1,2,0
F♯5,6699.567318594091,0.25,4/4,1,2,0
G5,6809.531622023804,0.25,4/4,1,2,0
D4,7058.815653344659,1.0,4/4,1,3,0
A5,8055.951778628112,0.75,4/4,1,3,0
F♯4,8803.803872590694,0.25,4/4,1,3,0
G5,8960.208085317454,0.75,4/4,1,3,0
E4,9615.180360685932,0.25,4/4,1,3,0
F♯5,9794.804528061222,0.75,4/4,1,3,0
D4,10472.996758078221,0.25,4/4,1,3,0
E5,10675.840880102036,1.0,4/4,1,4,0
A4,11719.416914682537,1.0,4/4,1,4,0
0,13152.959660223942,0.125,4/4,1,4,0
A4,13164.520833429604,0.125,4/4,1,4,0
B4,13176.223661214932,0.125,4/4,1,4,0
C♯5,13253.018769486953,0.125,4/4,1,4,0
D5,13331.220875850335,0.125,4/4,1,4,0
E5,13386.203027565192,0.125,4/4,1,4,0
F♯5,13459.641856221644,0.125,4/4,1,4,0
G5,13542.607240291933,0.125,4/4,1,4,0
A5,13620.809346655311,0.75,4/4,1,4,0
G5,14368.66144061791,0.25,4/4,1,4,0
F♯5,14525.065653344665,0.75,4/4,1,5,0
C♯5,15342.577611252824,0.25,4/4,1,5,0
D5,15452.541914682519,1.0,4/4,1,5,0
0,16566.350727688186,0.125,4/4,1,5,0
B4,16620.75996492346,0.125,4/4,1,5,0
C♯5,16698.96207128684,0.125,4/4,1,5,0
D5,16751.647184904297,0.125,4/4,1,5,0
E5,16832.146329365063,0.125,4/4,1,5,0
F♯5,16868.11835999118,0.125,4/4,1,5,0
G5,16965.3305874433,0.125,4/4,1,5,0
A5,17043.532693806686,0.125,4/4,1,5,0
B5,17077.1502729715,0.75,4/4,1,5,0
A5,17753.48712089002,0.25,4/4,1,5,0
G♯5,17936.2924008266,0.75,4/4,1,6,0
D♯5,18704.183336876402,0.25,4/4,1,6,0
E5,18837.367594954652,1.0,4/4,1,6,0
0,20258.232077900597,0.75,4/4,1,6,0
B4,20303.71635841835,0.25,4/4,1,6,0
C♯5,20436.900616496598,0.75,4/4,1,6,0
G♯4,21068.65293721655,0.25,4/4,1,6,0
A4,21271.497059240355,0.75,4/4,1,7,0
A4,21556.846182239966,0.0833333333333333,4/4,1,7,0
B4,21947.644132653044,0.0833333333333333,4/4,1,7,0
C♯5,22015.258839994334,0.0833333333333333,4/4,1,7,0
F♯4,22152.533411281172,0.75,4/4,1,7,0
F♯4,22785.238111892704,0.0833333333333333,4/4,1,7,0
G4,22828.680484693876,0.0833333333333333,4/4,1,7,0
A4,22896.295192035144,0.0833333333333333,4/4,1,7,0
D4,23149.66953656462,0.75,4/4,1,7,0
C♯5,23688.54203869046,0.25,4/4,1,7,0
D5,23798.506342120174,0.75,4/4,1,7,0
A♯4,24476.69857213717,0.25,4/4,1,7,0
B4,24656.322739512467,0.75,4/4,1,8,0
B4,25132.819066071013,0.0833333333333333,4/4,1,8,0
C♯5,25378.90972222222,0.0833333333333333,4/4,1,8,0
D5,25423.30447491496,0.0833333333333333,4/4,1,8,0
G♯4,25537.359091553277,0.75,4/4,1,8,0
G♯4,26153.7693705548,0.0833333333333333,4/4,1,8,0
A4,26190.286210317485,0.0833333333333333,4/4,1,8,0
B4,26234.68096301023,0.0833333333333333,4/4,1,8,0
E4,26325.515625000025,0.75,4/4,1,8,0
D♯5,27026.927809665543,0.25,4/4,1,8,0
E5,27113.67215844672,0.75,4/4,1,8,0
B4,27838.304297760795,0.25,4/4,1,8,0
C♯5,28017.928465136058,0.75,4/4,1,9,0
A4,28719.34064980163,0.25,4/4,1,9,0
F♯5,28875.744862528383,1.0,4/4,1,9,0
G♯4,29710.341305272133,0.75,4/4,1,9,0
B4,30318.87367134355,0.25,4/4,1,9,0
E5,30475.277884070303,0.75,4/4,1,9,0
E4,31211.857012264707,0.25,4/4,1,9,0
F♯4,31240.214462868473,0.75,4/4,1,10,0
A4,31941.626647534056,0.25,4/4,1,10,0
D5,32933.94922760774,1.0,4/4,1,10,0
E4,33234.4867134354,0.75,4/4,1,10,0
G♯4,33634.03948767008,0.25,4/4,1,10,0
C♯5,33790.443700396834,0.75,4/4,1,10,0
