Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
G4,312.38424744897225,2.0,3/2,1,1,0
E♭5,2213.7766794217605,0.5,3/2,1,1,0
D5,2573.0250141723286,1.5,3/2,1,1,0
C5,3929.409474206346,0.5,3/2,1,1,0
B♭4,4218.997945011334,1.5,3/2,1,1,0
A4,5854.02186082766,0.0,3/2,1,2,0
G4,6679.425152352605,4.0,3/2,1,2,0
0,10737.62951743198,2.0,3/2,1,2,0
F♯4,11245.824670493188,2.0,3/2,1,3,0
D5,13147.217102465978,0.5,3/2,1,3,0
C5,13413.585618622441,1.5,3/2,1,3,0
B♭4,14816.409987953513,0.5,3/2,1,3,0
A4,15152.438368055557,1.5,3/2,1,3,0
D4,17135.76160359977,4.0,3/2,1,4,0
0,20567.027193168946,2.0,3/2,1,4,0
G5,21818.260894983003,0.5,3/4,2,5,0
D5,22061.409456490932,0.5,3/4,2,5,0
D5,22702.352078794287,0.5,3/4,2,5,0
D5,22709.30949498976,0.5,3/4,2,5,0
D5,22716.266911185237,0.25,3/4,2,5,0
E♭5,22784.719671201816,0.25,3/4,2,5,0
C5,22917.903929280048,0.25,3/4,2,5,0
D5,23004.648278061224,0.25,3/4,2,5,0
E♭5,23230.712354733558,0.5,3/4,2,6,0
C5,23520.30082553855,0.5,3/4,2,6,0
C5,24049.231919926297,0.5,3/4,2,6,0
C5,24056.122544926293,0.5,3/4,2,6,0
C5,24063.013169926293,0.25,3/4,2,6,0
D5,24104.29131235827,0.25,3/4,2,6,0
E♭5,24167.81570649093,0.25,3/4,2,6,0
C5,24277.780009920654,0.25,3/4,2,6,0
D5,24410.964267998876,0.5,3/4,2,7,0
D4,24740.55185959414,0.5,3/4,2,7,0
C5,24827.601527069157,0.5,3/4,2,7,0
D4,25047.53013392856,0.5,3/4,2,7,0
A5,25337.11860473354,0.5,3/4,2,7,0
B♭4,25696.366939484113,0.25,3/4,2,7,0
A4,25761.437364116886,0.25,3/4,2,7,0
B♭4,25784.591715393588,0.5,3/4,2,8,0
G4,25904.024606717707,0.5,3/4,2,8,0
D5,26123.953213577108,0.5,3/4,2,8,0
G4,26367.101775085037,0.5,3/4,2,8,0
G5,27022.274048295385,0.5,3/4,2,8,0
G4,27030.44604189121,0.5,3/4,2,8,0
B♭5,27073.3275049603,0.5,3/4,2,9,0
