Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
A4,382.0441113945504,1.0,3/4,1,1,0
C5,2400.8582412131436,1.0,3/4,1,1,0
E5,4117.812960600899,1.0,3/4,1,1,0
F4,6090.18718112244,1.0,3/4,1,2,0
0,8085.781356292508,0.25,3/4,1,2,0
E5,8149.30575042516,0.25,3/4,1,2,0
D5,8468.2496456916,0.25,3/4,1,2,0
C♯5,8741.222002507804,0.25,3/4,1,2,0
D5,9106.13743622448,0.25,3/4,1,2,0
F5,9401.861376842397,0.25,3/4,1,2,0
A5,9767.245181405884,0.25,3/4,1,2,0
D6,10134.40203713696,0.25,3/4,1,2,0
G4,10823.092155612232,1.0,3/4,1,3,0
B4,12609.706738945573,1.0,3/4,1,3,0
D5,14233.78163973923,1.0,3/4,1,3,0
E4,16136.495996315192,1.0,3/4,1,4,0
0,18145.26319637703,0.25,3/4,1,4,0
D5,18195.614565617907,0.25,3/4,1,4,0
C5,18537.778415532877,0.25,3/4,1,4,0
B4,18841.80428288856,0.25,3/4,1,4,0
C5,19222.106115362814,0.25,3/4,1,4,0
E5,19564.26996527778,0.25,3/4,1,4,0
G5,19929.65376984127,0.25,3/4,1,4,0
C6,20457.577256944453,0.25,3/4,1,4,0
F4,21774.979202097504,1.0,3/4,1,5,0
A4,23004.31487386621,1.0,3/4,1,5,0
C5,25882.26732568027,1.0,3/4,1,5,0
D4,26925.84336026076,0.25,3/4,1,6,0
C5,27593.086575255078,0.25,3/4,1,6,0
B4,28028.13024376416,0.25,3/4,1,6,0
A4,28393.514048327645,0.25,3/4,1,6,0
C5,28851.777671485255,0.25,3/4,1,6,0
A4,29356.481203939893,0.25,3/4,1,6,0
G♯4,29745.084963151916,0.25,3/4,1,6,0
A4,30064.02885841835,0.25,3/4,1,6,0
G♯4,30382.972753684786,0.25,3/4,1,6,0
A4,30701.916648951224,0.25,3/4,1,6,0
G♯4,30974.42063492062,0.25,3/4,1,6,0
A4,31293.36453018705,0.25,3/4,1,6,0
E4,31728.40819869614,0.25,3/4,1,7,0
A4,32302.771595096354,0.25,3/4,1,7,0
G♯4,32761.035218253954,0.25,3/4,1,7,0
A4,33172.8589321145,0.25,3/4,1,7,0
C5,33584.68264597504,0.25,3/4,1,7,0
A4,34159.04604237527,0.25,3/4,1,7,0
G♯4,34454.76998299318,0.25,3/4,1,7,0
A4,34773.71387825961,0.25,3/4,1,7,0
G♯4,35046.21786422902,0.25,3/4,1,7,0
A4,35365.16175949546,0.25,3/4,1,7,0
G♯4,35660.885700113366,0.25,3/4,1,7,0
A4,35979.82959537981,0.25,3/4,1,7,0
F4,36414.87326388887,0.25,3/4,1,8,0
A4,36873.13688704646,0.25,3/4,1,8,0
D5,37215.300736961435,0.25,3/4,1,8,0
F4,37627.124450822,0.25,3/4,1,8,0
A4,37876.40848214285,0.25,3/4,1,8,0
D5,38172.13242276077,0.25,3/4,1,8,0
F5,38467.856363378676,0.25,3/4,1,8,0
A4,38740.360349348055,0.25,3/4,1,8,0
D5,38989.64438066892,0.25,3/4,1,8,0
F5,39308.58827593537,0.25,3/4,1,8,0
A5,39581.09226190474,0.25,3/4,1,8,0
D5,39876.81620252267,0.25,3/4,1,8,0
F5,40149.32018849205,0.25,3/4,1,9,0
A5,40398.604219812914,0.25,3/4,1,9,0
D6,40763.988024376406,0.25,3/4,1,9,0
F5,41152.59178358842,0.25,3/4,1,9,0
A5,41471.53567885486,0.25,3/4,1,9,0
D5,41744.03966482425,0.25,3/4,1,9,0
F5,42086.20351473921,0.25,3/4,1,9,0
A4,42405.147410005666,0.25,3/4,1,9,0
D5,42979.51080640588,1.0,3/4,1,9,0
0,45300.18434665531,0.5,3/4,1,10,0
D4,45380.79322562356,0.5,3/4,1,10,0
A4,46436.64019982991,1.5,3/4,1,10,0
G♯4,48466.40334467118,0.25,3/4,1,10,0
A4,48808.56719458615,0.25,3/4,1,10,0
G♯4,49220.39090844668,0.25,3/4,1,11,0
D♯5,49585.77471301017,0.25,3/4,1,11,0
E5,49881.49865362808,0.25,3/4,1,11,0
B4,50223.66250354307,0.25,3/4,1,11,0
G♯4,50589.04630810659,0.25,3/4,1,11,0
A4,50931.210158021546,0.25,3/4,1,11,0
B4,51296.59396258504,0.25,3/4,1,11,0
G♯4,51754.85758574263,0.25,3/4,1,11,0
E4,52329.220982142855,1.0,3/4,1,11,0
0,56646.81062216552,0.5,3/4,2,12,0
C5,58724.33560090702,0.25,3/4,2,12,0
D5,58834.29990433671,0.25,3/4,2,12,0
E5,58944.26420776641,0.5,3/4,2,12,0
G♯4,59140.972859977315,0.5,3/4,2,12,0
A4,59337.681512188225,0.5,3/4,2,12,0
F5,59534.3901643991,0.5,3/4,2,12,0
G♯4,59731.09881660998,0.5,3/4,2,13,0
F5,59974.24737811791,0.5,3/4,2,13,0
E5,60170.95603032877,0.5,3/4,2,13,0
F♯4,60367.66468253965,0.5,3/4,2,13,0
G4,60587.59328939906,0.5,3/4,2,13,0
E5,60761.081986961435,0.5,3/4,2,13,0
F♯4,60981.01059382086,0.5,3/4,2,14,0
E5,61177.719246031746,0.5,3/4,2,14,0
D5,61490.527671485266,0.5,3/4,2,14,0
E4,61594.356505102034,0.5,3/4,2,14,0
F4,61930.38488520407,0.5,3/4,2,14,0
D5,62080.6536281179,0.5,3/4,2,14,0
E4,62300.58223497729,0.25,3/4,2,15,0
D5,62526.646311649645,0.25,3/4,2,15,0
C5,62590.17070578228,0.25,3/4,2,15,0
B4,62715.730658206565,0.25,3/4,2,15,0
C5,62740.43944869614,0.5,3/4,2,15,0
A4,62937.148100907034,0.5,3/4,2,15,0
E4,63110.636798469386,0.5,3/4,2,15,0
G♯5,63400.22526927437,0.5,3/4,2,15,0
A4,63689.81374007935,0.5,3/4,2,16,0
A5,63996.70805458388,0.25,3/4,2,16,0
G♯5,64042.92660501697,0.25,3/4,2,16,0
A5,64129.670953798166,0.5,3/4,2,16,0
E5,64303.1596513605,0.5,3/4,2,16,0
A5,64523.08825821993,0.5,3/4,2,16,0
C6,64719.79691043083,0.5,3/4,2,16,0
B4,64916.50556264173,0.5,3/4,2,17,0
B5,65316.10541285134,0.5,3/4,2,17,0
C♯5,65333.142821712,0.5,3/4,2,17,0
A5,65529.85147392287,0.5,3/4,2,17,0
D♯5,65773.00003543081,0.5,3/4,2,17,0
F♯5,65946.4887329932,0.5,3/4,2,17,0
E4,66236.0772037982,0.5,3/4,2,18,0
G5,66512.61990341009,0.25,3/4,2,18,0
A5,66589.19006873583,0.25,3/4,2,18,0
B5,66675.93441751701,0.5,3/4,2,18,0
D♯5,66872.64306972788,0.5,3/4,2,18,0
E5,67046.53166072062,0.5,3/4,2,18,0
C6,67242.84041950112,0.5,3/4,2,18,0
D♯5,67462.76902636052,0.5,3/4,2,19,0
C6,67729.137542517,0.5,3/4,2,19,0
B5,67925.84619472791,0.5,3/4,2,19,0
C♯5,68122.55484693879,0.5,3/4,2,19,0
D5,68319.26349914966,0.5,3/4,2,19,0
B5,68515.97215136055,0.5,3/4,2,19,0
C♯5,68735.90075821994,0.5,3/4,2,20,0
B5,68932.60941043083,0.5,3/4,2,20,0
A5,69152.53801729022,0.5,3/4,2,20,0
B4,69372.46662414963,0.5,3/4,2,20,0
C5,69592.39523100907,0.5,3/4,2,20,0
A5,69765.88392857138,0.5,3/4,2,20,0
B4,69962.59258078225,0.25,3/4,2,21,0
A5,70118.99679350907,0.25,3/4,2,21,0
G5,70182.52118764167,0.25,3/4,2,21,0
F♯5,70269.26553642288,0.25,3/4,2,21,0
G5,70356.00988520407,0.5,3/4,2,21,0
E5,70575.93849206352,0.5,3/4,2,21,0
B4,70749.42718962589,0.5,3/4,2,21,0
D♯5,70992.57575113382,0.5,3/4,2,21,0
E4,71235.72431264175,0.5,3/4,2,22,0
E5,71589.56987245439,0.25,3/4,2,22,0
D♯5,71635.27708687636,0.25,3/4,2,22,0
E5,71722.0214356576,0.5,3/4,2,22,0
B4,71918.73008786846,0.5,3/4,2,22,0
E5,72138.65869472788,0.5,3/4,2,22,0
G5,72358.58730158728,0.5,3/4,2,22,0
A4,72532.07599914963,0.5,3/4,2,23,0
A5,72885.90864831848,0.5,3/4,2,23,0
B4,72925.49330357138,0.5,3/4,2,23,0
G5,73122.20195578225,0.5,3/4,2,23,0
C♯5,73318.91060799314,0.5,3/4,2,23,0
G5,73492.39930555549,0.5,3/4,2,23,0
D4,73758.76782171207,0.5,3/4,2,24,0
D5,74050.94655157659,0.25,3/4,2,24,0
C♯5,74088.66073200111,0.25,3/4,2,24,0
D5,74175.40508078234,0.5,3/4,2,24,0
A4,74395.33368764175,0.5,3/4,2,24,0
D5,74499.16252125852,0.5,3/4,2,24,0
F5,74765.53103741498,0.5,3/4,2,24,0
G4,74962.23968962584,0.5,3/4,2,25,0
G5,75277.67245137492,0.5,3/4,2,25,0
A4,75355.6569940476,0.5,3/4,2,25,0
F5,75552.36564625849,0.5,3/4,2,25,0
B4,75772.29425311789,0.5,3/4,2,25,0
D6,75992.2228599773,0.5,3/4,2,25,0
C5,76258.59137613374,0.5,3/4,2,26,0
E5,77755.61748866209,0.25,3/4,2,26,0
G5,77867.01647036389,0.25,3/4,2,26,0
C6,78138.08577806117,0.5,3/4,2,26,0
C5,78847.36627970377,0.5,3/4,2,26,0
C6,78853.45770915921,0.5,3/4,2,26,0
C5,78859.54913861466,0.5,3/4,2,26,0
0,78971.36029620183,0.5,3/4,2,27,0
E5,79098.40908446714,0.25,3/4,2,27,0
G5,79161.93347859973,0.25,3/4,2,27,0
C6,79457.65741921769,0.5,3/4,2,27,0
C5,80029.92088778425,0.5,3/4,2,27,0
C6,80033.87556237102,0.5,3/4,2,27,0
C5,80037.8302369578,0.5,3/4,2,27,0
0,80041.78491154459,0.5,3/4,2,28,0
E5,80045.73958613134,0.25,3/4,2,28,0
G5,80047.71692342474,0.25,3/4,2,28,0
C6,80049.69426071813,0.5,3/4,2,28,0
C5,80055.50732484717,0.5,3/4,2,28,0
C6,80061.32710947553,0.5,3/4,2,28,0
C5,80067.14689410392,0.5,3/4,2,28,0
A5,80101.2065263605,0.25,3/4,2,29,0
B♭5,80187.95087514172,0.25,3/4,2,29,0
A5,80251.4752692743,0.25,3/4,2,29,0
G5,80361.43957270408,0.25,3/4,2,29,0
F5,80471.40387613373,0.25,3/4,2,29,0
G5,80558.14822491494,0.25,3/4,2,29,0
F5,80621.67261904762,0.25,3/4,2,29,0
E5,80731.63692247731,0.25,3/4,2,29,0
D5,80841.60122590707,0.25,3/4,2,29,0
E5,80928.34557468818,0.25,3/4,2,29,0
D5,81015.08992346941,0.25,3/4,2,29,0
C5,81125.05422689907,0.25,3/4,2,29,0
B4,81211.7985756803,0.5,3/4,2,30,0
D5,81454.94713718821,0.25,3/4,2,30,0
C5,81541.69148596934,0.25,3/4,2,30,0
B4,81651.6557893991,0.25,3/4,2,30,0
C5,81784.84004747726,0.25,3/4,2,30,0
B4,81860.72760459495,0.25,3/4,2,30,0
A4,81958.32874503963,0.25,3/4,2,30,0
G4,82068.29304846936,0.25,3/4,2,30,0
A4,82178.2573518991,0.25,3/4,2,30,0
G4,82241.78174603173,0.25,3/4,2,30,0
F4,82374.96600411001,0.25,3/4,2,30,0
E4,82487.77146272834,0.5,3/4,2,31,0
G5,82751.29882369611,0.5,3/4,2,31,0
F4,82948.00747590698,0.5,3/4,2,31,0
A5,83167.9360827664,0.5,3/4,2,31,0
G4,83364.64473497728,0.5,3/4,2,31,0
B4,83561.35338718818,0.5,3/4,2,31,0
C5,83804.50194869615,0.5,3/4,2,32,0
E5,84070.87046485265,0.25,3/4,2,32,0
F5,84134.39485898524,0.25,3/4,2,32,0
G5,84221.13920776646,0.5,3/4,2,32,0
B4,84441.06781462587,0.5,3/4,2,32,0
C5,84637.77646683675,0.5,3/4,2,32,0
E4,84834.48511904762,0.5,3/4,2,32,0
F4,85216.95340844672,0.5,3/4,2,33,0
F5,85889.71615301525,0.25,3/4,2,33,0
G5,85941.58554776071,0.25,3/4,2,33,0
A5,86005.10994189342,0.5,3/4,2,33,0
C♯5,86225.03854875281,0.5,3/4,2,33,0
D5,86398.52724631516,0.5,3/4,2,33,0
B♭5,86618.45585317456,0.5,3/4,2,33,0
C♯5,86838.38446003398,0.5,3/4,2,34,0
B♭5,87127.97293083895,0.5,3/4,2,34,0
A5,87347.90153769836,0.5,3/4,2,34,0
B4,87567.83014455775,0.5,3/4,2,34,0
C5,87741.31884212015,0.5,3/4,2,34,0
A5,87938.02749433108,0.5,3/4,2,34,0
B4,88181.17605583902,0.5,3/4,2,35,0
A5,88401.10466269843,0.5,3/4,2,35,0
G5,88621.03326955784,0.5,3/4,2,35,0
A4,88840.96187641723,0.5,3/4,2,35,0
B♭4,89060.89048327664,0.5,3/4,2,35,0
G5,89257.59913548752,0.5,3/4,2,35,0
A4,89500.74769699546,0.25,3/4,2,36,0
G5,89610.71200042518,0.25,3/4,2,36,0
F5,89743.8962585034,0.25,3/4,2,36,0
E5,89807.4206526361,0.25,3/4,2,36,0
F5,89917.38495606573,0.5,3/4,2,36,0
D5,90137.31356292513,0.5,3/4,2,36,0
A4,90357.24216978454,0.5,3/4,2,36,0
C♯6,90600.39073129247,0.5,3/4,2,36,0
D4,90797.09938350333,0.5,3/4,2,37,0
F5,91133.12776360537,0.25,3/4,2,37,0
A5,91219.87211238661,0.25,3/4,2,37,0
D6,91329.83641581636,0.5,3/4,2,37,0
D5,92291.43761662651,0.5,3/4,2,37,0
D6,92297.62531867392,0.5,3/4,2,37,0
D5,92303.81302072134,0.5,3/4,2,37,0
0,92418.5304350907,0.5,3/4,2,38,0
F5,92510.9844452175,0.25,3/4,2,38,0
A5,92518.8147008993,0.25,3/4,2,38,0
D6,92602.96814767574,0.5,3/4,2,38,0
D5,93498.92078188552,0.5,3/4,2,38,0
D6,93505.04687096804,0.5,3/4,2,38,0
D5,93511.17296005054,0.5,3/4,2,38,0
C5,93529.1224844104,0.5,3/4,2,39,0
F♯5,93865.15086451244,0.5,3/4,2,39,0
B4,94061.85951672334,0.5,3/4,2,39,0
G5,94281.78812358274,0.5,3/4,2,39,0
A4,94478.4967757936,0.5,3/4,2,39,0
A5,94805.6212832551,0.5,3/4,2,39,0
G4,94871.91408021537,0.5,3/4,2,40,0
B5,95184.72250566893,0.5,3/4,2,40,0
F♯4,95381.43115787985,0.5,3/4,2,40,0
A5,95763.89944727893,0.5,3/4,2,40,0
G4,95798.06841695003,0.5,3/4,2,40,0
B5,96041.21697845806,0.5,3/4,2,40,0
D5,96307.58549461441,0.5,3/4,2,41,0
G♯5,96573.95401077098,0.5,3/4,2,41,0
C5,96747.44270833324,0.5,3/4,2,41,0
A5,96944.15136054422,0.5,3/4,2,41,0
B4,97140.86001275518,0.5,3/4,2,41,0
B5,97452.77105662768,0.5,3/4,2,41,0
A4,97557.49727182547,0.5,3/4,2,42,0
C6,97777.42587868478,0.5,3/4,2,42,0
G♯4,97975.50575213697,0.5,3/4,2,42,0
B5,98194.06313775506,0.5,3/4,2,42,0
A4,98460.43165391161,0.5,3/4,2,42,0
C6,98703.58021541944,0.5,3/4,2,42,0
D4,99016.38864087306,0.5,3/4,2,43,0
B♭5,99345.56693547382,0.25,3/4,2,43,0
A5,99415.9414151078,0.25,3/4,2,43,0
B♭5,99479.46580924037,0.5,3/4,2,43,0
D5,99560.0746882085,0.5,3/4,2,43,0
E4,99896.10306831065,0.5,3/4,2,43,0
G♯5,100116.03167516996,0.5,3/4,2,43,0
F4,100405.62014597506,0.5,3/4,2,44,0
A5,100648.76870748309,0.25,3/4,2,44,0
G♯5,100758.73301091274,0.25,3/4,2,44,0
A5,100799.03745039678,0.5,3/4,2,44,0
C5,101042.18601190485,0.5,3/4,2,44,0
E4,101215.67470946707,0.5,3/4,2,44,0
A5,101412.38336167808,0.5,3/4,2,44,0
D4,101701.97183248293,0.5,3/4,2,45,0
B♭5,102084.44012188213,0.25,3/4,2,45,0
A5,102120.17404825105,0.25,3/4,2,45,0
B♭5,102131.81361750781,0.5,3/4,2,45,0
D5,102175.99801587306,0.5,3/4,2,45,0
E4,102512.02639597497,0.5,3/4,2,45,0
G♯5,102755.17495748302,0.5,3/4,2,45,0
F4,102998.32351899086,0.5,3/4,2,46,0
A5,103264.6920351474,0.25,3/4,2,46,0
G♯5,103351.43638392849,0.25,3/4,2,46,0
A5,103438.18073270966,0.5,3/4,2,46,0
C5,103658.10933956916,0.5,3/4,2,46,0
E4,103878.03794642849,0.5,3/4,2,46,0
A5,104121.18650793648,0.5,3/4,2,46,0
D4,104387.55502409306,0.5,3/4,2,47,0
F5,104630.70358560087,0.25,3/4,2,47,0
E5,104740.66788903053,0.25,3/4,2,47,0
F5,104827.41223781186,0.5,3/4,2,47,0
A4,105000.9009353741,0.5,3/4,2,47,0
D5,105244.04949688216,0.5,3/4,2,47,0
F5,105440.75814909292,0.5,3/4,2,47,0
E4,105707.1266652495,0.5,3/4,2,48,0
E5,106136.76317654786,0.5,3/4,2,48,0
F♯4,106170.20383361682,0.5,3/4,2,48,0
D5,106390.1324404761,0.5,3/4,2,48,0
G♯4,106610.06104733562,0.5,3/4,2,48,0
B5,106853.20960884343,0.5,3/4,2,48,0
A4,107189.23798894558,0.5,3/4,2,49,0
C5,108036.10537131509,0.25,3/4,2,49,0
