Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
F5,312.38424744897225,0.5,4/4,1,1,0
A5,741.2924461451174,0.5,4/4,1,2,0
F5,869.6558555627518,0.5,4/4,1,2,0
B♭5,995.3900226757296,0.5,4/4,1,2,0
F5,1075.9989016439824,0.5,4/4,1,2,0
C6,1203.04768990929,0.5,4/4,1,2,0
F5,1283.6565688775447,0.5,4/4,1,2,0
A5,1387.4854024943247,0.5,4/4,1,2,0
F5,1491.3142361111009,0.5,4/4,1,2,0
B♭5,1571.9231150793541,0.5,4/4,1,3,0
F5,1652.5319940476081,0.5,4/4,1,3,0
C6,1779.5807823129137,0.5,4/4,1,3,0
F5,1836.9697066326412,0.5,4/4,1,3,0
D6,1964.0184948979468,0.5,4/4,1,3,0
F5,2044.6273738662007,0.5,4/4,1,3,0
C6,2171.6761621315204,0.5,4/4,1,3,0
F5,2275.5049957483006,0.5,4/4,1,3,0
D6,2356.113874716554,0.5,4/4,1,4,0
F5,2483.1626629818593,0.5,4/4,1,4,0
E6,2541.494739868313,0.5,4/4,1,4,0
F5,2667.600375566893,0.5,4/4,1,4,0
F6,3082.8054717201244,0.5,4/4,1,4,0
F5,3090.810379945032,0.5,4/4,1,4,0
A5,3118.4066043083885,0.5,4/4,1,4,0
C6,3222.2354379251683,0.5,4/4,1,4,0
F6,3326.0642715419476,0.5,4/4,1,5,0
F5,3574.5136280428997,0.5,4/4,1,5,0
A5,3626.6017573696117,0.5,4/4,1,5,0
C6,3776.8705002834436,0.5,4/4,1,5,0
F6,3927.1392431972754,1.0,4/4,1,5,0
0,6433.57242063494,1.0,4/4,1,5,0
F5,7012.749362244886,0.0,3/2,2,6,0
A5,7443.4134247448765,0.0,3/2,2,6,0
C6,7665.097895408145,3.0,3/2,2,6,0
D6,9750.928039965964,1.0,3/2,2,6,0
B♭5,10144.345344387728,2.0,3/2,2,6,0
C5,11395.579046201805,0.0,3/2,2,7,0
F5,11779.80319940474,0.0,3/2,2,7,0
A5,11978.26771541948,3.0,3/2,2,7,0
B♭5,13994.43799603173,1.0,3/2,2,7,0
G5,14294.975481859383,2.0,3/2,2,7,0
A4,15430.109410430809,0.0,3/2,2,8,0
C5,15698.233790391141,0.0,3/2,2,8,0
F5,15873.478351757345,3.0,3/2,2,8,0
A5,17843.20872307255,1.0,3/2,2,8,0
G5,18050.86639030615,2.0,3/2,2,8,0
A5,19929.03886763039,1.5,3/2,2,9,0
