Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
E5,1334.0622519841197,0.5,4/4,1,1,0
E4,2972.53831542779,0.25,4/4,1,1,0
F♯4,3057.1524411848,0.25,4/4,1,1,0
G4,3376.0963364512395,0.25,4/4,1,1,0
E5,3811.1400049603094,0.25,4/4,1,1,0
A4,4176.523809523803,0.25,4/4,1,1,0
E5,5493.925754676862,0.25,4/4,1,1,0
B4,5594.716892523577,0.25,4/4,1,1,0
E5,5620.974542942168,0.25,4/4,1,1,0
D♯5,6032.798256802712,0.5,4/4,1,1,0
0,7320.8447774943215,0.5,4/4,1,1,0
D♯5,7656.873157596362,0.25,4/4,1,1,0
E5,8347.336327239218,0.25,4/4,1,1,0
F♯5,8828.81990504534,0.25,4/4,1,2,0
B4,9379.96334679704,0.25,4/4,1,2,0
A4,9768.567106009059,0.25,4/4,1,2,0
C6,10296.490593112232,0.25,4/4,1,2,0
G4,10638.654443027199,0.25,4/4,1,2,0
B5,11027.258202239216,0.25,4/4,1,2,0
F♯4,11415.861961451232,0.25,4/4,1,2,0
A5,11850.905629960305,0.25,4/4,1,2,0
E4,12355.609162414952,0.25,4/4,1,2,0
G5,13069.292286706337,0.125,4/4,1,2,0
F♯5,13240.374211663822,0.125,4/4,1,2,0
E5,13388.236181972776,0.5,4/4,1,2,0
0,14606.622838718813,0.25,4/4,1,2,0
F♯5,15111.326371173465,0.25,4/4,1,2,0
G5,15732.129676870736,0.25,4/4,1,2,0
B4,16004.633662840128,0.25,4/4,1,2,0
C5,16486.117240646247,0.25,4/4,1,3,0
A5,17037.26068239795,0.25,4/4,1,3,0
F♯5,17449.084396258488,0.25,4/4,1,3,0
G5,17791.24824617346,0.25,4/4,1,3,0
B4,18179.85200538547,0.25,4/4,1,3,0
D6,18800.655311082755,0.25,4/4,1,3,0
F♯5,19189.259070294767,0.25,4/4,1,3,0
G5,19554.64287485827,0.25,4/4,1,3,0
C5,20082.566361961435,0.25,4/4,1,3,0
A5,20564.049939767563,0.25,4/4,1,3,0
F♯5,20929.433744331054,0.25,4/4,1,3,0
G5,21410.917322137182,0.25,4/4,1,3,0
B4,21729.86121740361,0.25,4/4,1,3,0
D6,22234.564749858266,0.25,4/4,1,3,0
F♯5,22692.828373015862,0.25,4/4,1,3,0
G5,23243.971814767563,0.25,4/4,1,3,0
A4,23632.575573979586,0.25,4/4,1,4,0
C6,24230.158925028336,0.25,4/4,1,4,0
F♯4,24595.542729591823,0.25,4/4,1,4,0
C6,24960.926534155322,0.25,4/4,1,4,0
G4,25279.87042942176,0.25,4/4,1,4,0
B5,25761.35400722788,0.25,4/4,1,4,0
C♯5,26149.957766439904,0.25,4/4,1,4,0
B5,26538.561525651916,0.25,4/4,1,4,0
D5,27089.704967403624,0.25,4/4,1,4,0
B5,27664.068363803843,0.25,4/4,1,4,0
A5,28122.331986961446,0.5,4/4,1,4,0
0,29201.39891581633,0.25,4/4,1,4,0
C5,29775.762312216553,0.25,4/4,1,4,0
B4,30141.146116780048,0.25,4/4,1,4,0
A4,30576.18978528912,0.25,4/4,1,4,0
B4,30988.013499149652,0.25,4/4,1,5,0
A5,31585.596850198424,0.25,4/4,1,5,0
G5,32020.64051870748,0.25,4/4,1,5,0
B4,32339.58441397393,0.25,4/4,1,5,0
D4,32913.94781037416,0.25,4/4,1,5,0
G5,33534.75111607143,0.25,4/4,1,5,0
F♯5,33993.01473922903,0.25,4/4,1,5,0
A4,34404.83845308957,0.25,4/4,1,5,0
G♯4,35002.42180413832,0.25,4/4,1,5,0
F♯5,35971.524429563506,0.25,4/4,1,5,0
E♯5,36499.44791666667,0.25,4/4,1,5,0
E5,36841.61176658165,0.25,4/4,1,5,0
D♯5,37183.775616496605,0.25,4/4,1,5,0
D5,37525.939466411575,0.25,4/4,1,5,0
C♯5,37914.54322562359,0.25,4/4,1,5,0
B4,38279.92703018708,0.25,4/4,1,5,0
F♯4,38947.1702451814,0.25,4/4,1,6,0
B5,39684.073324121324,0.25,4/4,1,6,0
A♯5,40235.21676587302,0.25,4/4,1,6,0
A5,40600.60057043652,0.25,4/4,1,6,0
G♯5,40942.76442035149,0.25,4/4,1,6,0
G5,41424.2479981576,0.25,4/4,1,6,0
F♯5,41836.07171201814,0.25,4/4,1,6,0
A♯5,42271.11538052721,0.25,4/4,1,6,0
B5,43054.45836876417,0.5,4/4,1,6,0
B4,43705.53733916866,0.25,4/4,1,6,0
C♯5,44870.42837655897,0.25,4/4,1,6,0
D5,45259.03213577099,0.25,4/4,1,6,0
B5,45740.51571357711,0.25,4/4,1,6,0
E5,46152.33942743765,0.25,4/4,1,6,0
C♯6,46540.94318664966,0.25,4/4,1,6,0
F♯5,46975.98685515874,0.25,4/4,1,7,0
B5,47573.5702062075,0.25,4/4,1,7,0
A♯5,47985.39392006805,0.5,4/4,1,7,0
0,49900.379216269845,0.5,4/4,1,7,0
A♯5,49934.54818594105,0.25,4/4,1,7,0
B5,50416.03176374716,0.25,4/4,1,7,0
C♯6,50827.85547760772,0.25,4/4,1,7,0
F♯5,51541.5386018991,0.25,4/4,1,7,0
E5,51930.14236111113,0.25,4/4,1,7,0
C♯6,52295.52616567461,0.25,4/4,1,7,0
D5,52684.129924886634,0.25,4/4,1,7,0
B5,53165.61350269275,0.25,4/4,1,7,0
C♯5,53507.777352607714,0.25,4/4,1,7,0
C♯6,54077.42632277541,0.25,4/4,1,7,0
B4,54424.304598922914,0.25,4/4,1,8,0
D6,55045.10790462018,0.125,4/4,1,8,0
C♯6,55216.18982957767,0.125,4/4,1,8,0
B5,55410.49170918369,0.5,4/4,1,8,0
0,56280.57904620183,0.25,4/4,1,8,0
C♯6,57017.48212514173,0.25,4/4,1,8,0
D6,57568.62556689343,0.25,4/4,1,8,0
