Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
B4,5745.853635204075,0.25,4/4,1,1,0
D5,6273.777122307249,0.25,4/4,1,1,0
F♯5,6615.940972222216,1.5,4/4,1,1,0
A4,9829.921804138317,0.25,4/4,1,1,0
C♯5,10334.625336592966,0.25,4/4,1,1,0
F♯5,10607.129322562352,1.5,4/4,1,1,0
G4,13588.910607993192,0.25,4/4,1,2,0
B4,14047.174231150788,0.25,4/4,1,2,0
E5,14389.338081065755,1.0,4/4,1,2,0
E♯5,16083.072845804982,0.25,4/4,1,2,0
F♯5,16634.216287556683,0.25,4/4,1,2,0
F♯4,18787.536600056683,1.0,4/4,1,2,0
0,19297.053677721084,1.0,4/4,1,2,0
0,19625.455109126982,0.25,4/4,2,3,0
D5,19707.555466978454,0.125,4/4,2,3,0
C♯5,19832.197482638883,0.125,4/4,2,3,0
D5,19933.61954365079,0.25,4/4,2,3,0
B4,20159.68362032312,0.25,4/4,2,3,0
G5,20408.967651643987,0.25,4/4,2,3,0
B4,20635.031728316317,0.25,4/4,2,3,0
C♯5,20907.53571428571,0.25,4/4,2,3,0
G5,21133.59979095804,0.25,4/4,2,3,0
D5,21429.323731575965,0.25,4/4,2,3,0
F♯5,21655.38780824829,0.125,4/4,2,3,0
E5,21756.8098692602,0.125,4/4,2,3,0
F♯5,21858.231930272104,0.25,4/4,2,3,0
D5,22084.296006944434,0.25,4/4,2,3,0
A5,22333.580038265303,0.25,4/4,2,3,0
C♯5,22582.864069586158,0.25,4/4,2,3,0
D♯5,22808.928146258502,0.25,4/4,2,3,0
A5,23011.772268282304,0.25,4/4,2,3,0
E5,23353.936118197278,0.25,4/4,2,4,0
G5,23556.780240221076,0.125,4/4,2,4,0
F♯5,23634.98234658446,0.125,4/4,2,4,0
G5,23736.40440759637,0.25,4/4,2,4,0
E5,24008.90839356575,0.25,4/4,2,4,0
A♯5,24211.752515589564,0.25,4/4,2,4,0
F♯5,24461.13587065096,0.25,4/4,2,4,0
C♯6,24687.100623582763,0.25,4/4,2,4,0
E5,24913.16470025509,0.25,4/4,2,4,0
D5,25185.668686224486,0.25,4/4,2,4,0
F♯5,25458.172672193865,0.25,4/4,2,4,0
B5,25684.23674886619,0.25,4/4,2,4,0
D5,25863.86091624148,0.25,4/4,2,4,0
E5,26156.234141325174,0.25,4/4,2,4,0
C♯6,26385.64893353172,0.25,4/4,2,4,0
F♯5,26588.49305555553,0.25,4/4,2,4,0
A♯5,26837.7770868764,0.25,4/4,2,4,0
B4,27133.501027494298,0.25,4/4,2,5,0
C♯5,27475.66487740928,0.25,4/4,2,5,0
D5,27632.06909013604,0.25,4/4,2,5,0
A4,27834.91321215985,0.25,4/4,2,5,0
G♯4,28084.19724348071,0.25,4/4,2,5,0
D5,28356.70122945009,0.25,4/4,2,5,0
F♯4,28582.76530612242,0.25,4/4,2,5,0
D5,28808.82938279476,0.25,4/4,2,5,0
E♯4,29104.553323412692,0.25,4/4,2,5,0
C♯5,29423.49721867912,0.25,4/4,2,5,0
B♯4,29603.12138605441,0.25,4/4,2,5,0
C♯5,29829.185462726742,0.25,4/4,2,5,0
G♯5,30078.469494047597,0.25,4/4,2,5,0
C♯5,30327.75352536845,0.25,4/4,2,5,0
B5,30577.037556689327,0.25,4/4,2,5,0
C♯5,30826.321588010178,0.25,4/4,2,5,0
0,31426.651360544205,0.25,4/4,2,6,0
A4,31487.429333191587,0.125,4/4,2,6,0
G♯4,31543.20521049854,0.125,4/4,2,6,0
A4,31667.053500566875,0.25,4/4,2,6,0
F♯4,31916.33753188774,0.25,4/4,2,6,0
D5,32188.841517857123,0.25,4/4,2,6,0
F♯4,32391.68563988093,0.25,4/4,2,6,0
G♯4,32617.74971655327,0.25,4/4,2,6,0
D5,32750.933974631487,0.25,4/4,2,6,0
A4,33162.75768849205,0.25,4/4,2,6,0
C♯5,33412.0417198129,0.125,4/4,2,6,0
B4,33467.02387152777,0.125,4/4,2,6,0
C♯5,33591.6658871882,0.25,4/4,2,6,0
A4,33817.72996386053,0.25,4/4,2,6,0
E5,34090.23394982992,0.25,4/4,2,6,0
G♯4,34316.29802650225,0.25,4/4,2,6,0
A♯4,34495.92219387753,0.25,4/4,2,6,0
E5,34698.76631590133,0.25,4/4,2,6,0
B4,35017.71021116779,0.25,4/4,2,7,0
D5,35266.99424248864,0.125,4/4,2,7,0
C♯5,35345.19634885203,0.125,4/4,2,7,0
D5,35469.83836451246,0.25,4/4,2,7,0
B4,35672.682486536265,0.25,4/4,2,7,0
E♯5,35968.40642715418,0.25,4/4,2,7,0
C♯5,36171.25054917798,0.25,4/4,2,7,0
G♯5,36420.53458049885,0.25,4/4,2,7,0
B4,36623.37870252265,0.25,4/4,2,7,0
A4,36919.10264314058,0.25,4/4,2,7,0
C♯5,37191.606629109956,0.25,4/4,2,7,0
F♯5,37417.67070578231,0.25,4/4,2,7,0
A4,37620.51482780611,0.25,4/4,2,7,0
B4,37869.79885912697,0.25,4/4,2,7,0
G♯5,38119.082890447826,0.25,4/4,2,7,0
C♯5,38345.146967120156,0.25,4/4,2,7,0
E♯5,38640.87090773809,0.25,4/4,2,7,0
F♯4,38820.49507511336,0.25,4/4,2,8,0
A4,39232.31878897392,0.25,4/4,2,8,0
C♯5,39435.16291099772,0.25,4/4,2,8,0
F♯5,39638.00703302153,0.25,4/4,2,8,0
0,40212.37042942175,0.25,4/4,2,8,0
A5,40299.11477820293,0.25,4/4,2,8,0
C♯5,40548.39880952379,0.25,4/4,2,8,0
E5,40751.24293154759,0.25,4/4,2,8,0
D♯5,41023.74691751697,0.25,4/4,2,8,0
F♯5,41296.250903486354,0.25,4/4,2,8,0
B4,41591.97484410427,0.25,4/4,2,8,0
B5,42049.113011008325,0.25,4/4,2,8,0
C♯5,42136.98281604305,0.25,4/4,2,8,0
A5,42339.8269380669,0.25,4/4,2,8,0
D♯5,42565.891014739216,0.25,4/4,2,8,0
F♯5,42675.855318168935,0.25,4/4,2,8,0
E4,43041.239122732426,0.25,4/4,2,9,0
G4,43313.743108701805,0.25,4/4,2,9,0
B4,43516.587230725614,0.25,4/4,2,9,0
E5,43742.651307397944,0.25,4/4,2,9,0
0,43872.78991463158,0.25,4/4,2,9,0
