Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
C5,382.0441113945504,0.5,4/4,1,1,0
E5,694.8525368480649,0.5,4/4,1,2,0
C5,869.655773959949,0.5,4/4,1,2,0
F5,1041.8299319727817,0.5,4/4,1,2,0
C5,1145.6587655895637,0.5,4/4,1,2,0
G5,1272.7075538548695,0.5,4/4,1,2,0
C5,1422.976296768701,0.5,4/4,1,2,0
E5,1526.805130385481,0.5,4/4,1,2,0
C5,1630.6339640022572,0.5,4/4,1,2,0
F5,1734.4627976190368,0.5,4/4,1,3,0
C5,1861.5115858843428,0.5,4/4,1,3,0
G5,1965.3404195011224,0.5,4/4,1,3,0
C5,2069.1692531179024,0.5,4/4,1,3,0
A5,2172.9980867346817,0.5,4/4,1,3,0
C5,2300.0468749999905,0.5,4/4,1,3,0
G5,2380.6557539682553,0.5,4/4,1,3,0
C5,2530.9244968820876,0.5,4/4,1,3,0
A5,2634.753330498867,0.5,4/4,1,4,0
C5,2738.5821641156467,0.5,4/4,1,4,0
B5,2842.4109977324265,0.5,4/4,1,4,0
C5,2992.6797406462583,0.5,4/4,1,4,0
C6,3222.3592411285263,0.5,4/4,1,4,0
C5,3230.246861320834,0.5,4/4,1,4,0
E5,3257.726332199545,0.5,4/4,1,4,0
G5,3338.3352111677987,0.5,4/4,1,4,0
C6,3442.1640447845784,0.5,4/4,1,5,0
C5,3528.396574843199,0.5,4/4,1,5,0
E5,3649.8217120181375,0.5,4/4,1,5,0
G5,3707.2106363378653,0.5,4/4,1,5,0
C6,4391.538336167797,1.0,4/4,1,5,0
0,5342.234552154196,1.0,4/4,1,5,0
C5,5665.991992630389,0.0,3/2,2,6,0
E5,5864.4565086451275,0.0,3/2,2,6,0
G5,5993.261160714277,3.0,3/2,2,6,0
A5,7173.513073979598,1.0,3/2,2,6,0
F5,7566.930378401353,2.0,3/2,2,6,0
G4,8562.744579081633,0.0,3/2,2,7,0
C5,8737.98914044785,0.0,3/2,2,7,0
E5,8866.793792517003,3.0,3/2,2,7,0
F5,9907.725977891145,1.0,3/2,2,7,0
D5,10277.923327664397,2.0,3/2,2,7,0
E4,11180.857709750562,0.0,3/2,2,8,0
G4,11356.10227111678,0.0,3/2,2,8,0
C5,11531.346832482992,3.0,3/2,2,8,0
E5,12479.399199263025,1.0,3/2,2,8,0
