Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
C5,3493.518034297045,1.25,4/4,1,1,0
D5,6063.475605867339,0.25,4/4,1,1,0
C5,6452.079365079359,0.25,4/4,1,1,0
G4,6747.8033056972745,0.25,4/4,1,1,0
C5,6997.0873370181325,0.25,4/4,1,1,0
E5,7223.151413690469,0.25,4/4,1,1,0
C5,7425.995535714279,0.25,4/4,1,1,0
G4,7559.179793792511,0.25,4/4,1,1,0
C5,7692.364051870743,0.25,4/4,1,1,0
D5,7871.988219246026,0.25,4/4,1,1,0
C5,7935.512613378675,0.25,4/4,1,1,0
G4,8022.256962159855,0.25,4/4,1,1,0
C5,8109.001310941034,0.25,4/4,1,2,0
E5,8242.185569019264,0.25,4/4,1,2,0
C5,8328.929917800442,0.25,4/4,1,2,0
G4,8415.674266581622,0.25,4/4,1,2,0
C5,8479.198660714274,0.25,4/4,1,2,0
G5,8612.382918792504,0.25,4/4,1,2,0
C5,8722.34722222221,0.25,4/4,1,2,0
G4,8787.647957042242,0.25,4/4,1,2,0
C5,8988.715738378673,0.25,4/4,1,2,0
G5,9563.079134778898,0.25,4/4,1,2,0
A5,9882.023030045339,0.25,4/4,1,2,0
F5,10038.427242772097,0.25,4/4,1,2,0
G5,10218.05141014738,0.25,4/4,1,2,0
E5,10328.015713577093,0.25,4/4,1,2,0
F5,10437.980017006803,0.25,4/4,1,2,0
D5,10571.164275085028,0.25,4/4,1,2,0
E5,10681.128578514741,0.25,4/4,1,3,0
G5,10976.852519132646,0.25,4/4,1,3,0
A5,11179.696641156463,0.25,4/4,1,3,0
F5,11289.660944586161,0.25,4/4,1,3,0
G5,11422.845202664397,0.25,4/4,1,3,0
E5,11509.589551445568,0.25,4/4,1,3,0
F5,11619.553854875283,0.25,4/4,1,3,0
D5,11706.298203656457,0.25,4/4,1,3,0
E5,11816.262507086167,0.25,4/4,1,3,0
C5,11995.886674461442,0.25,4/4,1,3,0
D5,12105.850977891152,0.25,4/4,1,3,0
E5,12192.595326672326,0.25,4/4,1,3,0
F5,12279.339675453513,0.25,4/4,1,3,0
G5,12389.30397888321,0.25,4/4,1,3,0
A5,12499.268282312925,0.25,4/4,1,3,0
B5,12602.486421130943,0.25,4/4,1,3,0
C6,12695.97693452381,0.25,4/4,1,4,0
G5,12829.16119260203,0.25,4/4,1,4,0
E5,12915.905541383216,0.25,4/4,1,4,0
C5,12990.106990928156,0.25,4/4,1,4,0
C6,13004.150781078553,0.25,4/4,1,4,0
G5,13199.358542375272,0.25,4/4,1,4,0
E5,13309.322845804985,0.25,4/4,1,4,0
C5,13385.082764298477,0.25,4/4,1,4,0
C6,13622.388962334058,0.5,4/4,1,4,0
C5,13633.604172294996,0.5,4/4,1,4,0
0,15246.20617205216,1.0,4/4,1,4,0
F5,16684.521435657593,0.25,4/4,1,5,0
E5,16933.80546697845,0.25,4/4,1,5,0
F5,17136.649589002267,1.5,4/4,1,5,0
A5,18260.834502551013,0.25,4/4,1,5,0
F5,18417.238715277763,0.75,4/4,1,5,0
C6,18979.33117205216,0.25,4/4,1,5,0
F5,19112.51543013038,0.75,4/4,1,5,0
E5,20046.127161281176,0.25,4/4,1,6,0
D5,20179.3114193594,0.25,4/4,1,6,0
E5,20266.055768140588,1.5,4/4,1,6,0
G5,21645.66018282312,0.25,4/4,1,6,0
E5,21802.064395549878,0.75,4/4,1,6,0
C6,22549.916489512467,0.25,4/4,1,6,0
E5,22683.10074759071,0.75,4/4,1,6,0
F4,23802.472115929697,0.25,4/4,1,7,0
E5,24446.4953762755,0.25,4/4,1,7,0
D5,24765.43927154194,0.25,4/4,1,7,0
C5,24971.932640764633,0.25,4/4,1,7,0
A5,25217.56742488662,0.25,4/4,1,7,0
E5,25443.63150155896,0.25,4/4,1,7,0
D5,25646.475623582766,0.25,4/4,1,7,0
C5,25802.879836309523,0.25,4/4,1,7,0
F4,26028.943912981853,0.25,4/4,1,7,0
E5,26463.98758149093,0.25,4/4,1,7,0
D5,26643.611748866202,0.25,4/4,1,7,0
C5,26753.576052295924,0.25,4/4,1,7,0
A5,26933.2002196712,0.25,4/4,1,7,0
E5,27089.604432397962,0.25,4/4,1,7,0
D5,27246.008645124715,0.25,4/4,1,7,0
C5,27379.192903202947,0.25,4/4,1,7,0
F♯4,27674.91684382085,0.25,4/4,1,8,0
E5,28156.400421626982,0.25,4/4,1,8,0
D5,28312.804634353724,0.25,4/4,1,8,0
C5,28445.98889243197,0.25,4/4,1,8,0
C6,28721.307397754375,0.25,4/4,1,8,0
E5,28758.79731788549,0.25,4/4,1,8,0
D5,28868.761621315163,0.25,4/4,1,8,0
C5,28978.725924744896,0.25,4/4,1,8,0
F♯4,29158.350092120163,0.25,4/4,1,8,0
E5,29337.974259495484,0.25,4/4,1,8,0
D5,29447.938562925174,0.25,4/4,1,8,0
C5,29557.90286635489,0.25,4/4,1,8,0
C6,29835.84993851827,0.25,4/4,1,8,0
E5,29870.711291808395,0.25,4/4,1,8,0
D5,29972.470964427434,0.25,4/4,1,8,0
C5,30067.41994401927,0.25,4/4,1,8,0
G4,30293.4840206916,0.25,4/4,1,9,0
B4,30542.76805201246,0.25,4/4,1,9,0
D5,30629.51240079364,0.25,4/4,1,9,0
B4,30785.91661352039,0.25,4/4,1,9,0
G5,30872.660962301572,0.25,4/4,1,9,0
D5,30982.62526573127,0.25,4/4,1,9,0
B5,31092.589569160973,0.25,4/4,1,9,0
G5,31202.55387259069,0.25,4/4,1,9,0
G4,31461.294757294672,0.25,4/4,1,9,0
C5,31492.1423433957,0.25,4/4,1,9,0
E5,31602.106646825414,0.25,4/4,1,9,0
C5,31712.070950255118,0.25,4/4,1,9,0
G5,31822.035253684822,0.25,4/4,1,9,0
E5,31931.999557114515,0.25,4/4,1,9,0
C6,32018.74390589569,0.25,4/4,1,9,0
G5,32151.92816397392,0.25,4/4,1,9,0
G4,32390.211196715263,0.25,4/4,1,10,0
B4,32441.51663477891,0.25,4/4,1,10,0
D5,32505.04102891155,0.25,4/4,1,10,0
B4,32638.225286989782,0.25,4/4,1,10,0
G5,32724.969635770958,0.25,4/4,1,10,0
D5,32834.933939200666,0.25,4/4,1,10,0
B5,32968.11819727891,0.25,4/4,1,10,0
G5,33078.0825007086,0.25,4/4,1,10,0
D6,33211.26675878687,0.5,4/4,1,10,0
G4,33640.17495748301,0.5,4/4,1,10,0
0,35160.421024659874,1.0,4/4,1,10,0
C5,35878.917694161,1.0,4/4,2,11,0
F5,36504.53454506802,1.0,4/4,2,11,0
E5,37060.49153202948,1.0,4/4,2,11,0
A5,37639.668473639475,1.0,4/4,2,11,0
F5,38195.6254606009,0.5,4/4,2,12,0
D5,38485.21393140589,0.5,4/4,2,12,0
G5,38774.80240221087,0.5,4/4,2,12,0
G4,39240.03513777534,0.5,4/4,2,12,0
C5,39284.319479875274,0.5,4/4,2,12,0
E5,39573.90795068028,0.5,4/4,2,12,0
D5,39817.056512188225,0.5,4/4,2,12,0
C5,40129.86493764172,0.5,4/4,2,12,0
G5,40419.45340844671,0.5,4/4,2,13,0
B4,40685.82192460317,0.5,4/4,2,13,0
C6,40952.19044075963,0.5,4/4,2,13,0
A4,41218.55895691608,0.5,4/4,2,13,0
B5,41484.927473072545,0.5,4/4,2,13,0
G4,41751.295989229024,0.5,4/4,2,13,0
E6,42017.6645053855,0.5,4/4,2,13,0
C5,42307.25297619048,0.5,4/4,2,13,0
C6,42792.63047760771,0.5,4/4,2,14,0
A5,42816.77005385487,0.5,4/4,2,14,0
D6,43106.358524659845,0.5,4/4,2,14,0
D5,43628.47473710115,0.5,4/4,2,14,0
G5,43640.81468158538,0.5,4/4,2,14,0
B4,44137.663619614534,0.5,4/4,2,14,0
E5,44450.47204506804,0.5,4/4,2,14,0
D5,44670.40065192744,0.5,4/4,2,14,0
C♯5,44936.7691680839,0.5,4/4,2,15,0
G5,45296.01750283445,0.25,4/4,2,15,0
A5,45498.86162485827,0.125,4/4,2,15,0
B♭5,45600.28368587019,0.125,4/4,2,15,0
A5,45655.265837585015,0.5,4/4,2,15,0
G5,45875.19444444444,0.5,4/4,2,15,0
F5,46141.56296060092,0.5,4/4,2,15,0
A4,46593.6911139456,0.5,4/4,2,15,0
D5,46860.059630102056,0.5,4/4,2,15,0
C5,47079.98823696141,0.5,4/4,2,15,0
B4,47346.35675311792,0.5,4/4,2,16,0
