Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
E4,232.19954648526078,1.0,3/4,1,1,0
G♯5,1461.5352182539675,1.0,3/4,1,1,0
A5,2435.4513888888882,0.75,3/4,1,1,0
B5,3252.9633467970534,0.25,3/4,1,1,0
F♯4,3525.467332766441,1.0,3/4,1,2,0
D♯5,4661.923185941042,1.0,3/4,1,2,0
E5,5496.519628684806,0.75,3/4,1,2,0
F♯5,6267.591677295921,0.25,3/4,1,2,0
G♯4,6470.435799319731,0.75,3/4,1,3,0
B4,7287.947757227894,0.25,3/4,1,3,0
E5,7444.351969954651,0.75,3/4,1,3,0
D♯5,8192.204063917234,0.25,3/4,1,3,0
E5,8278.948412698406,1.0,3/4,1,3,0
A4,9276.08453798186,0.75,3/4,1,4,0
C♯5,10023.936631944443,0.25,3/4,1,4,0
D♯4,10226.780753968254,0.75,3/4,1,4,0
B4,10928.192938633787,0.25,3/4,1,4,0
A4,11223.916879251707,0.75,3/4,1,4,0
G♯4,12097.883442716626,0.125,3/4,1,4,0
A4,12120.79110561556,0.125,3/4,1,4,0
E4,12174.6130952381,0.75,3/4,1,5,0
A4,12992.125053146257,0.25,3/4,1,5,0
G♯4,14170.207270408167,1.0,3/4,1,5,0
0,15910.381944444449,1.0,3/4,1,5,0
D♯4,16118.039611677998,1.0,3/4,1,6,0
F♯4,17068.7358276644,1.0,3/4,1,6,0
G♯4,17996.212089002256,0.75,3/4,1,6,0
A4,18697.624273667807,0.25,3/4,1,6,0
E4,18923.688350340137,1.0,3/4,1,7,0
G♯4,20060.144203514723,0.75,3/4,1,7,0
F♯4,20691.8965242347,0.25,3/4,1,7,0
G♯4,20825.08078231293,1.0,3/4,1,7,0
E4,21822.216907596383,1.0,3/4,1,8,0
C♯5,22912.232851473924,0.75,3/4,1,8,0
B4,23404.66544430271,0.25,3/4,1,8,0
A♯4,23584.289611678014,0.75,3/4,1,8,0
B4,24401.80156958617,0.25,3/4,1,8,0
F♯4,24558.205782312925,0.75,3/4,1,9,0
B4,25375.71774022108,0.25,3/4,1,9,0
A♯4,25508.901998299323,1.0,3/4,1,9,0
0,27968.89526643991,1.0,3/4,1,9,0
E5,28153.332979024945,0.5,3/4,1,10,0
G♯4,28605.461132369623,0.5,3/4,1,10,0
D♯5,28941.489512471657,0.5,3/4,1,10,0
F♯4,29277.51789257369,0.5,3/4,1,10,0
C♯5,29729.646045918365,0.5,3/4,1,10,0
E4,29972.79460742631,0.5,3/4,1,10,0
D♯4,30378.482851473953,0.5,3/4,1,11,0
F♯5,30923.490823412725,1.0,3/4,1,11,0
E5,31711.64735685942,0.5,3/4,1,11,0
D♯5,32047.675736961464,0.3333333333333333,3/4,1,11,0
C♯5,32364.574475623627,0.3333333333333333,3/4,1,11,0
B4,32518.93353174608,0.3333333333333333,3/4,1,11,0
C♯5,32742.952451814104,0.75,3/4,1,12,0
E4,33397.92472718257,0.25,3/4,1,12,0
F♯4,33577.548894557855,1.0,3/4,1,12,0
A♯4,34922.98433956918,0.75,3/4,1,12,0
B4,35299.31715915534,0.25,3/4,1,12,0
B4,36874.04332669618,2.0,3/4,1,13,0
0,36896.50299097257,1.0,3/4,1,13,0
E4,38191.71024659865,1.0,3/4,1,1,1
G♯5,39397.82596371887,1.0,3/4,1,1,1
A5,40116.32263322,0.75,3/4,1,1,1
B5,40840.954772534045,0.25,3/4,1,1,1
F♯4,41043.798894557855,1.0,3/4,1,2,1
D♯5,42040.93501984129,1.0,3/4,1,2,1
E5,42875.531462585066,0.75,3/4,1,2,1
F♯5,43762.70328443881,0.25,3/4,1,2,1
G♯4,43872.66758786853,0.75,3/4,1,3,1
B4,44643.73963647963,0.25,3/4,1,3,1
E5,44744.69295634921,0.75,3/4,1,3,1
D♯5,45408.6762152778,0.25,3/4,1,3,1
E5,45565.08042800455,1.0,3/4,1,3,1
A4,46492.55668934242,0.75,3/4,1,4,1
C♯5,47124.30901006241,0.25,3/4,1,4,1
D♯4,47280.71322278917,0.75,3/4,1,4,1
B4,47935.68549815763,0.25,3/4,1,4,1
A4,48417.16907596376,0.75,3/4,1,4,1
G♯4,48580.33371421487,0.125,3/4,1,4,1
A4,48755.604228670665,0.125,3/4,1,4,1
E4,48973.12606292519,0.75,3/4,1,5,1
A4,49999.617612670096,0.25,3/4,1,5,1
G♯4,51502.779195011346,1.0,3/4,1,5,1
0,52848.21464002273,1.0,3/4,1,5,1
D♯4,53450.611536281205,1.0,3/4,1,6,1
F♯4,54401.30775226759,1.0,3/4,1,6,1
G♯4,55235.90419501134,0.75,3/4,1,6,1
A4,55821.21660643429,0.25,3/4,1,6,1
E4,56140.160501700724,1.0,3/4,1,7,1
G♯4,57206.95649092974,0.75,3/4,1,7,1
F♯4,57815.48885700115,0.25,3/4,1,7,1
G♯4,58343.41234410433,1.0,3/4,1,7,1
E4,59015.46910430845,1.0,3/4,1,8,1
C♯5,59896.50545634925,0.75,3/4,1,8,1
B4,60505.03782242062,0.25,3/4,1,8,1
A♯4,60684.661989795946,0.75,3/4,1,8,1
B4,61339.634265164445,0.25,3/4,1,8,1
F♯4,61542.478387188225,0.75,3/4,1,9,1
B4,62336.77039044791,0.25,3/4,1,9,1
A♯4,62748.594104308395,1.0,3/4,1,9,1
0,64790.6281887755,1.0,3/4,1,9,1
E5,65160.825538548765,0.5,3/4,1,10,1
G♯4,65612.95369189348,0.5,3/4,1,10,1
D♯5,65925.76211734703,0.5,3/4,1,10,1
F♯4,66238.57054280052,0.5,3/4,1,10,1
C♯5,66667.47874149667,0.5,3/4,1,10,1
E4,67189.2667587869,0.5,3/4,1,10,1
D♯4,67385.97541099778,0.5,3/4,1,11,1
F♯5,67930.98338293655,1.0,3/4,1,11,1
E5,68928.11950822,0.5,3/4,1,11,1
D♯5,69124.82816043086,0.3333333333333333,3/4,1,11,1
C♯5,69255.96726190478,0.3333333333333333,3/4,1,11,1
B4,69384.16542658731,0.3333333333333333,3/4,1,11,1
C♯5,69518.24546485262,0.75,3/4,1,12,1
E4,70219.6576495182,0.25,3/4,1,12,1
F♯4,70515.38159013605,1.0,3/4,1,12,1
A♯4,71860.81703514737,0.75,3/4,1,12,1
B4,72260.36980938211,0.25,3/4,1,12,1
B4,74413.69012188213,2.0,3/4,1,13,1
0,75734.58368764177,1.0,3/4,1,13,1
A4,76615.62003968257,1.0,3/4,1,14,0
D♯5,77705.6359835601,1.0,3/4,1,14,0
C♯5,78702.77210884355,0.75,3/4,1,14,0
B4,79357.74438421207,0.25,3/4,1,14,0
G♯4,79560.58850623583,1.0,3/4,1,15,0
E5,80557.72463151929,0.75,3/4,1,15,0
D♯5,81375.23658942746,0.25,3/4,1,15,0
E5,81531.64080215427,1.0,3/4,1,15,0
F♯4,82714.53656462592,1.0,3/4,1,16,0
A5,85267.40965136059,0.5,3/4,1,16,0
G♯5,85464.11830357146,0.25,3/4,1,16,0
F♯5,85530.497022943,0.25,3/4,1,16,0
G♯5,85542.19985072834,0.75,3/4,1,16,0
A5,85574.62060685198,0.25,3/4,1,16,0
G♯4,85577.67063562322,1.0,3/4,1,17,0
B♯4,86378.00170068027,0.75,3/4,1,17,0
