Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
A4,348.29931972789115,1.25,4/4,1,1,0
B4,1803.699068168934,0.25,4/4,1,1,0
A4,2006.5431901927427,0.25,4/4,1,1,0
E4,2162.9474029194994,0.25,4/4,1,1,0
A4,2272.9117063492054,0.25,4/4,1,1,0
C♯5,2522.195737670066,0.25,4/4,1,1,0
A4,2887.579542233558,0.25,4/4,1,1,0
E4,3002.8669178103173,0.25,4/4,1,1,0
A4,3010.754538002625,0.25,4/4,1,1,0
B4,3031.7128153344665,0.25,4/4,1,1,0
A4,3118.457164115646,0.25,4/4,1,1,0
E4,3251.641422193875,0.25,4/4,1,1,0
A4,3408.045634920632,0.25,4/4,1,2,0
C♯5,3482.5992949263036,0.25,4/4,1,2,0
A4,3558.314377834464,0.25,4/4,1,2,0
E4,3714.7185905612214,0.25,4/4,1,2,0
A4,3847.902848639454,0.25,4/4,1,2,0
E5,4027.527016014739,0.25,4/4,1,2,0
A4,4137.491319444441,0.25,4/4,1,2,0
E4,4249.231520030765,0.25,4/4,1,2,0
A4,4403.859835600904,0.25,4/4,1,2,0
E5,4769.243640164399,0.25,4/4,1,2,0
F♯5,4948.867807539684,0.25,4/4,1,2,0
D5,5035.612156320864,0.25,4/4,1,2,0
E5,5192.016369047622,0.25,4/4,1,2,0
C♯5,5301.980672477326,0.25,4/4,1,2,0
D5,5411.944975907038,0.25,4/4,1,2,0
B4,5545.1292339852625,0.25,4/4,1,2,0
C♯5,5631.873582766448,0.25,4/4,1,3,0
E5,5811.497750141725,0.25,4/4,1,3,0
F♯5,5921.462053571437,0.25,4/4,1,3,0
D5,6031.426357001135,0.25,4/4,1,3,0
E5,6164.610615079373,0.25,4/4,1,3,0
C♯5,6251.354963860545,0.25,4/4,1,3,0
D5,6362.2569185679895,0.25,4/4,1,3,0
B4,6471.283570719959,0.25,4/4,1,3,0
C♯5,6581.247874149667,0.25,4/4,1,3,0
A4,6807.311950821995,0.25,4/4,1,3,0
B4,6942.740641829649,0.25,4/4,1,3,0
C♯5,7050.460512329936,0.25,4/4,1,3,0
D5,7206.864725056695,0.25,4/4,1,3,0
E5,7316.829028486405,0.25,4/4,1,3,0
F♯5,7407.125620039683,0.25,4/4,1,3,0
G♯5,7530.011470734131,0.25,4/4,1,3,0
A5,7643.043509070298,0.25,4/4,1,4,0
E5,7849.566060799331,0.25,4/4,1,4,0
C♯5,7959.53036422903,0.25,4/4,1,4,0
A4,8046.274713010216,0.25,4/4,1,4,0
A5,8092.7226706056,0.25,4/4,1,4,0
E5,8335.863183815205,0.25,4/4,1,4,0
C♯5,8422.607532596377,0.25,4/4,1,4,0
A4,8555.791790674613,0.25,4/4,1,4,0
A5,9314.82334330537,0.5,4/4,1,4,0
A4,9325.980443370137,0.5,4/4,1,4,0
0,10382.710813492053,1.0,4/4,1,4,0
D5,11077.98752834467,0.25,4/4,1,5,0
C♯5,11187.951831774368,0.25,4/4,1,5,0
D5,11274.69618055555,1.5,4/4,1,5,0
F♯5,12770.400368480727,0.25,4/4,1,5,0
D5,12926.804581207472,0.75,4/4,1,5,0
A5,13581.77685657595,0.25,4/4,1,5,0
D5,13738.181069302706,0.75,4/4,1,5,0
C♯5,14811.112528344669,0.25,4/4,1,6,0
B4,15037.176605017004,0.25,4/4,1,6,0
C♯5,15193.58081774376,1.5,4/4,1,6,0
E5,16573.185232426298,0.25,4/4,1,6,0
C♯5,16683.149535856006,0.75,4/4,1,6,0
A5,17500.66149376416,0.25,4/4,1,6,0
C♯5,17657.065706490925,0.75,4/4,1,6,0
D4,18799.65702947845,0.25,4/4,1,7,0
C♯5,19281.140607284582,0.25,4/4,1,7,0
B4,19460.76477465986,0.25,4/4,1,7,0
A4,19617.168987386613,0.25,4/4,1,7,0
F♯5,19773.57320011337,0.25,4/4,1,7,0
C♯5,19976.417322137182,0.25,4/4,1,7,0
B4,20086.381625566875,0.25,4/4,1,7,0
A4,20242.78583829365,0.25,4/4,1,7,0
D4,20399.190051020396,0.25,4/4,1,7,0
C♯5,20671.694036989797,0.25,4/4,1,7,0
B4,20758.43838577097,0.25,4/4,1,7,0
A4,20914.842598497726,0.25,4/4,1,7,0
F♯5,21071.246811224475,0.25,4/4,1,7,0
C♯5,21181.211114654187,0.25,4/4,1,7,0
B4,21315.901060589953,0.25,4/4,1,7,0
A4,21424.35967616213,0.25,4/4,1,7,0
D♯4,21580.763888888876,0.25,4/4,1,8,0
C♯5,21806.82796556122,0.25,4/4,1,8,0
B4,21916.79226899092,0.25,4/4,1,8,0
A4,22073.19648171768,0.25,4/4,1,8,0
A5,22140.604780126334,0.25,4/4,1,8,0
C♯5,22339.564997874135,0.25,4/4,1,8,0
B4,22426.30934665531,0.25,4/4,1,8,0
A4,22559.493604733536,0.25,4/4,1,8,0
D♯4,22692.677862811768,0.25,4/4,1,8,0
C♯5,22918.741939484098,0.25,4/4,1,8,0
B4,23028.7062429138,0.25,4/4,1,8,0
A4,23161.890500992056,0.25,4/4,1,8,0
A5,23439.837573155466,0.25,4/4,1,8,0
C♯5,23474.69892644559,0.25,4/4,1,8,0
B4,23561.443275226768,0.25,4/4,1,8,0
A4,23712.710592049323,0.25,4/4,1,8,0
E4,23920.691609977326,0.25,4/4,1,9,0
G♯4,24077.09582270408,0.25,4/4,1,9,0
B4,24187.06012613378,0.25,4/4,1,9,0
G♯4,24297.024429563484,0.25,4/4,1,9,0
E5,24453.428642290237,0.25,4/4,1,9,0
B4,24586.612900368465,0.25,4/4,1,9,0
G♯5,24696.577203798166,0.25,4/4,1,9,0
E5,24969.081189767552,0.25,4/4,1,9,0
E4,25004.283406405375,0.25,4/4,1,9,0
A4,25119.349932681376,0.25,4/4,1,9,0
C♯5,25234.702469529486,0.25,4/4,1,9,0
A4,25339.278539540795,0.25,4/4,1,9,0
E5,25472.462797619068,0.25,4/4,1,9,0
C♯5,25628.867010345803,0.25,4/4,1,9,0
A5,25762.051268424046,0.25,4/4,1,9,0
E5,25964.89539044785,0.25,4/4,1,9,0
E4,26133.66115219496,0.25,4/4,1,10,0
G♯4,26161.60404265873,0.25,4/4,1,10,0
B4,26271.56834608843,0.25,4/4,1,10,0
G♯4,26358.312694869608,0.25,4/4,1,10,0
E5,26491.496952947833,0.25,4/4,1,10,0
