Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
D4,417.9591836734694,1.5,4/4,1,1,0
D5,1205.6149817431374,0.25,4/4,1,1,0
E5,2255.8272215136058,0.25,4/4,1,1,0
E5,3810.720469722397,1.5,4/4,1,1,0
D5,4000.815440759638,0.25,4/4,1,1,0
E5,4087.5597895408137,0.25,4/4,1,1,0
D4,4220.744047619045,1.5,4/4,1,2,0
F♯5,5809.328054138317,0.25,4/4,1,2,0
G5,5921.068254724642,0.25,4/4,1,2,0
G5,5971.151553492882,1.5,4/4,1,2,0
F♯5,7524.96084892291,0.25,4/4,1,2,0
G5,7611.705197704083,0.25,4/4,1,2,0
D4,7744.889455782321,1.0,4/4,1,3,0
A5,8672.365717120188,0.75,4/4,1,3,0
F♯4,9443.437765731293,0.25,4/4,1,3,0
G5,9553.402069161004,0.75,4/4,1,3,0
E4,10278.034208475055,0.25,4/4,1,3,0
F♯5,10898.83751417234,0.75,4/4,1,3,0
D4,11159.070560515871,0.25,4/4,1,3,0
E5,11338.694727891161,1.0,4/4,1,4,0
A4,12312.610898526082,1.0,4/4,1,4,0
0,13676.494348668342,0.125,4/4,1,4,0
A4,13688.181345254447,0.125,4/4,1,4,0
B4,13721.570737670065,0.125,4/4,1,4,0
C♯5,13799.772844033447,0.125,4/4,1,4,0
D5,13877.97495039683,0.125,4/4,1,4,0
E5,13932.957102111684,0.125,4/4,1,4,0
F♯5,13987.939253826537,0.125,4/4,1,4,0
G5,14066.141360189898,0.125,4/4,1,4,0
A5,14144.343466553275,0.75,4/4,1,4,0
G5,14868.975605867334,0.25,4/4,1,4,0
F♯5,15048.59977324263,0.75,4/4,1,5,0
C♯5,15842.891776502258,0.25,4/4,1,5,0
D5,16022.51594387754,1.0,4/4,1,5,0
0,17321.511479591838,0.125,4/4,1,5,0
B4,17399.713585955196,0.125,4/4,1,5,0
C♯5,17524.355601615636,0.125,4/4,1,5,0
D5,17625.777662627548,0.125,4/4,1,5,0
E5,17680.759814342397,0.125,4/4,1,5,0
F♯5,17758.961920705777,0.125,4/4,1,5,0
G5,17813.944072420625,0.125,4/4,1,5,0
A5,17862.53567442602,0.125,4/4,1,5,0
B5,17948.980836035964,0.75,4/4,1,5,0
A5,18694.980424461435,0.25,4/4,1,5,0
G♯5,18851.384637188203,0.75,4/4,1,6,0
D♯5,19692.11654974489,0.25,4/4,1,6,0
E5,19825.300807823118,1.0,4/4,1,6,0
0,21286.836026077093,0.75,4/4,1,6,0
B4,21663.16884566326,0.25,4/4,1,6,0
C♯5,21819.573058390008,0.75,4/4,1,6,0
G♯4,22683.524925595215,0.25,4/4,1,6,0
A4,22863.149092970514,0.75,4/4,1,7,0
A4,23403.863452286638,0.0833333333333333,4/4,1,7,0
B4,23608.956030328787,0.0833333333333333,4/4,1,7,0
C♯5,23699.790692318584,0.0833333333333333,4/4,1,7,0
F♯4,23837.065263605433,0.75,4/4,1,7,0
F♯4,24494.629320980624,0.0833333333333333,4/4,1,7,0
G4,24536.432291666664,0.0833333333333333,4/4,1,7,0
A4,24627.266953656454,0.0833333333333333,4/4,1,7,0
D4,24764.5415249433,0.75,4/4,1,7,0
C♯5,25628.493392148517,0.25,4/4,1,7,0
D5,25761.677650226746,0.75,4/4,1,7,0
A♯4,26555.96965348639,0.25,4/4,1,7,0
B4,26735.593820861664,0.75,4/4,1,8,0
B4,27050.373325186807,0.0833333333333333,4/4,1,8,0
C♯5,27527.840667516997,0.0833333333333333,4/4,1,8,0
D5,27595.455374858266,0.0833333333333333,4/4,1,8,0
G♯4,28150.689129818584,0.75,4/4,1,8,0
G♯4,28395.64031791298,0.0833333333333333,4/4,1,8,0
A4,28408.877019557855,0.0833333333333333,4/4,1,8,0
B4,28499.71168154765,0.0833333333333333,4/4,1,8,0
E4,28590.546343537448,0.75,4/4,1,8,0
D♯5,29431.278256094123,0.25,4/4,1,8,0
E5,29564.46251417235,0.75,4/4,1,8,0
B4,30358.75451743198,0.25,4/4,1,8,0
C♯5,30561.598639455784,0.75,4/4,1,9,0
A4,31425.550506661013,0.25,4/4,1,9,0
F♯5,31674.834537981857,1.0,4/4,1,9,0
G♯4,33089.92984693881,0.75,4/4,1,9,0
B4,33814.561986252855,0.25,4/4,1,9,0
E5,34017.40610827666,0.75,4/4,1,9,0
E4,34584.96396670648,0.25,4/4,1,9,0
F♯4,35014.542233560096,0.75,4/4,1,10,0
A4,35855.27414611678,0.25,4/4,1,10,0
D5,36060.56049503134,1.0,4/4,1,10,0
E4,37333.893849206375,0.75,4/4,1,10,0
G♯4,38221.06567106011,0.25,4/4,1,10,0
C♯5,38911.528840702966,0.75,4/4,1,10,0
E4,39218.20179634354,0.25,4/4,1,10,0
D4,39444.26587301588,0.75,4/4,1,11,0
C♯5,40284.99778557256,0.25,4/4,1,11,0
B4,40418.18204365082,0.75,4/4,1,11,0
A4,41166.03413761341,0.25,4/4,1,11,0
D♯4,41368.87825963722,0.75,4/4,1,11,0
B4,42186.39021754537,0.25,4/4,1,11,0
A4,42342.79443027213,0.75,4/4,1,11,0
F♯5,43113.866478883225,0.25,4/4,1,11,0
E4,43386.37046485261,0.75,4/4,1,12,0
G♯4,44250.322332057855,0.25,4/4,1,12,0
B4,44406.7265447846,1.0,4/4,1,12,0
0,46045.12248980718,0.75,4/4,1,12,0
D5,46221.37462797621,0.25,4/4,1,12,0
C♯5,46354.558886054445,0.75,4/4,1,12,0
B4,47218.510753259645,0.25,4/4,1,12,0
A5,47398.134920634926,0.75,4/4,1,13,0
G♯5,48169.20696924606,0.125,4/4,1,13,0
F♯5,48247.40907560942,0.125,4/4,1,13,0
E5,48348.83113662132,0.75,4/4,1,13,0
D5,49166.34309452952,0.25,4/4,1,13,0
B4,49462.067035147425,1.5,4/4,1,13,0
A4,51073.87099631521,0.5,4/4,1,13,0
A4,53755.689787633804,1.5,4/4,1,14,0
A4,53767.564715827735,0.5,4/4,1,14,0
A4,53771.52302522572,0.75,4/4,1,14,0
G4,53826.94435586737,0.25,4/4,1,14,0
F♯4,54331.64788832201,0.75,4/4,1,14,0
E4,54847.30043579933,0.25,4/4,1,14,0
D4,55026.92460317461,1.5,4/4,1,1,1
D5,56885.109596598144,0.25,4/4,1,1,1
E5,56888.88735153235,0.25,4/4,1,1,1
E5,56985.356798424946,1.5,4/4,1,1,1
