Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
G5,673.3786848072563,0.5,4/4,1,1,0
G4,2288.7480616738567,0.25,4/4,1,1,0
A4,2396.468874007937,0.25,4/4,1,1,0
B♭4,2808.29258786848,0.25,4/4,1,1,0
G5,3475.535802862811,0.25,4/4,1,1,0
C5,3840.919607426304,0.25,4/4,1,1,0
G5,3892.229052972502,0.25,4/4,1,1,0
D5,4780.666808390021,0.25,4/4,1,1,0
G5,5540.789841978458,0.25,4/4,1,1,0
F♯5,6022.27341978458,0.5,4/4,1,1,0
0,6799.480938208619,0.5,4/4,1,1,0
F♯5,7530.2485473356,0.25,4/4,1,1,0
G5,7965.292215844668,0.25,4/4,1,1,0
A5,8423.555839002265,0.25,4/4,1,2,0
D5,9114.019008645122,0.25,4/4,1,2,0
C5,9502.622767857138,0.25,4/4,1,2,0
E♭6,9960.886391014736,0.25,4/4,1,2,0
B♭4,10512.029832766437,0.25,4/4,1,2,0
D6,10923.853546626979,0.25,4/4,1,2,0
A4,11428.557079081627,0.25,4/4,1,2,0
C6,11793.94088364512,0.25,4/4,1,2,0
G4,12391.524234693874,0.25,4/4,1,2,0
B♭5,13012.327540391152,0.125,4/4,1,2,0
A5,13206.629419997165,0.125,4/4,1,2,0
G5,13424.151254251696,0.5,4/4,1,2,0
0,14154.918863378682,0.25,4/4,1,2,0
A5,15379.440989937637,0.25,4/4,1,2,0
B♭5,15930.58443168935,0.25,4/4,1,2,0
D5,16295.968236252837,0.25,4/4,1,2,0
E♭5,16800.671768707492,0.25,4/4,1,3,0
C6,17421.475074404763,0.25,4/4,1,3,0
A5,17856.518742913842,0.25,4/4,1,3,0
B♭5,18291.562411422903,0.25,4/4,1,3,0
D5,18726.60607993198,0.25,4/4,1,3,0
F6,19254.529567035144,0.25,4/4,1,3,0
A5,19736.013144841276,0.25,4/4,1,3,0
B♭5,20496.136178429704,0.25,4/4,1,3,0
E♭5,20931.179846938783,0.25,4/4,1,3,0
C6,21598.423061933103,0.25,4/4,1,3,0
A5,22012.487135342075,0.25,4/4,1,3,0
B♭5,22491.730353599774,0.25,4/4,1,3,0
D5,22903.55406746032,0.25,4/4,1,3,0
F6,23292.157826672334,0.25,4/4,1,3,0
A5,23634.321676587308,0.25,4/4,1,3,0
B♭5,24882.063757794782,0.25,4/4,1,3,0
C5,25409.987244897962,0.25,4/4,1,4,0
E♭6,26100.450414540814,0.25,4/4,1,4,0
A4,26558.714037698417,0.25,4/4,1,4,0
E♭6,27086.637524801587,0.25,4/4,1,4,0
B♭4,27521.681193310662,0.25,4/4,1,4,0
D6,27910.284952522674,0.25,4/4,1,4,0
E5,28298.888711734697,0.25,4/4,1,4,0
D6,28826.812198837873,0.25,4/4,1,4,0
F5,29238.635912698417,0.25,4/4,1,4,0
D6,29836.21926374716,0.25,4/4,1,4,0
C6,30340.922796201816,0.5,4/4,1,4,0
0,32046.928500566886,0.25,4/4,1,4,0
E♭5,32180.112758645108,0.25,4/4,1,4,0
D5,32615.15642715419,0.25,4/4,1,4,0
C5,33003.7601863662,0.25,4/4,1,4,0
D5,33438.80385487529,0.25,4/4,1,5,0
C6,34036.38720592403,0.25,4/4,1,5,0
B♭5,34517.870783730155,0.25,4/4,1,5,0
D5,34906.47454294216,0.25,4/4,1,5,0
F4,35457.61798469386,0.25,4/4,1,5,0
B♭5,35939.10156249998,0.25,4/4,1,5,0
A5,36443.80509495464,0.25,4/4,1,5,0
C5,36902.06871811223,0.25,4/4,1,5,0
B4,37592.5318877551,0.25,4/4,1,5,0
A5,38282.995057397944,0.25,4/4,1,5,0
G♯5,38810.918544501124,0.25,4/4,1,5,0
G5,39245.96221301019,0.25,4/4,1,5,0
F♯5,39634.565972222204,0.25,4/4,1,5,0
F5,40139.26950467686,0.25,4/4,1,5,0
E5,40551.09321853741,0.25,4/4,1,5,0
D5,41102.23666028909,0.25,4/4,1,5,0
A4,41653.380102040814,0.25,4/4,1,6,0
D6,42250.96345308956,0.25,4/4,1,6,0
C♯6,43011.086486677996,0.25,4/4,1,6,0
C6,43422.910200538536,0.25,4/4,1,6,0
B5,43881.17382369613,0.25,4/4,1,6,0
B♭5,44432.317265447826,0.25,4/4,1,6,0
A5,44844.14097930838,0.25,4/4,1,6,0
C♯6,45372.064466411546,0.25,4/4,1,6,0
D6,46178.62740929704,0.5,4/4,1,6,0
D5,47730.12652419775,0.25,4/4,1,6,0
E5,47762.39787060657,0.25,4/4,1,6,0
F5,48243.881448412685,0.25,4/4,1,6,0
D6,48795.024890164386,0.25,4/4,1,6,0
G5,49183.628649376406,0.25,4/4,1,6,0
E6,49641.89227253399,0.25,4/4,1,6,0
A5,50123.375850340126,0.25,4/4,1,7,0
D6,50837.058974631516,0.25,4/4,1,7,0
C♯6,51295.32259778911,0.5,4/4,1,7,0
0,51677.790887188195,0.5,4/4,1,7,0
C♯6,51897.7194940476,0.25,4/4,1,7,0
D6,53238.34139384921,0.25,4/4,1,7,0
E6,53719.82497165532,0.25,4/4,1,7,0
A5,54456.72805059523,0.25,4/4,1,7,0
G5,54914.99167375283,0.25,4/4,1,7,0
E6,55326.81538761337,0.25,4/4,1,7,0
F5,55831.51892006801,0.25,4/4,1,7,0
D6,56405.88231646825,0.25,4/4,1,7,0
E5,56840.9259849773,0.25,4/4,1,7,0
E6,57687.19874929138,0.25,4/4,1,7,0
D5,57711.01332199545,0.25,4/4,1,8,0
F6,58355.03658234127,0.125,4/4,1,8,0
E6,58572.558416595806,0.125,4/4,1,8,0
D6,58790.08025085033,0.5,4/4,1,8,0
0,60310.326318027204,0.25,4/4,1,8,0
E6,60420.2906214569,0.25,4/4,1,8,0
F6,60855.33428996597,0.25,4/4,1,8,0
C5,61267.15800382651,0.25,4/4,1,8,0
B4,61725.4216269841,0.25,4/4,1,8,0
A♭5,62323.00497803285,0.25,4/4,1,8,0
G5,62850.928465136014,0.25,4/4,1,8,0
D6,63239.53222434806,0.25,4/4,1,8,0
G4,63813.89562074827,0.25,4/4,1,8,0
F6,64365.039062500015,0.25,4/4,1,8,0
E♭6,64800.08273100905,0.25,4/4,1,8,0
D6,65211.90644486963,0.25,4/4,1,8,0
C5,65693.39002267574,0.25,4/4,1,9,0
E♭6,66267.75341907596,0.25,4/4,1,9,0
B5,66679.5771329365,0.25,4/4,1,9,0
C6,67416.48021187642,0.25,4/4,1,9,0
0,68451.06606670446,0.25,4/4,1,9,0
D6,68518.7670953798,0.25,4/4,1,9,0
E♭6,69069.9105371315,0.25,4/4,1,9,0
B♭4,69435.294341695,0.25,4/4,1,9,0
A4,69870.33801020405,0.25,4/4,1,9,0
E5,70351.82158801016,0.25,4/4,1,9,0
F5,70740.42534722219,0.25,4/4,1,9,0
C6,71105.8091517857,0.25,4/4,1,9,0
F4,71773.05236678006,0.25,4/4,1,9,0
E♭6,72300.97585388321,0.25,4/4,1,9,0
D6,72666.35965844672,0.25,4/4,1,9,0
C6,73124.62328160432,0.25,4/4,1,9,0
B♭4,73559.66695011339,0.25,4/4,1,10,0
D6,74110.81039186507,0.25,4/4,1,10,0
A5,74569.07401502268,0.25,4/4,1,10,0
B♭5,75607.83650439342,0.25,4/4,1,10,0
0,76832.35863095237,0.25,4/4,1,10,0
A4,76919.10297973354,0.25,4/4,1,10,0
B♭4,77470.24642148524,0.25,4/4,1,10,0
D6,78091.04972718252,0.25,4/4,1,10,0
A4,78479.65348639453,0.25,4/4,1,10,0
C6,78937.91710955212,0.25,4/4,1,10,0
G4,79396.18073270973,0.25,4/4,1,10,0
B♭5,79761.5645372732,0.25,4/4,1,10,0
D5,80173.38825113379,0.25,4/4,1,10,0
A5,80887.07137542516,0.25,4/4,1,10,0
B♭4,81461.43477182541,0.25,4/4,1,10,0
D6,82337.65757865648,0.25,4/4,1,10,0
A4,82679.82142857143,0.25,4/4,1,11,0
C6,83068.42518778345,0.25,4/4,1,11,0
G4,83596.34867488661,0.25,4/4,1,11,0
B♭5,84217.15198058389,0.25,4/4,1,11,0
D5,84443.21605725623,0.25,4/4,1,11,0
A5,85110.45927225055,0.25,4/4,1,11,0
B4,85800.9224418934,0.25,4/4,1,11,0
D6,86398.50579294216,0.25,4/4,1,11,0
C5,86926.42928004533,0.25,4/4,1,11,0
E♭6,87500.79267644556,0.25,4/4,1,11,0
D5,87866.17648100904,0.25,4/4,1,11,0
B5,88301.2201495181,0.25,4/4,1,11,0
E♭5,88666.60395408163,0.25,4/4,1,11,0
C6,89194.52744118484,0.25,4/4,1,11,0
C5,90330.10702211257,0.25,4/4,1,11,0
C6,90339.55140944809,0.25,4/4,1,11,0
F♯5,90383.5586734694,0.25,4/4,1,12,0
D5,91004.36197916667,0.25,4/4,1,12,0
F♯5,91416.1856930272,0.25,4/4,1,12,0
C6,92083.42890802154,0.25,4/4,1,12,0
0,93609.81044501133,0.25,4/4,1,12,0
D6,93696.5547937925,0.25,4/4,1,12,0
B♭5,94108.37850765305,0.25,4/4,1,12,0
A5,94682.74190405325,0.25,4/4,1,12,0
B♭5,94955.24589002265,0.25,4/4,1,12,0
F♯5,95645.7090596655,0.25,4/4,1,12,0
G5,96243.29241071425,0.25,4/4,1,12,0
B♭4,96353.256714144,0.25,4/4,1,12,0
D5,97136.59970238093,0.5,4/4,1,12,0
A5,98680.06572420635,0.5,4/4,1,12,0
G5,99898.4523809524,0.25,4/4,1,13,0
D5,100705.01532383787,0.25,4/4,1,13,0
B♭4,101186.49890164398,0.25,4/4,1,13,0
G4,101528.66275155895,0.25,4/4,1,13,0
0,102706.74496882086,0.25,4/4,1,13,0
F♯5,103838.3872767857,0.25,4/4,1,13,0
G5,104319.8708545918,0.25,4/4,1,13,0
B♭5,104731.69456845237,0.25,4/4,1,13,0
C5,105375.71782879817,0.25,4/4,1,13,0
A♭5,106112.62090773806,0.25,4/4,1,13,0
F♯5,106524.44462159861,0.25,4/4,1,13,0
G5,106982.70824475623,0.25,4/4,1,13,0
B♭4,107440.97186791379,0.25,4/4,1,13,0
D6,107945.67540036848,0.25,4/4,1,13,0
F♯5,108357.49911422901,0.25,4/4,1,13,0
G5,108955.08246527778,0.25,4/4,1,13,0
C5,109599.1057256236,0.25,4/4,1,14,0
A♭5,110312.78884991497,0.25,4/4,1,14,0
F♯5,110678.17265447845,0.25,4/4,1,14,0
G5,111159.65623228457,0.25,4/4,1,14,0
B♭4,111617.91985544217,0.25,4/4,1,14,0
D6,112354.82293438207,0.25,4/4,1,14,0
F♯5,112836.3065121882,0.25,4/4,1,14,0
G5,113573.2095911281,0.25,4/4,1,14,0
A4,114170.79294217685,0.25,4/4,1,14,0
C6,114861.2561118197,0.25,4/4,1,14,0
F♯4,115435.61950821994,0.25,4/4,1,14,0
C6,115870.663176729,0.25,4/4,1,14,0
G4,116445.02657312927,0.25,4/4,1,14,0
B♭5,116880.07024163833,0.25,4/4,1,14,0
C♯5,117268.67400085035,0.25,4/4,1,14,0
B♭5,117703.71766935942,0.25,4/4,1,14,0
D5,118185.20124716553,0.25,4/4,1,15,0
B♭5,118829.22450751133,0.25,4/4,1,15,0
A5,119310.70808531746,0.5,4/4,1,15,0
0,121063.15369897957,0.25,4/4,1,15,0
C5,121173.11800240929,0.25,4/4,1,15,0
B4,121770.70135345803,0.25,4/4,1,15,0
D6,122228.96497661562,0.25,4/4,1,15,0
C5,122803.32837301584,0.25,4/4,1,15,0
E♭6,123377.69176941608,0.25,4/4,1,15,0
