Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
F5,835.9183673469388,0.375,4/4,1,1,0
B♭4,1790.3432805413836,0.125,4/4,1,1,0
G5,2077.524978741497,0.5,4/4,1,2,0
G5,3515.557153394366,0.5,4/4,1,2,0
E♭4,3562.280151643991,0.5,4/4,1,2,0
G5,4339.487670068026,0.5,4/4,1,2,0
G5,5908.6038706253985,0.375,4/4,1,2,0
E♭5,5955.020328443875,0.125,4/4,1,2,0
F5,6172.542162698411,0.5,4/4,1,2,0
0,7367.708864795916,0.5,4/4,1,2,0
D5,7587.637471655326,0.375,4/4,1,2,0
B♭4,8263.422929067461,0.125,4/4,1,2,0
E♭5,9061.443629535144,0.5,4/4,1,3,0
E♭5,9531.565733850246,0.5,4/4,1,3,0
F4,9849.600162981855,0.5,4/4,1,3,0
E♭5,10650.02763605442,0.5,4/4,1,3,0
E♭5,11090.901957670134,0.375,4/4,1,3,0
C5,12195.900430484691,0.125,4/4,1,3,0
D5,12413.422264739227,0.5,4/4,1,3,0
0,13399.609374999993,0.5,4/4,1,3,0
D5,13898.17743764172,0.375,4/4,1,3,0
E♭5,14643.622758999438,0.125,4/4,1,3,0
F♯4,14861.144593253963,0.5,4/4,1,4,0
A5,15777.671839569153,0.5,4/4,1,4,0
D4,16461.999539399087,0.25,4/4,1,4,0
E♭5,16989.923026502267,0.25,4/4,1,4,0
D5,17378.52678571428,0.25,4/4,1,4,0
C5,17743.910590277777,0.25,4/4,1,4,0
B♭4,18086.074440192737,0.25,4/4,1,4,0
G4,18567.558017998865,0.25,4/4,1,4,0
A4,18909.721867913824,0.25,4/4,1,4,0
F♯4,19344.765536422903,0.25,4/4,1,4,0
G4,19686.929386337863,0.5,4/4,1,4,0
G5,20649.896541950115,0.375,4/4,1,4,0
B♭5,21279.242090065192,0.125,4/4,1,4,0
C♯5,21496.763924319734,0.5,4/4,1,5,0
E6,22529.39094387755,0.5,4/4,1,5,0
A4,23376.25832624717,0.25,4/4,1,5,0
