Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
A4,8568.163265306122,1.0,3/4,1,1,0
D4,9843.93884637188,0.5,3/4,1,2,0
D5,11062.470908151643,0.5,3/4,1,2,0
C♯5,11119.714427437644,0.5,3/4,1,2,0
D5,11525.402671485263,0.5,3/4,1,2,0
F5,12023.970734126984,0.5,3/4,1,2,0
D5,12568.978706065762,0.5,3/4,1,2,0
B♭4,13067.546768707482,0.5,3/4,1,3,0
D5,13635.774695294787,0.5,3/4,1,3,0
C♯5,14041.462939342407,0.5,3/4,1,3,0
D5,14400.711274092973,0.5,3/4,1,3,0
F5,15711.97774943311,0.5,3/4,1,3,0
D5,15766.36551698382,0.5,3/4,1,3,0
F4,15803.535643424033,0.5,3/4,1,4,0
A5,16278.88375141723,0.5,3/4,1,4,0
G4,16707.79195011338,0.5,3/4,1,4,0
G5,17587.826770754597,0.5,3/4,1,4,0
A4,17612.048256802722,0.25,3/4,1,4,0
G5,17954.21210671769,0.25,3/4,1,4,0
F5,18180.27618339003,0.25,3/4,1,4,0
E5,18359.900350765307,0.25,3/4,1,4,0
F5,18655.624291383225,0.125,3/4,1,5,0
E5,18803.486261692175,0.125,3/4,1,5,0
D5,18951.348232001135,0.75,3/4,1,5,0
0,20419.018920068032,1.0,3/4,1,5,0
A4,20998.19586167801,1.0,3/4,1,5,0
D4,22181.091624149667,0.5,3/4,1,6,0
D5,24041.17764173812,0.5,3/4,1,6,0
C♯5,24130.24589002268,0.5,3/4,1,6,0
D5,24466.27427012473,0.5,3/4,1,6,0
F5,24659.61006837771,0.5,3/4,1,6,0
D5,24682.76405023255,0.5,3/4,1,6,0
G4,25033.180272108846,0.5,3/4,1,7,0
F5,25554.9682893991,0.5,3/4,1,7,0
E5,25937.436578798202,0.5,3/4,1,7,0
D5,26250.24500425171,0.5,3/4,1,7,0
D6,26575.728898251222,0.5,3/4,1,7,0
F5,27224.16117488664,0.5,3/4,1,7,0
C5,27699.509282879833,0.25,3/4,1,8,0
D5,28064.893087443324,0.25,3/4,1,8,0
E5,28267.73720946713,0.25,3/4,1,8,0
F5,28400.921467545362,0.25,3/4,1,8,0
G5,28603.765589569186,0.5,3/4,1,8,0
F5,28870.134105725647,1.0,3/4,1,8,0
E5,29960.15004960319,0.5,3/4,1,8,0
F4,30319.398384353764,0.5,3/4,1,9,0
E5,30980.50612953517,0.5,3/4,1,9,0
D5,31339.75446428573,0.5,3/4,1,9,0
C5,31699.002799036298,0.5,3/4,1,9,0
C6,32495.353794589333,0.5,3/4,1,9,0
E5,32649.6990150227,0.5,3/4,1,9,0
B4,33194.70698696147,0.25,3/4,1,10,0
C5,33513.6508822279,0.25,3/4,1,10,0
D5,33716.49500425171,0.25,3/4,1,10,0
E5,33872.89921697846,0.25,3/4,1,10,0
F5,34052.523384353764,0.5,3/4,1,10,0
E5,34504.65153769844,1.0,3/4,1,10,0
D5,35292.80807114513,0.5,3/4,1,10,0
E4,35721.71626984129,0.5,3/4,1,11,0
D5,36266.724241780066,0.5,3/4,1,11,0
C5,36649.19253117915,0.5,3/4,1,11,0
B4,37054.88077522678,0.5,3/4,1,11,0
B5,37835.92538754741,0.5,3/4,1,11,0
D5,37959.13708191612,0.5,3/4,1,11,0
C5,38434.48518990932,0.125,3/4,1,12,0
B4,38559.12720556975,0.125,3/4,1,12,0
A4,38706.9891758787,0.75,3/4,1,12,0
D5,39361.96145124717,0.125,3/4,1,12,0
C5,39463.3835122591,0.125,3/4,1,12,0
B4,39589.97512459845,0.75,3/4,1,12,0
E5,40196.557893990925,0.125,3/4,1,12,0
D5,40297.979955002855,0.125,3/4,1,12,0
C5,40422.6219706633,0.75,3/4,1,12,0
A5,41263.353883219985,1.5,3/4,1,13,0
G5,42550.0784793084,0.25,3/4,1,13,0
F5,42892.242329223365,0.25,3/4,1,13,0
E5,43118.306405895695,0.25,3/4,1,13,0
D5,43321.1505279195,0.25,3/4,1,13,0
C5,43477.55474064626,0.25,3/4,1,13,0
B4,43610.73899872449,0.25,3/4,1,13,0
A4,43790.363166099756,0.5,3/4,1,14,0
D♯4,44335.37113803859,0.5,3/4,1,14,0
E4,44810.719246031775,1.0,3/4,1,14,0
B4,46156.1546910431,1.0,3/4,1,14,0
A4,46851.431405895695,2.0,3/4,1,15,0
A4,48224.19843733835,1.0,3/4,1,1,1
D4,50864.5177862812,0.5,3/4,1,2,1
D5,51883.78177542704,0.5,3/4,1,2,1
C♯5,52140.293367346945,0.5,3/4,1,2,1
D5,52477.092192256474,0.5,3/4,1,2,1
F5,53021.32971938777,0.5,3/4,1,2,1
D5,53359.443586482565,0.5,3/4,1,2,1
B♭4,53972.025935374186,0.5,3/4,1,3,1
D5,54540.25386196147,0.5,3/4,1,3,1
C♯5,54922.72215136056,0.5,3/4,1,3,1
D5,55305.190440759645,0.5,3/4,1,3,1
F5,55780.53854875284,0.5,3/4,1,3,1
D5,56163.00683815193,0.5,3/4,1,3,1
F4,56638.35494614512,0.5,3/4,1,4,1
A5,57229.80282738097,0.5,3/4,1,4,1
G4,57658.71102607713,0.5,3/4,1,4,1
G5,58223.59572453113,0.5,3/4,1,4,1
A4,58493.30746882088,0.25,3/4,1,4,1
G5,58812.251364087315,0.25,3/4,1,4,1
F5,59038.315440759645,0.25,3/4,1,4,1
E5,59217.939608134926,0.25,3/4,1,4,1
F5,59536.88350340136,0.125,3/4,1,5,1
E5,59661.52551906182,0.125,3/4,1,5,1
D5,59809.38748937075,0.75,3/4,1,5,1
0,61068.078585600895,1.0,3/4,1,5,1
A4,61531.15575396828,1.0,3/4,1,5,1
D4,62481.85196995467,0.5,3/4,1,6,1
D5,63586.18089505539,0.5,3/4,1,6,1
C♯5,63618.30782312926,0.5,3/4,1,6,1
D5,63931.11624858276,0.5,3/4,1,6,1
F5,64406.464356575954,0.5,3/4,1,6,1
D5,64696.052827381,0.5,3/4,1,6,1
G4,65264.280753968276,0.5,3/4,1,7,1
F5,65762.84881660994,0.5,3/4,1,7,1
E5,66122.09715136058,0.5,3/4,1,7,1
D5,66458.12553146266,0.5,3/4,1,7,1
D6,67301.98582852593,0.5,3/4,1,7,1
F5,67455.2616567461,0.5,3/4,1,7,1
C5,67884.16985544222,0.25,3/4,1,8,1
D5,68249.55366000567,0.25,3/4,1,8,1
E5,68405.95787273247,0.25,3/4,1,8,1
F5,68539.14213081064,0.25,3/4,1,8,1
G5,68713.30605158732,0.5,3/4,1,8,1
F5,69170.89445153064,1.0,3/4,1,8,1
E5,70075.15075821996,0.5,3/4,1,8,1
