Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
0,0.0,0.5,3/4,1,1,0
F♯5,405.68824404761915,0.5,3/4,1,1,0
F♯5,1235.6172420594542,1.5,3/4,1,2,0
C♯5,1355.0625354308395,0.5,3/4,1,2,0
A4,1574.9911422902508,0.5,3/4,1,2,0
C♯5,1748.4798398526086,0.5,3/4,1,2,0
F♯4,1945.188492063489,0.5,3/4,1,3,0
A4,2095.457234977321,0.5,3/4,1,3,0
C♯5,2268.945932539679,0.5,3/4,1,3,0
F♯5,2442.434630102037,0.5,3/4,1,3,0
A5,2592.7033730158687,0.5,3/4,1,3,0
F♯5,2719.7521612811743,0.5,3/4,1,3,0
B4,2893.2408588435324,0.5,3/4,1,4,0
D5,3066.7295564059045,0.5,3/4,1,4,0
F♯5,3193.77834467121,0.5,3/4,1,4,0
B5,3344.047087585042,0.5,3/4,1,4,0
D6,3494.3158304988733,0.5,3/4,1,4,0
B5,3644.5845734127056,0.5,3/4,1,4,0
E♯4,3794.8533163265374,0.5,3/4,1,5,0
G♯4,3968.3420138888955,0.5,3/4,1,5,0
C♯5,4141.830711451254,0.5,3/4,1,5,0
E♯5,4292.099454365086,0.5,3/4,1,5,0
G♯5,4419.148242630391,0.5,3/4,1,5,0
B4,4615.856894841275,0.5,3/4,1,5,0
A4,4766.125637755107,0.5,3/4,1,6,0
F♯5,4916.3943806689385,0.5,3/4,1,6,0
G♯4,5136.322987528349,0.5,3/4,1,6,0
F♯5,5240.1518211451275,0.5,3/4,1,6,0
C♯5,5436.860473355997,0.5,3/4,1,6,0
E♯5,5633.569125566891,0.5,3/4,1,6,0
F♯4,5853.497732426305,1.0,3/4,1,7,0
0,6757.754039115634,0.5,3/4,1,7,0
A5,6838.362918083895,0.5,3/4,1,7,0
G♯5,7035.0715702947855,0.5,3/4,1,7,0
F♯5,7208.560267857137,0.5,3/4,1,7,0
E5,7382.048965419489,0.5,3/4,1,8,0
G♯4,7555.537662981851,0.5,3/4,1,8,0
A4,7709.007062547241,0.5,3/4,1,8,0
E5,7879.295103458044,0.5,3/4,1,8,0
F♯5,8029.56384637187,0.5,3/4,1,8,0
C♯5,8226.272498582754,0.5,3/4,1,8,0
D5,8330.101332199542,0.5,3/4,1,9,0
F♯4,8480.370075113373,0.5,3/4,1,9,0
G♯4,8677.078727324251,0.5,3/4,1,9,0
D5,9105.986926020392,0.5,3/4,1,9,0
E5,9183.374621302903,0.5,3/4,1,9,0
D5,9195.045734107782,0.5,3/4,1,9,0
C♯5,9463.913336167789,1.0,3/4,1,10,0
0,10066.310232426293,0.5,3/4,1,10,0
C♯5,10123.699156746026,0.5,3/4,1,10,0
B4,10273.967899659852,0.5,3/4,1,10,0
A4,10447.456597222203,0.5,3/4,1,10,0
B4,10597.725340136041,0.5,3/4,1,11,0
D♯5,10794.433992346929,0.5,3/4,1,11,0
E5,10917.430732709747,0.5,3/4,1,11,0
G♯5,11071.751523526056,0.5,3/4,1,11,0
C♯5,11245.240221088465,0.5,3/4,1,11,0
B4,11400.967239268391,0.5,3/4,1,11,0
A4,11568.997661564643,0.5,3/4,1,12,0
E5,11742.486359126993,0.5,3/4,1,12,0
D♯5,11892.75510204082,0.5,3/4,1,12,0
F♯5,12043.023844954643,0.5,3/4,1,12,0
B4,12239.732497165529,0.5,3/4,1,12,0
A4,12413.22119472793,0.5,3/4,1,12,0
G♯4,12540.269982993228,1.0,3/4,1,13,0
0,13119.446924603191,0.5,3/4,1,13,0
E5,13409.035395408173,0.5,3/4,1,13,0
C♯5,13605.74404761905,0.5,3/4,1,13,0
E5,13779.232745181427,0.5,3/4,1,13,0
F♯5,13952.721442743803,0.5,3/4,1,14,0
A4,14195.870004251738,0.5,3/4,1,14,0
D4,14392.578656462616,0.5,3/4,1,14,0
C♯5,14612.50726332202,0.5,3/4,1,14,0
B4,14785.995960884371,0.5,3/4,1,14,0
A5,14959.484658446723,0.5,3/4,1,14,0
G♯5,15132.973356009074,0.5,3/4,1,15,0
B4,15306.462053571435,0.5,3/4,1,15,0
E4,15479.950751133814,0.5,3/4,1,15,0
D5,15676.659403344709,0.5,3/4,1,15,0
C♯5,15873.368055555587,0.5,3/4,1,15,0
B5,16023.636798469415,0.5,3/4,1,15,0
A5,16197.125496031764,0.5,3/4,1,16,0
C♯5,16393.83414824264,0.5,3/4,1,16,0
F♯4,16544.102891156468,0.5,3/4,1,16,0
E5,16717.591588718817,0.5,3/4,1,16,0
D5,16867.860331632666,0.5,3/4,1,16,0
C♯6,17041.349029195047,0.5,3/4,1,16,0
B5,17214.837726757403,0.5,3/4,1,17,0
D5,17411.54637896828,0.5,3/4,1,17,0
G♯4,17561.815121882104,0.5,3/4,1,17,0
F♯5,17735.303819444456,0.5,3/4,1,17,0
E5,17908.792517006805,0.5,3/4,1,17,0
D6,18128.72112386621,0.5,3/4,1,17,0
C♯6,18278.989866780048,0.5,3/4,1,18,0
G♯5,18429.2586096939,0.5,3/4,1,18,0
A5,18602.747307256268,0.5,3/4,1,18,0
D4,18776.23600481862,0.5,3/4,1,18,0
E4,18926.504747732444,0.5,3/4,1,18,0
G♯5,19099.993445294796,0.5,3/4,1,18,0
A4,19319.9220521542,0.5,3/4,1,19,0
A5,19701.64030221905,0.5,3/4,1,19,0
B4,19736.55931122448,0.5,3/4,1,19,0
