Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
C5,1718.2766439909296,1.0,3/4,1,1,0
F4,3133.371952947845,0.5,3/4,1,2,0
F5,4467.757750297937,0.5,3/4,1,2,0
E5,4502.027352607708,0.5,3/4,1,2,0
F5,4954.155505952379,0.5,3/4,1,2,0
A♭5,5452.723568594102,0.5,3/4,1,2,0
F5,6113.831313775508,0.5,3/4,1,2,0
D♭5,6728.499149659869,0.5,3/4,1,3,0
F5,7668.246350623586,0.5,3/4,1,3,0
E5,8190.034367913835,0.5,3/4,1,3,0
F5,8618.942566609981,0.5,3/4,1,3,0
A♭5,9071.07071995465,0.5,3/4,1,3,0
F5,9685.738555839003,0.5,3/4,1,3,0
A♭4,10346.846301020412,0.5,3/4,1,4,0
C6,11124.053819444453,0.5,3/4,1,4,0
B♭4,11692.281746031755,0.5,3/4,1,4,0
B♭5,12433.415216343043,0.5,3/4,1,4,0
C5,12596.538052721096,0.25,3/4,1,4,0
B♭5,13008.361766581633,0.25,3/4,1,4,0
A♭5,13304.085707199554,0.25,3/4,1,4,0
G5,13483.70987457483,0.25,3/4,1,4,0
A♭5,13709.773951247173,0.125,3/4,1,5,0
G5,13857.635921556119,0.125,3/4,1,5,0
F5,13982.277937216553,0.75,3/4,1,5,0
0,16053.667446145131,1.0,3/4,1,5,0
C5,16516.744614512474,1.0,3/4,1,5,0
F4,17885.40001417234,0.5,3/4,1,6,0
F5,19258.77412874204,0.5,3/4,1,6,0
E5,19277.27536848073,0.5,3/4,1,6,0
F5,19729.4035218254,0.5,3/4,1,6,0
A♭5,20227.971584467112,0.5,3/4,1,6,0
F5,20842.639420351472,0.5,3/4,1,6,0
B♭4,21387.64739229025,0.5,3/4,1,7,0
A♭5,22188.074865362807,0.5,3/4,1,7,0
G5,22663.422973356024,0.5,3/4,1,7,0
F5,23115.551126700688,0.5,3/4,1,7,0
F6,23209.857231324208,0.5,3/4,1,7,0
A♭5,24275.22693452382,0.5,3/4,1,7,0
E♭5,24866.674815759652,0.25,3/4,1,8,0
F5,25301.718484268713,0.25,3/4,1,8,0
G5,25527.782560941054,0.25,3/4,1,8,0
A♭5,25660.96681901928,0.25,3/4,1,8,0
B♭5,25887.030895691612,0.5,3/4,1,8,0
A♭5,26385.598958333336,1.0,3/4,1,8,0
G5,27429.17499291384,0.5,3/4,1,8,0
A♭4,28043.842828798188,0.5,3/4,1,9,0
G5,28844.27030187075,0.5,3/4,1,9,0
F5,29366.058319161006,0.5,3/4,1,9,0
E♭5,29818.186472505677,0.5,3/4,1,9,0
E♭6,30730.508725609587,0.5,3/4,1,9,0
G5,30931.422371031742,0.5,3/4,1,9,0
D5,31453.210388322,0.25,3/4,1,10,0
E♭5,31934.69396612811,0.25,3/4,1,10,0
F5,32137.538088151934,0.25,3/4,1,10,0
G5,32340.38221017574,0.25,3/4,1,10,0
A♭5,32520.00637755102,0.5,3/4,1,10,0
G5,33111.45425878684,1.0,3/4,1,10,0
F5,34155.03029336735,0.5,3/4,1,10,0
G4,34792.91808390023,0.5,3/4,1,11,0
F5,35593.34555697279,0.5,3/4,1,11,0
E♭5,36068.693664965984,0.5,3/4,1,11,0
D5,36520.821818310666,0.5,3/4,1,11,0
D6,37692.76856575963,0.5,3/4,1,11,0
F5,37959.13708191611,0.5,3/4,1,11,0
E♭5,38573.80491780047,0.125,3/4,1,12,0
D5,38698.44693346087,0.125,3/4,1,12,0
C5,38823.08894912133,0.75,3/4,1,12,0
F5,39710.26077097506,0.125,3/4,1,12,0
E♭5,39858.122741284016,0.125,3/4,1,12,0
D5,39984.71435362339,0.75,3/4,1,12,0
G5,40869.93657879817,0.125,3/4,1,12,0
F5,41017.79854910715,0.125,3/4,1,12,0
E♭5,41165.66051941609,0.75,3/4,1,12,0
C6,42076.05229591834,1.5,3/4,1,13,0
B♭5,43641.41634778913,0.25,3/4,1,13,0
A♭5,43960.36024305556,0.25,3/4,1,13,0
G5,44163.204365079364,0.25,3/4,1,13,0
F5,44435.70835104875,0.25,3/4,1,13,0
E♭5,44615.33251842403,0.25,3/4,1,13,0
D5,44864.6165497449,0.25,3/4,1,13,0
C5,45044.24071712017,0.5,3/4,1,14,0
