Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
G4,251.3175441066552,0.25,4/4,1,1,0
B4,570.2614393730948,0.25,4/4,1,1,0
D5,749.8856067483787,0.25,4/4,1,1,0
B4,883.0698648266098,0.25,4/4,1,1,0
D5,1062.6940322018922,0.25,4/4,1,1,0
B4,1195.8782902801242,0.25,4/4,1,1,0
D5,1305.8425937098298,0.25,4/4,1,1,0
B4,1462.2468064365873,0.25,4/4,1,1,0
G4,1665.0909284603956,0.25,4/4,1,1,0
C5,1867.935050484206,0.25,4/4,1,1,0
E5,2001.119308562438,0.25,4/4,1,1,0
C5,2134.3035666406704,0.25,4/4,1,1,0
E5,2267.487824718901,0.25,4/4,1,1,0
C5,2400.6720827971303,0.25,4/4,1,1,0
E5,2487.41643157831,0.25,4/4,1,1,0
C5,2712.642594657399,0.25,4/4,1,1,0
G4,2893.1046756259284,0.25,4/4,1,2,0
B4,3072.728843001213,0.25,4/4,1,2,0
D5,3182.6931464309146,0.25,4/4,1,2,0
B4,3315.877404509146,0.25,4/4,1,2,0
G4,3449.061662587379,0.25,4/4,1,2,0
D5,3559.025966017086,0.25,4/4,1,2,0
G5,3761.870088040897,0.25,4/4,1,2,0
D5,3848.6144368220776,0.25,4/4,1,2,0
G4,4051.4585588458867,0.25,4/4,1,2,0
B4,4184.642816924118,0.25,4/4,1,2,0
D5,4294.607120353822,0.25,4/4,1,2,0
B4,4474.231287729107,0.25,4/4,1,2,0
G4,4584.195591158811,0.25,4/4,1,2,0
C5,4763.819758534095,0.25,4/4,1,2,0
E5,4920.223971260844,0.25,4/4,1,2,0
C5,5053.408229339083,0.25,4/4,1,2,0
G4,5209.812442065833,0.25,4/4,1,3,0
B4,5482.316428035228,0.25,4/4,1,3,0
D5,5638.720640761978,0.25,4/4,1,3,0
B4,5748.68494419169,0.25,4/4,1,3,0
G4,5881.869202269921,0.25,4/4,1,3,0
D5,5968.613551051099,0.25,4/4,1,3,0
G5,6171.457673074903,0.25,4/4,1,3,0
D5,6281.421976504614,0.25,4/4,1,3,0
G4,6461.046143879898,0.25,4/4,1,3,0
B4,6594.230401958129,0.25,4/4,1,3,0
D5,6727.414660036367,0.25,4/4,1,3,0
B4,6860.598918114591,0.25,4/4,1,3,0
G4,6970.563221544303,0.25,4/4,1,3,0
C5,7150.187388919579,0.25,4/4,1,3,0
E5,7260.151692349291,0.25,4/4,1,3,0
C5,7416.555905076041,0.25,4/4,1,3,0
G4,7596.180072451331,0.25,4/4,1,4,0
B4,7729.364330529555,0.25,4/4,1,4,0
D5,7862.548588607794,0.25,4/4,1,4,0
B4,7972.512892037492,0.25,4/4,1,4,0
F♯4,8152.137059412782,0.25,4/4,1,4,0
A4,8262.10136284248,0.25,4/4,1,4,0
C5,8418.505575569247,0.25,4/4,1,4,0
A4,8551.689833647468,0.25,4/4,1,4,0
G4,8754.533955671286,0.25,4/4,1,4,0
A4,8934.158123046562,0.25,4/4,1,4,0
B4,9113.782290421854,0.5,4/4,1,4,0
0,9422.953636996193,1.0,4/4,1,4,0
D5,10679.146342292597,0.25,4/4,1,5,0
F♯5,10998.090237559032,0.25,4/4,1,5,0
A5,11177.714404934315,0.25,4/4,1,5,0
F♯5,11310.898663012551,0.25,4/4,1,5,0
A5,11444.082921090769,0.25,4/4,1,5,0
F♯5,11554.047224520495,0.25,4/4,1,5,0
A5,11710.45143724724,0.25,4/4,1,5,0
F♯5,11797.19578602843,0.25,4/4,1,5,0
D5,12000.039908052237,0.25,4/4,1,5,0
G5,12202.88403007604,0.25,4/4,1,5,0
B5,12382.508197451321,0.25,4/4,1,5,0
G5,12469.252546232503,0.25,4/4,1,5,0
B5,12648.876713607777,0.25,4/4,1,5,0
G5,12735.621062388971,0.25,4/4,1,5,0
B5,12868.805320467209,0.25,4/4,1,5,0
G5,13001.989578545436,0.25,4/4,1,5,0
D5,13181.613745920717,0.25,4/4,1,6,0
F♯5,13361.237913295998,0.25,4/4,1,6,0
A5,13471.202216725698,0.25,4/4,1,6,0
F♯5,13581.1665201554,0.25,4/4,1,6,0
D5,13718.839644092484,0.25,4/4,1,6,0
A5,13917.194900257447,0.25,4/4,1,6,0
D6,13957.499339741586,0.25,4/4,1,6,0
A5,14183.563416413917,0.25,4/4,1,6,0
D5,14276.10501418728,0.25,4/4,1,6,0
F♯5,14473.151887218899,0.25,4/4,1,6,0
A5,14583.116190648607,0.25,4/4,1,6,0
F♯5,14693.080494078302,0.25,4/4,1,6,0
D5,14849.484706805077,0.25,4/4,1,6,0
G5,15005.88891953182,0.25,4/4,1,6,0
B5,15162.293132258594,0.25,4/4,1,6,0
G5,15295.477390336817,0.25,4/4,1,6,0
D5,15475.1015577121,0.25,4/4,1,7,0
F♯5,15747.60554368148,0.25,4/4,1,7,0
A5,15857.569847111188,0.25,4/4,1,7,0
F♯5,15990.754105189413,0.25,4/4,1,7,0
D5,16077.498453970606,0.25,4/4,1,7,0
A5,16257.12262134588,0.25,4/4,1,7,0
D6,16343.866970127077,0.25,4/4,1,7,0
A5,16546.711092150872,0.25,4/4,1,7,0
D5,16621.263042910574,0.25,4/4,1,7,0
F♯5,16813.079608307333,0.25,4/4,1,7,0
A5,16923.043911737037,0.25,4/4,1,7,0
F♯5,17079.44812446379,0.25,4/4,1,7,0
D5,17189.412427893505,0.25,4/4,1,7,0
G5,17345.81664062025,0.25,4/4,1,7,0
B5,17502.220853347026,0.25,4/4,1,7,0
G5,17565.74524747967,0.25,4/4,1,7,0
D5,17768.589369503483,0.25,4/4,1,8,0
F♯5,17971.43349152729,0.25,4/4,1,8,0
A5,18081.39779495699,0.25,4/4,1,8,0
F♯5,18191.362098386693,0.25,4/4,1,8,0
C♯5,18394.206220410506,0.25,4/4,1,8,0
E5,18527.390478488756,0.25,4/4,1,8,0
G5,18660.574736566974,0.25,4/4,1,8,0
E5,18747.319085348186,0.25,4/4,1,8,0
D5,18996.603116669045,0.25,4/4,1,8,0
E5,19176.227284044322,0.25,4/4,1,8,0
F♯5,19425.511315365184,0.5,4/4,1,8,0
0,19807.97960476427,0.25,4/4,1,8,0
F♯5,20405.562955813017,0.25,4/4,1,8,0
G5,20538.747213891245,0.25,4/4,1,8,0
A5,20695.151426618027,0.25,4/4,1,8,0
B5,20921.21550329034,0.25,4/4,1,9,0
G4,21147.279579962713,0.25,4/4,1,9,0
F♯4,21326.90374733798,0.25,4/4,1,9,0
G4,21455.612071813594,0.25,4/4,1,9,0
B5,21616.49221814298,0.25,4/4,1,9,0
G5,21726.456521572683,0.25,4/4,1,9,0
B5,21906.080688947965,0.25,4/4,1,9,0
G5,22016.044992377665,0.25,4/4,1,9,0
C5,22218.88911440147,0.25,4/4,1,9,0
D5,22421.73323642528,0.25,4/4,1,9,0
E5,22554.917494503505,0.25,4/4,1,9,0
F♯5,22688.101752581733,0.25,4/4,1,9,0
G5,22844.505965308486,0.25,4/4,1,9,0
A5,22977.69022338672,0.25,4/4,1,9,0
B5,23110.874481464944,0.25,4/4,1,9,0
G5,23267.278694191707,0.25,4/4,1,9,0
A5,23470.122816215502,0.25,4/4,1,10,0
F♯4,23696.186892887872,0.25,4/4,1,10,0
G4,23870.9112409604,0.25,4/4,1,10,0
F♯4,23985.775363692876,0.25,4/4,1,10,0
A5,24142.17957641962,0.25,4/4,1,10,0
F♯5,24252.14387984933,0.25,4/4,1,10,0
A5,24408.548092576086,0.25,4/4,1,10,0
F♯5,24541.73235065431,0.25,4/4,1,10,0
B4,24698.136563381064,0.25,4/4,1,10,0
C♯5,24900.98068540487,0.25,4/4,1,10,0
D♯5,25034.164943483098,0.25,4/4,1,10,0
E5,25167.349201561326,0.25,4/4,1,10,0
F♯5,25300.53345963956,0.25,4/4,1,10,0
G5,25433.71771771778,0.25,4/4,1,10,0
A5,25590.121930444533,0.25,4/4,1,10,0
F♯5,25723.30618852276,0.25,4/4,1,10,0
G5,25926.150310546614,0.25,4/4,1,11,0
E5,26105.774477921874,0.25,4/4,1,11,0
F♯5,26285.398645297184,0.25,4/4,1,11,0
B4,26557.902631266566,0.25,4/4,1,11,0
B5,26617.727281768017,0.25,4/4,1,11,0
G5,26731.391328828922,0.25,4/4,1,11,0
A5,26864.575586907147,0.25,4/4,1,11,0
B4,26951.319935688323,0.25,4/4,1,11,0
G5,27177.384012360657,0.25,4/4,1,11,0
E5,27310.568270438886,0.25,4/4,1,11,0
F♯5,27443.752528517114,0.25,4/4,1,11,0
B4,27716.256514486497,0.25,4/4,1,11,0
B5,27824.89071255001,0.25,4/4,1,11,0
G5,27889.74521204885,0.25,4/4,1,11,0
A5,28046.1494247756,0.25,4/4,1,11,0
B4,28132.893773556778,0.25,4/4,1,11,0
G5,28382.17780487766,0.25,4/4,1,12,0
D♯5,28631.461836198505,0.25,4/4,1,12,0
E5,28787.8660489253,0.25,4/4,1,12,0
B4,28944.270261652036,0.25,4/4,1,12,0
F♯5,29077.454519730283,0.25,4/4,1,12,0
C♯5,29187.418823159984,0.25,4/4,1,12,0
D♯5,29322.676926756492,0.25,4/4,1,12,0
B4,29453.78733931644,0.25,4/4,1,12,0
E5,29656.631461340246,0.5,4/4,1,12,0
E4,29706.887848668885,0.5,4/4,1,12,0
0,30468.007949435472,0.25,4/4,1,12,0
E5,31088.81125513275,0.25,4/4,1,12,0
F♯5,31291.655377156552,0.25,4/4,1,12,0
G5,31424.83963523478,0.25,4/4,1,12,0
A5,31604.463802610073,0.25,4/4,1,13,0
F♯4,31830.527879282392,0.25,4/4,1,13,0
G4,31986.93209200919,0.25,4/4,1,13,0
F♯4,32120.116350087428,0.25,4/4,1,13,0
A5,32276.520562814185,0.25,4/4,1,13,0
F♯5,32409.704820892417,0.25,4/4,1,13,0
A5,32566.10903361917,0.25,4/4,1,13,0
F♯5,32676.07333704887,0.25,4/4,1,13,0
B4,32832.47754977563,0.25,4/4,1,13,0
C♯5,33035.32167179942,0.25,4/4,1,13,0
D♯5,33191.72588452619,0.25,4/4,1,13,0
E5,33324.91014260441,0.25,4/4,1,13,0
F♯5,33458.09440068264,0.25,4/4,1,13,0
G5,33614.49861340939,0.25,4/4,1,13,0
A5,33747.68287148762,0.25,4/4,1,13,0
F♯5,33880.867129565864,0.25,4/4,1,13,0
G5,34106.93120623818,0.25,4/4,1,14,0
E4,34332.99528291056,0.25,4/4,1,14,0
D♯4,34512.61945028582,0.25,4/4,1,14,0
E4,34622.58375371555,0.25,4/4,1,14,0
G5,34802.20792109083,0.25,4/4,1,14,0
E5,34935.39217916906,0.25,4/4,1,14,0
G5,35091.79639189581,0.25,4/4,1,14,0
E5,35220.35791277051,0.25,4/4,1,14,0
A4,35358.16490805227,0.25,4/4,1,14,0
B4,35561.00903007607,0.25,4/4,1,14,0
C♯5,35694.1932881543,0.25,4/4,1,14,0
D5,35827.37754623253,0.25,4/4,1,14,0
E5,35960.56180431076,0.25,4/4,1,14,0
F♯5,36116.966017037514,0.25,4/4,1,14,0
G5,36250.15027511574,0.25,4/4,1,14,0
E5,36336.894623896915,0.25,4/4,1,14,0
F♯5,36562.95870056924,0.25,4/4,1,15,0
D5,36742.582867944555,0.25,4/4,1,15,0
E5,36875.76712602277,0.25,4/4,1,15,0
A4,37171.49106664072,0.25,4/4,1,15,0
A5,37275.43858416607,0.25,4/4,1,15,0
F♯5,37344.979764203075,0.25,4/4,1,15,0
G5,37454.94406763277,0.25,4/4,1,15,0
A4,37542.55497304814,0.25,4/4,1,15,0
F♯5,37767.752493086286,0.25,4/4,1,15,0
D5,37900.93675116451,0.25,4/4,1,15,0
E5,38057.34096389126,0.25,4/4,1,15,0
A4,38236.96513126654,0.25,4/4,1,15,0
A5,38413.00179534029,0.25,4/4,1,15,0
F♯5,38480.11369277447,0.25,4/4,1,15,0
G5,38636.517905501285,0.25,4/4,1,15,0
A4,38723.262254282396,0.25,4/4,1,15,0
F♯5,38949.32633095479,0.25,4/4,1,16,0
C♯5,39168.04500551491,0.25,4/4,1,16,0
D5,39285.35471105682,0.25,4/4,1,16,0
A4,39395.31901448647,0.25,4/4,1,16,0
E5,39551.72322721328,0.25,4/4,1,16,0
B4,39684.90748529145,0.25,4/4,1,16,0
C♯5,39794.87178872121,0.25,4/4,1,16,0
A4,39951.276001447906,0.25,4/4,1,16,0
D5,40154.120123471774,0.5,4/4,1,16,0
D4,40318.17949675324,0.5,4/4,1,16,0
0,41035.15647551257,0.25,4/4,1,16,0
C5,41397.11698702798,0.25,4/4,1,16,0
B4,41556.94449280282,0.25,4/4,1,16,0
A4,41736.56866017815,0.25,4/4,1,16,0
B4,41916.19282755337,0.25,4/4,1,17,0
G5,42119.03694957724,0.25,4/4,1,17,0
D6,42252.221207655406,0.25,4/4,1,17,0
G5,42385.40546573369,0.25,4/4,1,17,0
B4,42541.80967846039,0.25,4/4,1,17,0
G5,42721.43384583572,0.25,4/4,1,17,0
D6,42877.83805856242,0.25,4/4,1,17,0
G5,42987.80236199218,0.25,4/4,1,17,0
C5,43213.86643866448,0.25,4/4,1,17,0
D6,43417.20732189277,0.25,4/4,1,17,0
C6,43549.89481876657,0.25,4/4,1,17,0
B5,43706.2990314933,0.25,4/4,1,17,0
D6,43862.703244220116,0.25,4/4,1,17,0
C6,44065.54736624385,0.25,4/4,1,17,0
B5,44221.95157897068,0.25,4/4,1,17,0
C6,44355.135837048845,0.25,4/4,1,17,0
A4,44488.32009512713,0.25,4/4,1,18,0
F♯5,44691.16421715087,0.25,4/4,1,18,0
C6,44824.348475229155,0.25,4/4,1,18,0
F♯5,44934.3127786588,0.25,4/4,1,18,0
A4,45113.93694603415,0.25,4/4,1,18,0
F♯5,45270.341158760835,0.25,4/4,1,18,0
C6,45426.74537148765,0.25,4/4,1,18,0
F♯5,45513.4897202688,0.25,4/4,1,18,0
B4,45762.77375158969,0.25,4/4,1,18,0
C6,45988.83782826204,0.25,4/4,1,18,0
B5,46098.80213169172,0.25,4/4,1,18,0
A5,46255.20634441853,0.25,4/4,1,18,0
C6,46434.83051179375,0.25,4/4,1,18,0
B5,46637.674633817616,0.25,4/4,1,18,0
A5,46794.07884654431,0.25,4/4,1,18,0
B5,46880.823195325545,0.25,4/4,1,18,0
G♯4,47060.44736270076,0.25,4/4,1,19,0
E5,47240.0715300761,0.25,4/4,1,19,0
B5,47396.4757428028,0.25,4/4,1,19,0
E5,47483.22009158403,0.25,4/4,1,19,0
G♯4,47686.06421360778,0.25,4/4,1,19,0
E5,47796.02851703754,0.25,4/4,1,19,0
B5,47998.872639061294,0.25,4/4,1,19,0
E5,48062.397033194,0.25,4/4,1,19,0
A4,48358.12097381184,0.25,4/4,1,19,0
B5,48584.18505048424,0.25,4/4,1,19,0
A5,48740.58926321097,0.25,4/4,1,19,0
G♯5,48896.99347593774,0.25,4/4,1,19,0
B5,49053.397688664525,0.25,4/4,1,19,0
A5,49279.46176533684,0.25,4/4,1,19,0
G♯5,49435.865978063644,0.25,4/4,1,19,0
A5,49569.05023614181,0.25,4/4,1,19,0
F♯4,49725.45444886862,0.25,4/4,1,20,0
D5,49905.07861624385,0.25,4/4,1,20,0
A5,50061.482828970664,0.25,4/4,1,20,0
D5,50125.007223103246,0.25,4/4,1,20,0
F♯4,50351.07129977564,0.25,4/4,1,20,0
D5,50461.03560320528,0.25,4/4,1,20,0
A5,50663.87972522915,0.25,4/4,1,20,0
D5,50731.453951863434,0.25,4/4,1,20,0
G4,51023.1280599797,0.25,4/4,1,20,0
A5,51202.75222735496,0.25,4/4,1,20,0
G5,51335.936485433216,0.25,4/4,1,20,0
F♯5,51515.560652808526,0.25,4/4,1,20,0
A5,51695.18482018377,0.25,4/4,1,20,0
G5,51990.90876080174,0.25,4/4,1,20,0
F♯5,52193.75288282549,0.25,4/4,1,20,0
G5,52326.93714090377,0.25,4/4,1,20,0
G4,52804.67170799443,0.25,4/4,1,21,0
G5,52813.11610137679,0.25,4/4,1,21,0
A4,52889.02959767808,0.25,4/4,1,21,0
