Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
A4,390.63727199781164,1.25,4/4,1,1,0
B4,1799.5971111418023,0.25,4/4,1,1,0
A4,2002.441233165611,0.25,4/4,1,1,0
E4,2158.845445892368,0.25,4/4,1,1,0
A4,2338.4696132676518,0.25,4/4,1,1,0
C♯5,2518.0937806429347,0.25,4/4,1,1,0
A4,2674.4979933696923,0.25,4/4,1,1,0
E4,2968.075568048759,0.25,4/4,1,1,0
A4,2991.229549903597,0.25,4/4,1,1,0
B4,3050.830812955861,0.25,4/4,1,1,0
A4,3160.795116385566,0.25,4/4,1,1,0
E4,3247.539465166743,0.25,4/4,1,1,0
A4,3408.9074257032335,0.25,4/4,1,2,0
C♯5,3513.9079813232056,0.25,4/4,1,2,0
A4,3600.6523301043844,0.25,4/4,1,2,0
E4,4058.9159532619806,0.25,4/4,1,2,0
A4,4099.220392746109,0.25,4/4,1,2,0
E5,4302.064514769921,0.25,4/4,1,2,0
A4,4435.248772848147,0.25,4/4,1,2,0
E4,4777.412622763114,0.25,4/4,1,2,0
A4,4817.717062247243,0.25,4/4,1,2,0
E5,4848.717306262862,0.25,4/4,1,2,0
F♯5,4944.765850512552,0.25,4/4,1,2,0
D5,5031.5101992937325,0.25,4/4,1,2,0
E5,5197.061522493029,0.25,4/4,1,2,0
C♯5,5317.1831637920295,0.25,4/4,1,2,0
D5,5407.843018879906,0.25,4/4,1,2,0
B4,5545.416750254551,0.25,4/4,1,2,0
C♯5,5650.991580387843,0.25,4/4,1,3,0
E5,5830.615747763119,0.25,4/4,1,3,0
F♯5,5987.0199604898835,0.25,4/4,1,3,0
D5,6148.856686124731,0.25,4/4,1,3,0
E5,6178.067296090786,0.25,4/4,1,3,0
C♯5,6270.472961481938,0.25,4/4,1,3,0
D5,6403.657219560177,0.25,4/4,1,3,0
B4,6513.621522989879,0.25,4/4,1,3,0
C♯5,6600.3658717710605,0.25,4/4,1,3,0
A4,6826.42994844339,0.25,4/4,1,3,0
B4,6961.858639451042,0.25,4/4,1,3,0
C♯5,7069.5785099513305,0.25,4/4,1,3,0
D5,7225.98272267809,0.25,4/4,1,3,0
E5,7359.166980756326,0.25,4/4,1,3,0
F♯5,7426.244056263716,0.25,4/4,1,3,0
G♯5,7555.875632967212,0.25,4/4,1,3,0
A5,7642.619981748384,0.25,4/4,1,4,0
E5,7868.684058420725,0.25,4/4,1,4,0
C♯5,7960.28788652603,0.25,4/4,1,4,0
A4,8158.2725292257155,0.25,4/4,1,4,0
A5,8227.470540803472,0.25,4/4,1,4,0
E5,8331.761226788074,0.25,4/4,1,4,0
C♯5,8418.505575569247,0.25,4/4,1,4,0
A4,8598.129742944535,0.25,4/4,1,4,0
A5,8731.515673014366,0.5,4/4,1,4,0
A4,8741.968684240097,0.5,4/4,1,4,0
0,9821.329944900297,1.0,4/4,1,4,0
D5,11120.325480614592,0.25,4/4,1,5,0
C♯5,11207.069829395765,0.25,4/4,1,5,0
D5,11433.1339060681,1.5,4/4,1,5,0
F♯5,12789.51836610212,0.25,4/4,1,5,0
D5,12945.92257882887,0.75,4/4,1,5,0
A5,13577.67489954882,0.25,4/4,1,5,0
D5,13757.299066924099,0.75,4/4,1,5,0
C♯5,14807.010571317536,0.25,4/4,1,6,0
B4,15056.2946026384,0.25,4/4,1,6,0
C♯5,15189.478860716628,1.5,4/4,1,6,0
E5,16592.303230047695,0.25,4/4,1,6,0
C♯5,16679.047578828875,0.75,4/4,1,6,0
A5,17496.55953673703,0.25,4/4,1,6,0
C♯5,17676.18370411232,0.75,4/4,1,6,0
D4,18841.994981748372,0.25,4/4,1,7,0
C♯5,19184.158831663342,0.25,4/4,1,7,0
B4,19503.102726929785,0.25,4/4,1,7,0
A4,19636.286985008006,0.25,4/4,1,7,0
F♯5,19792.691197734766,0.25,4/4,1,7,0
C♯5,19995.53531975858,0.25,4/4,1,7,0
B4,20198.379441782374,0.25,4/4,1,7,0
A4,20252.80116620132,0.25,4/4,1,7,0
D4,20464.747957938846,0.25,4/4,1,7,0
C♯5,20644.372125314134,0.25,4/4,1,7,0
B4,20777.556383392366,0.25,4/4,1,7,0
A4,20957.180550767647,0.25,4/4,1,7,0
F♯5,21056.521885290804,0.25,4/4,1,7,0
C♯5,21246.769021572632,0.25,4/4,1,7,0
B4,21333.5133703538,0.25,4/4,1,7,0
A4,21443.477673783524,0.25,4/4,1,7,0
D♯4,21576.661931861745,0.25,4/4,1,8,0
C♯5,21825.945963182618,0.25,4/4,1,8,0
B4,21935.910266612318,0.25,4/4,1,8,0
A4,22161.97434328465,0.25,4/4,1,8,0
A5,22229.180596748123,0.25,4/4,1,8,0
C♯5,22356.73648889665,0.25,4/4,1,8,0
B4,22468.647298925232,0.25,4/4,1,8,0
A4,22578.611602354933,0.25,4/4,1,8,0
D♯4,22735.015815081686,0.25,4/4,1,8,0
C♯5,22937.85993710549,0.25,4/4,1,8,0
B4,23047.824240535196,0.25,4/4,1,8,0
A4,23181.00849861345,0.25,4/4,1,8,0
A5,23458.89290794472,0.25,4/4,1,8,0
C♯5,23471.268312039545,0.25,4/4,1,8,0
B4,23587.295441234608,0.25,4/4,1,8,0
A4,23713.74553092639,0.25,4/4,1,8,0
E4,23916.5896529502,0.25,4/4,1,9,0
G♯4,24074.96805777237,0.25,4/4,1,9,0
B4,24206.178123755177,0.25,4/4,1,9,0
G♯4,24292.922472536353,0.25,4/4,1,9,0
E5,24472.546639911634,0.25,4/4,1,9,0
B4,24605.730897989863,0.25,4/4,1,9,0
G♯5,24715.695201419567,0.25,4/4,1,9,0
E5,24872.099414146316,0.25,4/4,1,9,0
E4,25038.3637596099,0.25,4/4,1,9,0
A4,25115.247975654245,0.25,4/4,1,9,0
C♯5,25248.4322337325,0.25,4/4,1,9,0
A4,25381.616491810713,0.25,4/4,1,9,0
E5,25514.800749888986,0.25,4/4,1,9,0
C♯5,25630.660975826253,0.25,4/4,1,9,0
A5,25757.94931139692,0.25,4/4,1,9,0
E5,25937.573478772196,0.25,4/4,1,9,0
E4,26129.491354591304,0.25,4/4,1,10,0
G♯4,26157.5020856316,0.25,4/4,1,10,0
B4,26290.686343709825,0.25,4/4,1,10,0
G♯4,26354.210737842477,0.25,4/4,1,10,0
E5,26487.394995920702,0.25,4/4,1,10,0
B4,26698.744632650403,0.25,4/4,1,10,0
G♯5,26800.20342137421,0.25,4/4,1,10,0
E5,26933.38767945244,0.25,4/4,1,10,0
B5,27066.571937530665,0.5,4/4,1,10,0
E4,27449.04022692977,0.5,4/4,1,10,0
0,28137.95835282212,1.0,4/4,1,10,0
A4,29455.583417122532,1.0,4/4,2,11,0
D5,30034.760358732496,1.0,4/4,2,11,0
C♯5,30590.717345693934,1.0,4/4,2,11,0
F♯5,31169.894287303923,1.0,4/4,2,11,0
D5,31749.071228913916,0.5,4/4,2,12,0
B4,31992.21979042184,0.5,4/4,2,12,0
E5,32281.80826122683,0.5,4/4,2,12,0
E4,32353.499333938245,0.5,4/4,2,12,0
A4,32837.76524818826,0.5,4/4,2,12,0
C♯5,33104.13376434472,0.5,4/4,2,12,0
B4,33370.50228050119,0.5,4/4,2,12,0
A4,33613.65084200915,0.5,4/4,2,12,0
E5,33949.6792221112,0.5,4/4,2,13,0
G♯4,34239.26769291618,0.5,4/4,2,13,0
A5,34482.41625442411,0.5,4/4,2,13,0
F♯4,34748.78477058056,0.5,4/4,2,13,0
G♯5,35038.37324138555,0.5,4/4,2,13,0
E4,35351.18166683909,0.5,4/4,2,13,0
C♯6,35571.11027369851,0.5,4/4,2,13,0
A4,35837.47878985496,0.5,4/4,2,13,0
A5,36276.61275630073,0.5,4/4,2,14,0
F♯5,36393.435776816405,0.5,4/4,2,14,0
B5,36659.80429297286,0.5,4/4,2,14,0
B4,36904.18065849379,0.5,4/4,2,14,0
E5,37262.201189231346,0.5,4/4,2,14,0
G♯4,37621.44952398193,0.5,4/4,2,14,0
C♯5,37887.818040138416,0.5,4/4,2,14,0
B4,38154.186556294866,0.5,4/4,2,14,0
A♯4,38443.77502709985,0.5,4/4,2,15,0
E5,38779.80340720189,0.25,4/4,2,15,0
F♯5,38959.427574577174,0.125,4/4,2,15,0
G5,39028.325538681805,0.125,4/4,2,15,0
F♯5,39069.39187800687,0.5,4/4,2,15,0
E5,39405.42025810891,0.5,4/4,2,15,0
D5,39578.90895567126,0.5,4/4,2,15,0
F♯4,39891.71738112477,0.5,4/4,2,15,0
B4,40158.08589728126,0.5,4/4,2,15,0
A4,40447.674368086206,0.5,4/4,2,15,0
G♯4,40783.70274818823,0.5,4/4,2,16,0
D5,41166.17103758733,0.25,4/4,2,16,0
E5,41345.795204962655,0.125,4/4,2,16,0
F♯5,41377.55740202896,0.125,4/4,2,16,0
E5,41641.51914558057,0.5,4/4,2,16,0
D5,41722.128024548874,0.5,4/4,2,16,0
C♯5,41942.056631408275,0.5,4/4,2,16,0
G4,42231.64510221326,0.25,4/4,2,16,0
A4,42411.26926958848,0.125,4/4,2,16,0
B4,42466.251421303314,0.125,4/4,2,16,0
A4,42521.23357301824,0.5,4/4,2,16,0
G4,42810.822043823224,0.5,4/4,2,16,0
D5,43193.29033322231,0.5,4/4,2,17,0
F♯4,43552.53866797286,0.5,4/4,2,17,0
G5,43818.907184129326,0.5,4/4,2,17,0
E4,44085.275700285776,0.5,4/4,2,17,0
F♯5,44374.86417109076,0.5,4/4,2,17,0
D4,44664.45264189575,0.5,4/4,2,17,0
B5,44930.8211580522,0.5,4/4,2,17,0
G4,45197.189674208654,0.5,4/4,2,17,0
G5,45518.59414291043,0.5,4/4,2,18,0
E5,45822.806525115666,0.5,4/4,2,18,0
A5,46019.51517732666,0.5,4/4,2,18,0
A4,46539.758495772796,0.5,4/4,2,18,0
D4,46691.57193753072,0.25,4/4,2,18,0
D5,47281.55799826358,0.25,4/4,2,18,0
C♯5,47306.23977341508,0.25,4/4,2,18,0
D5,47509.083895438824,0.25,4/4,2,18,0
F♯5,47642.26815351711,0.25,4/4,2,18,0
D5,47845.11227554086,0.25,4/4,2,18,0
C♯5,47931.856624322085,0.25,4/4,2,18,0
D5,48111.48079169731,0.25,4/4,2,18,0
D4,48578.604244962706,0.25,4/4,2,19,0
D5,48586.95044772433,0.25,4/4,2,19,0
C♯5,48603.913384526146,0.25,4/4,2,19,0
D5,48737.09764260434,0.25,4/4,2,19,0
A5,48916.72180997967,0.25,4/4,2,19,0
D5,49119.565932003476,0.25,4/4,2,19,0
C♯5,49160.57364076091,0.25,4/4,2,19,0
D5,49168.730157096135,0.25,4/4,2,19,0
A4,49472.678796941094,0.25,4/4,2,19,0
C♯5,49733.17732576511,0.25,4/4,2,19,0
B4,49855.147086340185,0.25,4/4,2,19,0
C♯5,50011.551299066996,0.25,4/4,2,19,0
E5,50144.73555714517,0.25,4/4,2,19,0
