Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
0,-4.101957027131675,0.5,3/4,1,1,0
F♯5,471.24615096606533,0.5,3/4,1,1,0
F♯5,860.6484542544529,1.5,3/4,1,2,0
C♯5,1490.2803062948656,0.5,3/4,1,2,0
A4,1686.9889585057497,0.5,3/4,1,2,0
C♯5,1860.4776560681073,0.5,3/4,1,2,0
F♯4,2150.066126873092,0.5,3/4,1,3,0
A4,2416.4346430295545,0.5,3/4,1,3,0
C♯5,2613.1432952404384,0.5,3/4,1,3,0
F♯5,2786.631992802796,0.5,3/4,1,3,0
A5,2960.1206903651546,0.5,3/4,1,3,0
F♯5,3110.389433278986,0.5,3/4,1,3,0
B4,3353.537994786925,0.5,3/4,1,4,0
D5,3550.24664699782,0.5,3/4,1,4,0
F♯5,3700.515389911652,0.5,3/4,1,4,0
B5,3850.7841328254835,0.5,3/4,1,4,0
D6,4001.052875739315,0.5,3/4,1,4,0
B5,4174.541573301674,0.5,3/4,1,4,0
E♯4,4440.910089458135,0.5,3/4,1,5,0
G♯4,4730.498560263124,0.5,3/4,1,5,0
C♯5,4950.427167122533,0.5,3/4,1,5,0
E♯5,5007.8160914422615,0.5,3/4,1,5,0
G♯5,5227.744698301672,0.5,3/4,1,5,0
B4,5401.23339586403,0.5,3/4,1,5,0
A4,5528.282184129335,0.5,3/4,1,6,0
F♯5,5748.210790988745,0.5,3/4,1,6,0
G♯4,5898.479533902577,0.5,3/4,1,6,0
F♯5,6071.968231464935,0.5,3/4,1,6,0
C♯5,6245.456929027306,0.5,3/4,1,6,0
E♯5,6442.165581238183,0.5,3/4,1,6,0
F♯4,6708.53409739464,1.0,3/4,1,7,0
0,7170.150081353324,0.5,3/4,1,7,0
A5,7646.9593737551895,0.5,3/4,1,7,0
G♯5,7704.919862978044,0.5,3/4,1,7,0
F♯5,7924.276904934326,0.5,3/4,1,7,0
E5,8144.2055117937425,0.5,3/4,1,8,0
G♯4,8364.13411865315,0.5,3/4,1,8,0
A4,8560.842770864027,0.5,3/4,1,8,0
E5,8687.891559129335,0.5,3/4,1,8,0
F♯5,8861.3802566917,0.5,3/4,1,8,0
C♯5,9034.868954254058,0.5,3/4,1,8,0
D5,9208.357651816408,0.5,3/4,1,9,0
F♯4,9451.506213324345,0.5,3/4,1,9,0
G♯4,9601.774956238181,0.5,3/4,1,9,0
D5,9961.02329098875,0.5,3/4,1,9,0
E5,10111.292033902577,0.5,3/4,1,9,0
D5,10261.560776816405,0.5,3/4,1,9,0
C♯5,10690.468975512556,1.0,3/4,1,10,0
0,10723.424698012124,0.5,3/4,1,10,0
C♯5,10909.075657768783,0.5,3/4,1,10,0
B4,11036.124446034095,0.5,3/4,1,10,0
A4,11232.833098244984,0.5,3/4,1,10,0
B4,11452.76170510439,0.5,3/4,1,11,0
D♯5,11695.91026661232,0.5,3/4,1,11,0
E5,11822.959054877629,0.5,3/4,1,11,0
G♯5,11996.447752439994,0.5,3/4,1,11,0
C♯5,12146.716495353812,0.5,3/4,1,11,0
B4,12311.339599803929,0.5,3/4,1,11,0
A4,12516.913845127081,0.5,3/4,1,12,0
E5,12736.842451986486,0.5,3/4,1,12,0
D♯5,12887.11119490031,0.5,3/4,1,12,0
F♯5,13060.599892462658,0.5,3/4,1,12,0
B4,13234.088590025009,0.5,3/4,1,12,0
A4,13407.577287587395,0.5,3/4,1,12,0
G♯4,14022.245123471765,1.0,3/4,1,13,0
0,14113.505422354803,0.5,3/4,1,13,0
E5,14496.271306861769,0.5,3/4,1,13,0
C♯5,14669.760004424119,0.5,3/4,1,13,0
E5,14889.688611283522,0.5,3/4,1,13,0
F♯5,15179.277082088505,0.5,3/4,1,14,0
A4,15422.425643596453,0.5,3/4,1,14,0
D4,15619.134295807358,0.5,3/4,1,14,0
C♯5,15792.62299336972,0.5,3/4,1,14,0
B4,15966.111690932074,0.5,3/4,1,14,0
A5,16139.600388494418,0.5,3/4,1,14,0
G♯5,16382.748950002348,0.5,3/4,1,15,0
B4,16672.337420807333,0.5,3/4,1,15,0
E4,16845.826118369685,0.5,3/4,1,15,0
D5,17019.31481593204,0.5,3/4,1,15,0
C♯5,17285.683332088523,0.5,3/4,1,15,0
B5,17319.852301759744,0.5,3/4,1,15,0
A5,17539.780908619145,0.5,3/4,1,16,0
C♯5,17759.70951547855,0.5,3/4,1,16,0
F♯4,17909.978258392377,0.5,3/4,1,16,0
E5,18061.01844975827,0.5,3/4,1,16,0
D5,18233.73569886855,0.5,3/4,1,16,0
C♯6,18407.2243964309,0.5,3/4,1,16,0
B5,18603.9330486418,0.5,3/4,1,17,0
D5,18800.641700852706,0.5,3/4,1,17,0
G♯4,18974.130398415065,0.5,3/4,1,17,0
F♯5,19147.619095977414,0.5,3/4,1,17,0
E5,19274.667884242714,0.5,3/4,1,17,0
D6,19448.156581805066,0.5,3/4,1,17,0
C♯6,19644.865234015942,0.5,3/4,1,18,0
G♯5,19818.353931578295,0.5,3/4,1,18,0
A5,20038.28253843771,0.5,3/4,1,18,0
D4,20165.331326703053,0.5,3/4,1,18,0
E4,20408.479888210983,0.5,3/4,1,18,0
G♯5,20674.84840436744,0.5,3/4,1,18,0
A4,20871.557056578316,0.5,3/4,1,19,0
A5,21276.524139713798,0.5,3/4,1,19,0
B4,21357.854179594175,0.5,3/4,1,19,0
G♯5,21531.342877156552,0.5,3/4,1,19,0
C♯5,21681.611620070402,0.5,3/4,1,19,0
A5,21831.88036298423,0.5,3/4,1,19,0
D5,22051.808969843634,0.5,3/4,1,20,0
F♯5,22341.397440648616,0.5,3/4,1,20,0
E♯5,22491.666183562444,0.5,3/4,1,20,0
F♯5,22595.49501717921,0.5,3/4,1,20,0
B5,22792.20366939009,0.5,3/4,1,20,0
A♯5,22942.472412303934,0.5,3/4,1,20,0
B5,23139.181064514833,0.5,3/4,1,21,0
D6,23382.32962602278,0.5,3/4,1,21,0
B5,23486.158459639548,0.5,3/4,1,21,0
G♯5,23659.64715720186,0.5,3/4,1,21,0
A5,23786.695945467214,0.5,3/4,1,21,0
F♯5,23960.184643029614,0.5,3/4,1,21,0
C♯5,24167.93922548405,0.5,3/4,1,22,0
E♯5,24353.601947451363,0.5,3/4,1,22,0
G♯5,24480.65073571667,0.5,3/4,1,22,0
C♯6,24607.699523981966,0.5,3/4,1,22,0
G♯5,24781.18822154432,0.5,3/4,1,22,0
E♯5,24954.67691910667,0.5,3/4,1,22,0
C♯5,25197.825480614596,2.0,3/4,1,23,0
0,25984.660089458106,0.5,3/4,1,1,1
F♯5,26320.68846956014,0.5,3/4,1,1,1
F♯5,26704.426120604254,1.5,3/4,1,2,1
C♯5,27223.62285164635,0.5,3/4,1,2,1
A4,27397.111549208745,0.5,3/4,1,2,1
C♯5,27617.040156068146,0.5,3/4,1,2,1
F♯4,27790.528853630498,0.5,3/4,1,3,1
A4,28103.337279084008,0.5,3/4,1,3,1
C♯5,28253.60602199783,0.5,3/4,1,3,1
F♯5,28380.65481026313,0.5,3/4,1,3,1
A5,28577.363462474008,0.5,3/4,1,3,1
F♯5,28750.85216003636,0.5,3/4,1,3,1
B4,28994.00072154429,0.5,3/4,1,4,1
D5,29260.369237700743,0.5,3/4,1,4,1
F♯5,29410.63798061457,0.5,3/4,1,4,1
B5,29560.9067235284,0.5,3/4,1,4,1
D6,29734.39542109075,0.5,3/4,1,4,1
B5,29907.884118653124,0.5,3/4,1,4,1
E♯4,30127.812725512576,0.5,3/4,1,5,1
G♯4,30417.401196317594,0.5,3/4,1,5,1
C♯5,30590.88989387995,0.5,3/4,1,5,1
E♯5,30764.3785914423,0.5,3/4,1,5,1
G♯5,30891.4273797076,0.5,3/4,1,5,1
B4,31041.696122621423,0.5,3/4,1,5,1
A4,31238.4047748323,0.5,3/4,1,6,1
F♯5,31504.773290988756,0.5,3/4,1,6,1
G♯4,31655.04203390258,0.5,3/4,1,6,1
F♯5,31805.310776816405,0.5,3/4,1,6,1
C♯5,32002.019429027278,0.5,3/4,1,6,1
E♯5,32221.948035886682,0.5,3/4,1,6,1
F♯4,32488.31655204314,1.0,3/4,1,7,1
0,33206.81322154426,0.5,3/4,1,7,1
A5,33287.42210051251,0.5,3/4,1,7,1
G♯5,33530.57066202046,0.5,3/4,1,7,1
F♯5,33727.2793142314,0.5,3/4,1,7,1
E5,33993.64783038788,0.5,3/4,1,8,1
G♯4,34213.57643724729,0.5,3/4,1,8,1
A4,34363.845180161115,0.5,3/4,1,8,1
E5,34560.55383237199,0.5,3/4,1,8,1
F♯5,34710.82257528582,0.5,3/4,1,8,1
