Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
G4,413.8572266463377,1.0,3/4,1,1,0
B5,1945.0523088458835,1.0,3/4,1,1,0
C6,3153.7983861458515,0.75,3/4,1,1,0
D6,4200.879530359491,0.25,3/4,1,1,0
A4,4589.483289571509,1.0,3/4,1,2,0
F♯5,5958.1386892313685,1.0,3/4,1,2,0
G5,7303.574134242705,0.75,3/4,1,2,0
A5,8283.625774690552,0.25,3/4,1,2,0
B4,8765.109352496675,0.75,3/4,1,3,0
D5,9536.181401107786,0.25,3/4,1,3,0
G5,9762.245477780123,0.75,3/4,1,3,0
F♯5,10835.176936822078,0.25,3/4,1,3,0
G5,11061.24101349442,1.0,3/4,1,3,0
C5,12685.315914288069,0.75,3/4,1,4,0
E5,13758.247373330012,0.25,3/4,1,4,0
F♯4,14146.851132542037,0.75,3/4,1,4,0
D5,15196.562636935452,0.25,3/4,1,4,0
C5,16119.225353063577,0.75,3/4,1,4,0
B4,17308.256585348157,0.125,3/4,1,4,0
C5,17457.27502688381,0.125,3/4,1,4,0
G4,17905.83993639691,0.75,3/4,1,5,0
C5,19001.991350087384,0.25,3/4,1,5,0
B4,19431.016263239082,1.0,3/4,1,5,0
0,19454.108170075542,1.0,3/4,1,5,0
F♯4,22963.82427596608,1.0,3/4,1,6,0
A4,24309.259720977407,1.0,3/4,1,6,0
B4,25701.13507528581,0.75,3/4,1,6,0
C5,26634.746806436593,0.25,3/4,1,6,0
G4,26907.250792405976,1.0,3/4,1,7,0
B4,28252.68623741733,0.75,3/4,1,7,0
A4,29441.7174697019,0.25,3/4,1,7,0
B4,29737.44141031981,1.0,3/4,1,7,0
G4,31198.976628573786,1.0,3/4,1,8,0
E5,32660.51184682775,0.75,3/4,1,8,0
D5,33710.22335122119,0.25,3/4,1,8,0
C♯5,33820.18765465088,0.75,3/4,1,8,0
D5,34753.79938580167,0.25,3/4,1,8,0
A4,35142.40314501369,0.75,3/4,1,9,0
D5,36168.8946947586,0.25,3/4,1,9,0
C♯5,37486.29663991165,1.0,3/4,1,9,0
0,40248.149318483076,1.0,3/4,1,9,0
G5,40804.106305444526,0.5,3/4,1,10,0
B4,41883.17323429941,0.5,3/4,1,10,0
F♯5,42358.521342292595,0.5,3/4,1,10,0
A4,43112.5089060681,0.5,3/4,1,10,0
E5,43634.29692335836,0.5,3/4,1,10,0
G4,44248.96475924272,0.5,3/4,1,10,0
F♯4,45095.832141612314,0.5,3/4,1,11,0
A5,45873.039660036375,1.0,3/4,1,11,0
G5,47218.475105047706,0.5,3/4,1,11,0
F♯5,47879.582850229104,0.3333333333333333,3/4,1,11,0
E5,48289.36140748534,0.3333333333333333,3/4,1,11,0
D5,48629.48010079599,0.3333333333333333,3/4,1,11,0
E5,49248.23824988896,0.75,3/4,1,12,0
G4,50251.50984498534,0.25,3/4,1,12,0
A4,50732.99342279149,1.0,3/4,1,12,0
C♯5,52984.00709909534,0.75,3/4,1,12,0
D5,53987.2786941917,0.25,3/4,1,12,0
D5,54032.99890705588,2.0,3/4,1,13,0
0,56811.33384229262,1.0,3/4,1,13,0
G4,59991.14570453751,1.0,3/4,1,1,1
B5,61754.54033322231,1.0,3/4,1,1,1
C6,62890.9961863969,0.75,3/4,1,1,1
D6,63894.267781493254,0.25,3/4,1,1,1
A4,64375.751359299415,1.0,3/4,1,2,1
F♯5,65767.6267136078,1.0,3/4,1,2,1
G5,67066.62224932208,0.75,3/4,1,2,1
A5,68023.45393512138,0.25,3/4,1,2,1
B4,68504.93751292751,0.75,3/4,1,3,1
D5,69299.22951618717,0.25,3/4,1,3,1
G5,69594.95345680506,0.75,3/4,1,3,1
F♯5,70691.10487049556,0.25,3/4,1,3,1
G5,71056.48867505905,1.0,3/4,1,3,1
C5,71821.42525385723,0.75,3/4,1,4,1
E5,74380.43381040484,0.25,3/4,1,4,1
F♯4,74861.91738821096,0.75,3/4,1,4,1
D5,75958.06880190143,0.25,3/4,1,4,1
C5,77205.81088310889,0.75,3/4,1,4,1
B4,77434.39182256418,0.125,3/4,1,4,1
C5,77567.46599046436,0.125,3/4,1,4,1
G4,77877.86764331303,0.75,3/4,1,5,1
C5,78857.91928376087,0.25,3/4,1,5,1
B4,79873.46181848308,1.0,3/4,1,5,1
0,81520.75667392524,1.0,3/4,1,5,1
F♯4,82796.53225499103,1.0,3/4,1,6,1
A4,84165.18765465089,1.0,3/4,1,6,1
B4,85487.40314501368,0.75,3/4,1,6,1
C5,86444.234830813,0.25,3/4,1,6,1
G4,86693.51886213386,1.0,3/4,1,7,1
B4,88108.6141710908,0.75,3/4,1,7,1
A4,89088.66581153865,0.25,3/4,1,7,1
B4,89500.48952539919,1.0,3/4,1,7,1
G4,90636.94537857379,1.0,3/4,1,8,1
E5,92028.82073288223,0.75,3/4,1,8,1
D5,93008.87237332998,0.25,3/4,1,8,1
C♯5,93467.13599648765,0.75,3/4,1,8,1
D5,94214.98809045015,0.25,3/4,1,8,1
A4,94580.37189501371,0.75,3/4,1,9,1
D5,95908.72285518942,0.25,3/4,1,9,1
C♯5,96947.48534456019,1.0,3/4,1,9,1
0,99778.99788707717,1.0,3/4,1,9,1
G5,100149.19523685038,0.5,3/4,1,10,1
B4,101088.94243781411,0.5,3/4,1,10,1
F♯5,101494.63068186172,0.5,3/4,1,10,1
A4,102178.95838169163,0.5,3/4,1,10,1
E5,102700.74639898191,0.5,3/4,1,10,1
G4,103222.53441627219,0.5,3/4,1,10,1
