Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
G4,2178.5737799343196,0.25,4/4,1,1,0
B4,2497.517675200759,0.25,4/4,1,1,0
D5,2700.3617972245693,0.25,4/4,1,1,0
B4,2833.5460553028015,0.25,4/4,1,1,0
D5,2989.950268029559,0.25,4/4,1,1,0
B4,3123.1345261077886,0.25,4/4,1,1,0
D5,3256.318784186021,0.25,4/4,1,1,0
B4,3343.063132967198,0.25,4/4,1,1,0
G4,3522.6873003424816,0.25,4/4,1,1,0
C5,3795.1912863118687,0.25,4/4,1,1,0
E5,3974.8154536871525,0.25,4/4,1,1,0
C5,4084.7797571168576,0.25,4/4,1,1,0
E5,4264.403924492141,0.25,4/4,1,1,0
C5,4351.148273273319,0.25,4/4,1,1,0
E5,4437.892622054498,0.25,4/4,1,1,0
C5,4594.296834781256,0.25,4/4,1,1,0
G4,4750.701047508012,0.25,4/4,1,2,0
B4,4953.5451695318225,0.25,4/4,1,2,0
D5,5133.169336907105,0.25,4/4,1,2,0
B4,5219.913685688283,0.25,4/4,1,2,0
G4,5353.0979437665155,0.25,4/4,1,2,0
D5,5509.502156493273,0.25,4/4,1,2,0
G5,5665.906369220029,0.25,4/4,1,2,0
D5,5775.870672649735,0.25,4/4,1,2,0
G4,5885.834976079442,0.25,4/4,1,2,0
B4,6037.662720197925,0.25,4/4,1,2,0
D5,6152.203492235902,0.25,4/4,1,2,0
B4,6265.250764339972,0.25,4/4,1,2,0
G4,6372.1320990953145,0.25,4/4,1,2,0
C5,6528.536311822077,0.25,4/4,1,2,0
E5,6638.500615251788,0.25,4/4,1,2,0
C5,6725.2449640329605,0.25,4/4,1,2,0
G4,6881.6491767597245,0.25,4/4,1,3,0
B4,7084.493298783526,0.25,4/4,1,3,0
D5,7217.677556861765,0.25,4/4,1,3,0
B4,7304.4219056429365,0.25,4/4,1,3,0
G4,7437.606163721175,0.25,4/4,1,3,0
D5,7594.010376447925,0.25,4/4,1,3,0
G5,7727.194634526164,0.25,4/4,1,3,0
D5,7790.719028658809,0.25,4/4,1,3,0
G4,7900.683332088521,0.25,4/4,1,3,0
B4,8080.307499463797,0.25,4/4,1,3,0
D5,8213.491757542037,0.25,4/4,1,3,0
B4,8277.016151674687,0.25,4/4,1,3,0
G4,8410.20040975292,0.25,4/4,1,3,0
C5,8566.60462247967,0.25,4/4,1,3,0
E5,8653.348971260857,0.25,4/4,1,3,0
C5,8740.093320042035,0.25,4/4,1,3,0
G4,8873.277578120267,0.25,4/4,1,4,0
B4,9052.901745495557,0.25,4/4,1,4,0
D5,9186.08600357378,0.25,4/4,1,4,0
B4,9283.757129605205,0.25,4/4,1,4,0
F♯4,9429.234565081717,0.25,4/4,1,4,0
A4,9632.078687105533,0.25,4/4,1,4,0
C5,9765.262945183758,0.25,4/4,1,4,0
A4,9852.007293964942,0.25,4/4,1,4,0
G4,10008.411506691695,0.25,4/4,1,4,0
A4,10234.475583364037,0.25,4/4,1,4,0
B4,10414.099750739313,0.5,4/4,1,4,0
0,10959.107722678105,1.0,4/4,1,4,0
D5,12211.663349095319,0.25,4/4,1,5,0
F♯5,12530.607244361749,0.25,4/4,1,5,0
A5,12687.01145708851,0.25,4/4,1,5,0
F♯5,12843.415669815266,0.25,4/4,1,5,0
A5,12953.379973244964,0.25,4/4,1,5,0
F♯5,13156.224095268773,0.25,4/4,1,5,0
A5,13242.96844404996,0.25,4/4,1,5,0
F♯5,13422.592611425232,0.25,4/4,1,5,0
D5,13509.336960206429,0.25,4/4,1,5,0
G5,13781.840946175806,0.25,4/4,1,5,0
B5,13961.465113551098,0.25,4/4,1,5,0
G5,14071.429416980798,0.25,4/4,1,5,0
B5,14206.488735452513,0.25,4/4,1,5,0
G5,14407.457797082829,0.25,4/4,1,5,0
B5,14470.982191215491,0.25,4/4,1,5,0
G5,14604.16644929371,0.25,4/4,1,5,0
D5,14737.35070737196,0.25,4/4,1,6,0
F♯5,14963.414784044286,0.25,4/4,1,6,0
A5,15073.379087473997,0.25,4/4,1,6,0
F♯5,15229.783300200754,0.25,4/4,1,6,0
D5,15353.627811963797,0.25,4/4,1,6,0
A5,15542.59172565426,0.25,4/4,1,6,0
D6,15652.55602908397,0.25,4/4,1,6,0
A5,15785.740287162216,0.25,4/4,1,6,0
D5,15895.704590591913,0.25,4/4,1,6,0
F♯5,16052.108803318673,0.25,4/4,1,6,0
A5,16115.633197451321,0.25,4/4,1,6,0
F♯5,16272.037410178076,0.25,4/4,1,6,0
D5,16358.78175895925,0.25,4/4,1,6,0
G5,16515.185971686016,0.25,4/4,1,6,0
B5,16625.150275115713,0.25,4/4,1,6,0
G5,16711.894623896907,0.25,4/4,1,6,0
D5,16845.07888197513,0.25,4/4,1,7,0
F♯5,17047.923003998945,0.25,4/4,1,7,0
A5,17111.447398131597,0.25,4/4,1,7,0
F♯5,17267.851610858346,0.25,4/4,1,7,0
D5,17331.376004990998,0.25,4/4,1,7,0
A5,17511.000172366286,0.25,4/4,1,7,0
D6,17644.184430444504,0.25,4/4,1,7,0
A5,17777.368688522754,0.25,4/4,1,7,0
D5,17887.332991952448,0.25,4/4,1,7,0
F♯5,18020.51725003069,0.25,4/4,1,7,0
A5,18084.04164416334,0.25,4/4,1,7,0
F♯5,18240.44585689009,0.25,4/4,1,7,0
D5,18327.190205671268,0.25,4/4,1,7,0
G5,18525.4731022211,0.25,4/4,1,7,0
B5,18616.778676476253,0.25,4/4,1,7,0
G5,18680.30307060892,0.25,4/4,1,7,0
D5,18859.927237984193,0.25,4/4,1,8,0
F♯5,19039.55140535949,0.25,4/4,1,8,0
A5,19149.51570878919,0.25,4/4,1,8,0
F♯5,19236.260057570365,0.25,4/4,1,8,0
C♯5,19392.664270297122,0.25,4/4,1,8,0
E5,19618.728346969452,0.25,4/4,1,8,0
G5,19709.593241306833,0.25,4/4,1,8,0
E5,19768.997089883334,0.25,4/4,1,8,0
D5,19971.84121190714,0.25,4/4,1,8,0
E5,20197.90528857947,0.25,4/4,1,8,0
F♯5,20377.529455954747,0.5,4/4,1,8,0
0,20736.777790705313,0.25,4/4,1,8,0
F♯5,21311.14118710553,0.25,4/4,1,8,0
G5,21444.32544518376,0.25,4/4,1,8,0
A5,21577.50970326199,0.25,4/4,1,8,0
B5,21757.13387063727,0.25,4/4,1,9,0
G4,22076.077765903705,0.25,4/4,1,9,0
F♯4,22371.80170652165,0.25,4/4,1,9,0
G4,22426.21914554207,0.25,4/4,1,9,0
B5,22568.510358732554,0.25,4/4,1,9,0
G5,22748.134526107824,0.25,4/4,1,9,0
B5,22858.098829537532,0.25,4/4,1,9,0
