Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
B4,5800.886705104387,0.25,4/4,1,1,0
D5,6305.590237559036,0.25,4/4,1,1,0
F♯5,6624.534132825476,1.5,4/4,1,1,0
A4,9838.514964741578,0.25,4/4,1,1,0
C♯5,10389.65840649328,0.25,4/4,1,1,0
F♯5,10615.722483165615,1.5,4/4,1,1,0
G4,13551.063859299406,0.25,4/4,1,2,0
B4,14078.987346402579,0.25,4/4,1,2,0
E5,14397.931241669017,1.0,4/4,1,2,0
E♯5,16068.446051759718,0.25,4/4,1,2,0
F♯5,16619.58949351142,0.25,4/4,1,2,0
F♯4,16858.48135425231,1.0,4/4,1,2,0
0,18307.18878843772,1.0,4/4,1,2,0
0,19447.846452375386,0.25,4/4,2,3,0
D5,19733.010868359805,0.125,4/4,2,3,0
C♯5,19840.790643242148,0.125,4/4,2,3,0
D5,19857.43935898671,0.25,4/4,2,3,0
B4,20168.276780926386,0.25,4/4,2,3,0
G5,20417.56081224725,0.25,4/4,2,3,0
B4,20643.62488891958,0.25,4/4,2,3,0
C♯5,20916.12887488898,0.25,4/4,2,3,0
G5,21142.192951561305,0.25,4/4,2,3,0
D5,21414.6969375307,0.25,4/4,2,3,0
F♯5,21663.980968851556,0.125,4/4,2,3,0
E5,21765.40302986346,0.125,4/4,2,3,0
F♯5,21820.385181578316,0.25,4/4,2,3,0
D5,22069.66921289917,0.25,4/4,2,3,0
A5,22318.95324422004,0.25,4/4,2,3,0
C♯5,22591.45723018942,0.25,4/4,2,3,0
D♯5,22794.30135221324,0.25,4/4,2,3,0
A5,22997.14547423704,0.25,4/4,2,3,0
E5,23316.089369503487,0.25,4/4,2,4,0
G5,23542.153446175813,0.125,4/4,2,4,0
F♯5,23620.355552539197,0.125,4/4,2,4,0
G5,23768.217522848157,0.25,4/4,2,4,0
E5,24017.50155416901,0.25,4/4,2,4,0
A♯5,24197.1257215443,0.25,4/4,2,4,0
F♯5,24446.40975286516,0.25,4/4,2,4,0
C♯6,24672.4738295375,0.25,4/4,2,4,0
E5,25037.85763410098,0.25,4/4,2,4,0
D5,25194.26184682775,0.25,4/4,2,4,0
F♯5,25466.76583279713,0.25,4/4,2,4,0
B5,25692.829909469452,0.25,4/4,2,4,0
D5,25918.893986141793,0.25,4/4,2,4,0
E5,26144.958062814127,0.25,4/4,2,4,0
C♯6,26371.022139486457,0.25,4/4,2,4,0
F♯5,26573.866261510266,0.25,4/4,2,4,0
A♯5,26823.150292831135,0.25,4/4,2,4,0
B4,27165.314142746083,0.25,4/4,2,5,0
C♯5,27507.47799266107,0.25,4/4,2,5,0
D5,27640.662250739304,0.25,4/4,2,5,0
A4,27843.50637276311,0.25,4/4,2,5,0
G♯4,28116.010358732492,0.25,4/4,2,5,0
D5,28365.29439005335,0.25,4/4,2,5,0
F♯4,28591.358466725684,0.25,4/4,2,5,0
D5,28817.42254339802,0.25,4/4,2,5,0
E♯4,29089.92652936743,0.25,4/4,2,5,0
C♯5,29408.870424633857,0.25,4/4,2,5,0
B♯4,29611.71454665767,0.25,4/4,2,5,0
C♯5,29860.998577978527,0.25,4/4,2,5,0
G♯5,30087.062654650857,0.25,4/4,2,5,0
C♯5,30313.126731323187,0.25,4/4,2,5,0
B5,30562.410762644064,0.25,4/4,2,5,0
C♯5,31067.1142950987,0.25,4/4,2,5,0
0,31153.858643879892,0.25,4/4,2,6,0
A4,31459.259055619208,0.125,4/4,2,6,0
G♯4,31574.22460015824,0.125,4/4,2,6,0
A4,31652.42670652161,0.25,4/4,2,6,0
F♯4,31901.710737842477,0.25,4/4,2,6,0
D5,32174.21472381186,0.25,4/4,2,6,0
F♯4,32423.49875513272,0.25,4/4,2,6,0
G♯4,32603.122922508006,0.25,4/4,2,6,0
D5,32829.18699918033,0.25,4/4,2,6,0
A4,33148.13089444678,0.25,4/4,2,6,0
C♯5,33420.63488041616,0.125,4/4,2,6,0
B4,33475.61703213103,0.125,4/4,2,6,0
C♯5,33716.35882103409,0.25,4/4,2,6,0
A4,33803.103169815266,0.25,4/4,2,6,0
E5,34098.82711043318,0.25,4/4,2,6,0
G♯4,34324.89118710551,0.25,4/4,2,6,0
A♯4,34527.73530912931,0.25,4/4,2,6,0
E5,34753.79938580164,0.25,4/4,2,6,0
B4,35026.30337177104,0.25,4/4,2,7,0
D5,35275.5874030919,0.125,4/4,2,7,0
C♯5,35330.56955480676,0.125,4/4,2,7,0
D5,35478.431525115724,0.25,4/4,2,7,0
B4,35681.275647139526,0.25,4/4,2,7,0
E♯5,35976.99958775744,0.25,4/4,2,7,0
C♯5,36156.623755132714,0.25,4/4,2,7,0
G♯5,36429.1277411021,0.25,4/4,2,7,0
B4,36631.97186312591,0.25,4/4,2,7,0
A4,36904.47584909531,0.25,4/4,2,7,0
C♯5,37269.859653658794,0.25,4/4,2,7,0
F♯5,37403.04391173704,0.25,4/4,2,7,0
A4,37629.10798840937,0.25,4/4,2,7,0
B4,37878.39201973023,0.25,4/4,2,7,0
G♯5,38104.45609640256,0.25,4/4,2,7,0
C♯5,38307.30021842636,0.25,4/4,2,7,0
E♯5,38626.244113692825,0.25,4/4,2,7,0
F♯4,38875.52814501367,0.25,4/4,2,8,0
A4,39217.69199492865,0.25,4/4,2,8,0
C♯5,39466.976026249504,0.25,4/4,2,8,0
F♯5,39646.60019362479,0.25,4/4,2,8,0
0,39872.664270297115,0.25,4/4,2,8,0
A5,40261.268029509134,0.25,4/4,2,8,0
C♯5,40556.99197012704,0.25,4/4,2,8,0
E5,40759.83609215085,0.25,4/4,2,8,0
D♯5,41032.340078120236,0.25,4/4,2,8,0
F♯5,41281.62410944109,0.25,4/4,2,8,0
B4,41577.348050059,0.25,4/4,2,8,0
B5,41919.16774022291,0.25,4/4,2,8,0
C♯5,42145.57597664631,0.25,4/4,2,8,0
A5,42301.980189373106,0.25,4/4,2,8,0
D♯5,42551.26422069395,0.25,4/4,2,8,0
F♯5,42730.888388069245,0.25,4/4,2,8,0
E4,43049.83228333568,0.25,4/4,2,9,0
G4,43299.11631465654,0.25,4/4,2,9,0
B4,43525.180391328875,0.25,4/4,2,9,0
E5,43797.684377298254,0.25,4/4,2,9,0
0,43861.20877143091,0.25,4/4,2,9,0
G5,44273.03248529145,0.25,4/4,2,9,0
B4,44475.87660731526,0.25,4/4,2,9,0
D5,44725.16063863611,0.25,4/4,2,9,0
C♯5,44974.444669956974,0.25,4/4,2,9,0
E5,45223.72870127783,0.25,4/4,2,9,0
A4,45473.01273259868,0.25,4/4,2,9,0
A5,45842.96272841144,0.25,4/4,2,9,0
B4,45971.5807952404,0.25,4/4,2,9,0
G5,46220.864826561294,0.25,4/4,2,9,0
C♯5,46423.708948585096,0.25,4/4,2,9,0
E5,46672.99297990598,0.25,4/4,2,9,0
D4,46968.71692052389,0.25,4/4,2,10,0
F♯4,47194.78099719623,0.25,4/4,2,10,0
A4,47420.84507386856,0.25,4/4,2,10,0
D5,47693.34905983794,0.25,4/4,2,10,0
0,47942.6330911588,0.25,4/4,2,10,0
F♯5,48191.91712247966,0.25,4/4,2,10,0
D5,48417.98119915199,0.25,4/4,2,10,0
A5,48644.04527582432,0.25,4/4,2,10,0
G4,48939.769216442226,0.25,4/4,2,10,0
B5,49281.93306635719,0.25,4/4,2,10,0
A5,49484.77718838102,0.25,4/4,2,10,0
G5,49710.841265053336,0.25,4/4,2,10,0
G4,49815.194465961256,0.25,4/4,2,10,0
B5,50209.40932769508,0.25,4/4,2,10,0
E4,50481.91331366449,0.25,4/4,2,10,0
G5,50684.7574356883,0.25,4/4,2,10,0
F♯4,50910.82151236063,0.25,4/4,2,11,0
A5,51183.325498330014,0.25,4/4,2,11,0
G5,51409.389575002344,0.25,4/4,2,11,0
F♯5,51613.838126297866,0.25,4/4,2,11,0
F♯4,51742.146203539494,0.25,4/4,2,11,0
A5,52064.36185037081,0.25,4/4,2,11,0
D4,52336.8658363402,0.25,4/4,2,11,0
F♯5,52539.709958364,0.25,4/4,2,11,0
G4,52788.99398968486,0.25,4/4,2,11,0
B5,53038.27802100572,0.25,4/4,2,11,0
A5,53310.7820069751,0.25,4/4,2,11,0
G5,53513.6261289989,0.25,4/4,2,11,0
G4,53576.999760642866,0.25,4/4,2,11,0
B5,53988.97423699212,0.25,4/4,2,11,0
E4,54191.81835901596,0.25,4/4,2,11,0
G5,54441.10239033681,0.25,4/4,2,11,0
F♯4,54713.606376306205,0.25,4/4,2,12,0
A5,54893.23054368149,0.25,4/4,2,12,0
G5,55188.9544842994,0.25,4/4,2,12,0
F♯5,55368.578651674674,0.25,4/4,2,12,0
F♯4,55642.300884355405,0.25,4/4,2,12,0
A5,55843.92675966787,0.25,4/4,2,12,0
D4,56069.9908363402,0.25,4/4,2,12,0
F♯5,56272.83495836401,0.25,4/4,2,12,0
G4,56591.778853630436,0.25,4/4,2,12,0
B5,56957.16265819393,0.25,4/4,2,12,0
F♯4,57183.22673486626,0.25,4/4,2,12,0
A5,57409.29081153859,0.25,4/4,2,12,0
E4,57658.57484285947,0.25,4/4,2,12,0
G5,57861.41896488331,0.25,4/4,2,12,0
D4,58133.922950852684,0.25,4/4,2,12,0
F♯5,58336.76707287651,0.25,4/4,2,12,0
C♯5,58632.49101349441,0.25,4/4,2,13,0
E5,58881.775044815266,0.25,4/4,2,13,0
A4,59131.05907613613,0.5,4/4,2,13,0
0,59211.66795510439,0.25,4/4,2,13,0
G4,59902.131124747226,0.25,4/4,2,13,0
F♯4,60104.97524677104,0.25,4/4,2,13,0
