Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
C5,437.0771812948638,0.5,4/4,1,1,0
E5,703.445697451326,0.5,4/4,1,2,0
C5,855.0290209427599,0.5,4/4,1,2,0
F5,1003.9831832789907,0.5,4/4,1,2,0
C5,1154.251926192825,0.5,4/4,1,2,0
G5,1281.3007144581306,0.5,4/4,1,2,0
C5,1431.5694573719627,0.5,4/4,1,2,0
E5,1558.6182456372683,0.5,4/4,1,2,0
C5,1616.0071699569924,0.5,4/4,1,2,0
F5,1743.055958222298,0.5,4/4,1,3,0
C5,1846.884791839078,0.5,4/4,1,3,0
G5,1973.9335801043835,0.5,4/4,1,3,0
C5,2100.9823683696895,0.5,4/4,1,3,0
A5,2181.591247337943,0.5,4/4,1,3,0
C5,2308.640035603252,0.5,4/4,1,3,0
G5,2412.4688692200425,0.5,4/4,1,3,0
C5,2493.077748188296,0.5,4/4,1,3,0
A5,2620.126536453602,0.5,4/4,1,4,0
C5,2741.5140081089266,0.5,4/4,1,4,0
B5,2827.7842036871616,0.5,4/4,1,4,0
C5,3024.4928558980455,0.5,4/4,1,4,0
C6,3068.73864053502,0.5,4/4,1,4,0
C5,3076.6118409463543,0.5,4/4,1,4,0
E5,3266.319492802806,0.5,4/4,1,4,0
G5,3346.9283717710596,0.5,4/4,1,4,0
C6,3427.537250739313,0.5,4/4,1,5,0
C5,3629.5810424733136,0.5,4/4,1,5,0
E5,3658.414872621399,0.5,4/4,1,5,0
G5,3736.667246487609,0.5,4/4,1,5,0
C6,3796.4126759093806,1.0,4/4,1,5,0
0,4538.129300059045,1.0,4/4,1,5,0
C5,5744.245017179228,0.0,3/2,2,6,0
E5,5873.0496692483875,0.0,3/2,2,6,0
G5,6001.854321317537,3.0,3/2,2,6,0
A5,7182.106234582858,1.0,3/2,2,6,0
F5,7575.523539004613,2.0,3/2,2,6,0
G4,8548.11778503637,0.0,3/2,2,7,0
C5,8746.582301051112,0.0,3/2,2,7,0
E5,8875.386953120265,3.0,3/2,2,7,0
F5,9893.099183845881,1.0,3/2,2,7,0
D5,10263.296533619134,2.0,3/2,2,7,0
E4,11189.450870353827,0.0,3/2,2,8,0
G4,11364.695431720045,0.0,3/2,2,8,0
C5,11679.259720977412,3.0,3/2,2,8,0
E5,12487.992359866284,1.0,3/2,2,8,0
D5,12834.969754990989,2.0,3/2,2,8,0
E5,13412.824771997819,1.5,3/2,2,9,0
D5,14420.909912303921,0.25,3/2,2,9,0
E5,14531.581614329782,0.25,3/2,2,9,0
D5,14849.8181110001,2.0,3/2,2,9,0
0,16077.83185816562,0.5,4/4,3,10,0
G4,17064.018968426386,0.5,4/4,3,10,0
B4,17353.607439231364,0.5,4/4,3,11,0
G4,17527.096136793716,0.5,4/4,3,11,0
C5,17700.584834356097,0.5,4/4,3,11,0
G4,17804.413667972894,0.5,4/4,3,11,0
D5,18024.3422748323,0.5,4/4,3,11,0
G4,18174.611017746123,0.5,4/4,3,11,0
B4,18301.65980601143,0.5,4/4,3,11,0
G4,18428.708594276726,0.5,4/4,3,11,0
C5,18532.537427893498,0.5,4/4,3,12,0
G4,18571.833894960062,0.5,4/4,3,12,0
D5,18693.755185830007,0.5,4/4,3,12,0
G4,18820.80397409533,0.5,4/4,3,12,0
E5,18924.632807712118,0.5,4/4,3,12,0
G4,19051.68159597742,0.5,4/4,3,12,0
D5,19201.950338891245,0.5,4/4,3,12,0
G4,19259.339263210964,0.5,4/4,3,12,0
E5,19386.388051476268,0.5,4/4,3,13,0
G4,19490.21688509304,0.5,4/4,3,13,0
F♯5,19594.045718709815,0.5,4/4,3,13,0
G4,19674.654597678084,0.5,4/4,3,13,0
G5,20042.027379313888,0.5,4/4,3,13,0
G4,20050.002639730556,0.5,4/4,3,13,0
B4,20079.02091712254,0.5,4/4,3,13,0
D5,20136.40984144226,0.5,4/4,3,13,0
G5,20217.018720410506,0.5,4/4,3,14,0
G4,20278.67740388275,0.5,4/4,3,14,0
B4,20447.89634229258,0.5,4/4,3,14,0
D5,20528.50522126084,0.5,4/4,3,14,0
G5,20609.11410022912,1.0,4/4,3,14,0
0,21188.29104183909,1.0,4/4,3,14,0
G4,22185.42716712253,0.0,3/2,4,15,0
B4,22310.53828413878,0.0,3/2,4,15,0
D5,22419.816516612336,3.0,3/2,4,15,0
E5,23391.088838040883,1.0,3/2,4,15,0
C5,23970.265779650847,2.0,3/2,4,15,0
D4,24757.100388494397,0.0,3/2,4,16,0
G4,24885.90504056361,0.0,3/2,4,16,0
B4,25037.929647281293,3.0,3/2,4,16,0
C5,26148.521696600976,1.0,3/2,4,16,0
A4,26379.39931848305,2.0,3/2,4,16,0
G4,27375.21351916331,0.0,3/2,4,17,0
F♯4,27550.45808052961,0.0,3/2,4,17,0
G4,27609.60286865318,3.0,3/2,4,17,0
B4,28696.974963324337,1.0,3/2,4,17,0
A4,29136.83217704314,2.0,3/2,4,17,0
B4,29993.32664983223,1.5,3/2,4,18,0
A4,30722.772334356134,0.25,3/2,4,18,0
B4,30879.176547082832,0.25,3/2,4,18,0
A4,31082.020669106696,2.0,3/2,4,18,0
D5,32960.19314643093,2.0,3/2,4,18,0
E4,34025.66721105675,1.5,3/2,4,19,0
D5,34778.33285022906,0.5,3/2,4,19,0
G5,34998.26145708852,1.5,3/2,4,19,0
B4,35634.82732301827,0.5,3/2,4,19,0
C5,35947.635748471774,2.0,3/2,4,19,0
F♯4,36780.910266612336,1.5,3/2,4,20,0
C5,37510.35595113613,0.5,3/2,4,20,0
A5,37683.844648698476,1.5,3/2,4,20,0
B4,38320.41051462816,0.5,3/2,4,20,0
C5,38656.43889473019,2.0,3/2,4,20,0
G4,39466.493458222336,1.5,3/2,4,21,0
C5,40288.818961340236,0.5,3/2,4,21,0
B4,40439.08770425407,1.5,3/2,4,21,0
G5,41075.65357018375,0.5,3/2,4,21,0
D4,41365.24204098873,1.5,3/2,4,21,0
F♯5,41862.488179027256,0.5,3/2,4,21,0
G4,42291.39637772339,1.5,3/2,4,22,0
B4,42788.64251576202,0.25,3/2,4,22,0
D5,42921.8267738402,0.25,3/2,4,22,0
G5,43008.571122621426,1.5,3/2,4,22,0
G4,43783.19130608722,0.5,3/2,4,22,0
D5,44283.024779083986,2.0,3/2,4,22,0
E4,45162.739206521605,1.5,3/2,4,23,0
D5,45915.40484569392,0.5,3/2,4,23,0
G5,46158.553407201856,1.5,3/2,4,23,0
B4,46934.4390010228,0.5,3/2,4,23,0
C5,47386.56715436747,2.0,3/2,4,23,0
F♯4,48034.08203531982,1.5,3/2,4,24,0
C5,48786.747674492144,0.5,3/2,4,24,0
A5,49053.116190648594,1.5,3/2,4,24,0
B4,49666.462101929756,0.5,3/2,4,24,0
C5,50118.590255274416,2.0,3/2,4,24,0
G4,50905.42486411803,1.5,3/2,4,25,0
C5,51704.5304125874,0.5,3/2,4,25,0
B4,51924.459019446804,1.5,3/2,4,25,0
G5,52468.14506678238,0.5,3/2,4,25,0
D4,52943.49317477569,1.5,3/2,4,25,0
F♯5,53556.83908605673,0.5,3/2,4,25,0
G4,54543.026196317616,6.0,3/2,4,26,0
C5,59782.80439926537,1.5,9/8,5,27,0
A4,60442.590219843696,1.5,9/8,5,27,0
D5,60986.276267179164,1.5,9/8,5,27,0
B4,61506.74235986633,1.5,9/8,5,28,0
G4,62050.42840720179,1.5,9/8,5,28,0
C5,62594.114454537485,1.5,9/8,5,28,0
A4,63091.36059257612,1.5,9/8,5,29,0
F4,63611.82668526307,1.5,9/8,5,29,0
G4,64155.51273259876,1.5,9/8,5,29,0
C5,64675.978825285696,1.0,9/8,5,30,0
E5,65046.17617505903,0.5,9/8,5,30,0
A4,65242.88482726992,1.0,9/8,5,30,0
A5,65630.89301278713,0.5,9/8,5,30,0
D5,65763.3509199571,1.0,9/8,5,30,0
F♯5,66063.88840578473,0.5,9/8,5,30,0
B4,66237.37710334697,1.0,9/8,5,31,0
G5,66607.5744531202,0.5,9/8,5,31,0
G4,66765.87658906302,1.0,9/8,5,31,0
F5,67151.2605004559,0.5,9/8,5,31,0
C5,67324.74919801812,1.0,9/8,5,31,0
E5,67671.72659314284,0.5,9/8,5,31,0
A4,67914.87515465089,1.0,9/8,5,32,0
F5,68215.41264047853,0.5,9/8,5,32,0
F4,68295.89509054388,1.0,9/8,5,32,0
E5,68735.87873316571,0.5,9/8,5,32,0
G4,68909.36743072794,1.0,9/8,5,32,0
D5,69256.34482585263,0.5,9/8,5,32,0
C5,69429.83352341512,0.5,9/8,5,33,0
E5,69626.54217562586,0.5,9/8,5,33,0
G5,69753.59096389129,0.5,9/8,5,33,0
A4,69927.07966145352,0.5,9/8,5,33,0
A5,70154.74308964316,0.5,9/8,5,33,0
G5,70204.39719263265,0.5,9/8,5,33,0
D5,70377.8858901951,0.5,9/8,5,33,0
G5,70481.7147238119,0.5,9/8,5,33,0
F♯5,70678.42337602277,0.5,9/8,5,33,0
B4,70851.9120735852,0.5,9/8,5,34,0
