Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
A4,1667.734777666746,1.0,3/4,1,1,0
C5,3152.489950569239,1.0,3/4,1,1,0
E5,4521.145350229103,1.0,3/4,1,1,0
F4,6261.320024265387,1.0,3/4,1,2,0
0,8140.814426192822,0.25,3/4,1,2,0
E5,8645.517958647471,0.25,3/4,1,2,0
D5,9034.121717859492,0.25,3/4,1,2,0
C♯5,9236.965839883296,0.25,3/4,1,2,0
D5,9509.469825852684,0.25,3/4,1,2,0
F5,9874.85363041618,0.25,3/4,1,2,0
A5,10077.697752439988,0.25,3/4,1,2,0
D6,10257.321919815276,0.25,3/4,1,2,0
G4,10971.005044106658,1.0,3/4,1,3,0
B4,12386.100353063575,1.0,3/4,1,3,0
D5,13708.315843426393,1.0,3/4,1,3,0
E4,15494.930426759725,1.0,3/4,1,4,0
0,17235.105100796005,0.25,3/4,1,4,0
D5,17577.268950710975,0.25,3/4,1,4,0
C5,17989.092664571515,0.25,3/4,1,4,0
B4,18191.93678659533,0.25,3/4,1,4,0
C5,18394.780908619134,0.25,3/4,1,4,0
E5,18783.384667831157,0.25,3/4,1,4,0
G5,18986.22878985496,0.25,3/4,1,4,0
C6,19258.732775824355,0.25,3/4,1,4,0
F4,20134.955582655413,1.0,3/4,1,5,0
A4,21480.391027666752,1.0,3/4,1,5,0
C5,22825.826472678084,1.0,3/4,1,5,0
D4,24449.901373471752,0.25,3/4,1,6,0
C5,25302.904225654285,0.25,3/4,1,6,0
B4,25761.16784881188,0.25,3/4,1,6,0
A4,26080.111744078316,0.25,3/4,1,6,0
C5,26399.055639344748,0.25,3/4,1,6,0
A4,26857.319262502348,0.25,3/4,1,6,0
G♯4,27199.48311241732,0.25,3/4,1,6,0
A4,27564.866916980805,0.25,3/4,1,6,0
G♯4,27628.391311113475,0.25,3/4,1,6,0
A4,28202.75470751369,0.25,3/4,1,6,0
G♯4,28405.598829537503,0.25,3/4,1,6,0
A4,28654.88286085836,0.25,3/4,1,6,0
E4,29066.7065747189,0.25,3/4,1,7,0
A4,29780.389699010284,0.25,3/4,1,7,0
G♯4,30261.87327681641,0.25,3/4,1,7,0
A4,30487.937353488738,0.25,3/4,1,7,0
C5,30806.8812487552,0.25,3/4,1,7,0
A4,31265.144871912787,0.25,3/4,1,7,0
G♯4,31584.088767179226,0.25,3/4,1,7,0
A4,31879.812707797137,0.25,3/4,1,7,0
G♯4,32129.096739117987,0.25,3/4,1,7,0
A4,32448.040634384448,0.25,3/4,1,7,0
G♯4,32743.764575002348,0.25,3/4,1,7,0
A4,32946.60869702618,0.25,3/4,1,7,0
F4,33474.53218412935,0.25,3/4,1,8,0
A4,34002.45567123252,0.25,3/4,1,8,0
D5,34228.51974790485,0.25,3/4,1,8,0
F4,34454.58382457719,0.25,3/4,1,8,0
A4,34680.64790124952,0.25,3/4,1,8,0
D5,34999.59179651597,0.25,3/4,1,8,0
F5,35155.996009242706,0.25,3/4,1,8,0
A4,35382.060085915065,0.25,3/4,1,8,0
D5,35608.12416258739,0.25,3/4,1,8,0
F5,35810.9682846112,0.25,3/4,1,8,0
A5,35990.592451986486,0.25,3/4,1,8,0
D5,36170.21661936176,0.25,3/4,1,8,0
F5,36373.060741385576,0.25,3/4,1,9,0
A5,36552.68490876086,0.25,3/4,1,9,0
D6,36825.188894730236,0.25,3/4,1,9,0
F5,37120.91283534817,0.25,3/4,1,9,0
A5,37300.53700272344,0.25,3/4,1,9,0
D5,37480.161170098734,0.25,3/4,1,9,0
