Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
G4,255.41950113378687,0.25,4/4,1,1,0
B4,574.3633964002265,0.25,4/4,1,1,0
D5,753.9875637755104,0.25,4/4,1,1,0
B4,887.1718218537414,0.25,4/4,1,1,0
D5,1066.7959892290241,0.25,4/4,1,1,0
B4,1199.9802473072561,0.25,4/4,1,1,0
D5,1309.9445507369614,0.25,4/4,1,1,0
B4,1466.348763463719,0.25,4/4,1,1,0
G4,1669.1928854875273,0.25,4/4,1,1,0
C5,1872.0370075113376,0.25,4/4,1,1,0
E5,2005.2212655895696,0.25,4/4,1,1,0
C5,2138.405523667802,0.25,4/4,1,1,0
E5,2271.5897817460327,0.25,4/4,1,1,0
C5,2404.774039824262,0.25,4/4,1,1,0
E5,2491.518388605442,0.25,4/4,1,1,0
C5,2716.7445516845305,0.25,4/4,1,1,0
G4,2897.20663265306,0.25,4/4,1,2,0
B4,3076.830800028345,0.25,4/4,1,2,0
D5,3186.7951034580465,0.25,4/4,1,2,0
B4,3319.979361536278,0.25,4/4,1,2,0
G4,3453.163619614511,0.25,4/4,1,2,0
D5,3563.127923044218,0.25,4/4,1,2,0
G5,3765.972045068029,0.25,4/4,1,2,0
D5,3852.7163938492095,0.25,4/4,1,2,0
G4,4055.5605158730186,0.25,4/4,1,2,0
B4,4188.74477395125,0.25,4/4,1,2,0
D5,4298.709077380954,0.25,4/4,1,2,0
B4,4478.333244756239,0.25,4/4,1,2,0
G4,4588.297548185943,0.25,4/4,1,2,0
C5,4767.921715561227,0.25,4/4,1,2,0
E5,4924.325928287976,0.25,4/4,1,2,0
C5,5057.510186366215,0.25,4/4,1,2,0
G4,5213.914399092965,0.25,4/4,1,3,0
B4,5486.418385062359,0.25,4/4,1,3,0
D5,5642.82259778911,0.25,4/4,1,3,0
B4,5752.786901218822,0.25,4/4,1,3,0
G4,5885.9711592970525,0.25,4/4,1,3,0
D5,5972.715508078231,0.25,4/4,1,3,0
G5,6175.559630102035,0.25,4/4,1,3,0
D5,6285.523933531746,0.25,4/4,1,3,0
G4,6465.14810090703,0.25,4/4,1,3,0
B4,6598.332358985261,0.25,4/4,1,3,0
D5,6731.516617063499,0.25,4/4,1,3,0
B4,6864.7008751417225,0.25,4/4,1,3,0
G4,6974.665178571435,0.25,4/4,1,3,0
C5,7154.2893459467105,0.25,4/4,1,3,0
E5,7264.253649376423,0.25,4/4,1,3,0
C5,7420.657862103173,0.25,4/4,1,3,0
G4,7600.282029478463,0.25,4/4,1,4,0
B4,7733.466287556687,0.25,4/4,1,4,0
D5,7866.650545634926,0.25,4/4,1,4,0
B4,7976.614849064624,0.25,4/4,1,4,0
F♯4,8156.239016439914,0.25,4/4,1,4,0
A4,8266.203319869612,0.25,4/4,1,4,0
C5,8422.607532596377,0.25,4/4,1,4,0
A4,8555.791790674599,0.25,4/4,1,4,0
G4,8758.635912698417,0.25,4/4,1,4,0
A4,8938.260080073693,0.25,4/4,1,4,0
B4,9117.884247448985,0.5,4/4,1,4,0
0,9427.055594023323,1.0,4/4,1,4,0
D5,10683.248299319728,0.25,4/4,1,5,0
F♯5,11002.192194586165,0.25,4/4,1,5,0
A5,11181.816361961446,0.25,4/4,1,5,0
F♯5,11315.000620039682,0.25,4/4,1,5,0
A5,11448.184878117901,0.25,4/4,1,5,0
F♯5,11558.149181547626,0.25,4/4,1,5,0
A5,11714.553394274371,0.25,4/4,1,5,0
F♯5,11801.29774305556,0.25,4/4,1,5,0
D5,12004.141865079368,0.25,4/4,1,5,0
G5,12206.985987103171,0.25,4/4,1,5,0
B5,12386.610154478452,0.25,4/4,1,5,0
G5,12473.354503259634,0.25,4/4,1,5,0
B5,12652.978670634908,0.25,4/4,1,5,0
G5,12739.723019416102,0.25,4/4,1,5,0
B5,12872.90727749434,0.25,4/4,1,5,0
G5,13006.091535572566,0.25,4/4,1,5,0
D5,13185.715702947848,0.25,4/4,1,6,0
