Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
G4,487.6190476190476,2.0,3/2,1,1,0
E♭5,2830.190617913834,0.5,3/2,1,1,0
D5,3421.6384991496616,1.5,3/2,1,1,0
C5,4801.242913832204,0.5,3/2,1,1,0
B♭4,5230.151112528347,1.5,3/2,1,1,0
A4,6841.955073696148,0.0,3/2,1,2,0
G4,7737.018229166665,4.0,3/2,1,2,0
0,9960.846177012474,2.0,3/2,1,2,0
F♯4,11119.200060232428,2.0,3/2,1,3,0
D5,13067.032401502267,0.5,3/2,1,3,0
C5,13635.26032808957,1.5,3/2,1,3,0
B♭4,14921.984924177994,0.5,3/2,1,3,0
A4,15606.312624007922,1.5,3/2,1,3,0
D4,17403.876222363935,4.0,3/2,1,4,0
0,21206.661086309512,2.0,3/2,1,4,0
G5,22132.815423044205,0.5,3/4,2,5,0
D5,22584.94357638887,0.5,3/4,2,5,0
D5,22878.06669861093,0.5,3/4,2,5,0
D5,22884.935343945857,0.5,3/4,2,5,0
D5,22891.803989280786,0.25,3/4,2,5,0
E♭5,23122.494153911553,0.25,3/4,2,5,0
C5,23226.20655293367,0.25,3/4,2,5,0
D5,23342.42276077096,0.25,3/4,2,5,0
E♭5,23429.16710955213,0.5,3/4,2,6,0
C5,23904.515217545333,0.5,3/4,2,6,0
C5,24155.24229614137,0.5,3/4,2,6,0
C5,24162.121913753188,0.5,3/4,2,6,0
C5,24169.001531365007,0.25,3/4,2,6,0
D5,24465.285749716542,0.25,3/4,2,6,0
E♭5,24552.03009849771,0.25,3/4,2,6,0
C5,24661.994401927408,0.25,3/4,2,6,0
D5,24748.73875070858,0.5,3/4,2,7,0
D4,25135.15964688136,0.5,3/4,2,7,0
C5,25211.81591907597,0.5,3/4,2,7,0
D4,25292.424798044216,0.5,3/4,2,7,0
A5,25651.67313279478,0.5,3/4,2,7,0
B♭4,25941.261603599756,0.25,3/4,2,7,0
A4,25983.11226030267,0.25,3/4,2,7,0
B♭4,26114.75030116211,0.5,3/4,2,8,0
G4,26334.67890802152,0.5,3/4,2,8,0
D5,26554.60751488095,0.5,3/4,2,8,0
G4,26728.09621244332,0.5,3/4,2,8,0
G5,26989.27828742384,0.5,3/4,2,8,0
G4,26997.45028101967,0.5,3/4,2,8,0
B♭5,27434.321942318587,0.5,3/4,2,9,0
G4,27631.030594529464,0.25,3/4,2,9,0
A4,27717.774943310636,0.25,3/4,2,9,0
B♭4,27781.299337443288,0.5,3/4,2,9,0
A4,27978.007989654165,0.5,3/4,2,9,0
G4,28221.156551162116,0.5,3/4,2,9,0
F4,28417.865203373018,0.5,3/4,2,9,0
E4,28661.013764880958,0.5,3/4,2,10,0
G5,29182.801782171202,0.5,3/4,2,10,0
0,29256.92571062772,0.5,3/4,2,10,0
C5,29576.21908659295,0.5,3/4,2,10,0
G5,29772.927738803828,0.5,3/4,2,10,0
B♭4,29992.856345663236,0.5,3/4,2,10,0
A4,30282.444816468225,0.5,3/4,2,11,0
F4,30572.033287273236,0.5,3/4,2,11,0
C5,30768.741939484134,0.5,3/4,2,11,0
F4,30919.01068239796,0.5,3/4,2,11,0
F5,31562.868619127337,0.5,3/4,2,11,0
F4,31571.025135462565,0.5,3/4,2,11,0
A5,31602.016457624693,0.5,3/4,2,12,0
F4,31821.945064484098,0.25,3/4,2,12,0
G4,31908.68941326528,0.25,3/4,2,12,0
A4,31995.433762046447,0.5,3/4,2,12,0
G4,32192.14241425735,0.5,3/4,2,12,0
F4,32388.851066468247,0.5,3/4,2,12,0
E4,32655.21958262472,0.5,3/4,2,12,0
D4,32875.14818948411,0.5,3/4,2,13,0
F5,33187.956614937626,0.5,3/4,2,13,0
0,33384.6652671485,0.5,3/4,2,13,0
B♭4,33720.69364725054,0.5,3/4,2,13,0
F5,33894.18234481289,0.5,3/4,2,13,0
A4,34183.77081561793,0.5,3/4,2,13,0
G4,34450.13933177438,0.5,3/4,2,14,0
E4,34716.50784793084,0.5,3/4,2,14,0
B♭4,34936.43645479024,0.5,3/4,2,14,0
E4,35109.925152352596,0.5,3/4,2,14,0
E5,35422.98925573691,0.5,3/4,2,14,0
E4,35645.947673290546,0.5,3/4,2,14,0
G5,35792.93092757936,0.5,3/4,2,15,0
E4,35966.41962514174,0.25,3/4,2,15,0
F4,36099.60388321995,0.25,3/4,2,15,0
G4,36209.56818664967,0.5,3/4,2,15,0
F4,36313.397020266435,0.5,3/4,2,15,0
E4,36672.645355017,0.5,3/4,2,15,0
D4,36939.013871173454,0.5,3/4,2,15,0
A4,37275.04225127549,0.5,3/4,2,16,0
C♯5,37611.07063137752,0.25,3/4,2,16,0
E5,37744.25488945575,0.25,3/4,2,16,0
A4,37877.439147533994,0.5,3/4,2,16,0
D5,38143.80766369047,0.25,3/4,2,16,0
F5,38276.99192176869,0.25,3/4,2,16,0
A4,38410.17617984695,0.5,3/4,2,16,0
E5,38630.104786706404,0.25,3/4,2,16,0
G5,38786.50899943311,0.25,3/4,2,16,0
A4,38873.25334821433,0.5,3/4,2,17,0
F5,39093.18195507374,0.25,3/4,2,17,0
A5,39179.92630385497,0.25,3/4,2,17,0
A4,39480.96579534986,0.5,3/4,2,17,0
E5,39533.03916879255,0.25,3/4,2,17,0
G5,39689.443381519355,0.25,3/4,2,17,0
A4,39799.407684949,0.5,3/4,2,17,0
D5,40060.09898490647,0.25,3/4,2,17,0
F5,40175.74050453522,0.25,3/4,2,17,0
A4,40285.70480796486,0.5,3/4,2,18,0
C♯5,40575.293278769845,0.25,3/4,2,18,0
E5,40685.25758219961,0.25,3/4,2,18,0
A4,40864.88174957482,1.0,3/4,2,18,0
0,41815.5779655613,1.0,3/4,2,18,0
A5,42069.675542091914,0.25,3/4,2,19,0
G5,42156.41989087303,0.25,3/4,2,19,0
F5,42263.350827310125,0.25,3/4,2,19,0
E5,42376.34849773243,0.25,3/4,2,19,0
D5,42463.092846513675,0.5,3/4,2,19,0
F4,42636.58154407602,0.5,3/4,2,19,0
G4,42879.730105583956,0.5,3/4,2,19,0
E4,43099.65871244336,0.5,3/4,2,19,0
A5,43389.247183248335,0.25,3/4,2,20,0
G5,43522.43144132662,0.25,3/4,2,20,0
F5,43609.17579010774,0.25,3/4,2,20,0
E5,43812.019912131596,0.25,3/4,2,20,0
D5,43862.38378781087,0.5,3/4,2,20,0
G4,44002.5930945295,0.5,3/4,2,20,0
A4,44239.8776307398,0.5,3/4,2,20,0
F4,44442.4503082483,0.5,3/4,2,20,0
B♭5,44755.258733701856,0.25,3/4,2,21,0
A5,44911.66294642862,0.25,3/4,2,21,0
G5,45044.84720450689,0.25,3/4,2,21,0
F5,45201.2514172336,0.25,3/4,2,21,0
E5,45287.99576601483,0.25,3/4,2,21,0
F5,45421.180024093,0.25,3/4,2,21,0
G5,45487.85613736109,0.25,3/4,2,21,0
A5,45548.228812358306,0.25,3/4,2,21,0
G5,45681.41307043658,0.25,3/4,2,21,0
F5,45768.15741921771,0.25,3/4,2,21,0
E5,45901.34167729599,0.25,3/4,2,21,0
D5,45988.08602607711,0.25,3/4,2,21,0
C♯5,46098.05032950687,0.25,3/4,2,22,0
D5,46161.57472363946,0.25,3/4,2,22,0
E5,46294.75898171775,0.25,3/4,2,22,0
F5,46331.478367746015,0.25,3/4,2,22,0
E5,46339.25208728572,0.25,3/4,2,22,0
D5,46347.02580682543,0.25,3/4,2,22,0
C♯5,46393.391643058945,0.25,3/4,2,22,0
B4,46473.06122448982,0.25,3/4,2,22,0
A4,46908.104892998905,0.25,3/4,2,22,0
G4,47018.069196428645,0.25,3/4,2,22,0
F4,47128.033499858306,0.25,3/4,2,22,0
E4,47284.43771258512,0.25,3/4,2,22,0
F4,47371.182061366235,0.5,3/4,2,23,0
A5,47776.87030541385,0.5,3/4,2,23,0
G4,47811.039275085044,0.5,3/4,2,23,0
D5,48030.967881944445,0.5,3/4,2,23,0
A4,48227.67653415532,0.5,3/4,2,23,0
C♯5,48517.265004960354,0.5,3/4,2,23,0
D5,48713.973657171286,0.5,3/4,2,24,0
A4,49050.00203727333,0.5,3/4,2,24,0
D4,49386.03041737536,1.0,3/4,2,24,0
0,50847.56563562932,1.0,3/4,2,24,0
D5,53098.57931193316,2.0,3/2,3,25,0
B♭5,55464.37083687644,0.5,3/2,3,25,0
A5,55870.05908092405,1.5,3/2,3,25,0
G5,57481.863042091834,0.5,3/2,3,25,0
F5,57864.33133149092,1.5,3/2,3,25,0
E5,59801.21465773818,0.0,3/2,3,26,0
D5,60626.617949263105,4.0,3/2,3,26,0
