Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
C5,487.6190476190476,1.0,3/4,1,1,0
F4,2111.693948412698,0.5,3/4,1,2,0
F5,3932.9545970016525,0.5,3/4,1,2,0
E5,4153.728032879821,0.5,3/4,1,2,0
F5,4629.076140873018,0.5,3/4,1,2,0
A♭5,5383.063704648528,0.5,3/4,1,2,0
F5,5463.672583616782,0.5,3/4,1,2,0
D♭5,6565.959467120186,0.5,3/4,1,3,0
F5,7784.346123866215,0.5,3/4,1,3,0
E5,8747.313279478461,0.5,3/4,1,3,0
F5,9083.341659580501,0.5,3/4,1,3,0
A♭5,9605.12967687075,0.5,3/4,1,3,0
F5,10150.137648809527,0.5,3/4,1,3,0
A♭4,10997.00503117914,0.5,3/4,1,4,0
C6,11774.21254960317,0.5,3/4,1,4,0
B♭4,12435.320294784582,0.5,3/4,1,4,0
B♭5,13338.693439053755,0.5,3/4,1,4,0
C5,13478.89632936508,0.25,3/4,1,4,0
B♭5,14146.13954435941,0.25,3/4,1,4,0
A♭5,14441.863484977332,0.25,3/4,1,4,0
G5,14691.147516298186,0.25,3/4,1,4,0
A♭5,15056.531320861684,0.125,3/4,1,5,0
G5,15552.692610898523,0.125,3/4,1,5,0
F5,15700.554581207483,0.75,3/4,1,5,0
0,17446.864725056694,1.0,3/4,1,5,0
C5,19930.07794784581,1.0,3/4,1,5,0
F4,21739.91248582767,0.5,3/4,1,6,0
F5,23391.43412562872,0.5,3/4,1,6,0
E5,23456.867205215425,0.5,3/4,1,6,0
F5,24048.31508645125,0.5,3/4,1,6,0
A♭5,24523.66319444443,0.5,3/4,1,6,0
F5,25068.6711663832,0.5,3/4,1,6,0
B♭4,25822.658730158702,0.5,3/4,1,7,0
A♭5,26715.966021825378,0.5,3/4,1,7,0
G5,27446.73363095237,0.5,3/4,1,7,0
F5,28525.800559807238,0.5,3/4,1,7,0
F6,29198.396041675154,0.5,3/4,1,7,0
A♭5,29406.836911848066,0.5,3/4,1,7,0
E♭5,30044.72470238094,0.25,3/4,1,8,0
F5,30595.868144132633,0.25,3/4,1,8,0
G5,30845.152175453506,0.25,3/4,1,8,0
A♭5,31047.996297477304,0.25,3/4,1,8,0
B♭5,31390.160147392286,0.5,3/4,1,8,0
A♭5,32260.24748441042,1.0,3/4,1,8,0
G5,33721.78270266439,0.5,3/4,1,8,0
A♭4,34731.18976757369,0.5,3/4,1,9,0
G5,35763.816787131516,0.5,3/4,1,9,0
F5,36494.5843962585,0.5,3/4,1,9,0
E♭5,37086.03227749431,0.5,3/4,1,9,0
E♭6,38230.0536402784,0.5,3/4,1,9,0
G5,38361.80785856008,0.5,3/4,1,9,0
D5,39324.77501417232,0.25,3/4,1,10,0
E♭5,40015.23818381518,0.25,3/4,1,10,0
F5,40287.742169784564,0.25,3/4,1,10,0
G5,40583.46611040247,0.25,3/4,1,10,0
A♭5,41273.92928004534,0.5,3/4,1,10,0
G5,41517.077841553284,1.0,3/4,1,10,0
F5,43187.592651643965,0.5,3/4,1,10,0
G4,44080.899943310644,0.5,3/4,1,11,0
F5,45113.52696286848,0.5,3/4,1,11,0
E♭5,45774.634708049874,0.5,3/4,1,11,0
D5,46389.302543934224,0.5,3/4,1,11,0
D6,47124.48377931902,0.5,3/4,1,11,0
F5,47595.41826105439,0.5,3/4,1,11,0
E♭5,48860.24482709748,0.125,3/4,1,12,0
D5,49054.546706703506,0.125,3/4,1,12,0
C5,49179.188722363964,0.75,3/4,1,12,0
F5,50530.75963718821,0.125,3/4,1,12,0
E♭5,50701.841562145666,0.125,3/4,1,12,0
D5,50919.36339640022,0.75,3/4,1,12,0
G5,51852.97512755101,0.125,3/4,1,12,0
F5,52024.05705250849,0.125,3/4,1,12,0
E♭5,52105.50279782841,0.75,3/4,1,12,0
C6,53825.34934807254,1.5,3/4,1,13,0
B♭5,56087.312039399076,0.25,3/4,1,13,0
A♭5,56475.91579861112,0.25,3/4,1,13,0
G5,56772.774925813945,0.25,3/4,1,13,0
F5,57160.24349844104,0.25,3/4,1,13,0
E♭5,57502.407348356,0.25,3/4,1,13,0
D5,57751.691379676864,0.25,3/4,1,13,0
C5,58024.19536564624,0.5,3/4,1,14,0
F♯4,58917.50265731291,0.5,3/4,1,14,0
G4,59791.35776206456,1.0,3/4,1,14,0
D5,61295.56512188209,1.0,3/4,1,14,0
C5,64754.01643990929,2.0,3/4,1,15,0
C5,71089.62793282348,1.0,3/4,1,1,1
F4,71646.37719671201,0.5,3/4,1,2,1
F5,72967.218858088,0.5,3/4,1,2,1
E5,73409.77182539683,0.5,3/4,1,2,1
F5,73977.99975198413,0.5,3/4,1,2,1
A♭5,74569.44763321996,0.5,3/4,1,2,1
F5,75091.23565051019,0.5,3/4,1,2,1
D♭5,75845.2232142857,0.5,3/4,1,3,1
F5,77249.36950821991,0.5,3/4,1,3,1
E5,77771.15752551018,0.5,3/4,1,3,1
F5,78176.84576955781,0.5,3/4,1,3,1
A♭5,78721.8537414966,0.5,3/4,1,3,1
F5,79290.0816680839,0.5,3/4,1,3,1
A♭4,80299.48873299318,0.5,3/4,1,4,1
C6,81030.25634212015,0.5,3/4,1,4,1
B♭4,81621.70422335599,0.5,3/4,1,4,1
B♭5,82742.6536975447,0.5,3/4,1,4,1
C5,82804.59998582762,0.25,3/4,1,4,1
B♭5,83309.30351828231,0.25,3/4,1,4,1
A♭5,83535.36759495463,0.25,3/4,1,4,1
G5,83784.65162627552,0.25,3/4,1,4,1
A♭5,84637.65447845806,0.125,3/4,1,5,1
G5,84878.3962673611,0.125,3/4,1,5,1
F5,85003.03828302154,0.75,3/4,1,5,1
0,86772.56838151926,1.0,3/4,1,5,1
C5,88837.8224206349,1.0,3/4,1,5,1
F4,90485.11727607706,0.5,3/4,1,6,1
F5,92238.49468476328,0.5,3/4,1,6,1
E5,92387.83163265306,0.5,3/4,1,6,1
F5,92886.39969529478,0.5,3/4,1,6,1
A♭5,93617.16730442176,0.5,3/4,1,6,1
F5,94022.85554846938,0.5,3/4,1,6,1
B♭4,94939.38279478456,0.5,3/4,1,7,1
A♭5,95855.91004109976,0.5,3/4,1,7,1
G5,96540.23774092972,0.5,3/4,1,7,1
F5,97224.5654407597,0.5,3/4,1,7,1
F6,98300.32479315565,0.5,3/4,1,7,1
A♭5,98523.56097647398,0.5,3/4,1,7,1
E♭5,99184.66872165537,0.25,3/4,1,8,1
F5,99782.2520727041,0.25,3/4,1,8,1
G5,100008.31614937645,0.25,3/4,1,8,1
A♭5,100257.60018069734,0.25,3/4,1,8,1
B♭5,100692.64384920639,0.5,3/4,1,8,1
A♭5,101469.85136763041,1.0,3/4,1,8,1
G5,103047.486359127,0.5,3/4,1,8,1
A♭4,103917.57369614515,0.5,3/4,1,9,1
G5,104857.32089710883,0.5,3/4,1,9,1
F5,105680.96832482996,0.5,3/4,1,9,1
E♭5,106318.85611536288,0.5,3/4,1,9,1
E♭6,107309.80445055627,0.5,3/4,1,9,1
G5,107524.97183248308,0.5,3/4,1,9,1
D5,108487.93898809532,0.25,3/4,1,10,1
E♭5,109087.320106428,0.25,3/4,1,10,1
F5,109311.58641581639,0.25,3/4,1,10,1
G5,109509.86833014457,0.25,3/4,1,10,1
A♭5,109926.25425170074,0.5,3/4,1,10,1
G5,110517.70213293657,1.0,3/4,1,10,1
F5,112234.65685232429,0.5,3/4,1,10,1
G4,113035.08432539686,0.5,3/4,1,11,1
F5,114137.37120890027,0.5,3/4,1,11,1
E♭5,115030.67850056691,0.5,3/4,1,11,1
D5,116016.86561082768,0.5,3/4,1,11,1
D6,116667.7727801647,0.5,3/4,1,11,1
F5,116712.14232568028,0.5,3/4,1,11,1
E♭5,117860.86911848072,0.125,3/4,1,12,1
D5,118055.1709980868,0.125,3/4,1,12,1
C5,118179.8130137472,0.75,3/4,1,12,1
F5,119461.72406462593,0.125,3/4,1,12,1
E♭5,119586.36608028635,0.125,3/4,1,12,1
D5,119780.66795989231,0.75,3/4,1,12,1
G5,120900.03932823137,0.125,3/4,1,12,1
F5,121047.9012985403,0.125,3/4,1,12,1
E♭5,121265.42313279481,0.75,3/4,1,12,1
C6,123615.45209750572,1.5,3/4,1,13,1
B♭5,125343.35583191614,0.25,3/4,1,13,1
A♭5,125708.73963647966,0.25,3/4,1,13,1
G5,126050.90348639459,0.25,3/4,1,13,1
F5,126462.72720025519,0.25,3/4,1,13,1
E♭5,126688.79127692746,0.25,3/4,1,13,1
D5,126961.29526289689,0.25,3/4,1,13,1
C5,127233.79924886623,0.5,3/4,1,14,1
F♯4,128173.54644982996,0.5,3/4,1,14,1
G4,128997.19387755104,1.0,3/4,1,14,1
D5,130365.84927721092,1.0,3/4,1,14,1
C5,134242.25977891166,2.0,3/4,1,15,1
E♭5,138930.04676870754,1.0,3/4,1,16,0
A♭4,141018.5207624717,0.5,3/4,1,17,0
A♭5,142463.77271209107,0.5,3/4,1,17,0
G5,142526.49589002272,0.5,3/4,1,17,0
A♭5,143094.72381661,0.5,3/4,1,17,0
C6,143570.0719246032,0.5,3/4,1,17,0
A♭5,144115.07989654198,0.5,3/4,1,17,0
F5,144869.06746031746,0.5,3/4,1,18,0
A♭5,145901.6944798753,0.5,3/4,1,18,0
G5,146516.36231575964,0.5,3/4,1,18,0
A♭5,147107.8101969955,0.5,3/4,1,18,0
C6,147583.15830498876,0.5,3/4,1,18,0
A♭5,148104.946322279,0.5,3/4,1,18,0
C5,148858.9338860545,0.5,3/4,1,19,0
E♭6,149403.94185799325,0.5,3/4,1,19,0
D♭5,149902.50992063497,0.5,3/4,1,19,0
D♭6,150754.54253531818,0.5,3/4,1,19,0
E♭5,150946.08595521547,0.25,3/4,1,19,0
D♭6,151590.10921556124,0.25,3/4,1,19,0
C6,151839.39324688213,0.25,3/4,1,19,0
B♭5,152111.89723285157,0.25,3/4,1,19,0
C6,152755.92049319734,0.125,3/4,1,20,0
B♭5,152880.56250885772,0.125,3/4,1,20,0
A♭5,153051.6444338153,0.75,3/4,1,20,0
0,154867.61444161,1.0,3/4,1,20,0
B♭5,156073.73015873018,1.0,3/4,1,20,0
A5,157535.26537698417,0.5,3/4,1,21,0
E♭5,158382.13275935384,1.0,3/4,1,21,0
G♭5,159843.66797760778,0.25,3/4,1,21,0
F5,160139.39191822565,0.25,3/4,1,21,0
G♭5,160620.87549603183,0.25,3/4,1,21,0
F5,160846.93957270408,0.25,3/4,1,21,0
