Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
C5,1555.736961451247,0.5,4/4,1,1,0
E5,1961.4252054988663,0.5,4/4,1,2,0
C5,2182.668268460868,0.5,4/4,1,2,0
F5,2424.5023738662135,0.5,4/4,1,2,0
C5,2597.99107142857,0.5,4/4,1,2,0
G5,2817.91967828798,0.5,4/4,1,2,0
C5,2921.7485119047597,0.5,4/4,1,2,0
E5,3141.67711876417,0.5,4/4,1,2,0
C5,3268.7259070294754,0.5,4/4,1,2,0
F5,3442.2146045918334,0.5,4/4,1,3,0
C5,3569.263392857139,0.5,4/4,1,3,0
G5,3719.5321357709713,0.5,4/4,1,3,0
C5,3776.9210600906986,0.5,4/4,1,3,0
A5,3927.1898030045304,0.5,4/4,1,3,0
C5,4054.238591269839,0.5,4/4,1,3,0
G5,4181.2873795351425,0.5,4/4,1,3,0
C5,4261.896258503396,0.5,4/4,1,3,0
A5,4388.945046768701,0.5,4/4,1,4,0
C5,4515.993835034007,0.5,4/4,1,4,0
B5,4597.545838405945,0.5,4/4,1,4,0
C5,4700.4315476190395,0.5,4/4,1,4,0
C6,4953.199121643256,0.5,4/4,1,4,0
C5,4961.174382059922,0.5,4/4,1,4,0
E5,5011.918048469381,0.5,4/4,1,4,0
G5,5228.168225623584,0.5,4/4,1,4,0
C6,5335.675488945572,0.5,4/4,1,5,0
C5,5375.563662793415,0.5,4/4,1,5,0
E5,5520.113201530617,0.5,4/4,1,5,0
G5,5670.381944444448,0.5,4/4,1,5,0
C6,5820.65068735828,1.0,4/4,1,5,0
0,7119.64622307257,1.0,4/4,1,5,0
C5,8465.081668083909,0.0,3/2,2,6,0
E5,8617.106274801597,0.0,3/2,2,6,0
G5,8722.690972222239,3.0,3/2,2,6,0
A5,10251.242205215434,1.0,3/2,2,6,0
F5,11039.398738662143,2.0,3/2,2,6,0
G4,12220.972576530621,0.0,3/2,2,7,0
C5,12372.997183248313,0.0,3/2,2,7,0
E5,12710.78142715421,3.0,3/2,2,7,0
F5,14517.972115929722,1.0,3/2,2,7,0
D5,15282.9086947279,2.0,3/2,2,7,0
E4,16534.142396541956,0.0,3/2,2,8,0
G4,16871.926640447855,0.0,3/2,2,8,0
C5,17140.051020408177,3.0,3/2,2,8,0
E5,18900.801799886616,1.0,3/2,2,8,0
D5,19572.858560090735,2.0,3/2,2,8,0
E5,20290.033304988672,1.5,3/2,2,9,0
D5,22064.376948696146,0.25,3/2,2,9,0
E5,22220.781161422943,0.25,3/2,2,9,0
