Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
A4,8637.8231292517,1.0,3/4,1,1,0
D4,9867.158801020407,0.5,3/4,1,2,0
D5,11016.250746059464,0.5,3/4,1,2,0
C♯5,11142.934382086169,0.5,3/4,1,2,0
D5,11641.502444727892,0.5,3/4,1,2,0
F5,12047.19068877551,0.5,3/4,1,2,0
D5,12592.198660714288,0.5,3/4,1,2,0
B♭4,13113.986678004534,0.5,3/4,1,3,0
D5,13658.994649943314,0.5,3/4,1,3,0
C♯5,14064.682893990934,0.5,3/4,1,3,0
D5,14423.9312287415,0.5,3/4,1,3,0
F5,14876.05938208617,0.5,3/4,1,3,0
D5,15185.73423388752,0.5,3/4,1,3,0
F4,15757.095734126979,0.5,3/4,1,4,0
A5,16302.103706065755,0.5,3/4,1,4,0
G4,16707.79195011338,0.5,3/4,1,4,0
G5,17402.624970314704,0.5,3/4,1,4,0
A4,17612.048256802722,0.25,3/4,1,4,0
G5,17977.432061366213,0.25,3/4,1,4,0
F5,18181.21333324997,0.25,3/4,1,4,0
E5,18476.000124007936,0.25,3/4,1,4,0
F5,18702.06420068028,0.125,3/4,1,5,0
E5,18803.486261692175,0.125,3/4,1,5,0
D5,18974.56818664966,0.75,3/4,1,5,0
0,19908.17991780046,1.0,3/4,1,5,0
A4,21021.415816326535,1.0,3/4,1,5,0
D4,22181.091624149667,0.5,3/4,1,6,0
D5,23253.21967328598,0.5,3/4,1,6,0
C♯5,23317.54747732427,0.5,3/4,1,6,0
D5,23723.235721371897,0.5,3/4,1,6,0
F5,24128.92396541952,0.5,3/4,1,6,0
D5,24464.95234552155,0.5,3/4,1,6,0
G4,25033.180272108846,0.5,3/4,1,7,0
F5,25554.9682893991,0.5,3/4,1,7,0
E5,25937.436578798202,0.5,3/4,1,7,0
D5,26412.78468679139,0.5,3/4,1,7,0
D6,27456.120880369694,0.5,3/4,1,7,0
F5,27549.24053996601,0.5,3/4,1,7,0
C5,27722.729237528358,0.25,3/4,1,8,0
D5,28088.11304209185,0.25,3/4,1,8,0
E5,28290.957164115654,0.25,3/4,1,8,0
F5,28424.141422193887,0.25,3/4,1,8,0
G5,28603.765589569186,0.5,3/4,1,8,0
F5,29102.33365221091,1.0,3/4,1,8,0
E5,29960.15004960319,0.5,3/4,1,8,0
F4,30319.398384353764,0.5,3/4,1,9,0
E5,30980.50612953517,0.5,3/4,1,9,0
D5,31362.974418934256,0.5,3/4,1,9,0
C5,31768.662662981875,0.5,3/4,1,9,0
C6,32559.40913119251,0.5,3/4,1,9,0
E5,32719.35887896828,0.5,3/4,1,9,0
B4,33217.92694160999,0.25,3/4,1,10,0
C5,33552.919835642584,0.25,3/4,1,10,0
D5,33762.934913548765,0.25,3/4,1,10,0
E5,33896.11917162698,0.25,3/4,1,10,0
F5,34075.743339002285,0.5,3/4,1,10,0
E5,34527.87149234696,1.0,3/4,1,10,0
D5,35362.46793509071,0.5,3/4,1,10,0
E4,35582.396541950126,0.5,3/4,1,11,0
D5,36289.944196428594,0.5,3/4,1,11,0
C5,36672.41248582767,0.5,3/4,1,11,0
B4,37054.88077522678,0.5,3/4,1,11,0
B5,37884.767581628425,0.5,3/4,1,11,0
D5,37982.357036564645,0.5,3/4,1,11,0
C5,38457.70514455784,0.125,3/4,1,12,0
B4,38591.34516238291,0.125,3/4,1,12,0
A4,38730.20913052722,0.75,3/4,1,12,0
D5,39385.181405895695,0.125,3/4,1,12,0
C5,39509.823421556146,0.125,3/4,1,12,0
B4,39636.4150338955,0.75,3/4,1,12,0
E5,40219.77784863945,0.125,3/4,1,12,0
D5,40321.199909651375,0.125,3/4,1,12,0
C5,40445.841925311826,0.75,3/4,1,12,0
A5,41286.57383786851,1.5,3/4,1,13,0
G5,42573.29843395693,0.25,3/4,1,13,0
F5,42915.462283871886,0.25,3/4,1,13,0
E5,43118.306405895695,0.25,3/4,1,13,0
D5,43344.37048256803,0.25,3/4,1,13,0
C5,43523.994649943306,0.25,3/4,1,13,0
B4,43633.95895337302,0.25,3/4,1,13,0
A4,43813.583120748284,0.5,3/4,1,14,0
D♯4,44358.591092687115,0.5,3/4,1,14,0
E4,44810.719246031775,1.0,3/4,1,14,0
B4,45691.755598072574,1.0,3/4,1,14,0
A4,46874.65136054422,2.0,3/4,1,15,0
A4,47989.58458848965,1.0,3/4,1,1,1
D4,50910.95769557825,0.5,3/4,1,2,1
D5,52092.18661533971,0.5,3/4,1,2,1
C♯5,52140.293367346945,0.5,3/4,1,2,1
D5,52499.5417020975,0.5,3/4,1,2,1
F5,53021.32971938777,0.5,3/4,1,2,1
D5,53357.35809948983,0.5,3/4,1,2,1
B♭4,53995.24589002271,0.5,3/4,1,3,1
D5,54656.353635204105,0.5,3/4,1,3,1
C♯5,54945.94210600908,0.5,3/4,1,3,1
D5,55351.630350056694,0.5,3/4,1,3,1
F5,55803.75850340136,0.5,3/4,1,3,1
D5,56163.00683815193,0.5,3/4,1,3,1
F4,56661.574900793654,0.5,3/4,1,4,1
A5,57253.0227820295,0.5,3/4,1,4,1
G4,57681.93098072566,0.5,3/4,1,4,1
G5,58154.45581731299,0.5,3/4,1,4,1
A4,58493.30746882088,0.25,3/4,1,4,1
G5,58835.47131873584,0.25,3/4,1,4,1
F5,59038.315440759645,0.25,3/4,1,4,1
E5,59217.939608134926,0.25,3/4,1,4,1
F5,59536.88350340136,0.125,3/4,1,5,1
E5,59638.30556441329,0.125,3/4,1,5,1
D5,59971.92717191043,0.75,3/4,1,5,1
0,60766.21917517006,1.0,3/4,1,5,1
A4,61531.15575396828,1.0,3/4,1,5,1
D4,62551.511833900244,0.5,3/4,1,6,1
D5,63563.15432880079,0.5,3/4,1,6,1
C♯5,63618.30782312926,0.5,3/4,1,6,1
D5,63977.55615787981,0.5,3/4,1,6,1
F5,64499.34417517005,0.5,3/4,1,6,1
D5,64719.27278202952,0.5,3/4,1,6,1
G4,65287.500708616804,0.5,3/4,1,7,1
F5,65809.288725907,0.5,3/4,1,7,1
E5,66122.09715136058,0.5,3/4,1,7,1
D5,66458.12553146266,0.5,3/4,1,7,1
D6,67369.93136816728,0.5,3/4,1,7,1
F5,67478.48161139461,0.5,3/4,1,7,1
C5,67907.38981009075,0.25,3/4,1,8,1
D5,68272.77361465419,0.25,3/4,1,8,1
E5,68475.61773667805,0.25,3/4,1,8,1
F5,68585.58204010768,0.25,3/4,1,8,1
G5,68718.76629818598,0.5,3/4,1,8,1
F5,69217.33436082769,1.0,3/4,1,8,1
E5,70144.81062216553,0.5,3/4,1,8,1
F4,70225.4195011338,0.5,3/4,1,9,1
E5,71188.38665674604,0.5,3/4,1,9,1
D5,71501.19508219954,0.5,3/4,1,9,1
C5,71906.88332624715,0.5,3/4,1,9,1
C6,72596.50577864177,0.5,3/4,1,9,1
E5,72834.359587585,0.5,3/4,1,9,1
B4,73356.14760487527,0.25,3/4,1,10,1
C5,73698.31145479025,0.25,3/4,1,10,1
D5,73901.1555768141,0.25,3/4,1,10,1
E5,74057.55978954083,0.25,3/4,1,10,1
F5,74213.96400226763,0.5,3/4,1,10,1
E5,74689.31211026081,1.0,3/4,1,10,1
D5,75523.90855300457,0.5,3/4,1,10,1
E4,76022.4766156463,0.5,3/4,1,11,1
D5,76613.92449688211,0.5,3/4,1,11,1
C5,76996.3927862812,0.5,3/4,1,11,1
B4,77332.42116638324,0.5,3/4,1,11,1
B5,77590.02774213479,0.5,3/4,1,11,1
D5,78213.45751842404,0.5,3/4,1,11,1
C5,78735.24553571428,0.125,3/4,1,12,1
B4,78836.66759672617,0.125,3/4,1,12,1
A4,78984.52956703518,0.75,3/4,1,12,1
D5,79662.72179705213,0.125,3/4,1,12,1
C5,79810.58376736118,0.125,3/4,1,12,1
B4,79899.61217121793,0.75,3/4,1,12,1
E5,80636.63796768704,0.125,3/4,1,12,1
D5,80761.27998334754,0.125,3/4,1,12,1
C5,80909.1419536565,0.75,3/4,1,12,1
A5,81610.55413832206,1.5,3/4,1,13,1
G5,82920.49868905901,0.25,3/4,1,13,1
F5,83216.22262967685,0.25,3/4,1,13,1
E5,83488.72661564629,0.25,3/4,1,13,1
D5,83645.130828373,0.25,3/4,1,13,1
C5,83801.53504109979,0.25,3/4,1,13,1
B4,83957.9392538265,0.25,3/4,1,13,1
A4,84184.00333049888,0.5,3/4,1,14,1
D♯4,84798.67116638322,0.5,3/4,1,14,1
E4,85297.23922902496,1.0,3/4,1,14,1
B4,86224.71549036281,1.0,3/4,1,14,1
A4,87454.05116213151,2.0,3/4,1,15,1
C5,89912.722505669,1.0,3/4,1,16,0
F4,90886.6386763039,0.5,3/4,1,17,0
F5,91844.10450296922,0.5,3/4,1,17,0
E5,91883.77480158734,0.5,3/4,1,17,0
F5,92196.58322704083,0.5,3/4,1,17,0
A5,92625.49142573698,0.5,3/4,1,17,0
F5,93007.95971513606,0.5,3/4,1,17,0
D5,93552.96768707484,0.5,3/4,1,18,0
F5,94121.19561366214,0.5,3/4,1,18,0
E5,94503.66390306121,0.5,3/4,1,18,0
F5,94839.69228316325,0.5,3/4,1,18,0
A5,95245.38052721086,0.5,3/4,1,18,0
F5,95697.50868055553,0.5,3/4,1,18,0
A4,96149.6368339002,0.5,3/4,1,19,0
C6,96833.96453373015,0.5,3/4,1,19,0
B♭4,97169.99291383223,0.5,3/4,1,19,0
B♭5,97882.74165974773,0.5,3/4,1,19,0
C5,97934.92949263043,0.25,3/4,1,19,0
