Note,Onset (ms),Score_duration,Time-Signature,Movement,Measure,Repeated
G4,1625.3968253968253,1.0,3/4,1,1,0
B5,2808.29258786848,1.0,3/4,1,1,0
C6,4060.8482142857165,0.75,3/4,1,1,0
D6,4878.360172193879,0.25,3/4,1,1,0
A4,5085.123411864746,1.0,3/4,1,2,0
F♯5,6287.320011337873,1.0,3/4,1,2,0
G5,7539.875637755105,0.75,3/4,1,2,0
A5,8334.167641014743,0.25,3/4,1,2,0
B4,8676.331490929708,0.75,3/4,1,3,0
D5,9377.74367559524,0.25,3/4,1,3,0
G5,9557.367842970525,0.75,3/4,1,3,0
F♯5,10374.879800878676,0.25,3/4,1,3,0
G5,10508.064058956912,1.0,3/4,1,3,0
C5,11760.619685374142,0.75,3/4,1,4,0
E5,12694.231416524943,0.25,3/4,1,4,0
F♯4,12873.85558390022,0.75,3/4,1,4,0
D5,13691.36754180839,0.25,3/4,1,4,0
C5,14242.510983560083,0.75,3/4,1,4,0
B4,14804.603440334466,0.125,3/4,1,4,0
C5,14883.963989182319,0.125,3/4,1,4,0
G4,15077.107426303844,0.75,3/4,1,5,0
C5,15987.49920280612,0.25,3/4,1,5,0
B4,16260.0031887755,1.0,3/4,1,5,0
0,17489.33886054421,1.0,3/4,1,5,0
F♯4,18695.454577664394,1.0,3/4,1,6,0
A4,19785.470521541953,1.0,3/4,1,6,0
B4,21061.246102607696,0.75,3/4,1,6,0
C5,21692.99842332767,0.25,3/4,1,6,0
G4,21872.62259070295,1.0,3/4,1,7,0
B4,22892.978670634908,0.75,3/4,1,7,0
A4,23664.050719246035,0.25,3/4,1,7,0
B4,23866.894841269837,1.0,3/4,1,7,0
G4,24864.030966553277,1.0,3/4,1,8,0
E5,25907.607001133783,0.75,3/4,1,8,0
D5,26748.338913690466,0.25,3/4,1,8,0
C♯5,26951.18303571427,0.75,3/4,1,8,0
D5,27675.815175028347,0.25,3/4,1,8,0
A4,27948.319160997722,0.75,3/4,1,9,0
D5,28696.171254960307,0.25,3/4,1,9,0
C♯5,29688.493835034,1.0,3/4,1,9,0
0,30964.26941609976,1.0,3/4,1,9,0
G5,31241.5869472789,0.5,3/4,1,10,0
B4,31809.814873866224,0.5,3/4,1,10,0
F♯5,32215.503117913835,0.5,3/4,1,10,0
A4,32737.291135204076,0.5,3/4,1,10,0
E5,33119.75942460317,0.5,3/4,1,10,0
G4,33711.20730583901,0.5,3/4,1,10,0
F♯4,34209.77536848072,0.5,3/4,1,11,0
A5,34778.00329506804,1.0,3/4,1,11,0
G5,35751.91946570296,0.5,3/4,1,11,0
F♯5,36227.267573696154,0.3333333333333333,3/4,1,11,0
E5,36683.48604024943,0.3333333333333333,3/4,1,11,0
D5,36953.944869614505,0.3333333333333333,3/4,1,11,0
E5,37247.623653628114,0.75,3/4,1,12,0
G4,38088.35556618478,0.25,3/4,1,12,0
A4,38267.97973356007,1.0,3/4,1,12,0
C♯5,39474.09545068029,0.75,3/4,1,12,0
D5,40245.16749929139,0.25,3/4,1,12,0
D5,40603.8197687267,2.0,3/4,1,13,0
0,43069.222647392264,1.0,3/4,1,13,0
G4,44019.91886337869,1.0,3/4,1,1,1
B5,45109.934807256235,1.0,3/4,1,1,1
C6,46641.12988945578,0.75,3/4,1,1,1
D6,47412.20193806687,0.25,3/4,1,1,1
A4,47661.48596938774,1.0,3/4,1,2,1
F♯5,48844.3817318594,1.0,3/4,1,2,1
G5,50096.93735827665,0.75,3/4,1,2,1
A5,51100.20895337301,0.25,3/4,1,2,1
B4,51419.15284863944,0.75,3/4,1,3,1
D5,52120.56503330497,0.25,3/4,1,3,1
G5,52300.189200680245,0.75,3/4,1,3,1
F♯5,53164.14106788549,0.25,3/4,1,3,1
G5,53297.325325963735,1.0,3/4,1,3,1
C5,54573.100907029475,0.75,3/4,1,4,1
E5,55553.152547477315,0.25,3/4,1,4,1
F♯4,55732.776714852596,0.75,3/4,1,4,1
D5,56527.06871811223,0.25,3/4,1,4,1
C5,57078.21215986393,0.75,3/4,1,4,1
B4,57640.30461663831,0.125,3/4,1,4,1
C5,57741.72667765022,0.125,3/4,1,4,1
G4,57889.5886479592,0.75,3/4,1,5,1
C5,58799.98042446146,0.25,3/4,1,5,1
B4,59095.70436507937,1.0,3/4,1,5,1
0,60487.579719387744,1.0,3/4,1,5,1
F♯4,61693.69543650791,1.0,3/4,1,6,1
A4,62667.61160714287,1.0,3/4,1,6,1
B4,64059.48696145126,0.75,3/4,1,6,1
C5,64807.33905541382,0.25,3/4,1,6,1
G4,64986.9632227891,1.0,3/4,1,7,1
B4,66123.4190759637,0.75,3/4,1,7,1
A4,66894.49112457485,0.25,3/4,1,7,1
B4,67120.55520124717,1.0,3/4,1,7,1
G4,68164.1312358276,1.0,3/4,1,8,1
E5,69254.1471797052,0.75,3/4,1,8,1
D5,70118.0990469104,0.25,3/4,1,8,1
C♯5,70320.94316893427,0.75,3/4,1,8,1
D5,71092.01521754531,0.25,3/4,1,8,1
A4,71318.0792942177,0.75,3/4,1,9,1
D5,72135.59125212579,0.25,3/4,1,9,1
C♯5,73429.77324263038,1.0,3/4,1,9,1
0,73769.68593176594,1.0,3/4,1,9,1
G5,75307.94571995463,0.5,3/4,1,10,1
B4,75992.27341978456,0.5,3/4,1,10,1
F♯5,76096.10225340133,0.5,3/4,1,10,1
A4,76873.30977182534,0.5,3/4,1,10,1
E5,77070.01842403624,0.5,3/4,1,10,1
G4,77800.78603316328,0.5,3/4,1,10,1
F♯4,78067.15454931978,0.5,3/4,1,11,1
A5,78635.38247590707,1.0,3/4,1,11,1
G5,79586.07869189346,0.5,3/4,1,11,1
F♯5,80085.61766259534,0.3333333333333333,3/4,1,11,1
E5,80494.42531179139,0.3333333333333333,3/4,1,11,1
D5,80741.66418650794,0.3333333333333333,3/4,1,11,1
E5,80991.1816495604,0.75,3/4,1,12,1
G4,81899.29483772672,0.25,3/4,1,12,1
A4,82102.13895975056,1.0,3/4,1,12,1
C♯5,82936.7354024943,0.75,3/4,1,12,1
D5,83104.0886302438,0.25,3/4,1,12,1
D5,85124.553824506,2.0,3/4,1,13,1
0,87065.92155612244,1.0,3/4,1,13,1
C5,87668.31845238099,1.0,3/4,1,14,0
F♯5,88735.11444161,1.0,3/4,1,14,0
E5,90057.3299319728,0.75,3/4,1,14,0
D5,90990.94166312361,0.25,3/4,1,14,0
B4,91217.0057397959,1.0,3/4,1,15,0
G5,92144.48200113377,0.75,3/4,1,15,0
F♯5,92985.2139136905,0.25,3/4,1,15,0
G5,93141.6181264172,1.0,3/4,1,15,0
A4,94417.39370748294,1.0,3/4,1,16,0
C6,95460.96974206345,0.5,3/4,1,16,0
B5,96238.17726048756,0.25,3/4,1,16,0
A5,96464.24133715985,0.25,3/4,1,16,0
B5,96550.98568594108,0.75,3/4,1,16,0
C6,97414.93755314623,0.25,3/4,1,16,0
B4,97733.88144841272,1.0,3/4,1,17,0
D♯5,98661.35770975058,0.75,3/4,1,17,0
E5,99525.30957695574,0.25,3/4,1,17,0
F♯5,99821.03351757368,1.0,3/4,1,17,0
G4,101212.90887188207,0.5,3/4,1,18,0
B5,101874.01661706346,1.0,3/4,1,18,0
A5,103126.57224348068,0.25,3/4,1,18,0
G5,103329.41636550454,0.25,3/4,1,18,0
F♯5,103509.04053287976,0.5,3/4,1,18,0
E5,104100.48841411562,0.5,3/4,1,18,0
A4,104622.2764314059,0.5,3/4,1,19,0
B5,105306.60413123587,1.0,3/4,1,19,0
A5,106605.59966695015,0.25,3/4,1,19,0
G5,106831.66374362241,0.25,3/4,1,19,0
F♯5,107080.94777494333,0.5,3/4,1,19,0
E5,107649.17570153062,0.5,3/4,1,19,0
B4,108310.28344671203,0.5,3/4,1,20,0
G5,108808.85150935374,1.0,3/4,1,20,0
F♯5,109945.30736252833,0.5,3/4,1,20,0
E5,110420.65547052152,0.5,3/4,1,20,0
D♯5,110942.44348781176,0.5,3/4,1,20,0
D♯5,112529.54242942002,1.0,3/4,1,21,0
E5,112670.34722222218,0.5,3/4,1,21,0
F♯5,113424.33478599768,0.25,3/4,1,21,0
G5,113812.93854520975,0.25,3/4,1,21,0
D5,114085.44253117911,0.5,3/4,1,21,0
C5,114630.45050311793,0.5,3/4,1,21,0
G4,115616.63761337873,1.0,3/4,1,22,0
B4,116776.31342120183,0.5,3/4,1,22,0
D5,117344.54134778913,0.5,3/4,1,22,0
F♯5,117796.66950113379,0.5,3/4,1,22,0
G5,118364.8974277211,0.5,3/4,1,22,0
A4,119002.78521825396,1.0,3/4,1,23,0
C5,120255.34084467118,0.5,3/4,1,23,0
E5,120916.44858985259,0.5,3/4,1,23,0
F♯5,121347.47033721722,0.5,3/4,1,23,0
G5,121913.584715136,0.5,3/4,1,23,0
B4,122551.47250566888,0.5,3/4,1,24,0
