Note,Score_duration,Time-Signature,Movement,Measure,Repeated
0,0,0,x,x,.
D4,1.5,4/4,1,1,0
D5,0.25,4/4,1,1,0
E5,0.25,4/4,1,1,0
E5,1.5,4/4,1,1,0
D5,0.25,4/4,1,1,0
E5,0.25,4/4,1,1,0
D4,1.5,4/4,1,2,0
F♯5,0.25,4/4,1,2,0
G5,0.25,4/4,1,2,0
G5,1.5,4/4,1,2,0
F♯5,0.25,4/4,1,2,0
G5,0.25,4/4,1,2,0
D4,1.0,4/4,1,3,0
A5,0.75,4/4,1,3,0
F♯4,0.25,4/4,1,3,0
G5,0.75,4/4,1,3,0
E4,0.25,4/4,1,3,0
F♯5,0.75,4/4,1,3,0
D4,0.25,4/4,1,3,0
E5,1.0,4/4,1,4,0
A4,1.0,4/4,1,4,0
0,0.125,4/4,1,4,0
A4,0.125,4/4,1,4,0
B4,0.125,4/4,1,4,0
C♯5,0.125,4/4,1,4,0
D5,0.125,4/4,1,4,0
E5,0.125,4/4,1,4,0
F♯5,0.125,4/4,1,4,0
G5,0.125,4/4,1,4,0
A5,0.75,4/4,1,4,0
G5,0.25,4/4,1,4,0
F♯5,0.75,4/4,1,5,0
C♯5,0.25,4/4,1,5,0
D5,1.0,4/4,1,5,0
0,0.125,4/4,1,5,0
B4,0.125,4/4,1,5,0
C♯5,0.125,4/4,1,5,0
D5,0.125,4/4,1,5,0
E5,0.125,4/4,1,5,0
F♯5,0.125,4/4,1,5,0
G5,0.125,4/4,1,5,0
A5,0.125,4/4,1,5,0
B5,0.75,4/4,1,5,0
A5,0.25,4/4,1,5,0
G♯5,0.75,4/4,1,6,0
D♯5,0.25,4/4,1,6,0
E5,1.0,4/4,1,6,0
0,0.75,4/4,1,6,0
B4,0.25,4/4,1,6,0
C♯5,0.75,4/4,1,6,0
G♯4,0.25,4/4,1,6,0
A4,0.75,4/4,1,7,0
A4,0.08333333333333333,4/4,1,7,0
B4,0.08333333333333333,4/4,1,7,0
C♯5,0.08333333333333333,4/4,1,7,0
F♯4,0.75,4/4,1,7,0
F♯4,0.08333333333333333,4/4,1,7,0
G4,0.08333333333333333,4/4,1,7,0
A4,0.08333333333333333,4/4,1,7,0
D4,0.75,4/4,1,7,0
C♯5,0.25,4/4,1,7,0
D5,0.75,4/4,1,7,0
A♯4,0.25,4/4,1,7,0
B4,0.75,4/4,1,8,0
B4,0.08333333333333333,4/4,1,8,0
C♯5,0.08333333333333333,4/4,1,8,0
D5,0.08333333333333333,4/4,1,8,0
G♯4,0.75,4/4,1,8,0
G♯4,0.08333333333333333,4/4,1,8,0
A4,0.08333333333333333,4/4,1,8,0
B4,0.08333333333333333,4/4,1,8,0
E4,0.75,4/4,1,8,0
D♯5,0.25,4/4,1,8,0
E5,0.75,4/4,1,8,0
B4,0.25,4/4,1,8,0
C♯5,0.75,4/4,1,9,0
A4,0.25,4/4,1,9,0
F♯5,1.0,4/4,1,9,0
G♯4,0.75,4/4,1,9,0
B4,0.25,4/4,1,9,0
E5,0.75,4/4,1,9,0
E4,0.25,4/4,1,9,0
F♯4,0.75,4/4,1,10,0
A4,0.25,4/4,1,10,0
D5,1.0,4/4,1,10,0
E4,0.75,4/4,1,10,0
G♯4,0.25,4/4,1,10,0
C♯5,0.75,4/4,1,10,0
E4,0.25,4/4,1,10,0
D4,0.75,4/4,1,11,0
C♯5,0.25,4/4,1,11,0
B4,0.75,4/4,1,11,0
A4,0.25,4/4,1,11,0
D♯4,0.75,4/4,1,11,0
B4,0.25,4/4,1,11,0
A4,0.75,4/4,1,11,0
F♯5,0.25,4/4,1,11,0
E4,0.75,4/4,1,12,0
G♯4,0.25,4/4,1,12,0
B4,1.0,4/4,1,12,0
0,0.75,4/4,1,12,0
D5,0.25,4/4,1,12,0
C♯5,0.75,4/4,1,12,0
B4,0.25,4/4,1,12,0
A5,0.75,4/4,1,13,0
G♯5,0.125,4/4,1,13,0
F♯5,0.125,4/4,1,13,0
E5,0.75,4/4,1,13,0
D5,0.25,4/4,1,13,0
B4,1.5,4/4,1,13,0
A4,0.5,4/4,1,13,0
A4,1.5,4/4,1,14,0
A4,0.5,4/4,1,14,0
A4,0.75,4/4,1,14,0
G4,0.25,4/4,1,14,0
F♯4,0.75,4/4,1,14,0
E4,0.25,4/4,1,14,0
D4,1.5,4/4,1,1,1
D5,0.25,4/4,1,1,1
E5,0.25,4/4,1,1,1
E5,1.5,4/4,1,1,1
D5,0.25,4/4,1,1,1
E5,0.25,4/4,1,1,1
D4,1.5,4/4,1,2,1
F♯5,0.25,4/4,1,2,1
G5,0.25,4/4,1,2,1
G5,1.5,4/4,1,2,1
F♯5,0.25,4/4,1,2,1
G5,0.25,4/4,1,2,1
D4,1.0,4/4,1,3,1
A5,0.75,4/4,1,3,1
F♯4,0.25,4/4,1,3,1
G5,0.75,4/4,1,3,1
E4,0.25,4/4,1,3,1
F♯5,0.75,4/4,1,3,1
D4,0.25,4/4,1,3,1
E5,1.0,4/4,1,4,1
A4,1.0,4/4,1,4,1
0,0.125,4/4,1,4,1
A4,0.125,4/4,1,4,1
B4,0.125,4/4,1,4,1
C♯5,0.125,4/4,1,4,1
D5,0.125,4/4,1,4,1
E5,0.125,4/4,1,4,1
F♯5,0.125,4/4,1,4,1
G5,0.125,4/4,1,4,1
A5,0.75,4/4,1,4,1
G5,0.25,4/4,1,4,1
F♯5,0.75,4/4,1,5,1
C♯5,0.25,4/4,1,5,1
D5,1.0,4/4,1,5,1
0,0.125,4/4,1,5,1
B4,0.125,4/4,1,5,1
C♯5,0.125,4/4,1,5,1
D5,0.125,4/4,1,5,1
E5,0.125,4/4,1,5,1
F♯5,0.125,4/4,1,5,1
G5,0.125,4/4,1,5,1
A5,0.125,4/4,1,5,1
B5,0.75,4/4,1,5,1
A5,0.25,4/4,1,5,1
G♯5,0.75,4/4,1,6,1
D♯5,0.25,4/4,1,6,1
E5,1.0,4/4,1,6,1
0,0.75,4/4,1,6,1
B4,0.25,4/4,1,6,1
C♯5,0.75,4/4,1,6,1
G♯4,0.25,4/4,1,6,1
A4,0.75,4/4,1,7,1
A4,0.08333333333333333,4/4,1,7,1
B4,0.08333333333333333,4/4,1,7,1
C♯5,0.08333333333333333,4/4,1,7,1
F♯4,0.75,4/4,1,7,1
F♯4,0.08333333333333333,4/4,1,7,1
G4,0.08333333333333333,4/4,1,7,1
A4,0.08333333333333333,4/4,1,7,1
D4,0.75,4/4,1,7,1
C♯5,0.25,4/4,1,7,1
D5,0.75,4/4,1,7,1
A♯4,0.25,4/4,1,7,1
B4,0.75,4/4,1,8,1
B4,0.08333333333333333,4/4,1,8,1
C♯5,0.08333333333333333,4/4,1,8,1
D5,0.08333333333333333,4/4,1,8,1
G♯4,0.75,4/4,1,8,1
G♯4,0.08333333333333333,4/4,1,8,1
A4,0.08333333333333333,4/4,1,8,1
B4,0.08333333333333333,4/4,1,8,1
E4,0.75,4/4,1,8,1
D♯5,0.25,4/4,1,8,1
E5,0.75,4/4,1,8,1
B4,0.25,4/4,1,8,1
C♯5,0.75,4/4,1,9,1
A4,0.25,4/4,1,9,1
F♯5,1.0,4/4,1,9,1
G♯4,0.75,4/4,1,9,1
B4,0.25,4/4,1,9,1
E5,0.75,4/4,1,9,1
E4,0.25,4/4,1,9,1
F♯4,0.75,4/4,1,10,1
A4,0.25,4/4,1,10,1
D5,1.0,4/4,1,10,1
E4,0.75,4/4,1,10,1
G♯4,0.25,4/4,1,10,1
C♯5,0.75,4/4,1,10,1
E4,0.25,4/4,1,10,1
D4,0.75,4/4,1,11,1
C♯5,0.25,4/4,1,11,1
B4,0.75,4/4,1,11,1
A4,0.25,4/4,1,11,1
D♯4,0.75,4/4,1,11,1
B4,0.25,4/4,1,11,1
A4,0.75,4/4,1,11,1
F♯5,0.25,4/4,1,11,1
E4,0.75,4/4,1,12,1
G♯4,0.25,4/4,1,12,1
B4,1.0,4/4,1,12,1
0,0.75,4/4,1,12,1
D5,0.25,4/4,1,12,1
C♯5,0.75,4/4,1,12,1
B4,0.25,4/4,1,12,1
A5,0.75,4/4,1,13,1
G♯5,0.125,4/4,1,13,1
F♯5,0.125,4/4,1,13,1
E5,0.75,4/4,1,13,1
D5,0.25,4/4,1,13,1
B4,1.5,4/4,1,13,1
A4,0.5,4/4,1,13,1
0,0,0,x,x,.
A4,1.0,3/8,2,15,0
A5,0.5,3/8,2,15,0
B5,0.5,3/8,2,16,0
B5,0.5,3/8,2,16,0
F♯5,0.5,3/8,2,16,0
G5,0.5,3/8,2,17,0
G5,0.25,3/8,2,17,0
A5,0.25,3/8,2,17,0
B5,0.5,3/8,2,17,0
E5,0.5,3/8,2,18,0
A5,0.5,3/8,2,18,0
G5,0.5,3/8,2,18,0
F♯5,0.25,3/8,2,19,0
G5,0.25,3/8,2,19,0
F♯5,0.25,3/8,2,19,0
E5,0.25,3/8,2,19,0
D5,0.25,3/8,2,19,0
E5,0.25,3/8,2,19,0
F♯5,0.25,3/8,2,20,0
A5,0.25,3/8,2,20,0
F♯5,0.25,3/8,2,20,0
D5,0.25,3/8,2,20,0
C♯5,0.25,3/8,2,20,0
E5,0.25,3/8,2,20,0
D5,0.25,3/8,2,21,0
