Note,Score_duration,Time-Signature,Movement,Measure,Repeated
0,0,0,x,x,.
G4,2.0,3/2,1,1,0
E♭5,0.5,3/2,1,1,0
D5,1.5,3/2,1,1,0
C5,0.5,3/2,1,1,0
B♭4,1.5,3/2,1,1,0
A4,0.0,3/2,1,2,0
G4,4.0,3/2,1,2,0
0,2.0,3/2,1,2,0
F♯4,2.0,3/2,1,3,0
D5,0.5,3/2,1,3,0
C5,1.5,3/2,1,3,0
B♭4,0.5,3/2,1,3,0
A4,1.5,3/2,1,3,0
D4,4.0,3/2,1,4,0
0,2.0,3/2,1,4,0
0,0,0,x,x,.
G5,0.5,3/4,2,5,0
D5,0.5,3/4,2,5,0
D5,0.5,3/4,2,5,0
D5,0.5,3/4,2,5,0
D5,0.25,3/4,2,5,0
E♭5,0.25,3/4,2,5,0
C5,0.25,3/4,2,5,0
D5,0.25,3/4,2,5,0
E♭5,0.5,3/4,2,6,0
C5,0.5,3/4,2,6,0
C5,0.5,3/4,2,6,0
C5,0.5,3/4,2,6,0
C5,0.25,3/4,2,6,0
D5,0.25,3/4,2,6,0
E♭5,0.25,3/4,2,6,0
C5,0.25,3/4,2,6,0
D5,0.5,3/4,2,7,0
D4,0.5,3/4,2,7,0
C5,0.5,3/4,2,7,0
D4,0.5,3/4,2,7,0
A5,0.5,3/4,2,7,0
B♭4,0.25,3/4,2,7,0
A4,0.25,3/4,2,7,0
B♭4,0.5,3/4,2,8,0
G4,0.5,3/4,2,8,0
D5,0.5,3/4,2,8,0
G4,0.5,3/4,2,8,0
G5,0.5,3/4,2,8,0
G4,0.5,3/4,2,8,0
B♭5,0.5,3/4,2,9,0
G4,0.25,3/4,2,9,0
A4,0.25,3/4,2,9,0
B♭4,0.5,3/4,2,9,0
A4,0.5,3/4,2,9,0
G4,0.5,3/4,2,9,0
F4,0.5,3/4,2,9,0
E4,0.5,3/4,2,10,0
G5,0.5,3/4,2,10,0
0,0.5,3/4,2,10,0
C5,0.5,3/4,2,10,0
G5,0.5,3/4,2,10,0
B♭4,0.5,3/4,2,10,0
A4,0.5,3/4,2,11,0
F4,0.5,3/4,2,11,0
C5,0.5,3/4,2,11,0
F4,0.5,3/4,2,11,0
F5,0.5,3/4,2,11,0
F4,0.5,3/4,2,11,0
A5,0.5,3/4,2,12,0
F4,0.25,3/4,2,12,0
G4,0.25,3/4,2,12,0
A4,0.5,3/4,2,12,0
G4,0.5,3/4,2,12,0
F4,0.5,3/4,2,12,0
E4,0.5,3/4,2,12,0
D4,0.5,3/4,2,13,0
F5,0.5,3/4,2,13,0
0,0.5,3/4,2,13,0
B♭4,0.5,3/4,2,13,0
F5,0.5,3/4,2,13,0
A4,0.5,3/4,2,13,0
G4,0.5,3/4,2,14,0
E4,0.5,3/4,2,14,0
B♭4,0.5,3/4,2,14,0
E4,0.5,3/4,2,14,0
E5,0.5,3/4,2,14,0
