Note,Score_duration,Time-Signature,Movement,Measure,Repeated
0,0,0,x,x,.
B4,0.25,4/4,1,1,0
D5,0.25,4/4,1,1,0
F♯5,1.5,4/4,1,1,0
A4,0.25,4/4,1,1,0
C♯5,0.25,4/4,1,1,0
F♯5,1.5,4/4,1,1,0
G4,0.25,4/4,1,2,0
B4,0.25,4/4,1,2,0
E5,1.0,4/4,1,2,0
E♯5,0.25,4/4,1,2,0
F♯5,0.25,4/4,1,2,0
F♯4,1.0,4/4,1,2,0
0,1.0,4/4,1,2,0
0,0,0,x,x,.
0,0.25,4/4,2,3,0
D5,0.125,4/4,2,3,0
C♯5,0.125,4/4,2,3,0
D5,0.25,4/4,2,3,0
B4,0.25,4/4,2,3,0
G5,0.25,4/4,2,3,0
B4,0.25,4/4,2,3,0
C♯5,0.25,4/4,2,3,0
G5,0.25,4/4,2,3,0
D5,0.25,4/4,2,3,0
F♯5,0.125,4/4,2,3,0
E5,0.125,4/4,2,3,0
F♯5,0.25,4/4,2,3,0
D5,0.25,4/4,2,3,0
A5,0.25,4/4,2,3,0
C♯5,0.25,4/4,2,3,0
D♯5,0.25,4/4,2,3,0
A5,0.25,4/4,2,3,0
E5,0.25,4/4,2,4,0
G5,0.125,4/4,2,4,0
F♯5,0.125,4/4,2,4,0
G5,0.25,4/4,2,4,0
E5,0.25,4/4,2,4,0
A♯5,0.25,4/4,2,4,0
F♯5,0.25,4/4,2,4,0
C♯6,0.25,4/4,2,4,0
E5,0.25,4/4,2,4,0
D5,0.25,4/4,2,4,0
F♯5,0.25,4/4,2,4,0
B5,0.25,4/4,2,4,0
D5,0.25,4/4,2,4,0
E5,0.25,4/4,2,4,0
C♯6,0.25,4/4,2,4,0
F♯5,0.25,4/4,2,4,0
A♯5,0.25,4/4,2,4,0
B4,0.25,4/4,2,5,0
C♯5,0.25,4/4,2,5,0
D5,0.25,4/4,2,5,0
A4,0.25,4/4,2,5,0
G♯4,0.25,4/4,2,5,0
D5,0.25,4/4,2,5,0
F♯4,0.25,4/4,2,5,0
D5,0.25,4/4,2,5,0
E♯4,0.25,4/4,2,5,0
C♯5,0.25,4/4,2,5,0
B♯4,0.25,4/4,2,5,0
C♯5,0.25,4/4,2,5,0
G♯5,0.25,4/4,2,5,0
C♯5,0.25,4/4,2,5,0
B5,0.25,4/4,2,5,0
C♯5,0.25,4/4,2,5,0
0,0.25,4/4,2,6,0
A4,0.125,4/4,2,6,0
G♯4,0.125,4/4,2,6,0
A4,0.25,4/4,2,6,0
F♯4,0.25,4/4,2,6,0
D5,0.25,4/4,2,6,0
F♯4,0.25,4/4,2,6,0
G♯4,0.25,4/4,2,6,0
D5,0.25,4/4,2,6,0
A4,0.25,4/4,2,6,0
C♯5,0.125,4/4,2,6,0
B4,0.125,4/4,2,6,0
C♯5,0.25,4/4,2,6,0
A4,0.25,4/4,2,6,0
E5,0.25,4/4,2,6,0
G♯4,0.25,4/4,2,6,0
A♯4,0.25,4/4,2,6,0
E5,0.25,4/4,2,6,0
B4,0.25,4/4,2,7,0
D5,0.125,4/4,2,7,0
C♯5,0.125,4/4,2,7,0
D5,0.25,4/4,2,7,0
B4,0.25,4/4,2,7,0
E♯5,0.25,4/4,2,7,0
C♯5,0.25,4/4,2,7,0
G♯5,0.25,4/4,2,7,0
B4,0.25,4/4,2,7,0
A4,0.25,4/4,2,7,0
C♯5,0.25,4/4,2,7,0
F♯5,0.25,4/4,2,7,0
A4,0.25,4/4,2,7,0
B4,0.25,4/4,2,7,0
G♯5,0.25,4/4,2,7,0
C♯5,0.25,4/4,2,7,0
E♯5,0.25,4/4,2,7,0
F♯4,0.25,4/4,2,8,0
A4,0.25,4/4,2,8,0
C♯5,0.25,4/4,2,8,0
F♯5,0.25,4/4,2,8,0
0,0.25,4/4,2,8,0
A5,0.25,4/4,2,8,0
C♯5,0.25,4/4,2,8,0
E5,0.25,4/4,2,8,0
D♯5,0.25,4/4,2,8,0
F♯5,0.25,4/4,2,8,0
B4,0.25,4/4,2,8,0
B5,0.25,4/4,2,8,0
C♯5,0.25,4/4,2,8,0
A5,0.25,4/4,2,8,0
D♯5,0.25,4/4,2,8,0
F♯5,0.25,4/4,2,8,0
E4,0.25,4/4,2,9,0
G4,0.25,4/4,2,9,0
B4,0.25,4/4,2,9,0
E5,0.25,4/4,2,9,0
0,0.25,4/4,2,9,0
