Note,Score_duration,Time-Signature,Movement,Measure,Repeated
0,0,0,x,x,.
E4,1.0,3/4,1,1,0
G♯5,1.0,3/4,1,1,0
A5,0.75,3/4,1,1,0
B5,0.25,3/4,1,1,0
F♯4,1.0,3/4,1,2,0
D♯5,1.0,3/4,1,2,0
E5,0.75,3/4,1,2,0
F♯5,0.25,3/4,1,2,0
G♯4,0.75,3/4,1,3,0
B4,0.25,3/4,1,3,0
E5,0.75,3/4,1,3,0
D♯5,0.25,3/4,1,3,0
E5,1.0,3/4,1,3,0
A4,0.75,3/4,1,4,0
C♯5,0.25,3/4,1,4,0
D♯4,0.75,3/4,1,4,0
B4,0.25,3/4,1,4,0
A4,0.75,3/4,1,4,0
G♯4,0.125,3/4,1,4,0
A4,0.125,3/4,1,4,0
E4,0.75,3/4,1,5,0
A4,0.25,3/4,1,5,0
G♯4,1.0,3/4,1,5,0
0,1.0,3/4,1,5,0
D♯4,1.0,3/4,1,6,0
F♯4,1.0,3/4,1,6,0
G♯4,0.75,3/4,1,6,0
A4,0.25,3/4,1,6,0
E4,1.0,3/4,1,7,0
G♯4,0.75,3/4,1,7,0
F♯4,0.25,3/4,1,7,0
G♯4,1.0,3/4,1,7,0
E4,1.0,3/4,1,8,0
C♯5,0.75,3/4,1,8,0
B4,0.25,3/4,1,8,0
A♯4,0.75,3/4,1,8,0
B4,0.25,3/4,1,8,0
F♯4,0.75,3/4,1,9,0
B4,0.25,3/4,1,9,0
A♯4,1.0,3/4,1,9,0
0,1.0,3/4,1,9,0
E5,0.5,3/4,1,10,0
G♯4,0.5,3/4,1,10,0
D♯5,0.5,3/4,1,10,0
F♯4,0.5,3/4,1,10,0
C♯5,0.5,3/4,1,10,0
E4,0.5,3/4,1,10,0
D♯4,0.5,3/4,1,11,0
F♯5,1.0,3/4,1,11,0
E5,0.5,3/4,1,11,0
D♯5,0.3333333333333333,3/4,1,11,0
C♯5,0.3333333333333333,3/4,1,11,0
B4,0.3333333333333333,3/4,1,11,0
C♯5,0.75,3/4,1,12,0
E4,0.25,3/4,1,12,0
F♯4,1.0,3/4,1,12,0
A♯4,0.75,3/4,1,12,0
B4,0.25,3/4,1,12,0
B4,2.0,3/4,1,13,0
0,1.0,3/4,1,13,0
E4,1.0,3/4,1,1,1
G♯5,1.0,3/4,1,1,1
A5,0.75,3/4,1,1,1
B5,0.25,3/4,1,1,1
F♯4,1.0,3/4,1,2,1
D♯5,1.0,3/4,1,2,1
E5,0.75,3/4,1,2,1
F♯5,0.25,3/4,1,2,1
G♯4,0.75,3/4,1,3,1
B4,0.25,3/4,1,3,1
E5,0.75,3/4,1,3,1
D♯5,0.25,3/4,1,3,1
E5,1.0,3/4,1,3,1
A4,0.75,3/4,1,4,1
C♯5,0.25,3/4,1,4,1
D♯4,0.75,3/4,1,4,1
B4,0.25,3/4,1,4,1
A4,0.75,3/4,1,4,1
G♯4,0.125,3/4,1,4,1
A4,0.125,3/4,1,4,1
E4,0.75,3/4,1,5,1
A4,0.25,3/4,1,5,1
G♯4,1.0,3/4,1,5,1
0,1.0,3/4,1,5,1
D♯4,1.0,3/4,1,6,1
F♯4,1.0,3/4,1,6,1
G♯4,0.75,3/4,1,6,1
A4,0.25,3/4,1,6,1
E4,1.0,3/4,1,7,1
G♯4,0.75,3/4,1,7,1
F♯4,0.25,3/4,1,7,1
G♯4,1.0,3/4,1,7,1
E4,1.0,3/4,1,8,1
C♯5,0.75,3/4,1,8,1
B4,0.25,3/4,1,8,1
